path,line,owner_type,owner_symbol,receiver,event_type,type_resolution,game_event_bus,evidence
Assets/Scripts/Models/Operation/Core/EventAlertService.cs,21,GameEventBusAlertExtensions,<unknown>,gameEventBus,EventAlertRequestedEvent,new-expression,yes:declared-IGameEventBus,gameEventBus.Publish(
Assets/Scripts/Models/Survival/Core/CharacterConsumablesRuntime.cs,2766,MealOperationFailureState,ItemStackId,events,CharacterConsumablesMealConsumedEvent,new-expression,likely:name-convention,events.Publish(new CharacterConsumablesMealConsumedEvent(
Assets/Scripts/Services/Buildings/BuildableObject.cs,988,BuildableObject,<unknown>,GameEventBus,<generic:TEvent>,generic-wrapper-type-parameter,yes:declared-IGameEventBus,GameEventBus.Publish(gameEvent);
Assets/Scripts/Services/Captivity/CaptiveEscapeOutcomeRuntime.cs,93,CaptiveEscapeOutcomeRuntime,CaptiveEscapeOutcomeRuntime,eventBus,CaptiveEscapedEvent,new-expression,yes:declared-IGameEventBus,eventBus.Publish(new CaptiveEscapedEvent(
Assets/Scripts/Services/Captivity/CaptivePerformerMilestoneOutcomeRuntime.cs,257,CaptivePerformerMilestoneOutcomeRuntime,CaptivePerformerMilestoneOutcomeRuntime,port,CaptivePerformerMilestoneEvent,new-expression,no:known-non-event-publisher,port.Publish(new CaptivePerformerMilestoneEvent(
Assets/Scripts/Services/Captivity/CaptiveRansomOutcomeRuntime.cs,101,CaptiveRansomOutcomeRuntime,CaptiveRansomOutcomeRuntime,eventBus,PrisonerDecisionEvent,new-expression,yes:declared-IGameEventBus,eventBus.Publish(new PrisonerDecisionEvent(
Assets/Scripts/Services/Captivity/CaptiveRansomOutcomeRuntime.cs,117,CaptiveRansomOutcomeRuntime,CaptiveRansomOutcomeRuntime,eventBus,CaptiveRansomedEvent,new-expression,yes:declared-IGameEventBus,eventBus.Publish(new CaptiveRansomedEvent(
Assets/Scripts/Services/Captivity/CaptivityInterrogationInformationRuntime.cs,184,CaptivityInterrogationInformationRuntime,CharacterId,gameEventBus,EventAlertRequestedEvent,new-expression,yes:declared-IGameEventBus,gameEventBus.Publish(new EventAlertRequestedEvent(
Assets/Scripts/Services/Captivity/CaptivityRuntime.cs,1530,CaptivityRuntime,<unknown>,gameEventBus,PrisonerDecisionEvent,new-expression,yes:declared-IGameEventBus,gameEventBus.Publish(new PrisonerDecisionEvent(
Assets/Scripts/Services/Captivity/CaptivityUnityEffectsAdapter.cs,41,CaptivityUnityEffectsAdapter,CaptivityUnityEffectsAdapter,events,CaptivePerformerMilestoneEvent,lexical-variable-declaration,yes:declared-IGameEventBus,events.Publish(gameEvent);
Assets/Scripts/Services/Character/Ability/AbilityWork.cs,284,AbilityWork,AbilityWorkNoopFloatingIconFeedbackService,identityEvents,WorkCompletedIdentityEvent,new-expression,likely:name-convention,identityEvents?.Publish(new WorkCompletedIdentityEvent(
Assets/Scripts/Services/Character/AI/CharacterAiMacroDecisionRunner.cs,155,CharacterAiMacroDecisionRunner,CharacterAiMacroDecisionRunner,identityEvents,SocialConflictEvent,new-expression,likely:name-convention,identityEvents.Publish(new SocialConflictEvent(
Assets/Scripts/Services/Character/CharacterLifeApplicationAdapter.cs,222,CharacterLifeApplicationAdapter,CharacterLifeApplicationAdapter,events,CharacterDeathEvent,lexical-variable-declaration,yes:declared-IGameEventBus,events.Publish(gameEvent);
Assets/Scripts/Services/Character/CharacterLifePublicationService.cs,152,CharacterLifePublicationService,CharacterSpeciesId,events,CharacterAgeConditionChangedEvent,new-expression,yes:declared-IGameEventBus,events.Publish(new CharacterAgeConditionChangedEvent(change));
Assets/Scripts/Services/Character/CharacterNarrativeRuntime.cs,454,CharacterNarrativeRuntime,CharacterNarrativeRuntime,gameEvents,CharacterProficiencyAwardCommitReceipt,lexical-indexed-collection-declaration,yes:declared-IGameEventBus,gameEvents.Publish(receipts[index]);
Assets/Scripts/Services/Character/CharacterSpawner.cs,347,CharacterSpawner,<unknown>,<complex-or-unresolved>,<non-game-event-method>,resolved-non-event-complex-publisher,no:known-non-event-complex-publisher,RequireCharacterObjectFactory().Publish(spawnedCharacterGameobject);
Assets/Scripts/Services/Character/Core/CharacterAcquiredTraitManifestationRuntime.cs,1630,Observation,CharacterAcquiredTraitCompletionCommand,events,CharacterAcquiredTraitManifestationDiagnosticEvent,new-expression,yes:declared-IGameEventBus,events.Publish(new CharacterAcquiredTraitManifestationDiagnosticEvent(
Assets/Scripts/Services/Character/Core/CharacterAcquiredTraitSpecialReaction.cs,528,CharacterAcquiredTraitSpecialReactionRuntime,CharacterAcquiredTraitSpecialReactionRuntime,events,CharacterAcquiredTraitReactionExecutedEvent,new-expression,yes:declared-IGameEventBus,events.Publish(new CharacterAcquiredTraitReactionExecutedEvent(
Assets/Scripts/Services/Character/Core/CharacterProgressionNotificationApplicationAdapter.cs,62,CharacterProgressionNotificationApplicationAdapter,EventAlertChoice,gameEventBus,CharacterGrowthTabRequestedEvent,new-expression,yes:declared-IGameEventBus,gameEventBus.Publish(new CharacterGrowthTabRequestedEvent(actor));
Assets/Scripts/Services/Character/Core/CharacterStats.cs,393,CharacterStats,MigratedProducerOutcomeSubject,gameEventBus,RestOutcomeIdentityEvent,new-expression,yes:declared-IGameEventBus,gameEventBus.Publish(new RestOutcomeIdentityEvent(
Assets/Scripts/Services/Character/Core/MemoryErasureSealCommandService.cs,989,ActiveOrder,<unknown>,events,MemoryErasureSealUseCompletedEvent,new-expression,yes:declared-IGameEventBus,events.Publish(new MemoryErasureSealUseCompletedEvent(result));
Assets/Scripts/Services/Character/Core/OwnerCharacterFactory.cs,107,OwnerCharacterFactory,OwnerCharacterFactory,characterObjectFactory,<non-game-event-method>,resolved-non-event-publisher,no:known-non-event-publisher,characterObjectFactory.Publish(ownerObject);
Assets/Scripts/Services/Character/Core/OwnerRunManager.cs,445,OwnerRunManager,MigratedProducerOutcomeSubject,gameEventBus,OwnerRunEndedEvent,new-expression,yes:declared-IGameEventBus,() => gameEventBus.Publish(new OwnerRunEndedEvent(
Assets/Scripts/Services/Character/Core/PreparedStartPartyGameplayApplier.cs,295,PreparedStartPartyGameplayApplier,PreparedStartPartyGameplayApplier,characterObjectFactory,<non-game-event-method>,resolved-non-event-publisher,no:known-non-event-publisher,characterObjectFactory.Publish(staff.gameObject);
Assets/Scripts/Services/Character/FestivalExecutionRuntime.cs,1792,FestivalResolutionRollbackSnapshot,<unknown>,events,EventAlertRequestedEvent,new-expression,yes:declared-IGameEventBus,events.Publish(new EventAlertRequestedEvent(new EventAlertRequest(
Assets/Scripts/Services/Character/FestivalExecutionRuntime.cs,2275,FestivalResolutionRollbackSnapshot,<unknown>,events,FestivalCelebratedEvent,lexical-variable-declaration,yes:declared-IGameEventBus,events.Publish(celebrated);
Assets/Scripts/Services/Character/Identity/Runtime/CharacterApologyCommandRuntime.cs,85,CharacterApologyCommandRuntime,CharacterApologyCommandRuntime,events,ApologyEvent,new-expression,yes:declared-IGameEventBus,events.Publish(new ApologyEvent(
Assets/Scripts/Services/Character/Identity/Runtime/CharacterIdentityDomainAdapters.cs,1112,SocialIdentityEventAdapter,SocialIdentityEventAdapter,Events,SocialConflictCommittedReceiptEvent,generic-type-argument,yes:declared-IGameEventBus,Events.Publish<SocialConflictCommittedReceiptEvent>(
Assets/Scripts/Services/Character/Identity/Runtime/CharacterIdentityRuntime.cs,589,CharacterIdentityEventPublisher,CharacterIdentityEventPublisher,events,CharacterKilledEvent,lexical-variable-declaration,yes:declared-IGameEventBus,events.Publish(gameEvent);
Assets/Scripts/Services/Character/PhysicalAgeTreatmentRuntime.cs,451,in,TemporalStasisMaintenanceAdapter,events,EventAlertRequestedEvent,new-expression,yes:declared-IGameEventBus,events.Publish(new EventAlertRequestedEvent(new EventAlertRequest(
Assets/Scripts/Services/Character/ReproductionApplicationAdapter.cs,189,ReproductionApplicationAdapter,ReproductionDailyContext,characterObjects,<non-game-event-method>,resolved-non-event-publisher,no:known-non-event-publisher,characterObjects.Publish(characterObject);
Assets/Scripts/Services/Character/SpeciesRuntime.cs,1026,CharacterSpeciesRuntime,CoreGridCell,events,SpeciesIncidentTriggeredEvent,new-expression,yes:declared-IGameEventBus,events.Publish(new SpeciesIncidentTriggeredEvent(
Assets/Scripts/Services/Character/SpeciesRuntime.cs,1168,CharacterSpeciesRuntime,GameplayOperationId,events,SpeciesIncidentTriggeredEvent,new-expression,yes:declared-IGameEventBus,events.Publish(new SpeciesIncidentTriggeredEvent(
Assets/Scripts/Services/Character/Work/SettlementAlertRuntime.cs,568,SettlementAlertRuntime,SettlementSuspendedWorkSnapshot,events,SettlementCommittedAlertChangedEvent,new-expression,yes:declared-IGameEventBus,events.Publish(new SettlementCommittedAlertChangedEvent(
Assets/Scripts/Services/Character/Work/SettlementAlertRuntime.cs,622,SettlementAlertRuntime,SettlementSuspendedWorkSnapshot,events,SettlementCommittedAlertChangedEvent,new-expression,yes:declared-IGameEventBus,events.Publish(new SettlementCommittedAlertChangedEvent(
Assets/Scripts/Services/Character/Work/SettlementAlertRuntime.cs,698,SettlementAlertRuntime,SettlementSuspendedWorkSnapshot,events,SettlementActiveIncidentsChangedEvent,new-expression,yes:declared-IGameEventBus,events.Publish(new SettlementActiveIncidentsChangedEvent(
Assets/Scripts/Services/Character/Work/WorkTaskExecutor.cs,3657,WorkTaskExecutor,SettlementLaborContribution,identityEvents,WorkStartedIdentityEvent,new-expression,likely:name-convention,identityEvents.Publish(new WorkStartedIdentityEvent(
Assets/Scripts/Services/Character/Work/WorkTaskExecutor.cs,3674,WorkTaskExecutor,SettlementLaborContribution,identityEvents,WorkCompletedIdentityEvent,new-expression,likely:name-convention,identityEvents.Publish(new WorkCompletedIdentityEvent(
Assets/Scripts/Services/Character/Work/WorkTaskExecutor.cs,3925,WorkTaskExecutor,CoreGridCell,identityEvents,CharacterInjuredIdentityEvent,new-expression,likely:name-convention,identityEvents.Publish(new CharacterInjuredIdentityEvent(
Assets/Scripts/Services/Codex/CodexRuntimeApplicationAdapter.cs,68,CodexRuntimeApplicationAdapter,CodexRuntimeApplicationAdapter,gameEventBus,CodexUpdatedEvent,lexical-variable-declaration,yes:declared-IGameEventBus,gameEventBus.Publish(updatedEvent);
Assets/Scripts/Services/Combat/Buildings/EquipmentCraftingBuildingAbilityHandler.cs,140,EquipmentCraftingBuildingAbilityHandler,BuildingActivitySnapshot,identityEvents,WorkCompletedIdentityEvent,new-expression,likely:name-convention,identityEvents.Publish(new WorkCompletedIdentityEvent(
Assets/Scripts/Services/Combat/CharacterBodyHealthRuntime.cs,2223,CharacterBodyHealthRuntime,<unknown>,gameEventBus,HealthThresholdCrossedEvent,new-expression,yes:declared-IGameEventBus,gameEventBus.Publish(new HealthThresholdCrossedEvent(
Assets/Scripts/Services/Combat/CharacterBodyHealthRuntime.cs,2235,CharacterBodyHealthRuntime,<unknown>,gameEventBus,CharacterDiedEvent,new-expression,yes:declared-IGameEventBus,"gameEventBus.Publish(new CharacterDiedEvent(id, causeId, day));"
Assets/Scripts/Services/Combat/CharacterBodyHealthRuntime.cs,2308,CharacterBodyHealthRuntime,<unknown>,gameEventBus,CharacterBodyHealthDownedEvent,new-expression,yes:declared-IGameEventBus,gameEventBus.Publish(new CharacterBodyHealthDownedEvent(actor));
Assets/Scripts/Services/Combat/CharacterBodyHealthRuntime.cs,2323,CharacterBodyHealthRuntime,<unknown>,gameEventBus,CharacterBodyHealthRecoveredEvent,new-expression,yes:declared-IGameEventBus,gameEventBus.Publish(new CharacterBodyHealthRecoveredEvent(actor));
Assets/Scripts/Services/Combat/CharacterBodyHealthStateRules.cs,1305,CharacterVitalsSideEffectAdapter,CharacterVitalsSnapshot,<complex-or-unresolved>,CharacterDeathEvent,resolved-death-event-factory-chain,yes:death-event-factory-chain,.Publish((deathEventFactory
Assets/Scripts/Services/Combat/CharacterCombatCommandRuntime.cs,1471,CharacterCombatCommandRuntime,<unknown>,gameEventBus,CharacterCombatCommandTerminatedEvent,new-expression,yes:declared-IGameEventBus,gameEventBus.Publish(new CharacterCombatCommandTerminatedEvent(
Assets/Scripts/Services/Combat/CharacterMedicalRuntime.cs,696,CharacterMedicalRuntime,<unknown>,gameEventBus,CharacterInfectionBurdenRequestedEvent,new-expression,yes:declared-IGameEventBus,"gameEventBus.Publish(new CharacterInfectionBurdenRequestedEvent(patient, 8f));"
Assets/Scripts/Services/Combat/CharacterMedicalRuntime.cs,867,CharacterMedicalRuntime,<unknown>,gameEventBus,CharacterInfectionBurdenReductionRequestedEvent,new-expression,yes:declared-IGameEventBus,gameEventBus.Publish(
Assets/Scripts/Services/Combat/CharacterMedicalRuntime.cs,885,CharacterMedicalRuntime,CharacterInfectionBurdenReductionRequestedEvent,gameEventBus,CharacterMedicalBloodContactEvent,new-expression,yes:declared-IGameEventBus,gameEventBus.Publish(new CharacterMedicalBloodContactEvent(
Assets/Scripts/Services/Combat/CharacterMedicalRuntime.cs,919,CharacterMedicalRuntime,CharacterInfectionBurdenReductionRequestedEvent,gameEventBus,CharacterInfectionBurdenRequestedEvent,new-expression,yes:declared-IGameEventBus,gameEventBus.Publish(new CharacterInfectionBurdenRequestedEvent(
Assets/Scripts/Services/Combat/CharacterMedicalRuntime.cs,922,CharacterMedicalRuntime,CharacterInfectionBurdenReductionRequestedEvent,gameEventBus,CharacterMentalInstabilityBurdenRequestedEvent,new-expression,yes:declared-IGameEventBus,gameEventBus.Publish(
Assets/Scripts/Services/Combat/CombatCommandResultApplier.cs,222,CombatCommandResultApplier,CombatCommandResultApplier,identityEvents,CharacterInjuredIdentityEvent,new-expression,likely:name-convention,identityEvents?.Publish(new CharacterInjuredIdentityEvent(
Assets/Scripts/Services/Combat/CombatCommandResultApplier.cs,653,CombatCommandResultApplier,<unknown>,identityEvents,CharacterInjuredIdentityEvent,new-expression,likely:name-convention,identityEvents?.Publish(new CharacterInjuredIdentityEvent(
Assets/Scripts/Services/Combat/CombatCommandResultApplier.cs,1489,CombatCommandResultApplier,<unknown>,gameEvents,VisitorFacilityCombatDamageCommittedEvent,new-expression,yes:declared-IGameEventBus,gameEvents.Publish(
Assets/Scripts/Services/Combat/CombatCommandResultApplier.cs,1503,CombatCommandResultApplier,VisitorFacilityCombatDamageCommittedEvent,gameEvents,SocialConflictEvent,new-expression,yes:declared-IGameEventBus,gameEvents.Publish(new SocialConflictEvent(
