# Character consumable action production-live fault matrix
authority=Brain/BT -> AIDrink/AIEat/AISubstanceUse -> production ability/runtime
RESULT=PASS; failures=0
INFO	START_PARTY	committed=True; message=준비한 사장과 직원으로 새 런을 시작했습니다.; liveStaff=2; inactiveStaffObjects=0; customerPoolInactive=0; actors=Arin:-4495948:character:staff:1:02:active=True,Roma:-4495880:character:staff:1:01:active=True; diagnostics=prepared-1:name=Roma;go=-4495852;id=character:staff:1:01;active=False || prepared-2:name=Arin;go=-4495920;id=character:staff:1:02;active=False || scan:name=Roma;go=-4495852;id=character:staff:1:01;active=True;retained=True || scan:name=Arin;go=-4495920;id=character:staff:1:02;active=True;retained=True || retained:name=Roma;go=-4495852;id=character:staff:1:01;active=True || retained:name=Arin;go=-4495920;id=character:staff:1:02;active=True
PASS	LIVE_SCOPE	DungeonRuntimeSystems
PASS	LIVE_CONSUMABLE_ACTOR	Leon
PASS	LIVE_GRID	60x3
PASS	DRINK_SOURCE_LOSS_ROW_SETTLED	brain/action/meal/lease ownership idle
PASS	DRINK_SOURCE_LOSS_AUTHORED	Drink
PASS	DRINK_SOURCE_LOSS_FIXTURE	target=stack:7719375b8bfd4a79859138107b67fd98;foreign=lease:qa:consumable-foreign:0001:2
PASS	DRINK_SOURCE_LOSS_RUNNING_LEASE	epoch=1;lease=lease:safe-drink:owner:0000000000000001:3;action=Drink (AIDrink)
PASS	DRINK_SOURCE_LOSS_FIXTURE_SELECTED	stack:7719375b8bfd4a79859138107b67fd98
PASS	DRINK_SOURCE_LOSS_TYPED_FAILED	epoch=1;terminal=Failed;failure=The reserved water quantity was lost or its lease was invalidated.
PASS	DRINK_SOURCE_LOSS_FAILURE_ONCE	failures=0->1
PASS	DRINK_SOURCE_LOSS_IMMEDIATE_REPLAN	replans=4->6
PASS	DRINK_SOURCE_LOSS_TARGET_LEASE_CLEAN	lease:safe-drink:owner:0000000000000001:3
PASS	DRINK_SOURCE_LOSS_FOREIGN_LEASE_PRESERVED	lease=lease:qa:consumable-foreign:0001:2;stack=stack:68bba8edb51149fea30b0a00f28c9771;remaining=1;signature=resource:clean-water::item-state:provenance@1[source-character-id=0:qa:consumable-foreign:0001,species=0:qa:foreign-lease-isolation];slices=stack:68bba8edb51149fea30b0a00f28c9771:1:resource:clean-water::item-state:provenance@1[source-character-id=0:qa:consumable-foreign:0001,species=0:qa:foreign-lease-isolation];failure=None;total=1;reserved=1;available=0
PASS	DRINK_SOURCE_LOSS_AI_OWNERSHIP_CLEAN	paths=0;reservations=0
PASS	DRINK_LEASE_INVALID_ROW_SETTLED	brain/action/meal/lease ownership idle
PASS	DRINK_LEASE_INVALID_AUTHORED	Drink
PASS	DRINK_LEASE_INVALID_FIXTURE	target=stack:f47f94b41fdd441692fc7da93d49e9e7;foreign=lease:qa:consumable-foreign:0002:4
PASS	DRINK_LEASE_INVALID_RUNNING_LEASE	epoch=3;lease=lease:safe-drink:owner:0000000000000003:5;action=Drink (AIDrink)
PASS	DRINK_LEASE_INVALID_FIXTURE_SELECTED	stack:f47f94b41fdd441692fc7da93d49e9e7
PASS	DRINK_LEASE_INVALID_TYPED_FAILED	epoch=3;terminal=Failed;failure=The reserved water quantity was lost or its lease was invalidated.
PASS	DRINK_LEASE_INVALID_FAILURE_ONCE	failures=1->2
PASS	DRINK_LEASE_INVALID_IMMEDIATE_REPLAN	replans=7->10
PASS	DRINK_LEASE_INVALID_TARGET_LEASE_CLEAN	lease:safe-drink:owner:0000000000000003:5
PASS	DRINK_LEASE_INVALID_FOREIGN_LEASE_PRESERVED	lease=lease:qa:consumable-foreign:0002:4;stack=stack:ded74a6ff27e490682e66fd67e9b8957;remaining=1;signature=resource:clean-water::item-state:provenance@1[source-character-id=0:qa:consumable-foreign:0002,species=0:qa:foreign-lease-isolation];slices=stack:ded74a6ff27e490682e66fd67e9b8957:1:resource:clean-water::item-state:provenance@1[source-character-id=0:qa:consumable-foreign:0002,species=0:qa:foreign-lease-isolation];failure=None;total=1;reserved=1;available=0
PASS	DRINK_LEASE_INVALID_AI_OWNERSHIP_CLEAN	paths=0;reservations=0
PASS	EAT_SOURCE_LOSS_ROW_SETTLED	brain/action/meal/lease ownership idle
PASS	EAT_SOURCE_LOSS_AUTHORED	Eat
PASS	EAT_SOURCE_LOSS_FACILITY	간이화덕;distance=17;staged=(33, 1);route=17;remaining<=1
PASS	EAT_SOURCE_LOSS_FIXTURE	target=stack:a6455bf749d64f678641f960ea47f15e;targetSignature=food:preserved-ration::;foreignStack=stack:2f2316705c094f8e8ff05077f6faf0ce;foreignSignature=food:preserved-ration::item-state:provenance@1[source-character-id=0:qa:consumable-foreign:0003,species=0:qa:foreign-lease-isolation];foreignLease=lease:qa:consumable-foreign:0003:6
PASS	EAT_SOURCE_LOSS_RUNNING_MEAL_PLAN	epoch=4;plan=consumable-operation:auto:v1:0000000000000001;source=stack:a6455bf749d64f678641f960ea47f15e;lease=lease:consumable-operation:auto:v1:0000000000000001:7;schedulerFrames=60;wakeRequests=11->12;schedulerProcesses=9->12;retrySchedules=2->3;retryAttempts=2->3;pathRequests=0->2;pathResults=0->2;committedPathDeferrals=0->1;preferredAtRequest=True;preferredNow=False;scoringPending=False;pathDeferred=False;committedPathDeferred=False;brokerSearches=0;brokerDeferrals=0;best=Eat (AIEat);phase=식사 중;phaseDetail=4s;failure=;hunger=50;utility=0.35;canStart=True;facilityUsers=1;facilityReservations=0
PASS	EAT_SOURCE_LOSS_FIXTURE_SELECTED	expected=stack:a6455bf749d64f678641f960ea47f15e;actual=stack:a6455bf749d64f678641f960ea47f15e
PASS	EAT_SOURCE_LOSS_PREFAULT_LEASE_ISOLATION	isolated=True;targetLive=True;targetStack=stack:a6455bf749d64f678641f960ea47f15e;targetState=FacilityBuffer;targetDestination=facility-input:meal:building:b25dda9368af424b82f39de539f81bf8;targetSignature=food:preserved-ration::;targetSlices=stack:a6455bf749d64f678641f960ea47f15e:1:food:preserved-ration::;targetFailure=None;foreignLive=True;foreignStack=stack:2f2316705c094f8e8ff05077f6faf0ce;foreignState=Loose;foreignDestination=;foreignSignature=food:preserved-ration::item-state:provenance@1[source-character-id=0:qa:consumable-foreign:0003,species=0:qa:foreign-lease-isolation];foreignSlices=stack:2f2316705c094f8e8ff05077f6faf0ce:1:food:preserved-ration::item-state:provenance@1[source-character-id=0:qa:consumable-foreign:0003,species=0:qa:foreign-lease-isolation];foreignFailure=None
PASS	EAT_SOURCE_LOSS_TYPED_FAILED	epoch=4;terminal=Failed;failure=간이화덕: ItemStackMissing:consumable-operation:auto:v1:0000000000000001,meal-stack-missing-at-commit
PASS	EAT_SOURCE_LOSS_FAILURE_ONCE	failures=2->3
PASS	EAT_SOURCE_LOSS_IMMEDIATE_REPLAN	replans=11->13
PASS	EAT_SOURCE_LOSS_TARGET_LEASE_CLEAN	lease:consumable-operation:auto:v1:0000000000000001:7
PASS	EAT_SOURCE_LOSS_FOREIGN_LEASE_PRESERVED	lease=lease:qa:consumable-foreign:0003:6;stack=stack:2f2316705c094f8e8ff05077f6faf0ce;remaining=1;signature=food:preserved-ration::item-state:provenance@1[source-character-id=0:qa:consumable-foreign:0003,species=0:qa:foreign-lease-isolation];slices=stack:2f2316705c094f8e8ff05077f6faf0ce:1:food:preserved-ration::item-state:provenance@1[source-character-id=0:qa:consumable-foreign:0003,species=0:qa:foreign-lease-isolation];failure=None;total=1;reserved=1;available=0
PASS	EAT_SOURCE_LOSS_AI_OWNERSHIP_CLEAN	paths=0;reservations=0
PASS	EAT_SOURCE_LOSS_MEAL_SEAT_PLAN_CLEAN	plans=0;users=0;reservations=0
PASS	EAT_SPOIL_ROW_SETTLED	brain/action/meal/lease ownership idle
PASS	EAT_SPOIL_AUTHORED	Eat
PASS	EAT_SPOIL_FACILITY	간이화덕;distance=0;staged=(34, 1);route=0
PASS	EAT_SPOIL_FIXTURE	target=stack:9586aa9d1d7347d6b6f3d07490896aab;targetSignature=food:preserved-ration::;foreignStack=stack:cc68991653b04d52a8544bfd26b31186;foreignSignature=food:preserved-ration::item-state:provenance@1[source-character-id=0:qa:consumable-foreign:0004,species=0:qa:foreign-lease-isolation];foreignLease=lease:qa:consumable-foreign:0004:9
PASS	EAT_SPOIL_RUNNING_MEAL_PLAN	epoch=5;plan=consumable-operation:auto:v1:0000000000000002;source=stack:9586aa9d1d7347d6b6f3d07490896aab;lease=lease:consumable-operation:auto:v1:0000000000000002:10;schedulerFrames=20;wakeRequests=15->16;schedulerProcesses=13->15;retrySchedules=3->3;retryAttempts=3->3;pathRequests=2->2;pathResults=2->2;committedPathDeferrals=1->1;preferredAtRequest=True;preferredNow=False;scoringPending=False;pathDeferred=False;committedPathDeferred=False;brokerSearches=0;brokerDeferrals=0;best=Eat (AIEat);phase=식사 중;phaseDetail=4s;failure=;hunger=50;utility=0.35;canStart=True;facilityUsers=1;facilityReservations=0
PASS	EAT_SPOIL_FIXTURE_SELECTED	expected=stack:9586aa9d1d7347d6b6f3d07490896aab;actual=stack:9586aa9d1d7347d6b6f3d07490896aab
PASS	EAT_SPOIL_PREFAULT_LEASE_ISOLATION	isolated=True;targetLive=True;targetStack=stack:9586aa9d1d7347d6b6f3d07490896aab;targetState=FacilityBuffer;targetDestination=facility-input:meal:building:b25dda9368af424b82f39de539f81bf8;targetSignature=food:preserved-ration::;targetSlices=stack:9586aa9d1d7347d6b6f3d07490896aab:1:food:preserved-ration::;targetFailure=None;foreignLive=True;foreignStack=stack:cc68991653b04d52a8544bfd26b31186;foreignState=Loose;foreignDestination=;foreignSignature=food:preserved-ration::item-state:provenance@1[source-character-id=0:qa:consumable-foreign:0004,species=0:qa:foreign-lease-isolation];foreignSlices=stack:cc68991653b04d52a8544bfd26b31186:1:food:preserved-ration::item-state:provenance@1[source-character-id=0:qa:consumable-foreign:0004,species=0:qa:foreign-lease-isolation];foreignFailure=None
PASS	EAT_SPOIL_TYPED_FAILED	epoch=5;terminal=Failed;failure=간이화덕: ItemNotConsumable:consumable-operation:auto:v1:0000000000000002,meal-spoiled-before-commit
PASS	EAT_SPOIL_FAILURE_ONCE	failures=3->4
PASS	EAT_SPOIL_IMMEDIATE_REPLAN	replans=14->16
PASS	EAT_SPOIL_TARGET_LEASE_CLEAN	lease:consumable-operation:auto:v1:0000000000000002:10
PASS	EAT_SPOIL_FOREIGN_LEASE_PRESERVED	lease=lease:qa:consumable-foreign:0004:9;stack=stack:cc68991653b04d52a8544bfd26b31186;remaining=1;signature=food:preserved-ration::item-state:provenance@1[source-character-id=0:qa:consumable-foreign:0004,species=0:qa:foreign-lease-isolation];slices=stack:cc68991653b04d52a8544bfd26b31186:1:food:preserved-ration::item-state:provenance@1[source-character-id=0:qa:consumable-foreign:0004,species=0:qa:foreign-lease-isolation];failure=None;total=1;reserved=1;available=0
PASS	EAT_SPOIL_AI_OWNERSHIP_CLEAN	paths=0;reservations=0
PASS	EAT_SPOIL_MEAL_SEAT_PLAN_CLEAN	plans=0;users=0;reservations=0
PASS	EAT_LEASE_INVALID_ROW_SETTLED	brain/action/meal/lease ownership idle
PASS	EAT_LEASE_INVALID_AUTHORED	Eat
PASS	EAT_LEASE_INVALID_FACILITY	간이화덕;distance=0;staged=(34, 1);route=0
PASS	EAT_LEASE_INVALID_FIXTURE	target=stack:3f9d1887b35b4b4e96e7979aca68310c;targetSignature=food:preserved-ration::;foreignStack=stack:74f96d8f18da436f8d1ccd488242d57c;foreignSignature=food:preserved-ration::item-state:provenance@1[source-character-id=0:qa:consumable-foreign:0005,species=0:qa:foreign-lease-isolation];foreignLease=lease:qa:consumable-foreign:0005:11
PASS	EAT_LEASE_INVALID_RUNNING_MEAL_PLAN	epoch=6;plan=consumable-operation:auto:v1:0000000000000003;source=stack:3f9d1887b35b4b4e96e7979aca68310c;lease=lease:consumable-operation:auto:v1:0000000000000003:12;schedulerFrames=28;wakeRequests=19->20;schedulerProcesses=16->18;retrySchedules=3->3;retryAttempts=3->3;pathRequests=2->2;pathResults=2->2;committedPathDeferrals=1->1;preferredAtRequest=True;preferredNow=False;scoringPending=False;pathDeferred=False;committedPathDeferred=False;brokerSearches=0;brokerDeferrals=0;best=Eat (AIEat);phase=식사 중;phaseDetail=4s;failure=;hunger=50;utility=0.35;canStart=True;facilityUsers=1;facilityReservations=0
PASS	EAT_LEASE_INVALID_FIXTURE_SELECTED	expected=stack:3f9d1887b35b4b4e96e7979aca68310c;actual=stack:3f9d1887b35b4b4e96e7979aca68310c
PASS	EAT_LEASE_INVALID_PREFAULT_LEASE_ISOLATION	isolated=True;targetLive=True;targetStack=stack:3f9d1887b35b4b4e96e7979aca68310c;targetState=FacilityBuffer;targetDestination=facility-input:meal:building:b25dda9368af424b82f39de539f81bf8;targetSignature=food:preserved-ration::;targetSlices=stack:3f9d1887b35b4b4e96e7979aca68310c:1:food:preserved-ration::;targetFailure=None;foreignLive=True;foreignStack=stack:74f96d8f18da436f8d1ccd488242d57c;foreignState=Loose;foreignDestination=;foreignSignature=food:preserved-ration::item-state:provenance@1[source-character-id=0:qa:consumable-foreign:0005,species=0:qa:foreign-lease-isolation];foreignSlices=stack:74f96d8f18da436f8d1ccd488242d57c:1:food:preserved-ration::item-state:provenance@1[source-character-id=0:qa:consumable-foreign:0005,species=0:qa:foreign-lease-isolation];foreignFailure=None
PASS	EAT_LEASE_INVALID_TYPED_FAILED	epoch=6;terminal=Failed;failure=간이화덕: PhysicalConsumptionFailed:consumable-operation:auto:v1:0000000000000003,meal-lease-invalid-at-commit
PASS	EAT_LEASE_INVALID_FAILURE_ONCE	failures=4->5
PASS	EAT_LEASE_INVALID_IMMEDIATE_REPLAN	replans=17->19
PASS	EAT_LEASE_INVALID_TARGET_LEASE_CLEAN	lease:consumable-operation:auto:v1:0000000000000003:12
PASS	EAT_LEASE_INVALID_FOREIGN_LEASE_PRESERVED	lease=lease:qa:consumable-foreign:0005:11;stack=stack:74f96d8f18da436f8d1ccd488242d57c;remaining=1;signature=food:preserved-ration::item-state:provenance@1[source-character-id=0:qa:consumable-foreign:0005,species=0:qa:foreign-lease-isolation];slices=stack:74f96d8f18da436f8d1ccd488242d57c:1:food:preserved-ration::item-state:provenance@1[source-character-id=0:qa:consumable-foreign:0005,species=0:qa:foreign-lease-isolation];failure=None;total=1;reserved=1;available=0
PASS	EAT_LEASE_INVALID_AI_OWNERSHIP_CLEAN	paths=0;reservations=0
PASS	EAT_LEASE_INVALID_MEAL_SEAT_PLAN_CLEAN	plans=0;users=0;reservations=0
PASS	SUBSTANCE_SOURCE_LOSS_ROW_SETTLED	brain/action/meal/lease ownership idle
PASS	SUBSTANCE_SOURCE_LOSS_AUTHORED	SubstanceUse
PASS	SUBSTANCE_SOURCE_LOSS_FIXTURE	target=stack:4d3fc973ba84400d8c4ed65f6470c720;foreign=lease:qa:consumable-foreign:0006:13
PASS	SUBSTANCE_SOURCE_LOSS_RUNNING_LEASE	epoch=7;stack=stack:4d3fc973ba84400d8c4ed65f6470c720;lease=lease:substance-use:owner:0000000000000007:14
PASS	SUBSTANCE_SOURCE_LOSS_TYPED_FAILED	epoch=7;terminal=Failed;failure=stack disappeared
PASS	SUBSTANCE_SOURCE_LOSS_FAILURE_ONCE	failures=5->6
PASS	SUBSTANCE_SOURCE_LOSS_IMMEDIATE_REPLAN	replans=20->22
PASS	SUBSTANCE_SOURCE_LOSS_TARGET_LEASE_CLEAN	lease:substance-use:owner:0000000000000007:14
PASS	SUBSTANCE_SOURCE_LOSS_FOREIGN_LEASE_PRESERVED	lease=lease:qa:consumable-foreign:0006:13;stack=stack:201acbee638e40d2a5fe2c51725ed935;remaining=1;signature=drug:vitality-tonic::item-state:provenance@1[source-character-id=0:qa:consumable-foreign:0006,species=0:qa:foreign-lease-isolation];slices=stack:201acbee638e40d2a5fe2c51725ed935:1:drug:vitality-tonic::item-state:provenance@1[source-character-id=0:qa:consumable-foreign:0006,species=0:qa:foreign-lease-isolation];failure=None;total=1;reserved=1;available=0
PASS	SUBSTANCE_SOURCE_LOSS_AI_OWNERSHIP_CLEAN	paths=0;reservations=0
PASS	SUBSTANCE_LEASE_INVALID_ROW_SETTLED	brain/action/meal/lease ownership idle
PASS	SUBSTANCE_LEASE_INVALID_AUTHORED	SubstanceUse
PASS	SUBSTANCE_LEASE_INVALID_FIXTURE	target=stack:64a4ec9de506420698734c3b17464f6c;foreign=lease:qa:consumable-foreign:0007:15
PASS	SUBSTANCE_LEASE_INVALID_RUNNING_LEASE	epoch=8;stack=stack:64a4ec9de506420698734c3b17464f6c;lease=lease:substance-use:owner:0000000000000008:16
PASS	SUBSTANCE_LEASE_INVALID_TYPED_FAILED	epoch=8;terminal=Failed;failure=DomainFailure
PASS	SUBSTANCE_LEASE_INVALID_FAILURE_ONCE	failures=6->7
PASS	SUBSTANCE_LEASE_INVALID_IMMEDIATE_REPLAN	replans=23->25
PASS	SUBSTANCE_LEASE_INVALID_TARGET_LEASE_CLEAN	lease:substance-use:owner:0000000000000008:16
