V27_SHIELD_AUTHORITATIVE_BASELINE_128
encounter:01 | h=1 | d=1 | a=1 | o=1 | c=1 | n=0 | r=0 | win=91.4 % | severe=19.2 % | low=20.1 % | failure=100.0 % | median=8.0 | meanHealth=60.3 % | enemyActions=319/694/619/112/64 | enemyRetries=0 | enemyRejected=0 | score=0.000000 | stalled=0
encounter:02 | h=1 | d=1 | a=1 | o=1 | c=1 | n=0 | r=8 | win=100.0 % | severe=0.0 % | low=0.0 % | failure=0.0 % | median=9.0 | meanHealth=96.5 % | enemyActions=128/768/896/256/0 | enemyRetries=0 | enemyRejected=0 | score=0.000000 | stalled=0
encounter:03 | h=1 | d=1 | a=1 | o=1 | c=1 | n=0 | r=6 | win=14.1 % | severe=50.0 % | low=52.8 % | failure=31.8 % | median=5.0 | meanHealth=65.2 % | enemyActions=189/435/0/151/0 | enemyRetries=0 | enemyRejected=0 | score=11532.302449 | stalled=0
encounter:04 | h=1 | d=1 | a=1 | o=1 | c=1 | n=0 | r=7 | win=12.5 % | severe=0.0 % | low=0.0 % | failure=30.8 % | median=8.0 | meanHealth=70.8 % | enemyActions=230/901/214/223/0 | enemyRetries=0 | enemyRejected=0 | score=12249.993046 | stalled=0
encounter:05 | h=1 | d=1 | a=1 | o=1 | c=1 | n=0 | r=8 | win=100.0 % | severe=11.3 % | low=5.9 % | failure=0.0 % | median=8.0 | meanHealth=72.1 % | enemyActions=604/1572/0/384/0 | enemyRetries=0 | enemyRejected=0 | score=0.000000 | stalled=0
encounter:06 | h=1 | d=1 | a=1 | o=1 | c=1 | n=0 | r=6 | win=51.6 % | severe=0.0 % | low=0.0 % | failure=99.2 % | median=1.0 | meanHealth=54.4 % | enemyActions=208/392/0/188/0 | enemyRetries=0 | enemyRejected=0 | score=107.666068 | stalled=0
encounter:07 | h=1 | d=1 | a=1 | o=1 | c=1 | n=0 | r=0 | win=86.7 % | severe=1.4 % | low=0.0 % | failure=100.0 % | median=9.0 | meanHealth=83.8 % | enemyActions=283/959/377/113/23 | enemyRetries=0 | enemyRejected=0 | score=0.000000 | stalled=0
encounter:08 | h=1 | d=1 | a=1 | o=1 | c=1 | n=0 | r=8 | win=100.0 % | severe=36.3 % | low=49.2 % | failure=0.0 % | median=9.0 | meanHealth=49.7 % | enemyActions=128/1408/128/384/0 | enemyRetries=0 | enemyRejected=0 | score=0.000000 | stalled=0
encounter:09 | h=1 | d=1 | a=1 | o=1 | c=1 | n=0 | r=7 | win=98.4 % | severe=9.5 % | low=7.1 % | failure=50.0 % | median=8.0 | meanHealth=84.8 % | enemyActions=264/702/233/330/6 | enemyRetries=0 | enemyRejected=0 | score=1510.849779 | stalled=0
encounter:10 | h=1 | d=1 | a=1 | o=1 | c=1 | n=0 | r=7 | win=10.2 % | severe=0.0 % | low=0.0 % | failure=14.3 % | median=8.0 | meanHealth=79.4 % | enemyActions=178/2042/57/574/0 | enemyRetries=0 | enemyRejected=0 | score=3035.217439 | stalled=0
encounter:11 | h=1 | d=1 | a=1 | o=1 | c=1 | n=0 | r=7 | win=78.1 % | severe=42.0 % | low=23.0 % | failure=100.0 % | median=7.0 | meanHealth=50.6 % | enemyActions=973/484/0/233/0 | enemyRetries=0 | enemyRejected=0 | score=8.814075 | stalled=0
