seed,arm,window,isRecovery,graceSeconds,looseStacks,looseQuantity,outsideContainment,persistent,immediateFailures,clutterCellSeconds,runtimeHeadroomPermille,runtimeErosionCells,runtimeErosionDetail
1,cleanRepeatA,0,false,30,41,110,0,0,0,0,312,0,
1,cleanRepeatA,1,false,30,41,110,0,0,0,0,312,0,
1,cleanRepeatA,2,false,30,41,110,0,0,0,0,312,0,
1,cleanRepeatA,3,false,30,41,110,0,0,0,0,312,0,
1,cleanRepeatA,4,true,30,41,110,0,0,0,0,312,0,
1,cleanRepeatB,0,false,30,41,110,0,0,0,0,312,0,
1,cleanRepeatB,1,false,30,41,110,0,0,0,0,312,0,
1,cleanRepeatB,2,false,30,41,110,0,0,0,0,312,0,
1,cleanRepeatB,3,false,30,41,110,0,0,0,0,312,0,
1,cleanRepeatB,4,true,30,41,110,0,0,0,0,312,0,
1,clutterStress,0,false,30,42,118,1,1,0,45,306,1,(29, 2):None
1,clutterStress,1,false,30,41,110,0,0,0,45,312,0,
1,clutterStress,2,false,30,41,110,0,0,0,0,312,0,
1,clutterStress,3,false,30,41,110,0,0,0,0,312,0,
1,clutterStress,4,true,30,41,110,0,0,0,0,312,0,
1,faultControl,0,false,30,42,118,1,1,0,45,306,1,(29, 2):None
1,faultControl,1,false,30,41,110,0,0,0,45,312,0,
1,faultControl,2,false,30,41,110,0,0,0,0,312,0,
1,faultControl,3,false,30,41,110,0,0,0,0,312,0,
1,faultControl,4,true,30,41,110,0,0,0,0,312,0,
2,cleanRepeatA,0,false,30,41,110,0,0,0,0,312,0,
2,cleanRepeatA,1,false,30,41,110,0,0,0,0,312,0,
2,cleanRepeatA,2,false,30,41,110,0,0,0,0,312,0,
2,cleanRepeatA,3,false,30,41,110,0,0,0,0,312,0,
2,cleanRepeatA,4,true,30,41,110,0,0,0,0,312,0,
2,cleanRepeatB,0,false,30,41,110,0,0,0,0,312,0,
2,cleanRepeatB,1,false,30,41,110,0,0,0,0,312,0,
2,cleanRepeatB,2,false,30,41,110,0,0,0,0,312,0,
2,cleanRepeatB,3,false,30,41,110,0,0,0,0,312,0,
2,cleanRepeatB,4,true,30,41,110,0,0,0,0,312,0,
2,clutterStress,0,false,30,42,112,0,0,0,0,312,0,
2,clutterStress,1,false,30,42,112,0,0,0,0,312,0,
2,clutterStress,2,false,30,42,112,0,0,0,0,312,0,
2,clutterStress,3,false,30,42,112,0,0,0,0,312,0,
