schemaVersion,bundleId,bundleDigest,anchorItemId,memberShape,cohort,authorityState,stableId,authorityMetric,before,candidate,percentDelta,sourceAuthority,sourcePropertyPath,exactFormula,dependencyFingerprint,sourceDigest,semanticHash,dependencyIds,rootFamilyIds,acquisitionDisposition,downstreamConsumerCount,riskFlags,recommendedDecision,recommendationReason,decision
v27.market-review.4,market-atomic:medicine:advanced,E6009161813E98ECEE2F143081ADA098C76DA2E145F015ED5FD61EB8F7545787,medicine:advanced,GPR,market-consumer,previous-applied,guest-request:emergency-surgery,authored-money-reward-gold,216,940,335.18518518518518518518518519,Assets/Resources/SO/V20/Society/Services/GuestRequests/guest-request_emergency-surgery.asset,successEffects.Array.data[0].amount,ceil(consumedItemInternalValue/(1-0.25)),fc4d6a1974548cfeba8b42df3cfcfca2b80ab0d0147455969f887575b69480df,1fcfbfe5cfee73615e8701b137c9ce8c9ffe84b28eef010c43000806155639d9,a8e22d73ffcfa80f85b68ad7b1b53cd8e79e2b4cdd2119b2f731b43223d02544,medicine:advanced,medicine:standard|resource:cave-mushroom|resource:mana-crystal|source:quarry,collapsed-inherited-only,11,acquisition-collapsed-inherited-only|delta-over-300pct|quarry-cascade,promote-candidate,"large sale-credit rebase reviewed: exact candidate remains within the 60% acquisition cap, causal authored work is applied, and external inflows are closed",pending-explicit-review
v27.market-review.4,market-atomic:resource:mana-crystal,5894350DE11D92A1C1F044F80EACE7AF5E9CE13BE4288E07FA59EEAF2BAA4A63,resource:mana-crystal,PRS,market-consumer,previous-applied,stock-category:stock:mana,authored-daily-unit-cost-gold,4.20074987411499,230.98495483398438,5398.6600429916830324605007339,Assets/Resources/SO/Content/GameDomainContentCatalog.asset,stockCategories.Array.data[7].dailyUnitCost,ceil(AcquisitionCostEWU*0.45) at final purchase settlement,38cb2a7d07f6e85a3ef60367fcfd237e3534f315f0ec54fc624a87f7477ead97,6eb37c220c6a0d81cd6dbb29adacf8ede963e53779987f0929b9eade6dd1d21f,f0fdd0792bbf2410a32e1d289e5d08f1e8feda47c2e94e31b42c60a54eabcb07,resource:mana-crystal,resource:mana-crystal|source:quarry,collapsed-inherited-only,18,acquisition-collapsed-inherited-only|delta-over-300pct|quarry-cascade,promote-candidate,"large sale-credit rebase reviewed: exact candidate remains within the 60% acquisition cap, causal authored work is applied, and external inflows are closed",pending-explicit-review
v27.market-review.4,market-atomic:ammo:blacksteel-bolt,7459BCC11D49D5CDA9F3449D873B16B516812F98CB28553BE3D5B00932D9A6B0,ammo:blacksteel-bolt,PR,price-dependency-review,previous-applied,ammo:blacksteel-bolt,authored-unit-price-gold,45,119,164.44444444444444444444444444,Assets/Resources/SO/Economy/Items/ResearchOverhaul/V3I132_흑강_볼트.asset,unitPrice,"max(1,ceil(AcquisitionCost/3000mEWU-per-gold))",a924f0275ea87a47e89d2a1b97c191ebd5e0de39a8c40d406504a9fff28a7d97,b21ba69d8d24ead3f6d18ea888283f57d05f11f95909ff398000eb89d29e12c4,ea476e956332b4d04973ea99fb4cb5eea358fa63480fb4d13f1dafbc2cc131d3,recipe:ammo:blacksteel-bolt,material:blacksteel-ingot|material:iron-ingot|material:lumber|material:steel-ingot|resource:iron-ore|resource:mana-crystal|source:quarry,warning,0,acquisition-warning|quarry-cascade,promote-candidate,"large sale-credit rebase reviewed: exact candidate remains within the 60% acquisition cap, causal authored work is applied, and external inflows are closed",pending-explicit-review
v27.market-review.4,market-atomic:ammo:mana-disruptor-bolt,FB787EEDCD61BC6C37640038BA884F1511156E6CEC40176DC763E70F7BE3E26F,ammo:mana-disruptor-bolt,PR,price-dependency-review,previous-applied,ammo:mana-disruptor-bolt,authored-unit-price-gold,31,63,103.22580645161290322580645161,Assets/Resources/SO/Economy/Items/ResearchOverhaul/V3I135_마나_차단_볼트.asset,unitPrice,"max(1,ceil(AcquisitionCost/3000mEWU-per-gold))",8ff02466fd302a83837752f15eb3eb436c616b0f8911d7fc3e23cd6e36472ac5,f9a741a73dab0884355f6909f660b956e83b502b2c30f5d24a0387065687f2ed,a6c85e8f87e16860af2f20427c3aec92cb9c6337b5d5a604854606e2b743bdf3,recipe:ammo:mana-disruptor-bolt,ammo:bolt-steel|material:iron-ingot|material:lumber|material:steel-ingot|resource:iron-ore|resource:mana-crystal|source:quarry,warning,0,acquisition-warning|quarry-cascade,promote-candidate,"large sale-credit rebase reviewed: exact candidate remains within the 60% acquisition cap, causal authored work is applied, and external inflows are closed",pending-explicit-review
v27.market-review.4,market-atomic:component:blacksteel-defense-plate,51405812655542EE814E56D0AA8DE4C664B7727C122300E7222C6FA471BCCAC9,component:blacksteel-defense-plate,PR,price-dependency-review,previous-applied,component:blacksteel-defense-plate,authored-unit-price-gold,217,653,200.92165898617511520737327189,Assets/Resources/SO/Economy/Items/ResearchOverhaul/V3I44_흑강_방어_장갑판.asset,unitPrice,"max(1,ceil(AcquisitionCost/3000mEWU-per-gold))",2c9886144d9c3fa8ec2432c9ffefccfeecde2cc85e5c582c8e76ad2196f2b663,377125a469003c72c63ebf364b4cbcff3e0364ca62e0326e8aa1e8f14074b322,ce846f97cf46ca5917b82b599de0429dc4daa898d859ffafb4c3034b041ee7f4,recipe:component:blacksteel-defense-plate,material:blacksteel-ingot|material:iron-ingot|material:lumber|material:steel-ingot|resource:iron-ore|resource:mana-crystal|source:quarry,warning,0,acquisition-warning|quarry-cascade,promote-candidate,"large sale-credit rebase reviewed: exact candidate remains within the 60% acquisition cap, causal authored work is applied, and external inflows are closed",pending-explicit-review
v27.market-review.4,market-atomic:component:dreamweave-rune-lining,229F74DEC064FA05D8E0AFA560D3BCD7840FA0A0E62787238FDC97C2C850C1E6,component:dreamweave-rune-lining,PR,price-dependency-review,previous-applied,component:dreamweave-rune-lining,authored-unit-price-gold,83,378,355.42168674698795180722891566,Assets/Resources/SO/Economy/Items/ResearchOverhaul/V3I46_몽직물_룬_안감.asset,unitPrice,"max(1,ceil(AcquisitionCost/3000mEWU-per-gold))",f5dbbff60b5d952f7cdbc7046c2405aac162f376b4d78ef487755a6245d468f0,4b6cdbcc8d3ba8abe3f5b67a382b3e1a4209d4f9754bdf1e396ad68b2f1023a7,4edcb0ead0694013f408ccfe2f2a8bf37b88a53967af42122770acd6744c8b4b,recipe:component:dreamweave-rune-lining,resource:mana-crystal|source:quarry,collapsed-inherited-only,0,acquisition-collapsed-inherited-only|delta-over-300pct|quarry-cascade,promote-candidate,"large sale-credit rebase reviewed: exact candidate remains within the 60% acquisition cap, causal authored work is applied, and external inflows are closed",pending-explicit-review
v27.market-review.4,market-atomic:component:golem-core-case,2F040774ABB0EA9268E65FC48C3D85C3FD5DF5F5898A28F54BDF1C2B5022CE44,component:golem-core-case,PR,price-dependency-review,previous-applied,component:golem-core-case,authored-unit-price-gold,93,476,411.82795698924731182795698925,Assets/Resources/SO/Economy/Items/ResearchOverhaul/V3I119_골렘_핵_케이스.asset,unitPrice,"max(1,ceil(AcquisitionCost/3000mEWU-per-gold))",b0cd7173b977689abdba08b363aa2828921de447176e9e166977d6b79f43c53c,770985770b6f4f98469deecd307dc898a8c7eef8786ae70e635cb6a87ffa382a,16af4c714bd5d69965d34c251f066c8039d78de722d4120203850ca4b4cd7ebf,recipe:component:golem-core-case,resource:mana-crystal|source:quarry,collapsed-inherited-only,0,acquisition-collapsed-inherited-only|delta-over-300pct|quarry-cascade,promote-candidate,"large sale-credit rebase reviewed: exact candidate remains within the 60% acquisition cap, causal authored work is applied, and external inflows are closed",pending-explicit-review
v27.market-review.4,market-atomic:component:insulated-wiring,BAC1824C28BCABBB226915F607DC639543BE4252D10502258BD3ED90E28A0EBB,component:insulated-wiring,PR,price-dependency-review,previous-applied,component:insulated-wiring,authored-unit-price-gold,34,93,173.52941176470588235294117647,Assets/Resources/SO/Economy/Items/ResearchOverhaul/V3I111_절연_배선_묶음.asset,unitPrice,"max(1,ceil(AcquisitionCost/3000mEWU-per-gold))",31bd072ae68f385b139349f6f1679b88be56e9465d1cf11ac9ee424c8e5bee04,2aedaddbb980934f376196ae1a579d4754c05f031590f38f7f075efcbfab4462,83fa5f8743fffe17199b5edaf397bab75ee5d3e840aa41dd75c2bf4b99611ee5,recipe:component:insulated-wiring,material:leather|resource:hide|source:quarry,warning,0,acquisition-warning|quarry-cascade,promote-candidate,"large sale-credit rebase reviewed: exact candidate remains within the 60% acquisition cap, causal authored work is applied, and external inflows are closed",pending-explicit-review
v27.market-review.4,market-atomic:component:rune-bus-coupler,C7B2C096325A272E41F0877A3035D984C0849D5F7986F90B35AAF51956569461,component:rune-bus-coupler,PR,price-dependency-review,previous-applied,component:rune-bus-coupler,authored-unit-price-gold,96,509,430.20833333333333333333333333,Assets/Resources/SO/Economy/Items/ResearchOverhaul/V3I35_룬_버스_결합기.asset,unitPrice,"max(1,ceil(AcquisitionCost/3000mEWU-per-gold))",5adef3ab12cd1dd75c00f08f664e520c31ea987838c5cf7fff6123ace39faaa3,cb2871184ea93965a644ecf24416d6335c268f4f1298b23989f291bf947d226d,48b0b3d2132ed2e29779ebe0c438ecc6386ee1750c0202690afd82db06d29afa,recipe:component:rune-bus-coupler,resource:mana-crystal|source:quarry,collapsed-inherited-only,0,acquisition-collapsed-inherited-only|delta-over-300pct|quarry-cascade,promote-candidate,"large sale-credit rebase reviewed: exact candidate remains within the 60% acquisition cap, causal authored work is applied, and external inflows are closed",pending-explicit-review
v27.market-review.4,market-atomic:component:rune-conductor,7AEB361A386DA9705B0444BB749987EE251BD21D9BD340FDDC05E3AB8A3DAE52,component:rune-conductor,PR,price-dependency-review,previous-applied,component:rune-conductor,authored-unit-price-gold,56,345,516.07142857142857142857142857,Assets/Resources/SO/Economy/Items/ResearchOverhaul/V3I11_룬_도체.asset,unitPrice,"max(1,ceil(AcquisitionCost/3000mEWU-per-gold))",98528454a3226baf0c0c0a6d9624db0de7e1f5d5713fcf30b27f35ddef3d2ea9,649245883b7e01bb11cb9cff280b761fd536020c1f8b1588ae00eae2f0b23e5b,d252f0cfa0dc2e404bd6dfd9926f77d70b2411bb69f54e9ed8b0b907a3d91b39,recipe:component:rune-conductor,resource:mana-crystal|source:quarry,collapsed-inherited-only,10,acquisition-collapsed-inherited-only|delta-over-300pct|quarry-cascade,promote-candidate,"large sale-credit rebase reviewed: exact candidate remains within the 60% acquisition cap, causal authored work is applied, and external inflows are closed",pending-explicit-review
v27.market-review.4,market-atomic:component:rune-control-panel,8FC96F25DCBD3255D5AB04108E2AEF873AFDB5F431B8CE091B927F32D2CA7FD4,component:rune-control-panel,PR,price-dependency-review,previous-applied,component:rune-control-panel,authored-unit-price-gold,262,667,154.58015267175572519083969466,Assets/Resources/SO/Economy/Items/ResearchOverhaul/V3I34_룬_제어반.asset,unitPrice,"max(1,ceil(AcquisitionCost/3000mEWU-per-gold))",75e32d8bebfc9a15cc21a872f95414ce0d2c426e0c10d76142ebeb02ec0c438e,bfdf801a213766f78c7b4551e9c6d0bf3856a89dff0a928cf3e9014aa6ba4044,4e8d1b9ad613b268fa8ec59966d5fe4628a8d45af0f11ec6bc3722f765670599,recipe:component:rune-control-panel,material:iron-ingot|material:steel-ingot|resource:iron-ore|resource:mana-crystal|source:quarry,warning,0,acquisition-warning|quarry-cascade,promote-candidate,"large sale-credit rebase reviewed: exact candidate remains within the 60% acquisition cap, causal authored work is applied, and external inflows are closed",pending-explicit-review
v27.market-review.4,market-atomic:component:rune-leather-lining,AE12F3D4F2B17835CD6351E16F6FB0E4B6E51F6C33ACB21B73C87574C9DD69E4,component:rune-leather-lining,PR,price-dependency-review,previous-applied,component:rune-leather-lining,authored-unit-price-gold,49,234,377.55102040816326530612244898,Assets/Resources/SO/Economy/Items/ResearchOverhaul/V3I48_룬가죽_장비_안감.asset,unitPrice,"max(1,ceil(AcquisitionCost/3000mEWU-per-gold))",36067cf9d4da1d84a60f7265d02ea7441269514cb57f26a85a8a27f470d53dc7,535746c43c630062c393f88d5895b365293582a262af384a133ee224daad156b,5854c71ea57ff276fa55096ac60590aa76d3a7bb19922939a85bf660c1cc13ae,recipe:component:rune-leather-lining,material:leather|resource:hide|resource:mana-crystal|source:quarry,collapsed-inherited-only,0,acquisition-collapsed-inherited-only|delta-over-300pct|quarry-cascade,promote-candidate,"large sale-credit rebase reviewed: exact candidate remains within the 60% acquisition cap, causal authored work is applied, and external inflows are closed",pending-explicit-review
v27.market-review.4,market-atomic:component:rune-leather-strap,4BF2A72A8F60B9E3FF8624D80D0FB78F3C1CB9721F477DAB494B93B3312CFC6B,component:rune-leather-strap,PR,price-dependency-review,previous-applied,component:rune-leather-strap,authored-unit-price-gold,106,587,453.77358490566037735849056604,Assets/Resources/SO/Economy/Items/ResearchOverhaul/V3I49_룬가죽_조율_끈.asset,unitPrice,"max(1,ceil(AcquisitionCost/3000mEWU-per-gold))",bc5fa1cd8f5f58e4a3a9b80870df7f564d7200e134bfbb00344ffc58c4128791,4d5e6781e316dfaf76b5709f37b980b925061e4eee4b40f0e149b77e3c519481,864e826f85d8c1c57898d5240dbb9af2e2142c18605a2cd13456a27750f17b95,recipe:component:rune-leather-strap,material:leather|resource:hide|resource:mana-crystal|source:quarry,collapsed-inherited-only,0,acquisition-collapsed-inherited-only|delta-over-300pct|quarry-cascade,promote-candidate,"large sale-credit rebase reviewed: exact candidate remains within the 60% acquisition cap, causal authored work is applied, and external inflows are closed",pending-explicit-review
v27.market-review.4,market-atomic:component:rune-purification-crystal,4F0416215853C1C2543AED18D53E377A3C9583D5435D0B43624350E81CD76CB4,component:rune-purification-crystal,PR,price-dependency-review,previous-applied,component:rune-purification-crystal,authored-unit-price-gold,88,429,387.5,Assets/Resources/SO/Economy/Items/ResearchOverhaul/V3I114_룬_정화_결정.asset,unitPrice,"max(1,ceil(AcquisitionCost/3000mEWU-per-gold))",e3ffd45169a393e56888e69bc616a7c1b11eb724d92eebda9e205d218aef6727,bd5c64b1cd683855d6b5316977f91d07f0ad352b0a0bf638a85fa19344ae96de,547a139722d1a9351a18a1c1f2547266aa37cf32781e4a77af0ad898d20bd5c3,recipe:component:rune-purification-crystal,material:iron-ingot|material:steel-ingot|resource:iron-ore|resource:mana-crystal|source:quarry,collapsed-inherited-only,0,acquisition-collapsed-inherited-only|delta-over-300pct|quarry-cascade,promote-candidate,"large sale-credit rebase reviewed: exact candidate remains within the 60% acquisition cap, causal authored work is applied, and external inflows are closed",pending-explicit-review
v27.market-review.4,market-atomic:component:rune-tuning-shield,4085C304EC088FF7786D5E566C96A433EAC4C384C8FF27F0496F21DC302F94F6,component:rune-tuning-shield,PR,price-dependency-review,previous-applied,component:rune-tuning-shield,authored-unit-price-gold,126,421,234.12698412698412698412698413,Assets/Resources/SO/Economy/Items/ResearchOverhaul/V3I32_룬_조율_차폐판.asset,unitPrice,"max(1,ceil(AcquisitionCost/3000mEWU-per-gold))",a42fd4bc89860ef02a28bccd7515341a25aaf0816abfbe98538c2de9576ea865,ae6f7c9baed2a0889dea13d6d9419a74e3c7c697f55eecc37dbb946e21c09276,00ec0a8835c2e59ae55a295a080b91e7ddb59f2a6e40e3e5a523285b0c44aad0,recipe:component:rune-tuning-shield,resource:mana-crystal|source:quarry,warning,0,acquisition-warning|quarry-cascade,promote-candidate,"large sale-credit rebase reviewed: exact candidate remains within the 60% acquisition cap, causal authored work is applied, and external inflows are closed",pending-explicit-review
v27.market-review.4,market-atomic:component:temporal-stasis-seal,364F5224607B64B8C8E80062DC239F24E58BC7397F0166D4ACA922644E2054D5,component:temporal-stasis-seal,PR,price-dependency-review,previous-applied,component:temporal-stasis-seal,authored-unit-price-gold,563,1715,204.61811722912966252220248668,Assets/Resources/SO/Economy/Items/ResearchOverhaul/V3I55_시간_고정_인장.asset,unitPrice,"max(1,ceil(AcquisitionCost/3000mEWU-per-gold))",1a464cc6708d53c3e358aa3e1fabb4d8d1d1658aff57696595de2a6f6d551c79,a6d964b4fc6997d733c75d44cfcc62c107b7a3b84cc12ab1979737c38a88f300,28f3cb6b8a1a301e8f18541e386f7525b908b7158f8554c431acce8a92072940,recipe:component:temporal-stasis-seal,material:iron-ingot|material:steel-ingot|resource:iron-ore|resource:mana-crystal|source:quarry,warning,0,acquisition-warning|quarry-cascade,promote-candidate,"large sale-credit rebase reviewed: exact candidate remains within the 60% acquisition cap, causal authored work is applied, and external inflows are closed",pending-explicit-review
v27.market-review.4,market-atomic:craft:dreamweave-ritual-banner,8129E598C29BF8522CF1EDC1BB70332F1233204C93D7881EFE91FF7C55DC055D,craft:dreamweave-ritual-banner,PR,price-dependency-review,previous-applied,craft:dreamweave-ritual-banner,authored-unit-price-gold,56,174,210.71428571428571428571428571,Assets/Resources/SO/Economy/Items/ResearchOverhaul/V3I47_몽직물_의식_장식.asset,unitPrice,"max(1,ceil(AcquisitionCost/3000mEWU-per-gold))",abfb93a7de3244040d8299a911812654529983edeccd73a3fbb2784ee7f0e0d9,6cfec1828c47e03083082192752de9a465c95ba45d146fb566eb64df7a48fb07,052ec1d7034d3a3501c4f2ed0e8a84f520009af5d216bf14f035604fdc4e7757,recipe:craft:dreamweave-ritual-banner,source:quarry,warning,0,acquisition-warning|quarry-cascade,promote-candidate,"large sale-credit rebase reviewed: exact candidate remains within the 60% acquisition cap, causal authored work is applied, and external inflows are closed",pending-explicit-review
