seed,arm,window,travelMilliWu,waitMilliWu,dispatchWaitMilliWu,reservationWaitMilliWu,facilityAccessWaitMilliWu,noPathMilliWu,burstDeliveredQuantity,burstOutstandingQuantity,burstQuantityConserved,replanCount,stepAsideCount,clutterCellSeconds,semanticStateHash,randomStateHash,exogenousEventHash
1,cleanRepeatA,0,17493,0,0,0,0,0,0,0,true,21,0,0,257838521d31220dcca35b4fa20fc4bf5b1f34ae01182b182beac6b056563220,9ba9eb8fefd18064f17f7a7dc82e3af14dfb25b5704ee1abf2785f6b6fc171bd,clean:1:none
1,cleanRepeatA,1,19992,0,0,0,0,0,0,0,true,24,0,0,ff72c40df1c58d4e4e61c6ff79c7f63a07252bf0846a268e782810c11f3d6762,a9c17d48a4adfa641d6a491bea1f589698b021d71d3c1138b1fb2eb9cece4c18,clean:1:none
1,cleanRepeatA,2,17493,0,0,0,0,0,0,0,true,21,0,0,a90ab104cf3e7a98c93deac4a0b39dbf3a08a04eddc3e266a0de83d4f4f4cdfe,45ebedecf4dfbb98cabe92b5f6acb35e3c3180890c3bcd0919d87165c5ca1c45,clean:1:none
1,cleanRepeatA,3,19992,0,0,0,0,0,0,0,true,24,0,0,55ab5651bb4991be4c28ef1ff968207c953831213bc64546941c41801c8be66f,a415d1daabd721c13608b488716867a44c57af85095f46024c80c6f3b585e101,clean:1:none
1,cleanRepeatB,0,17493,0,0,0,0,0,0,0,true,21,0,0,257838521d31220dcca35b4fa20fc4bf5b1f34ae01182b182beac6b056563220,9ba9eb8fefd18064f17f7a7dc82e3af14dfb25b5704ee1abf2785f6b6fc171bd,clean:1:none
1,cleanRepeatB,1,19992,0,0,0,0,0,0,0,true,24,0,0,ff72c40df1c58d4e4e61c6ff79c7f63a07252bf0846a268e782810c11f3d6762,a9c17d48a4adfa641d6a491bea1f589698b021d71d3c1138b1fb2eb9cece4c18,clean:1:none
1,cleanRepeatB,2,17493,0,0,0,0,0,0,0,true,21,0,0,a90ab104cf3e7a98c93deac4a0b39dbf3a08a04eddc3e266a0de83d4f4f4cdfe,45ebedecf4dfbb98cabe92b5f6acb35e3c3180890c3bcd0919d87165c5ca1c45,clean:1:none
1,cleanRepeatB,3,19992,0,0,0,0,0,0,0,true,24,0,0,55ab5651bb4991be4c28ef1ff968207c953831213bc64546941c41801c8be66f,a415d1daabd721c13608b488716867a44c57af85095f46024c80c6f3b585e101,clean:1:none
1,clutterStress,0,11662,12495,12495,0,0,0,0,8,true,67,0,0,d2761e0443cc271f1a8d37bd9d4250dbf667054ab38a87459e1ecf7e516a1991,ae15517af85b3aa81ab22806bd797abd633028339c3fbf27fa1cd4b98e14fd41,e9e414d8206787db21da54fcefaa71ad8e08958176a535b544db115f46d5c924
1,clutterStress,1,13328,12495,12495,0,0,0,0,8,true,16,0,0,73b9c5544e31d146f4c44cc06f6d91c6f2d591a279fd1f03ca80a4111c3b3da4,ad66f6ff04311e91642a7eb313ac21c5631e7f8aed697db00e297ba9fc7a02e4,e9e414d8206787db21da54fcefaa71ad8e08958176a535b544db115f46d5c924
1,clutterStress,2,11662,12495,12495,0,0,0,0,8,true,14,0,0,48a758380c821d7e743abb58de3d36ed84f9c24e40106d1ca62c919b4a93ab28,1cdc3fcaad037ac1ab1525184f7fea18908b1d41ac2cc81a90437fbce5c0c0a7,e9e414d8206787db21da54fcefaa71ad8e08958176a535b544db115f46d5c924
