population,width,seed,succeeded,failureCode,solverMode,usedCells,exclusiveCells,rawAccessCells,sharedAccessCells,headroomPermille,accessOverlapSavings,peakNormalUtilizationPermille,peakFaultUtilizationPermille,normalStorageUtilizationPermille,faultStorageUtilizationPermille,storageCapacityGrams,normalStockMassGrams,faultStockMassGrams,placedFacilities,overflowCells
1,27,1,true,,greedy,21,9,16,9,740,7,22,33,644,839,25000,16100,46100,8,1
1,27,2,true,,greedy,21,9,16,9,740,7,22,33,644,839,25000,16100,46100,8,1
1,27,3,true,,greedy,21,9,16,9,740,7,26,33,644,839,25000,16100,46100,8,1
1,27,4,true,,greedy,21,9,16,9,740,7,25,35,644,839,25000,16100,46100,8,1
1,27,5,true,,greedy,21,9,16,9,740,7,21,28,644,839,25000,16100,46100,8,1
1,27,6,true,,greedy,21,9,16,9,740,7,25,35,644,839,25000,16100,46100,8,1
1,27,7,true,,greedy,21,9,16,9,740,7,22,32,644,839,25000,16100,46100,8,1
1,27,8,true,,greedy,21,9,16,9,740,7,22,33,644,839,25000,16100,46100,8,1
1,27,9,true,,greedy,21,9,16,9,740,7,26,33,644,839,25000,16100,46100,8,1
1,27,10,true,,greedy,21,9,16,9,740,7,26,33,644,839,25000,16100,46100,8,1
1,27,11,true,,greedy,21,9,16,9,740,7,26,33,644,839,25000,16100,46100,8,1
1,27,12,true,,greedy,21,9,16,9,740,7,22,33,644,839,25000,16100,46100,8,1
1,27,13,true,,greedy,21,9,16,9,740,7,25,35,644,839,25000,16100,46100,8,1
1,27,14,true,,greedy,21,9,16,9,740,7,22,33,644,839,25000,16100,46100,8,1
1,27,15,true,,greedy,21,9,16,9,740,7,26,33,644,839,25000,16100,46100,8,1
1,27,16,true,,greedy,21,9,16,9,740,7,18,25,644,839,25000,16100,46100,8,1
1,27,17,true,,greedy,21,9,16,9,740,7,26,33,644,839,25000,16100,46100,8,1
1,27,18,true,,greedy,21,9,16,9,740,7,26,35,644,839,25000,16100,46100,8,1
1,27,19,true,,greedy,21,9,16,9,740,7,25,35,644,839,25000,16100,46100,8,1
1,27,20,true,,greedy,21,9,16,9,740,7,25,35,644,839,25000,16100,46100,8,1
1,27,21,true,,greedy,21,9,16,9,740,7,22,33,644,839,25000,16100,46100,8,1
1,27,22,true,,greedy,21,9,16,9,740,7,25,35,644,839,25000,16100,46100,8,1
1,27,23,true,,greedy,21,9,16,9,740,7,25,35,644,839,25000,16100,46100,8,1
1,27,24,true,,greedy,21,9,16,9,740,7,25,35,644,839,25000,16100,46100,8,1
1,27,25,true,,greedy,21,9,16,9,740,7,25,35,644,839,25000,16100,46100,8,1
1,27,26,true,,greedy,21,9,16,9,740,7,22,32,644,839,25000,16100,46100,8,1
1,27,27,true,,greedy,21,9,16,9,740,7,22,32,644,839,25000,16100,46100,8,1
1,27,28,true,,greedy,21,9,16,9,740,7,21,26,644,839,25000,16100,46100,8,1
1,27,29,true,,greedy,21,9,16,9,740,7,26,33,644,839,25000,16100,46100,8,1
1,27,30,true,,greedy,21,9,16,9,740,7,22,33,644,839,25000,16100,46100,8,1
1,27,31,true,,greedy,21,9,16,9,740,7,26,33,644,839,25000,16100,46100,8,1
1,27,32,true,,greedy,21,9,16,9,740,7,25,35,644,839,25000,16100,46100,8,1
1,27,33,true,,greedy,21,9,16,9,740,7,25,35,644,839,25000,16100,46100,8,1
1,27,34,true,,greedy,21,9,16,9,740,7,18,26,644,839,25000,16100,46100,8,1
1,27,35,true,,greedy,21,9,16,9,740,7,25,35,644,839,25000,16100,46100,8,1
1,27,36,true,,greedy,21,9,16,9,740,7,22,33,644,839,25000,16100,46100,8,1
1,27,37,true,,greedy,21,9,16,9,740,7,22,32,644,839,25000,16100,46100,8,1
1,27,38,true,,greedy,21,9,16,9,740,7,26,33,644,839,25000,16100,46100,8,1
1,27,39,true,,greedy,21,9,16,9,740,7,25,35,644,839,25000,16100,46100,8,1
1,27,40,true,,greedy,21,9,16,9,740,7,18,25,644,839,25000,16100,46100,8,1
1,27,41,true,,greedy,21,9,16,9,740,7,22,32,644,839,25000,16100,46100,8,1
1,27,42,true,,greedy,21,9,16,9,740,7,22,33,644,839,25000,16100,46100,8,1
1,27,43,true,,greedy,21,9,16,9,740,7,22,32,644,839,25000,16100,46100,8,1
1,27,44,true,,greedy,21,9,16,9,740,7,22,32,644,839,25000,16100,46100,8,1
1,27,45,true,,greedy,21,9,16,9,740,7,26,33,644,839,25000,16100,46100,8,1
1,27,46,true,,greedy,21,9,16,9,740,7,25,35,644,839,25000,16100,46100,8,1
1,27,47,true,,greedy,21,9,16,9,740,7,25,35,644,839,25000,16100,46100,8,1
1,27,48,true,,greedy,21,9,16,9,740,7,18,25,644,839,25000,16100,46100,8,1
1,27,49,true,,greedy,21,9,16,9,740,7,22,33,644,839,25000,16100,46100,8,1
1,27,50,true,,greedy,21,9,16,9,740,7,26,33,644,839,25000,16100,46100,8,1
1,27,51,true,,greedy,21,9,16,9,740,7,22,33,644,839,25000,16100,46100,8,1
1,27,52,true,,greedy,21,9,16,9,740,7,22,32,644,839,25000,16100,46100,8,1
1,27,53,true,,greedy,21,9,16,9,740,7,22,33,644,839,25000,16100,46100,8,1
1,27,54,true,,greedy,21,9,16,9,740,7,25,35,644,839,25000,16100,46100,8,1
1,27,55,true,,greedy,21,9,16,9,740,7,22,33,644,839,25000,16100,46100,8,1
