schemaVersion,recipeId,authoredOutputOrdinal,itemId,amount,probability,authoredOutputLineId,authoredRole,proposedOutputLineId,proposedRole,proposalReason,proposalDisposition,sourceAuthority,sourceDigest
v27.production.output-line-backfill.1,recipe:advanced-medicine,0,medicine:advanced,1,1,,Main,output:recipe:advanced-medicine/000/main/medicine:advanced,Main,missing-output-line-id; rule=authored-ordinal-zero-main; item=medicine:advanced,backfill-proposal-ready,Assets/Resources/SO/Economy/Recipes/recipe_advanced_medicine.asset,2ed51e92c88a4395d84c53bf721abcfd383452ab658b12ed674029b757855552
v27.production.output-line-backfill.1,recipe:alcohol,0,material:alcohol,2,1,,Main,output:recipe:alcohol/000/main/material:alcohol,Main,missing-output-line-id; rule=authored-ordinal-zero-main; item=material:alcohol,backfill-proposal-ready,Assets/Resources/SO/Economy/Recipes/recipe_alcohol.asset,caba855ca166cd4cb5bdc4a38fec1350bbd6d1d4bf61daf281810c3fbc0d8e13
v27.production.output-line-backfill.1,recipe:ammo:armor-piercing-cartridge,0,ammo:armor-piercing-cartridge,6,1,,Main,output:recipe:ammo:armor-piercing-cartridge/000/main/ammo:armor-piercing-cartridge,Main,missing-output-line-id; rule=authored-ordinal-zero-main; item=ammo:armor-piercing-cartridge,backfill-proposal-ready,Assets/Resources/SO/Economy/Recipes/ResearchOverhaul/V3R129_철갑_탄약.asset,11c269243ecb79a78f85ac0486e593be526f26d457f02f121d3d01b60018c537
v27.production.output-line-backfill.1,recipe:ammo:blacksteel-bolt,0,ammo:blacksteel-bolt,6,1,,Main,output:recipe:ammo:blacksteel-bolt/000/main/ammo:blacksteel-bolt,Main,missing-output-line-id; rule=authored-ordinal-zero-main; item=ammo:blacksteel-bolt,backfill-proposal-ready,Assets/Resources/SO/Economy/Recipes/ResearchOverhaul/V3R132_흑강_볼트.asset,5883444023d13b952a9ca9c6e328a995049dc3f1bcc2b08e4a129a5a39a32b84
v27.production.output-line-backfill.1,recipe:ammo:blasting-charge,0,ammo:blasting-charge,2,1,,Main,output:recipe:ammo:blasting-charge/000/main/ammo:blasting-charge,Main,missing-output-line-id; rule=authored-ordinal-zero-main; item=ammo:blasting-charge,backfill-proposal-ready,Assets/Resources/SO/Economy/Recipes/ResearchOverhaul/V3R20_발파_장약.asset,c71ea26390b4a9024f0c5e1762edf10e513213bbe2293ec4254425438ab34829
v27.production.output-line-backfill.1,recipe:ammo:incendiary-arrow,0,ammo:incendiary-arrow,6,1,,Main,output:recipe:ammo:incendiary-arrow/000/main/ammo:incendiary-arrow,Main,missing-output-line-id; rule=authored-ordinal-zero-main; item=ammo:incendiary-arrow,backfill-proposal-ready,Assets/Resources/SO/Economy/Recipes/ResearchOverhaul/V3R126_소이_화살.asset,3271b88f30063b7171c5fb828f8de73204378707f7394680923ba85b069ca856
v27.production.output-line-backfill.1,recipe:ammo:incendiary-bolt,0,ammo:incendiary-bolt,6,1,,Main,output:recipe:ammo:incendiary-bolt/000/main/ammo:incendiary-bolt,Main,missing-output-line-id; rule=authored-ordinal-zero-main; item=ammo:incendiary-bolt,backfill-proposal-ready,Assets/Resources/SO/Economy/Recipes/ResearchOverhaul/V3R127_소이_볼트.asset,139b93588015cdb1bb649df0be1f9f213d4486defa4f91471ccd160d1232426e
v27.production.output-line-backfill.1,recipe:ammo:mana-disruptor-bolt,0,ammo:mana-disruptor-bolt,6,1,,Main,output:recipe:ammo:mana-disruptor-bolt/000/main/ammo:mana-disruptor-bolt,Main,missing-output-line-id; rule=authored-ordinal-zero-main; item=ammo:mana-disruptor-bolt,backfill-proposal-ready,Assets/Resources/SO/Economy/Recipes/ResearchOverhaul/V3R135_마나_차단_볼트.asset,3d0a4f8976520048ae343a3c903cc94f7efc67404f206899ec01b0c98925d14a
v27.production.output-line-backfill.1,recipe:ammo:paper-cartridge,0,ammo:paper-cartridge,12,1,,Main,output:recipe:ammo:paper-cartridge/000/main/ammo:paper-cartridge,Main,missing-output-line-id; rule=authored-ordinal-zero-main; item=ammo:paper-cartridge,backfill-proposal-ready,Assets/Resources/SO/Economy/Recipes/ResearchOverhaul/V3R23_종이_탄약통.asset,b2c9a032966bc365d10a153aa78d141e0605a8fbb890180602e1daf3b4ef1695
v27.production.output-line-backfill.1,recipe:ammo:rune-cartridge,0,ammo:rune-cartridge,6,1,,Main,output:recipe:ammo:rune-cartridge/000/main/ammo:rune-cartridge,Main,missing-output-line-id; rule=authored-ordinal-zero-main; item=ammo:rune-cartridge,backfill-proposal-ready,Assets/Resources/SO/Economy/Recipes/ResearchOverhaul/V3R133_룬_탄약통.asset,845da74a8a2888f7c94a2e83cd6b73f0c67de39e20645a522a2ed91f26f638cd
v27.production.output-line-backfill.1,recipe:ammo:scatter-cartridge,0,ammo:scatter-cartridge,6,1,,Main,output:recipe:ammo:scatter-cartridge/000/main/ammo:scatter-cartridge,Main,missing-output-line-id; rule=authored-ordinal-zero-main; item=ammo:scatter-cartridge,backfill-proposal-ready,Assets/Resources/SO/Economy/Recipes/ResearchOverhaul/V3R130_산탄_탄약.asset,b23585f94f19f4b746a5820ffe2a69138ce3220c77e01155e0624825a23e650a
v27.production.output-line-backfill.1,recipe:ammo:signal-flare,0,ammo:signal-flare,4,1,,Main,output:recipe:ammo:signal-flare/000/main/ammo:signal-flare,Main,missing-output-line-id; rule=authored-ordinal-zero-main; item=ammo:signal-flare,backfill-proposal-ready,Assets/Resources/SO/Economy/Recipes/ResearchOverhaul/V3R131_신호탄.asset,8b713e5f35745adc2433cdb4eec337ac030bbe80a4663e3c3f91bad718d0a6e7
v27.production.output-line-backfill.1,recipe:ammo:smoke-cartridge,0,ammo:smoke-cartridge,6,1,,Main,output:recipe:ammo:smoke-cartridge/000/main/ammo:smoke-cartridge,Main,missing-output-line-id; rule=authored-ordinal-zero-main; item=ammo:smoke-cartridge,backfill-proposal-ready,Assets/Resources/SO/Economy/Recipes/ResearchOverhaul/V3R128_연막_탄약.asset,691fb1bb398e4c599a79268bfe18771237e2375b925660de89aed12abbecf676
