schemaVersion,batch,rowId,requiredEvidence,structuralStatus,productionCallsite,productionProbe,focusedFixture,focusedProbe,reviewStatus,evidenceToken,runtimeExecution,sourceDigest
3,G,active-replan,carried-custody>retarget>lease-intent-preserved,PASS:production-and-focused-fixture-linked,Assets/Scripts/Services/Items/AbilityHaul.cs,StopHaulingForReplan|ReleaseUnpickedAndRetainCarriedForReplan,Assets/Scripts/Services/Character/AI/Editor/CharacterAiCrossActionFaultPlayModeVerifier.cs,HAUL_ACTIVE_REPLAN_RETAINS_CARRIED=PASS,PASS:current-source-integrated-evidence,haullifecyclerecovery:2bb033971f9033a044681c045e639e48fac124e89bf42d268a163d0da133ce5b:ABILITY_HAUL_ACTIVE_REPLAN_EXACT_OWNERSHIP=PASS,CURRENT_SOURCE_PASS,88f0620147ab08da31a2574351a36e335f3bb11438e57fab58dfeae7cb67030a
3,G,carried-cancel,carried-custody>physical-recovery>exact-release,PASS:production-and-focused-fixture-linked,Assets/Scripts/Services/Items/AbilityHaul.cs,public bool TryStopHauling(|TryReturnCarriedItemsAfterInterruptedHaul,Assets/Scripts/Services/Items/Editor/PhysicalItemLogisticsPlayModeVerifier.cs,PRODUCTION_INPUT_BUFFER_PICKUP_CANCEL_PHYSICAL_RECOVERY|PRODUCTION_INPUT_BUFFER_CANCEL_SAVE_RESTORE_NO_ORPHAN,PASS:current-source-integrated-evidence,haullifecyclerecovery:2bb033971f9033a044681c045e639e48fac124e89bf42d268a163d0da133ce5b:ABILITY_HAUL_CARRIED_CANCEL_CURRENT_CELL_RECOVERY=PASS|ABILITY_HAUL_CARRIED_CANCEL_AUTHORITY_RELEASED=PASS|ABILITY_HAUL_CARRIED_CANCEL_CURRENT_FORMAT_RESTORE_EXACT=PASS,CURRENT_SOURCE_PASS,88f0620147ab08da31a2574351a36e335f3bb11438e57fab58dfeae7cb67030a
3,G,clean-ab-rng-causal-cone,clean-repeatability>keyed-events>rng-isolation,PASS:production-and-focused-fixture-linked,Assets/Scripts/Services/Foundation/Random/RandomStreamProvider.cs,IRandomStreamDiagnosticsQuery|Global character random stream,Assets/Scripts/Services/Economy/Editor/V27PairedClutterPlayModeVerifier.cs,PAIRED_RUN_CLEAN_REPEATABILITY_EXACT|PAIRED_RUN_EXOGENOUS_EVENTS_EXACT|RNG_CROSS_TALK,PASS:current-source-integrated-evidence,pairedclutter:17d5dfc7f4ba6346427a4d5aa73225fe76dbd199a43ed87de21dc91779ec86d6:PAIRED_RUN_CLEAN_REPEATABILITY_EXACT|PAIRED_RUN_EXOGENOUS_EVENTS_EXACT|RNG_CAUSAL_CONE_NO_CROSS_TALK,CURRENT_SOURCE_PASS,88f0620147ab08da31a2574351a36e335f3bb11438e57fab58dfeae7cb67030a
3,G,component-disable,carried-custody>recovery-pending>restore,PASS:production-and-focused-fixture-linked,Assets/Scripts/Services/Items/AbilityHaul.cs,"private void OnDisable()|StopHauling(""disabled"")",Assets/Scripts/Services/Items/Editor/RestoredCarrySubsetReleaseDebugScenarios.cs,ABILITY_HAUL_COMPONENT_DISABLE_CURRENT_CELL_RECOVERY=PASS|ABILITY_HAUL_COMPONENT_DISABLE_AUTHORITY_RELEASED=PASS|ABILITY_HAUL_COMPONENT_DISABLE_CURRENT_FORMAT_RESTORE_EXACT=PASS,PASS:current-source-integrated-evidence,haullifecyclerecovery:2bb033971f9033a044681c045e639e48fac124e89bf42d268a163d0da133ce5b:ABILITY_HAUL_COMPONENT_DISABLE_CURRENT_CELL_RECOVERY=PASS|ABILITY_HAUL_COMPONENT_DISABLE_AUTHORITY_RELEASED=PASS|ABILITY_HAUL_COMPONENT_DISABLE_CURRENT_FORMAT_RESTORE_EXACT=PASS,CURRENT_SOURCE_PASS,88f0620147ab08da31a2574351a36e335f3bb11438e57fab58dfeae7cb67030a
3,G,dead,carried-custody>current-cell-drop>restore,PASS:production-and-focused-fixture-linked,Assets/Scripts/Services/Items/AbilityHaul.cs,WorldItemCarryInterruptionKind.Dead|TransientRecoveryDeadlineSeconds,Assets/Scripts/Services/Character/AI/Editor/CharacterAiCrossActionFaultPlayModeVerifier.cs,HAUL_DEAD_CURRENT_CELL_TRANSIENT_DROP=PASS|HAUL_DEAD_QUANTITY_NO_TELEPORT=PASS|HAUL_DEAD_CURRENT_FORMAT_RESTORE_EXACT=PASS,PASS:current-source-integrated-evidence,crossactionfault:945baf6bb5ccf1470691bf3045d1d405590ffb06cad802cc71104308ffc83907:HAUL_DEAD_CURRENT_CELL_TRANSIENT_DROP=PASS|HAUL_DEAD_QUANTITY_NO_TELEPORT=PASS|HAUL_DEAD_CURRENT_FORMAT_RESTORE_EXACT=PASS,CURRENT_SOURCE_PASS,88f0620147ab08da31a2574351a36e335f3bb11438e57fab58dfeae7cb67030a
3,G,destination-revision-drift,admission-reject>replan>no-loss,PASS:production-and-focused-fixture-linked,Assets/Scripts/Services/Items/WorldItemWarehouseService.cs,CapacityRevision|WarehouseCapacityRevision,Assets/Scripts/Services/Items/Editor/PhysicalItemLogisticsPlayModeVerifier.cs,PREPARED_OUTPUT_CANARY_DESTINATION_REVISION_LIVE_STALE_REJECT|PREPARED_OUTPUT_CANARY_DESTINATION_REVISION_REPLAN_FRESH_AUTHORITY|PREPARED_OUTPUT_CANARY_DESTINATION_REVISION_REPLAN_NO_LOSS_DELIVERED,PASS:current-source-integrated-evidence,authoredtransport:acc8db259ea3e474f66f87e5969ae9b2c880cdf077a92af1426dedf5e5a0ce76:PREPARED_OUTPUT_CANARY_DESTINATION_REVISION_LIVE_STALE_REJECT|PREPARED_OUTPUT_CANARY_DESTINATION_REVISION_REPLAN_FRESH_AUTHORITY|PREPARED_OUTPUT_CANARY_DESTINATION_REVISION_REPLAN_NO_LOSS_DELIVERED,CURRENT_SOURCE_PASS,88f0620147ab08da31a2574351a36e335f3bb11438e57fab58dfeae7cb67030a
3,G,downed,carried-custody>current-cell-drop>restore,PASS:production-and-focused-fixture-linked,Assets/Scripts/Services/Items/AbilityHaul.cs,WorldItemCarryInterruptionKind.Downed|HaulCarryDropContext,Assets/Scripts/Services/Items/Editor/PhysicalItemLogisticsPlayModeVerifier.cs,PREPARED_OUTPUT_TRANSPORT_DOWNED_CURRENT_CELL_EXACT|PREPARED_OUTPUT_TRANSPORT_DOWNED_CHECKPOINT_RESTORED_EXACT,PASS:current-source-integrated-evidence,haullifecyclerecovery:2bb033971f9033a044681c045e639e48fac124e89bf42d268a163d0da133ce5b:ABILITY_HAUL_DOWNED_CURRENT_CELL_RECOVERY=PASS|ABILITY_HAUL_DOWNED_AUTHORITY_RELEASED=PASS|ABILITY_HAUL_DOWNED_PHYSICAL_SAVE_EXACT=PASS|ABILITY_HAUL_DOWNED_CURRENT_FORMAT_RESTORE_EXACT=PASS,CURRENT_SOURCE_PASS,88f0620147ab08da31a2574351a36e335f3bb11438e57fab58dfeae7cb67030a
3,G,drop-publication-failure,recovery-pending>retry>exact-once,PASS:production-and-focused-fixture-linked,Assets/Scripts/Services/Items/AbilityHaul.cs,stage=recovery-pending|carried-item-recovery-failed,Assets/Scripts/Services/Items/Editor/ProductionInputDestinationCustodyDrainServiceDebugScenarios.cs,Injected carried-drop failure did not defer the drain.|Drop-failure retry did not roll forward to completion,PASS:current-source-integrated-evidence,remainingfaultfocused:7b7f07296750de12f7f3d343bb4e33945d4816a77ac39376b7a744e1980aa3b9:BATCH_G_DROP_PUBLICATION_FAILURE_EXACT_ONCE=PASS,CURRENT_SOURCE_PASS,88f0620147ab08da31a2574351a36e335f3bb11438e57fab58dfeae7cb67030a
3,G,facility-destroy-mid-wip,wip>terminal-disposition>restore,PASS:production-and-focused-fixture-linked,Assets/Scripts/Services/Buildings/ProductionFacilityDestructiveDrainRecoveryRuntime.cs,ProductionFacilityDestructiveDrainRecoveryRuntime|OnRestoreCompleted,Assets/Scripts/Services/Economy/Editor/ProductionGenericBillTerminalDrainOutboxDebugScenarios.cs,VerifyFacilityDestroyedMidWipCurrentFormatIntegration|BATCH_G_FACILITY_DESTROY_MID_WIP_CURRENT_FORMAT_EXACT=PASS,PASS:current-source-integrated-evidence,destructivedrain:03a0f73b3e5ef704f9792c346ad3a7c663d7882a4e3bb9ad3bfaa2d25f21a59b:BATCH_G_FACILITY_DESTROY_MID_WIP_CURRENT_FORMAT_EXACT|PREPARED_OUTPUT_DESTRUCTIVE_DURABLE_STAGE_REQUIRED|PREPARED_OUTPUT_DESTRUCTIVE_PHYSICAL_AUTHORITY_CONSERVED|PREPARED_OUTPUT_DESTRUCTIVE_RESTORE_NO_DUPLICATE|PREPARED_OUTPUT_DESTRUCTIVE_TYPED_TERMINAL_WORLD_REMOVAL,CURRENT_SOURCE_PASS,88f0620147ab08da31a2574351a36e335f3bb11438e57fab58dfeae7cb67030a
3,G,floor-clutter-access-egress,loose-provenance>clearance>wait-wu,PASS:production-and-focused-fixture-linked,Assets/Scripts/Services/Items/PhysicalStockQuery.cs,IsTransientCarryRecoveryDrop|DroppedAtGameTime,Assets/Scripts/Services/Economy/Editor/V27PairedClutterPlayModeVerifier.cs,FLOOR_CLUTTER_ACCESS_EGRESS_ZERO|FLOOR_CLUTTER_RECOVERY_ZERO,PASS:current-source-integrated-evidence,pairedclutter:17d5dfc7f4ba6346427a4d5aa73225fe76dbd199a43ed87de21dc91779ec86d6:FLOOR_CLUTTER_ACCESS_EGRESS_ZERO|FLOOR_CLUTTER_RECOVERY_ZERO,CURRENT_SOURCE_PASS,88f0620147ab08da31a2574351a36e335f3bb11438e57fab58dfeae7cb67030a
