schemaVersion,itemId,definitionType,assetPath,propertyPath,authoredKilograms,canonicalUnitMassGrams,maxStack,stockCategory,inV27Ledger,inItemCatalog,siteRole,catalogAuthorityPath,gramStatus,unitSemanticStatus,assetGuid
v27.mass.authority.1,ammo:armor-piercing-cartridge,ResourceItemDefinitionSO,Assets/Resources/SO/Economy/Items/ResearchOverhaul/V3I129_철갑_탄약.asset,unitWeight,0.275,275,40,Ammunition,true,true,catalog-authority,Assets/Resources/SO/Economy/Items/ResearchOverhaul/V3I129_철갑_탄약.asset,canonical-gram,missing,c9ce776f1cbfd3f498ad8051018bc4f3
v27.mass.authority.1,ammo:arrow,GenericItemDefinitionSO,Assets/Resources/SO/Items/Definitions/ammo_arrow.asset,unitWeight,0.06,60,50,Ammunition,false,true,catalog-authority,Assets/Resources/SO/Items/Definitions/ammo_arrow.asset,canonical-gram,out-of-ledger-scope,d30ab06ac256f1c4cbcb0a73d883e75f
v27.mass.authority.1,ammo:arrow-bone,ResourceItemDefinitionSO,Assets/Resources/SO/Economy/Items/ammo_arrow_bone.asset,unitWeight,0.08,80,100,Ammunition,true,true,catalog-authority,Assets/Resources/SO/Economy/Items/ammo_arrow_bone.asset,canonical-gram,missing,e23366b7a96f7bd40b459eff0298e70a
v27.mass.authority.1,ammo:arrow-iron,ResourceItemDefinitionSO,Assets/Resources/SO/Economy/Items/ammo_arrow_iron.asset,unitWeight,0.09,90,100,Ammunition,true,true,catalog-authority,Assets/Resources/SO/Economy/Items/ammo_arrow_iron.asset,canonical-gram,missing,41bd94e67480a4e45a87d4992a1fefd5
v27.mass.authority.1,ammo:arrow-rune,ResourceItemDefinitionSO,Assets/Resources/SO/Economy/Items/ammo_arrow_rune.asset,unitWeight,0.08,80,75,Ammunition,true,true,catalog-authority,Assets/Resources/SO/Economy/Items/ammo_arrow_rune.asset,canonical-gram,missing,69440b4546b2ddb4680a1c26d3a508c6
v27.mass.authority.1,ammo:arrow-steel,ResourceItemDefinitionSO,Assets/Resources/SO/Economy/Items/ammo_arrow_steel.asset,unitWeight,0.085,85,100,Ammunition,true,true,catalog-authority,Assets/Resources/SO/Economy/Items/ammo_arrow_steel.asset,canonical-gram,missing,52194b5d60425e946b303386da144573
v27.mass.authority.1,ammo:blacksteel-bolt,ResourceItemDefinitionSO,Assets/Resources/SO/Economy/Items/ResearchOverhaul/V3I132_흑강_볼트.asset,unitWeight,0.15,150,120,Ammunition,true,true,catalog-authority,Assets/Resources/SO/Economy/Items/ResearchOverhaul/V3I132_흑강_볼트.asset,canonical-gram,missing,d755f335e61eeeb4ab97c9a90f21e2bf
v27.mass.authority.1,ammo:blasting-charge,ResourceItemDefinitionSO,Assets/Resources/SO/Economy/Items/ResearchOverhaul/V3I20_발파_장약.asset,unitWeight,2.9,2900,4,Ammunition,true,true,catalog-authority,Assets/Resources/SO/Economy/Items/ResearchOverhaul/V3I20_발파_장약.asset,canonical-gram,missing,17b29ebc23230bc40b7d710b7467dc46
v27.mass.authority.1,ammo:bolt,GenericItemDefinitionSO,Assets/Resources/SO/Items/Definitions/ammo_bolt.asset,unitWeight,0.09,90,40,Ammunition,false,true,catalog-authority,Assets/Resources/SO/Items/Definitions/ammo_bolt.asset,canonical-gram,out-of-ledger-scope,dbb8e61a505f0e94695e43494291f467
v27.mass.authority.1,ammo:bolt-bone,ResourceItemDefinitionSO,Assets/Resources/SO/Economy/Items/ammo_bolt_bone.asset,unitWeight,0.1,100,100,Ammunition,true,true,catalog-authority,Assets/Resources/SO/Economy/Items/ammo_bolt_bone.asset,canonical-gram,missing,7fb20b4ebf5f63a4f965adc33e65dd46
v27.mass.authority.1,ammo:bolt-iron,ResourceItemDefinitionSO,Assets/Resources/SO/Economy/Items/ammo_bolt_iron.asset,unitWeight,0.11,110,100,Ammunition,true,true,catalog-authority,Assets/Resources/SO/Economy/Items/ammo_bolt_iron.asset,canonical-gram,missing,33073ace8b07fa54f93e463d536d9824
v27.mass.authority.1,ammo:bolt-rune,ResourceItemDefinitionSO,Assets/Resources/SO/Economy/Items/ammo_bolt_rune.asset,unitWeight,0.1,100,75,Ammunition,true,true,catalog-authority,Assets/Resources/SO/Economy/Items/ammo_bolt_rune.asset,canonical-gram,missing,fe256041a90f80d42898882fdd04b521
v27.mass.authority.1,ammo:bolt-steel,ResourceItemDefinitionSO,Assets/Resources/SO/Economy/Items/ammo_bolt_steel.asset,unitWeight,0.105,105,100,Ammunition,true,true,catalog-authority,Assets/Resources/SO/Economy/Items/ammo_bolt_steel.asset,canonical-gram,missing,ceb081e6fa9069841b322b1e703b3da6
v27.mass.authority.1,ammo:incendiary-arrow,ResourceItemDefinitionSO,Assets/Resources/SO/Economy/Items/ResearchOverhaul/V3I126_소이_화살.asset,unitWeight,0.15,150,120,Ammunition,true,true,catalog-authority,Assets/Resources/SO/Economy/Items/ResearchOverhaul/V3I126_소이_화살.asset,canonical-gram,missing,76b63d21e86fcae468364e4146a8f657
v27.mass.authority.1,ammo:incendiary-bolt,ResourceItemDefinitionSO,Assets/Resources/SO/Economy/Items/ResearchOverhaul/V3I127_소이_볼트.asset,unitWeight,0.15,150,120,Ammunition,true,true,catalog-authority,Assets/Resources/SO/Economy/Items/ResearchOverhaul/V3I127_소이_볼트.asset,canonical-gram,missing,a52966f6a0223334d91e048b6daeeffa
v27.mass.authority.1,ammo:mana-disruptor-bolt,ResourceItemDefinitionSO,Assets/Resources/SO/Economy/Items/ResearchOverhaul/V3I135_마나_차단_볼트.asset,unitWeight,0.15,150,120,Ammunition,true,true,catalog-authority,Assets/Resources/SO/Economy/Items/ResearchOverhaul/V3I135_마나_차단_볼트.asset,canonical-gram,missing,03e0affce608d1349a05f5d45d3b84d9
v27.mass.authority.1,ammo:paper-cartridge,ResourceItemDefinitionSO,Assets/Resources/SO/Economy/Items/ResearchOverhaul/V3I23_종이_탄약통.asset,unitWeight,0.3,300,40,Ammunition,true,true,catalog-authority,Assets/Resources/SO/Economy/Items/ResearchOverhaul/V3I23_종이_탄약통.asset,canonical-gram,missing,bfc41be8d7724724ab7ec1a8436f2818
v27.mass.authority.1,ammo:rune-cartridge,ResourceItemDefinitionSO,Assets/Resources/SO/Economy/Items/ResearchOverhaul/V3I133_룬_탄약통.asset,unitWeight,0.575,575,20,Ammunition,true,true,catalog-authority,Assets/Resources/SO/Economy/Items/ResearchOverhaul/V3I133_룬_탄약통.asset,canonical-gram,missing,98c08de9d071829449eefa792db19e1f
