schemaVersion,stableId,impactDomain,consumerKind,consumerStableId,metric,before,after,deltaStatus,rootCauseIds,formula
v27.mass.coupling.1,ammo:armor-piercing-cartridge,ewu,V27EmbeddedWorkValueCalculator,ammo:armor-piercing-cartridge,acquisition-mewu,48995,48995,unchanged,,current/proposed immutable mass counterfactual
v27.mass.coupling.1,ammo:armor-piercing-cartridge,ewu,V27EmbeddedWorkValueCalculator,ammo:armor-piercing-cartridge,recoverable-mewu,33844,33844,unchanged,,floor(acquisition * salvage retention)
v27.mass.coupling.1,ammo:armor-piercing-cartridge,facility-output,BuildingProductionBufferAbility,building:8841|recipe:ammo:armor-piercing-cartridge|output:recipe:ammo:armor-piercing-cartridge/000/main/ammo:armor-piercing-cartridge,maximum-line-grams,1650,1650,unchanged,,maximum-output-factor ceil(quantity) * immutable definition unit grams
v27.mass.coupling.1,ammo:armor-piercing-cartridge,facility-output-buffer,BuildingProductionBufferAbility,building:8841|recipe:ammo:armor-piercing-cartridge,required-capacity-grams,6600,6600,unchanged,,projector maximum-factor physical batch grams * authored 2-4 cycle capacity
v27.mass.coupling.1,ammo:armor-piercing-cartridge,haul,ordinary-haul,nominal-25kg,target-max-units,40,40,unchanged,,"floor(class maximum grams/unit), capped by max stack"
v27.mass.coupling.1,ammo:armor-piercing-cartridge,haul,ordinary-haul,nominal-25kg,target-min-units,22,22,unchanged,,"ceil(class minimum grams/unit), capped by max stack"
v27.mass.coupling.1,ammo:armor-piercing-cartridge,market,V27 market projection,ammo:armor-piercing-cartridge,sale-rate,0.57641172409057617,0.57641172409057617,unchanged,,maximum nonnegative float whose sale credit does not exceed floor target
v27.mass.coupling.1,ammo:armor-piercing-cartridge,market,V27 market projection,ammo:armor-piercing-cartridge,unit-price-gold,17,17,unchanged,,"ceil(acquisition/3000), appraised=floor(sale-credit/3000)"
v27.mass.coupling.1,ammo:armor-piercing-cartridge,mass,ItemDefinitionSO,ammo:armor-piercing-cartridge,unit-grams,275,275,unchanged,,ItemDefinitionSO.UnitWeight/canonical semantic
v27.mass.coupling.1,ammo:armor-piercing-cartridge,stack,ItemDefinitionSO,ammo:armor-piercing-cartridge,max-stack-mass-grams,11000,11000,unchanged,,unit grams * ItemDefinitionSO.MaxStack
v27.mass.coupling.1,ammo:armor-piercing-cartridge,warehouse,BuildingStorageAbility,building:1009,capacity-grams,12500,12500,unchanged,,BuildingStorageAbility.maxStoredMassGrams
v27.mass.coupling.1,ammo:armor-piercing-cartridge,warehouse,BuildingStorageAbility,building:1009,eligible,0,0,unchanged,,allCategories || category == item.StockCategory
v27.mass.coupling.1,ammo:armor-piercing-cartridge,warehouse,BuildingStorageAbility,building:1009,units-fit,0,0,unchanged,,floor(maxStoredMassGrams/unitMassGrams)
v27.mass.coupling.1,ammo:armor-piercing-cartridge,warehouse,BuildingStorageAbility,building:1015,capacity-grams,12500,12500,unchanged,,BuildingStorageAbility.maxStoredMassGrams
v27.mass.coupling.1,ammo:armor-piercing-cartridge,warehouse,BuildingStorageAbility,building:1015,eligible,0,0,unchanged,,allCategories || category == item.StockCategory
v27.mass.coupling.1,ammo:armor-piercing-cartridge,warehouse,BuildingStorageAbility,building:1015,units-fit,0,0,unchanged,,floor(maxStoredMassGrams/unitMassGrams)
v27.mass.coupling.1,ammo:armor-piercing-cartridge,warehouse,BuildingStorageAbility,building:1018,capacity-grams,25000,25000,unchanged,,BuildingStorageAbility.maxStoredMassGrams
v27.mass.coupling.1,ammo:armor-piercing-cartridge,warehouse,BuildingStorageAbility,building:1018,eligible,0,0,unchanged,,allCategories || category == item.StockCategory
v27.mass.coupling.1,ammo:armor-piercing-cartridge,warehouse,BuildingStorageAbility,building:1018,units-fit,0,0,unchanged,,floor(maxStoredMassGrams/unitMassGrams)
v27.mass.coupling.1,ammo:armor-piercing-cartridge,warehouse,BuildingStorageAbility,building:1025,capacity-grams,12500,12500,unchanged,,BuildingStorageAbility.maxStoredMassGrams
v27.mass.coupling.1,ammo:armor-piercing-cartridge,warehouse,BuildingStorageAbility,building:1025,eligible,0,0,unchanged,,allCategories || category == item.StockCategory
v27.mass.coupling.1,ammo:armor-piercing-cartridge,warehouse,BuildingStorageAbility,building:1025,units-fit,0,0,unchanged,,floor(maxStoredMassGrams/unitMassGrams)
v27.mass.coupling.1,ammo:armor-piercing-cartridge,warehouse,BuildingStorageAbility,building:1028,capacity-grams,12500,12500,unchanged,,BuildingStorageAbility.maxStoredMassGrams
v27.mass.coupling.1,ammo:armor-piercing-cartridge,warehouse,BuildingStorageAbility,building:1028,eligible,0,0,unchanged,,allCategories || category == item.StockCategory
v27.mass.coupling.1,ammo:armor-piercing-cartridge,warehouse,BuildingStorageAbility,building:1028,units-fit,0,0,unchanged,,floor(maxStoredMassGrams/unitMassGrams)
v27.mass.coupling.1,ammo:armor-piercing-cartridge,warehouse,BuildingStorageAbility,building:1032,capacity-grams,12500,12500,unchanged,,BuildingStorageAbility.maxStoredMassGrams
v27.mass.coupling.1,ammo:armor-piercing-cartridge,warehouse,BuildingStorageAbility,building:1032,eligible,0,0,unchanged,,allCategories || category == item.StockCategory
v27.mass.coupling.1,ammo:armor-piercing-cartridge,warehouse,BuildingStorageAbility,building:1032,units-fit,0,0,unchanged,,floor(maxStoredMassGrams/unitMassGrams)
v27.mass.coupling.1,ammo:armor-piercing-cartridge,warehouse,BuildingStorageAbility,building:1033,capacity-grams,12500,12500,unchanged,,BuildingStorageAbility.maxStoredMassGrams
v27.mass.coupling.1,ammo:armor-piercing-cartridge,warehouse,BuildingStorageAbility,building:1033,eligible,0,0,unchanged,,allCategories || category == item.StockCategory
v27.mass.coupling.1,ammo:armor-piercing-cartridge,warehouse,BuildingStorageAbility,building:1033,units-fit,0,0,unchanged,,floor(maxStoredMassGrams/unitMassGrams)
v27.mass.coupling.1,ammo:armor-piercing-cartridge,warehouse,BuildingStorageAbility,building:1034,capacity-grams,12500,12500,unchanged,,BuildingStorageAbility.maxStoredMassGrams
v27.mass.coupling.1,ammo:armor-piercing-cartridge,warehouse,BuildingStorageAbility,building:1034,eligible,0,0,unchanged,,allCategories || category == item.StockCategory
