schemaVersion,itemId,currentUnitMassGrams,maxStack,stockCategory,hasPackagedLotFeature,packageTareGrams,tareDisposition,packagingReviewDisposition,containerItemId,producerCount,producerRecipeIds,recipeConsumerCount,consumerRecipeIds,runtimeConsumerCount,runtimeConsumerOwnerIds,totalConsumerCount,reviewRoute,status,executionLifecycle,requiredDispositionProof,runtimeGatewayEvidence,sourceAuthority
v27.mass.packaging-review.2,craft:fang-poison,550,20,Biological,false,0,None,IntegralUnitNoDetachableTare,,1,recipe:fang-poison,0,,0,,0,coating-reagent-container-or-target-transfer-review,integral-unit-reviewed,terminal-output,target-transfer-return-waste-or-explicit-process-loss,no-specialized-runtime-gateway-proof,Assets/Resources/SO/Economy/Items/craft_fang_poison.asset
v27.mass.packaging-review.2,craft:resin-balm,600,20,Medicine,false,0,None,IntegralUnitNoDetachableTare,,1,recipe:resin-balm,0,,0,,0,coating-reagent-container-or-target-transfer-review,integral-unit-reviewed,terminal-output,target-transfer-return-waste-or-explicit-process-loss,no-specialized-runtime-gateway-proof,Assets/Resources/SO/Economy/Items/craft_resin_balm.asset
v27.mass.packaging-review.2,craft:ritual-reagent,1100,10,Biological,false,0,None,IntegralUnitNoDetachableTare,,1,recipe:ritual-reagent,0,,0,,0,coating-reagent-container-or-target-transfer-review,integral-unit-reviewed,terminal-output,target-transfer-return-waste-or-explicit-process-loss,no-specialized-runtime-gateway-proof,Assets/Resources/SO/Economy/Items/craft_ritual_reagent.asset
v27.mass.packaging-review.2,craft:toxic-trap-coating,1000,50,General,false,0,None,IntegralUnitNoDetachableTare,,1,recipe:craft:toxic-trap-coating,0,,0,,0,coating-reagent-container-or-target-transfer-review,integral-unit-reviewed,terminal-output,target-transfer-return-waste-or-explicit-process-loss,no-specialized-runtime-gateway-proof,Assets/Resources/SO/Economy/Items/ResearchOverhaul/V3I50_독성_함정_도포제.asset
v27.mass.packaging-review.2,drug:blood-stimulant,900,12,Medicine,false,0,None,IntegralUnitNoDetachableTare,,1,recipe:blood-stimulant,0,,0,,0,dose-container-return-or-waste-review,integral-unit-reviewed,terminal-output,terminal-sink-return-waste-or-explicit-destroyed-loss,survival-or-medical-terminal-gateway-present-item-join-unproven,Assets/Resources/SO/Economy/Items/drug_blood_stimulant.asset
v27.mass.packaging-review.2,drug:dreamleaf-analgesic,425,24,Medicine,false,0,None,IntegralUnitNoDetachableTare,,1,recipe:dreamleaf-analgesic,0,,1,runtime:disease-field-response,1,dose-container-return-or-waste-review,integral-unit-reviewed,transform-intermediate,terminal-sink-return-waste-or-explicit-destroyed-loss,survival-or-medical-terminal-gateway-present-item-join-unproven,Assets/Resources/SO/Economy/Items/drug_dreamleaf_analgesic.asset
v27.mass.packaging-review.2,drug:hallucinogenic-distillate,900,12,Medicine,false,0,None,IntegralUnitNoDetachableTare,,1,recipe:hallucinogenic-distillate,0,,0,,0,dose-container-return-or-waste-review,integral-unit-reviewed,terminal-output,terminal-sink-return-waste-or-explicit-destroyed-loss,survival-or-medical-terminal-gateway-present-item-join-unproven,Assets/Resources/SO/Economy/Items/drug_hallucinogenic_distillate.asset
v27.mass.packaging-review.2,drug:mana-awakener,650,16,Medicine,false,0,None,IntegralUnitNoDetachableTare,,1,recipe:mana-awakener,0,,0,,0,dose-container-return-or-waste-review,integral-unit-reviewed,terminal-output,terminal-sink-return-waste-or-explicit-destroyed-loss,survival-or-medical-terminal-gateway-present-item-join-unproven,Assets/Resources/SO/Economy/Items/drug_mana_awakener.asset
v27.mass.packaging-review.2,drug:moonflower-tea,250,40,Medicine,false,0,None,IntegralUnitNoDetachableTare,,1,recipe:moonflower-tea,0,,0,,0,dose-container-return-or-waste-review,integral-unit-reviewed,terminal-output,terminal-sink-return-waste-or-explicit-destroyed-loss,survival-or-medical-terminal-gateway-present-item-join-unproven,Assets/Resources/SO/Economy/Items/drug_moonflower_tea.asset
v27.mass.packaging-review.2,drug:vitality-tonic,425,24,Medicine,false,0,None,IntegralUnitNoDetachableTare,,1,recipe:vitality-tonic,0,,0,,0,dose-container-return-or-waste-review,integral-unit-reviewed,terminal-output,terminal-sink-return-waste-or-explicit-destroyed-loss,survival-or-medical-terminal-gateway-present-item-join-unproven,Assets/Resources/SO/Economy/Items/drug_vitality_tonic.asset
v27.mass.packaging-review.2,food:expedition-ration-pack,750,50,Food,false,0,None,IntegralUnitNoDetachableTare,,1,recipe:expedition-ration-pack,0,,0,,0,meal-serving-or-ration-package-review,integral-unit-reviewed,terminal-output,terminal-sink-return-waste-or-explicit-disposable-loss,survival-terminal-sink-gateway-present-item-join-unproven,Assets/Resources/SO/Economy/Items/Workshop/food_expedition_ration_pack.asset
v27.mass.packaging-review.2,food:preserved-ration,500,60,Food,false,0,None,IntegralUnitNoDetachableTare,,1,recipe:preserved-ration,0,,1,runtime:offense-supply-package,1,meal-serving-or-ration-package-review,integral-unit-reviewed,transform-intermediate,terminal-sink-return-waste-or-explicit-disposable-loss,survival-terminal-sink-gateway-present-item-join-unproven,Assets/Resources/SO/Economy/Items/food_preserved_ration.asset
v27.mass.packaging-review.2,medical:cross-lineage-medium,3400,3,Medicine,false,0,None,IntegralUnitNoDetachableTare,,1,recipe:medical:cross-lineage-medium,0,,1,runtime:cross-lineage-reproduction,1,medical-kit-integral-or-returned-package-review,integral-unit-reviewed,transform-intermediate,integral-kit-transform-or-terminal-return-waste,surgery-terminal-sink-gateway-present-item-join-unproven,Assets/Resources/SO/Economy/Items/ResearchOverhaul/V3I116_교차계통_안정화_배지.asset
v27.mass.packaging-review.2,medical:fertility-treatment,1400,8,Medicine,false,0,None,IntegralUnitNoDetachableTare,,1,recipe:medical:fertility-treatment,0,,1,runtime:fertility-treatment,1,medical-kit-integral-or-returned-package-review,integral-unit-reviewed,transform-intermediate,integral-kit-transform-or-terminal-return-waste,surgery-terminal-sink-gateway-present-item-join-unproven,Assets/Resources/SO/Economy/Items/ResearchOverhaul/V3I123_생식_치료제.asset
v27.mass.packaging-review.2,medical:isolation-care-kit,700,16,Medicine,false,0,None,IntegralUnitNoDetachableTare,,1,recipe:medical:isolation-care-kit,0,,1,runtime:disease-field-response,1,medical-kit-integral-or-returned-package-review,integral-unit-reviewed,transform-intermediate,integral-kit-transform-or-terminal-return-waste,surgery-terminal-sink-gateway-present-item-join-unproven,Assets/Resources/SO/Economy/Items/ResearchOverhaul/V3I117_격리_치료_꾸러미.asset
v27.mass.packaging-review.2,medical:organ-preservation-canister,3000,3,General,false,0,None,IntegralUnitNoDetachableTare,,1,recipe:medical:organ-preservation-canister,0,,1,runtime:organ-preservation,1,medical-kit-integral-or-returned-package-review,integral-unit-reviewed,transform-intermediate,integral-kit-transform-or-terminal-return-waste,surgery-terminal-sink-gateway-present-item-join-unproven,Assets/Resources/SO/Economy/Items/ResearchOverhaul/V3I120_장기_보존_용기.asset
v27.mass.packaging-review.2,medical:regenerative-medium,1150,10,Medicine,false,0,None,IntegralUnitNoDetachableTare,,1,recipe:medical:regenerative-medium,0,,1,runtime:character-medical-treatment,1,medical-kit-integral-or-returned-package-review,integral-unit-reviewed,transform-intermediate,integral-kit-transform-or-terminal-return-waste,surgery-terminal-sink-gateway-present-item-join-unproven,Assets/Resources/SO/Economy/Items/ResearchOverhaul/V3I122_재생_배양액.asset
v27.mass.packaging-review.2,medical:rejuvenation-serum,2000,5,Medicine,false,0,None,IntegralUnitNoDetachableTare,,1,recipe:medical:rejuvenation-serum,0,,0,,0,medical-kit-integral-or-returned-package-review,integral-unit-reviewed,terminal-output,integral-kit-transform-or-terminal-return-waste,surgery-terminal-sink-gateway-present-item-join-unproven,Assets/Resources/SO/Economy/Items/ResearchOverhaul/V3I118_회춘_혈청.asset
v27.mass.packaging-review.2,medical:trait-analysis-kit,1950,6,Medicine,false,0,None,IntegralUnitNoDetachableTare,,1,recipe:medical:trait-analysis-kit,0,,1,runtime:trait-analysis,1,medical-kit-integral-or-returned-package-review,integral-unit-reviewed,transform-intermediate,integral-kit-transform-or-terminal-return-waste,surgery-terminal-sink-gateway-present-item-join-unproven,Assets/Resources/SO/Economy/Items/ResearchOverhaul/V3I115_형질_검사_키트.asset
v27.mass.packaging-review.2,medical:trauma-care-kit,2200,5,Medicine,false,0,None,IntegralUnitNoDetachableTare,,1,recipe:medical:trauma-care-kit,0,,1,runtime:trauma-counselling,1,medical-kit-integral-or-returned-package-review,integral-unit-reviewed,transform-intermediate,integral-kit-transform-or-terminal-return-waste,surgery-terminal-sink-gateway-present-item-join-unproven,Assets/Resources/SO/Economy/Items/ResearchOverhaul/V3I125_트라우마_치료_꾸러미.asset
