schemaVersion,materialId,densityGramsPerLiter,defaultMoisturePermille,packingEfficiencyPermille,defaultProcessYieldPermille,reviewStatus
v27.mass.material-profile.1,mass-material:aged-cheese,1100,420,1000,889,reviewed-audit-only
v27.mass.material-profile.1,mass-material:alcohol,900,0,1000,1000,reviewed-audit-only
v27.mass.material-profile.1,mass-material:anesthetic-solution,1000,0,1000,174,reviewed-audit-only
v27.mass.material-profile.1,mass-material:brined-vegetable,1000,700,1000,714,reviewed-audit-only
v27.mass.material-profile.1,mass-material:cave-mushroom,333,900,1000,990,reviewed-audit-only
v27.mass.material-profile.1,mass-material:cheese-mushroom,1000,660,1000,1000,reviewed-audit-only
v27.mass.material-profile.1,mass-material:cooked-grain,1035,480,1000,999,reviewed-audit-only
v27.mass.material-profile.1,mass-material:curd,1050,700,1000,310,reviewed-audit-only
v27.mass.material-profile.1,mass-material:dough,1050,500,1000,755,reviewed-audit-only
v27.mass.material-profile.1,mass-material:dreamleaf,410,700,1000,1000,reviewed-audit-only
v27.mass.material-profile.1,mass-material:dry-lumber,550,120,1000,917,reviewed-audit-only
v27.mass.material-profile.1,mass-material:egg-pancake,1050,520,1000,871,reviewed-audit-only
v27.mass.material-profile.1,mass-material:ember-root,900,760,1000,990,reviewed-audit-only
v27.mass.material-profile.1,mass-material:fermented-liquor,1000,900,1000,952,reviewed-audit-only
v27.mass.material-profile.1,mass-material:fermented-pickle,1000,650,1000,643,reviewed-audit-only
v27.mass.material-profile.1,mass-material:fermented-vinegar,1000,950,1000,941,reviewed-audit-only
v27.mass.material-profile.1,mass-material:flour,625,140,1000,952,reviewed-audit-only
v27.mass.material-profile.1,mass-material:fresh-curd,1050,680,1000,1000,reviewed-audit-only
v27.mass.material-profile.1,mass-material:grape-juice,1042,860,1000,938,reviewed-audit-only
v27.mass.material-profile.1,mass-material:grape-syrup-serving,1167,260,1000,933,reviewed-audit-only
v27.mass.material-profile.1,mass-material:grass-straw,160,80,1000,1000,reviewed-audit-only
v27.mass.material-profile.1,mass-material:green-wood,600,180,1000,917,reviewed-audit-only
v27.mass.material-profile.1,mass-material:hay-feed,220,60,1000,997,reviewed-audit-only
v27.mass.material-profile.1,mass-material:iron-ingot,7870,0,1000,1000,reviewed-audit-only
v27.mass.material-profile.1,mass-material:lavish-meat,1110,610,1000,870,reviewed-audit-only
v27.mass.material-profile.1,mass-material:lavish-vegan,1050,650,1000,939,reviewed-audit-only
v27.mass.material-profile.1,mass-material:malt,700,90,1000,1000,reviewed-audit-only
v27.mass.material-profile.1,mass-material:malt-porridge,1000,850,1000,1000,reviewed-audit-only
v27.mass.material-profile.1,mass-material:meat-pie,1000,550,1000,1000,reviewed-audit-only
v27.mass.material-profile.1,mass-material:medical-vial-iron,7870,0,1000,1000,reviewed-audit-only
v27.mass.material-profile.1,mass-material:mushroom-soup,1018,870,1000,992,reviewed-audit-only
v27.mass.material-profile.1,mass-material:night-grape,925,820,1000,1000,reviewed-audit-only
v27.mass.material-profile.1,mass-material:night-grape-syrup,1167,260,1000,933,reviewed-audit-only
v27.mass.material-profile.1,mass-material:night-spirit,950,700,1000,857,reviewed-audit-only
v27.mass.material-profile.1,mass-material:night-wine,1000,880,1000,929,reviewed-audit-only
v27.mass.material-profile.1,mass-material:preserved-vegetable,1000,600,1000,815,reviewed-audit-only
v27.mass.material-profile.1,mass-material:raw-meat,1000,700,1000,900,reviewed-audit-only
v27.mass.material-profile.1,mass-material:roasted-meat,1050,560,1000,900,reviewed-audit-only
v27.mass.material-profile.1,mass-material:root-stew,1020,820,1000,985,reviewed-audit-only
v27.mass.material-profile.1,mass-material:saltstone,2160,20,1000,1000,reviewed-audit-only
v27.mass.material-profile.1,mass-material:seasoned-filling,1050,620,1000,703,reviewed-audit-only
v27.mass.material-profile.1,mass-material:silage,920,700,1000,1000,reviewed-audit-only
v27.mass.material-profile.1,mass-material:stuffed-mushroom,950,650,1000,1000,reviewed-audit-only
v27.mass.material-profile.1,mass-material:twilight-beer,1000,900,1000,950,reviewed-audit-only
v27.mass.material-profile.1,mass-material:twilight-grain,700,120,1000,1000,reviewed-audit-only
v27.mass.material-profile.1,mass-material:vegetable-pie,950,550,1000,1000,reviewed-audit-only
v27.mass.material-profile.1,mass-material:washed-vegetable,900,760,1000,1000,reviewed-audit-only
v27.mass.material-profile.1,mass-material:water,1000,1000,1000,1000,reviewed-audit-only
v27.mass.material-profile.1,mass-material:whole-egg,1000,750,1000,950,reviewed-audit-only
v27.mass.material-profile.1,mass-material:whole-milk,1000,870,1000,995,reviewed-audit-only
v27.mass.material-profile.1,mass-material:young-wine,1000,900,1000,933,reviewed-audit-only
