schemaVersion,seedIndex,deterministicSeed,definitionId,workstationTag,recipeId,outputLineId,itemId,outputQuantity,batchMassGrams,topologySourceDigest,topologyStable,facilityAttributionExact,ownerRosterKey,observationId,batchCommitId,actionEpochDelta,actionStartDelta,haulStartDelta,clearanceMicroHours,clearanceMilliHours,telemetryCompletedCount,telemetryActiveCount,orphanPickupCount,conflictingPublicationCount,overPickupCount,capacityExceededCount,restoreInterruptionCount,telemetryClean,schedulerProvenanceExact,deliveryExact,randomStateDigest,randomDrawDelta,runSourceDigest,result
v27-production-output-clearance-natural-seed@2,0,157181,building:1089,workstation:feedbench,recipe:hay-feed,output:main,feed:hay,3,588,5357f9ad790b3d920c1252ea5e4db18d3d86c1f4737bc6867856fc362826706c,true,true,staff:01,output-clearance-observation:building:1089:workstation:feedbench:157181,production-output-batch:production-bill:1:00000001:9fe547a6275368a9db6d8e88305b30acbbba1c701274856d2bc4e7802bd274c7,1,1,1,1669398,1670,1,0,0,0,0,0,0,true,true,true,6bc9f5eedb0981b8e8c971a47a1188301ec08d049b9db6ac846e5d7628edba3a,133,a585cc3bd5cf361c7fe8698ba56ace70a4c0cd8cb8b43ee209edc6e3c2f43b1a,PASS
v27-production-output-clearance-natural-seed@2,1,157182,building:1089,workstation:feedbench,recipe:hay-feed,output:main,feed:hay,3,588,5357f9ad790b3d920c1252ea5e4db18d3d86c1f4737bc6867856fc362826706c,true,true,staff:01,output-clearance-observation:building:1089:workstation:feedbench:157182,production-output-batch:production-bill:1:00000001:39c2cdf91cafd2c57d437f5df9f7dc7b76523c0fa15985a6fcade6e925537381,1,1,1,1716111,1717,1,0,0,0,0,0,0,true,true,true,04efa47d602c35195736245066ddf055c55054f8fe7c519c35a448a26b69e67f,162,29c6269688dc09687cbbdc280f45567acd5b3a573021c8fcbc8638b7ba98d73f,PASS
v27-production-output-clearance-natural-seed@2,2,157183,building:1089,workstation:feedbench,recipe:hay-feed,output:main,feed:hay,3,588,5357f9ad790b3d920c1252ea5e4db18d3d86c1f4737bc6867856fc362826706c,true,true,staff:01,output-clearance-observation:building:1089:workstation:feedbench:157183,production-output-batch:production-bill:1:00000001:aff98e756a6f915787607dfb4c6e8d0c30b49ff5fb05e4b57882ed550c7b5037,1,1,1,1615635,1616,1,0,0,0,0,0,0,true,true,true,c354f0acab7fefe442c6bf1d1c02e762457cf65850db407d5621752ddebf7911,136,9abbece7012417afd1a75429c7d4bacea4e889f02c35e6f1d5c7b57b93acf858,PASS
v27-production-output-clearance-natural-seed@2,3,157184,building:1089,workstation:feedbench,recipe:hay-feed,output:main,feed:hay,3,588,5357f9ad790b3d920c1252ea5e4db18d3d86c1f4737bc6867856fc362826706c,true,true,staff:01,output-clearance-observation:building:1089:workstation:feedbench:157184,production-output-batch:production-bill:1:00000001:16be1f02e548fa0e3d183312aafbca9b036152f1b4da6b5d031fc6e716d0efae,1,1,1,1736925,1737,1,0,0,0,0,0,0,true,true,true,24ee73cd48cb4a7cdfaa62a0cb24e621e78c4d885a12c9a5c541853a14062ff5,159,26064f1d997cbbecddc44d6e9bf2ae7f4b428cd89c41acf457583285ed5d12c8,PASS
v27-production-output-clearance-natural-seed@2,4,157185,building:1089,workstation:feedbench,recipe:hay-feed,output:main,feed:hay,3,588,5357f9ad790b3d920c1252ea5e4db18d3d86c1f4737bc6867856fc362826706c,true,true,staff:01,output-clearance-observation:building:1089:workstation:feedbench:157185,production-output-batch:production-bill:1:00000001:33e6a7044999d6fbdc899dda851d13a4d1551bbd14b90ccbdc9e1e4331f4e3f4,1,1,1,1581159,1582,1,0,0,0,0,0,0,true,true,true,bdd07d2048a74d5daa8a3accb47f77afd0a5662da33169b6b434d1c557b5d2b6,148,498417723767e768c35cb135cc16118e0696b3971cc815004881cc4c86f6f6c4,PASS
v27-production-output-clearance-natural-seed@2,5,157186,building:1089,workstation:feedbench,recipe:hay-feed,output:main,feed:hay,3,588,5357f9ad790b3d920c1252ea5e4db18d3d86c1f4737bc6867856fc362826706c,true,true,staff:01,output-clearance-observation:building:1089:workstation:feedbench:157186,production-output-batch:production-bill:1:00000001:b506f36ebcb4a6793666c4728065eec0fc7f6c798425c609159346c04b367941,1,1,1,1510635,1511,1,0,0,0,0,0,0,true,true,true,47ed37c9f24c6030cc5365d9bd3143540a5c217fecc195b82f4655b9daa30a66,151,0b3f1346cde25a992ff79d3b3097b1a6a6cd47aeb0046c21ffb57784a9796a4e,PASS
v27-production-output-clearance-natural-seed@2,6,157187,building:1089,workstation:feedbench,recipe:hay-feed,output:main,feed:hay,3,588,5357f9ad790b3d920c1252ea5e4db18d3d86c1f4737bc6867856fc362826706c,true,true,staff:01,output-clearance-observation:building:1089:workstation:feedbench:157187,production-output-batch:production-bill:1:00000001:ec585901dfbd126302dc5c67e57e855fbf9624cb65d8d07bc0f339963bfbc8ea,1,1,1,1863587,1864,1,0,0,0,0,0,0,true,true,true,c301fa67289fad1e53aebef8fdbe2de467c5a04fdbf23930d8e68f04c458ed62,147,7ddbdc0abd0f47c2d61e67be00dffdc9c28a4d6c4ffd7446e2966cd4adc2421c,PASS
v27-production-output-clearance-natural-seed@2,7,157188,building:1089,workstation:feedbench,recipe:hay-feed,output:main,feed:hay,3,588,5357f9ad790b3d920c1252ea5e4db18d3d86c1f4737bc6867856fc362826706c,true,true,staff:01,output-clearance-observation:building:1089:workstation:feedbench:157188,production-output-batch:production-bill:1:00000001:43a522056d3898abc8cb5dc7e5f32ac611fc751b46de335708234049c6524255,1,1,1,1601570,1602,1,0,0,0,0,0,0,true,true,true,16e9ce60931b84038aa893308eca65695b105c85085b325f8e73e9ab2488b028,141,6b34094644cd8be97849cca71a3391d3665c703005a6aa8d98352ca888973e90,PASS
v27-production-output-clearance-natural-seed@2,8,157189,building:1089,workstation:feedbench,recipe:hay-feed,output:main,feed:hay,3,588,5357f9ad790b3d920c1252ea5e4db18d3d86c1f4737bc6867856fc362826706c,true,true,staff:01,output-clearance-observation:building:1089:workstation:feedbench:157189,production-output-batch:production-bill:1:00000001:57423bfff083488641dcaae3431ca9422ef964bc4dcae49b56bf1e5209d137d8,1,1,1,1551371,1552,1,0,0,0,0,0,0,true,true,true,93a87d9041910ec4a10f931e8179181f6e38fe52a6e2b0785cb2ca1184d47b25,170,8279d53956de0c1797e4b886b9b30be0f1971b4034ad22ae6e47d00a2437a836,PASS
v27-production-output-clearance-natural-seed@2,9,157190,building:1089,workstation:feedbench,recipe:hay-feed,output:main,feed:hay,3,588,5357f9ad790b3d920c1252ea5e4db18d3d86c1f4737bc6867856fc362826706c,true,true,staff:01,output-clearance-observation:building:1089:workstation:feedbench:157190,production-output-batch:production-bill:1:00000001:949444ea3ff176df10ba1ff455a4e238ac1cb2b159f0723f29549e7d2d07f6c2,1,1,1,1606712,1607,1,0,0,0,0,0,0,true,true,true,eda0935236f3ddc07b8a72b2a276ec54b4cd2860f3b85355012906e1cd2407fa,158,7c27b7d2959de5cd4c225a243bcd57d011bbeae479b037912326bb9a1f0c38b3,PASS
v27-production-output-clearance-natural-seed@2,10,157191,building:1089,workstation:feedbench,recipe:hay-feed,output:main,feed:hay,3,588,5357f9ad790b3d920c1252ea5e4db18d3d86c1f4737bc6867856fc362826706c,true,true,staff:01,output-clearance-observation:building:1089:workstation:feedbench:157191,production-output-batch:production-bill:1:00000001:57930db99aca1b7a204fc4807cafecbde9eb8a3a940d3e3c3fb9ab721857d5cf,1,1,1,1748883,1749,1,0,0,0,0,0,0,true,true,true,717efdbd07a2ca23c10ed79dca60119326203cff2100c67be0838458dcc83feb,139,6a7cbba531f79cfa3d60f5727fb23bd6434e45da207052b5b6d1b9ed97d78dab,PASS
v27-production-output-clearance-natural-seed@2,11,157192,building:1089,workstation:feedbench,recipe:hay-feed,output:main,feed:hay,3,588,5357f9ad790b3d920c1252ea5e4db18d3d86c1f4737bc6867856fc362826706c,true,true,staff:01,output-clearance-observation:building:1089:workstation:feedbench:157192,production-output-batch:production-bill:1:00000001:e7008497af7656954ffc6a89592aab9444b3a4d74f37f595c92088e35ff1bd6c,1,1,1,1747569,1748,1,0,0,0,0,0,0,true,true,true,0ce90ecb71606a32accafdc22378250c3b0a54870bacf3a47d1995ab07c9a9b4,151,37db7532a82a4ec114527ce39449b3cf50264dfe292fcf2b63a7bb26adb23b6a,PASS
v27-production-output-clearance-natural-seed@2,12,157193,building:1089,workstation:feedbench,recipe:hay-feed,output:main,feed:hay,3,588,5357f9ad790b3d920c1252ea5e4db18d3d86c1f4737bc6867856fc362826706c,true,true,staff:01,output-clearance-observation:building:1089:workstation:feedbench:157193,production-output-batch:production-bill:1:00000001:fef9220a5d20fcb4ba36e9adf409c46234e5423f32aca98082bcbd4a7d36b7fa,1,1,1,1734009,1735,1,0,0,0,0,0,0,true,true,true,3d88428d636fc1ca78486dc589ed9fd6d29f61f9948b4d8c59e5e921abb9c315,179,ca519bd915a158a9423aa23e3f14c7a50f613d3fa58a7f512faf3868917b10af,PASS
