recordKind,definitionId,workstationTag,producerId,branchId,executionPath,bottleneck,maximumOutputMassGrams,cyclesPerGameHour,peakOutputMassGramsPerHour,gapReason,gapDetail,sourceDigest
candidate,building:1073,workstation:mill,recipe:malt,branch:normal,1,1,700,3.75,2625,,,ce2d1a01b83e9d754d2e54d380419920dc90aa44eb1efefd4e6e02c12a914a35
candidate,building:1073,workstation:mill,recipe:milling-flour,branch:normal,1,1,600,6,3600,,,58d69e93a8f42015b0ff3142f59ffea9193a2a265d747e7204e1d6bec5f88653
candidate,building:1073,workstation:mill,recipe:starch,branch:normal,1,1,500,6,3000,,,4085096e83c2ee9f3a6ad1ba60296e639578050bcbd9acdb707f66ab09bfa004
candidate,building:1074,workstation:brewery,recipe:fermented-liquor,branch:normal,1,2,1000,0.0833333333333333333333333333,84,,,63303ecc4ebec1f4be78f45717f132ca95b7ac741d831bbca3105a0b9ced6094
candidate,building:1074,workstation:brewery,recipe:fermented-liquor,branch:normal,1,2,1000,0.0833333333333333333333333333,84,,,6ccac73725267771dc41d010e0efbb61a8fa7986542d910aa7d3b86758647fea
candidate,building:1074,workstation:brewery,recipe:fermented-vinegar,branch:normal,1,1,800,3,2400,,,d712b0801a8671d991a924e31922da7f8be1851f8fcad299842daf51be594612
candidate,building:1074,workstation:brewery,recipe:fermented-vinegar,branch:normal,1,1,800,3,2400,,,ba262b02e9dea2c918637da06db6a27203dcb937817c7d65465745888a1f51bd
candidate,building:1074,workstation:brewery,recipe:grape-juice,branch:normal,1,1,750,2.1428571428571428571428571429,1608,,,3b3233a923cd2a2449278352d8a1ae6ecdff3d9c54228712cd9e16c3e13729e8
candidate,building:1074,workstation:brewery,recipe:night-spirit,branch:normal,1,2,900,0.0833333333333333333333333333,75,,,ad1bc9069cb5ff85c0154f406b40c31b051e67cc89307fdcc56a032e035c00ba
candidate,building:1074,workstation:brewery,recipe:night-wine,branch:normal,1,2,650,0.0555555555555555555555555556,37,,,fc9ad52059b7364082ae33fe6104376c91e72061086974314581692e894b4670
candidate,building:1074,workstation:brewery,recipe:syrup,branch:normal,1,1,700,4.2857142857142857142857142857,3000,,,b62f7a2129ff9ff6d7bd074af939281da78dcde2735c7cdeafa4a697741e7934
candidate,building:1074,workstation:brewery,recipe:twilight-beer,branch:normal,1,2,950,0.0833333333333333333333333333,80,,,5629e7ac3ad1f25ba00411f3c256a1fa472c14d92e5013c0204e988c4a5bba0e
candidate,building:1074,workstation:brewery,recipe:twilight-beer,branch:normal,1,2,950,0.0833333333333333333333333333,80,,,7507573c23ad7986e95d15b6ce2f670280b2a791a376989332eaac42add81160
candidate,building:1074,workstation:brewery,recipe:young-wine,branch:normal,1,2,700,0.0555555555555555555555555556,39,,,13271ebe665e7950f199b6cc0afa3b73d168e024e2225d56558602bed20945a3
