"schemaVersion","recipeId","family","priorAuditStatus","priorRuntimeResidualGrams","priorMissingInputGrams","currentInputVector","currentPhysicalInputGrams","currentCleanWaterGrams","currentGuaranteedOutputGrams","currentWastewaterGrams","currentResidualGrams","suggestedPhysicalMassExternalInputKind","suggestedReasonCode","suggestedCanonicalPayload","processAdditionAllowed","currentClosureDisposition","currentLossKind","currentLossReasonCode","currentMassExplanationPayload","ambiguity","blocker","evidence"
"v27.external-input-classification.1","recipe:bedding-straw","core-workshop","external-input-authority-missing","-720","720","resource:grass-straw*10|resource:shade-fiber*2","1040","0","1000","0","40","None","not-applicable-physical-bom-authority","(none)","false","process-loss","FiberProcessingWaste","core-textile-carding-and-bedding-trim-waste","process-loss@1|mode=residual|lossKind=FiberProcessingWaste|reason=core-textile-carding-and-bedding-trim-waste|physicalByproduct=false","none-current-source-explicit","unity-current-source-recapture-pending","Assets/Resources/SO/Economy/Recipes/recipe_bedding_straw.asset|docs/game-design/whole-game-balance-baseline.md#balance:v27:transform-physical-input-closure"
"v27.external-input-classification.1","recipe:cloth","core-workshop","external-input-authority-missing","-40","40","resource:shade-fiber*4","480","0","400","0","80","None","not-applicable-physical-bom-authority","(none)","false","process-loss","FiberProcessingWaste","core-textile-carding-and-bedding-trim-waste","process-loss@1|mode=residual|lossKind=FiberProcessingWaste|reason=core-textile-carding-and-bedding-trim-waste|physicalByproduct=false","none-current-source-explicit","unity-current-source-recapture-pending","Assets/Resources/SO/Economy/Recipes/recipe_cloth.asset|docs/game-design/whole-game-balance-baseline.md#balance:v27:transform-physical-input-closure"
"v27.external-input-classification.1","recipe:component:blacksteel-defense-plate","research-overhaul","external-input-authority-missing","-450","450","material:blacksteel-ingot*2|component:engineering-drawing*1","2900","0","2350","0","550","None","not-applicable-physical-bom-authority","(none)","false","process-loss","CuttingWaste","research-machining-forming-and-assembly-offcut","process-loss@1|mode=residual|lossKind=CuttingWaste|reason=research-machining-forming-and-assembly-offcut|physicalByproduct=false","none-current-source-explicit","unity-current-source-recapture-pending","Assets/Resources/SO/Economy/Recipes/ResearchOverhaul/V3R44_흑강_방어_장갑판.asset|docs/game-design/whole-game-balance-baseline.md#balance:v27:transform-physical-input-closure"
"v27.external-input-classification.1","recipe:component:insulated-wiring","research-overhaul","external-input-authority-missing","-2700","2700","material:gold-ingot*2|textile:insulating-cloth*3","5550","0","5000","0","550","None","not-applicable-physical-bom-authority","(none)","false","process-loss","CuttingWaste","research-machining-forming-and-assembly-offcut","process-loss@1|mode=residual|lossKind=CuttingWaste|reason=research-machining-forming-and-assembly-offcut|physicalByproduct=false","none-current-source-explicit","unity-current-source-recapture-pending","Assets/Resources/SO/Economy/Recipes/ResearchOverhaul/V3R111_절연_배선_묶음.asset|docs/game-design/whole-game-balance-baseline.md#balance:v27:transform-physical-input-closure"
"v27.external-input-classification.1","recipe:component:machine-parts","research-overhaul","external-input-authority-missing","-300","300","material:iron-ingot*3","2700","0","2100","0","600","None","not-applicable-physical-bom-authority","(none)","false","process-loss","CuttingWaste","research-machining-forming-and-assembly-offcut","process-loss@1|mode=residual|lossKind=CuttingWaste|reason=research-machining-forming-and-assembly-offcut|physicalByproduct=false","none-current-source-explicit","unity-current-source-recapture-pending","Assets/Resources/SO/Economy/Recipes/ResearchOverhaul/V3R09_기계_부품.asset|docs/game-design/whole-game-balance-baseline.md#balance:v27:transform-physical-input-closure"
"v27.external-input-classification.1","recipe:component:mana-shield-plate","research-overhaul","external-input-authority-missing","-150","150","material:lead-ingot*1|resource:rune-dust*1|resource:mana-crystal*1","2550","0","2350","0","200","None","not-applicable-physical-bom-authority","(none)","false","process-loss","ExtractionResidue","research-rune-tuning-and-catalyst-residue","process-loss@1|mode=residual|lossKind=ExtractionResidue|reason=research-rune-tuning-and-catalyst-residue|physicalByproduct=false","none-current-source-explicit","unity-current-source-recapture-pending","Assets/Resources/SO/Economy/Recipes/ResearchOverhaul/V3R19_마나_차폐판.asset|docs/game-design/whole-game-balance-baseline.md#balance:v27:transform-physical-input-closure"
"v27.external-input-classification.1","recipe:component:material-test-coupon","research-overhaul","external-input-authority-missing","-1750","1750","material:steel-ingot*1|material:plate-blank*2","5050","0","4700","0","350","None","not-applicable-physical-bom-authority","(none)","false","process-loss","CuttingWaste","research-machining-forming-and-assembly-offcut","process-loss@1|mode=residual|lossKind=CuttingWaste|reason=research-machining-forming-and-assembly-offcut|physicalByproduct=false","none-current-source-explicit","unity-current-source-recapture-pending","Assets/Resources/SO/Economy/Recipes/ResearchOverhaul/V3R109_재료_시험편.asset|docs/game-design/whole-game-balance-baseline.md#balance:v27:transform-physical-input-closure"
"v27.external-input-classification.1","recipe:component:paper-paste","research-overhaul","external-input-authority-missing","-1450","1450","material:starch*1|resource:clean-water*4","2250","0","2200","0","50","None","not-applicable-physical-bom-authority","(none)","false","process-loss","MoistureEvaporation","paste-cooking-water-and-starch-setting-residue","process-loss@1|mode=residual|lossKind=MoistureEvaporation|reason=paste-cooking-water-and-starch-setting-residue|physicalByproduct=false","none-current-source-explicit","unity-current-source-recapture-pending","Assets/Resources/SO/Economy/Recipes/ResearchOverhaul/V3R51_종이_풀칠.asset|docs/game-design/whole-game-balance-baseline.md#balance:v27:transform-physical-input-closure"
"v27.external-input-classification.1","recipe:component:precision-optics","research-overhaul","external-input-authority-missing","-650","650","material:gold-ingot*1|resource:mana-crystal*3","2400","0","2350","0","50","None","not-applicable-physical-bom-authority","(none)","false","process-loss","ExtractionResidue","research-rune-tuning-and-catalyst-residue","process-loss@1|mode=residual|lossKind=ExtractionResidue|reason=research-rune-tuning-and-catalyst-residue|physicalByproduct=false","none-current-source-explicit","unity-current-source-recapture-pending","Assets/Resources/SO/Economy/Recipes/ResearchOverhaul/V3R82_정밀_광학계.asset|docs/game-design/whole-game-balance-baseline.md#balance:v27:transform-physical-input-closure"
"v27.external-input-classification.1","recipe:component:reclaimed-water-filter","research-overhaul","external-input-authority-missing","-850","850","textile:sterile-cloth*2|material:charcoal*1","2450","0","2300","0","150","None","not-applicable-physical-bom-authority","(none)","false","process-loss","CuttingWaste","research-machining-forming-and-assembly-offcut","process-loss@1|mode=residual|lossKind=CuttingWaste|reason=research-machining-forming-and-assembly-offcut|physicalByproduct=false","none-current-source-explicit","unity-current-source-recapture-pending","Assets/Resources/SO/Economy/Recipes/ResearchOverhaul/V3R113_재생수_필터_카트리지.asset|docs/game-design/whole-game-balance-baseline.md#balance:v27:transform-physical-input-closure"
"v27.external-input-classification.1","recipe:component:rune-conductor","research-overhaul","external-input-authority-missing","-650","650","material:gold-ingot*1|resource:mana-crystal*3|resource:rune-dust*1","2450","0","2400","0","50","None","not-applicable-physical-bom-authority","(none)","false","process-loss","ExtractionResidue","research-rune-tuning-and-catalyst-residue","process-loss@1|mode=residual|lossKind=ExtractionResidue|reason=research-rune-tuning-and-catalyst-residue|physicalByproduct=false","none-current-source-explicit","unity-current-source-recapture-pending","Assets/Resources/SO/Economy/Recipes/ResearchOverhaul/V3R11_룬_도체.asset|docs/game-design/whole-game-balance-baseline.md#balance:v27:transform-physical-input-closure"
