schemaVersion,recipeId,flowRole,roleShapeValid,inputVector,outputVector,physicalInputGrams,cleanWaterGrams,guaranteedOutputGrams,maximumOutputGrams,expectedOutputGrams,wastewaterGrams,minimumResidualGrams,maximumResidualGrams,runtimePhysicalInputGrams,runtimeGuaranteedOutputGrams,runtimeMaximumOutputGrams,runtimeExpectedOutputGrams,runtimeMinimumResidualGrams,runtimeMaximumResidualGrams,probabilisticOutputCount,missingSemanticIds,runtimeProposedMassMismatchIds,massCreationCandidate,runtimeMassCreationCandidate,reviewedContractId,massBalanceStatus,sourceAuthority,sourceDigest
v27.mass.recipe-inventory.3,recipe:advanced-medicine,Transform,true,medicine:standard*1|resource:mana-crystal*1|resource:milk*1|resource:moonflower*2,medicine:advanced*1@1,1610,0,1500,1500,1500,0,110,110,1610,1500,1500,1500,110,110,0,,,false,false,process-loss@1,reviewed-exact,Assets/Resources/SO/Economy/Recipes/recipe_advanced_medicine.asset,63d7b47dfa4fa2eb83b8de95055d0a4ed4b3741ad7e9cf154bac741167c59279
v27.mass.recipe-inventory.3,recipe:alcohol,Transform,true,material:fermented-liquor*2,material:alcohol*2@1,1000,0,1000,1000,1000,0,0,0,1000,1000,1000,1000,0,0,0,,,false,false,recipe:alcohol,reviewed-exact,Assets/Resources/SO/Economy/Recipes/recipe_alcohol.asset,484ea535a705586629c7f9be786ce9d81ef0caab831fa13e1cbbe079be010b39
v27.mass.recipe-inventory.3,recipe:ammo:armor-piercing-cartridge,Transform,true,material:cartridge-paper*1|material:granulated-powder*1|material:lead-shot*4,ammo:armor-piercing-cartridge*6@1,1775,0,1650,1650,1650,0,125,125,1775,1650,1650,1650,125,125,0,,,false,false,process-loss@1,reviewed-exact,Assets/Resources/SO/Economy/Recipes/ResearchOverhaul/V3R129_철갑_탄약.asset,04c3c5976c9f9314151dfbc188cb103a23a2f12431f916280e4d553a13661ffb
v27.mass.recipe-inventory.3,recipe:ammo:blacksteel-bolt,Transform,true,material:blacksteel-ingot*1|material:laminated-lumber*1,ammo:blacksteel-bolt*6@1,2600,0,900,900,900,0,1700,1700,2600,900,900,900,1700,1700,0,,,false,false,process-loss@1,reviewed-exact,Assets/Resources/SO/Economy/Recipes/ResearchOverhaul/V3R132_흑강_볼트.asset,4bcd5c27a8c5c922b271d8e119908123e6546c30cb33ea983e42c4cf0acba9e1
v27.mass.recipe-inventory.3,recipe:ammo:blasting-charge,Transform,true,material:black-powder*2|material:paper*1|material:rope*1,ammo:blasting-charge*2@1,6200,0,5800,5800,5800,0,400,400,6200,5800,5800,5800,400,400,0,,,false,false,process-loss@1,reviewed-exact,Assets/Resources/SO/Economy/Recipes/ResearchOverhaul/V3R20_발파_장약.asset,0d0bc86c4469f35f1da711b8140417282263008a7aeb7233f73fff48e88d5a35
v27.mass.recipe-inventory.3,recipe:ammo:incendiary-arrow,Transform,true,ammo:arrow-steel*6|material:granulated-powder*1,ammo:incendiary-arrow*6@1,1360,0,900,900,900,0,460,460,1360,900,900,900,460,460,0,,,false,false,process-loss@1,reviewed-exact,Assets/Resources/SO/Economy/Recipes/ResearchOverhaul/V3R126_소이_화살.asset,856ceab54f04454eceefad79267c4d615f33d2e33bf85d23a35abd265a1046bd
v27.mass.recipe-inventory.3,recipe:ammo:incendiary-bolt,Transform,true,ammo:bolt-steel*6|material:granulated-powder*1,ammo:incendiary-bolt*6@1,1480,0,900,900,900,0,580,580,1480,900,900,900,580,580,0,,,false,false,process-loss@1,reviewed-exact,Assets/Resources/SO/Economy/Recipes/ResearchOverhaul/V3R127_소이_볼트.asset,1ad893310d2a3e480ef95ac2b5bfddf44bf1357ec18c7d4f76e15eec532870f8
v27.mass.recipe-inventory.3,recipe:ammo:mana-disruptor-bolt,Transform,true,ammo:bolt-steel*6|material:mana-alloy*1,ammo:mana-disruptor-bolt*6@1,3030,0,900,900,900,0,2130,2130,3030,900,900,900,2130,2130,0,,,false,false,process-loss@1,reviewed-exact,Assets/Resources/SO/Economy/Recipes/ResearchOverhaul/V3R135_마나_차단_볼트.asset,2305ce34f28fb6fdb86dca077a67f3ce08ad98a1393d0aa97e852324627cf9cb
v27.mass.recipe-inventory.3,recipe:ammo:paper-cartridge,Transform,true,material:black-powder*1|material:lead-shot*6|material:paper*1,ammo:paper-cartridge*12@1,4000,0,3600,3600,3600,0,400,400,4000,3600,3600,3600,400,400,0,,,false,false,process-loss@1,reviewed-exact,Assets/Resources/SO/Economy/Recipes/ResearchOverhaul/V3R23_종이_탄약통.asset,c2ba06bf8df934e557d060c4b92a5fdea3546bb4f4a8207c235a250ef0629c25
v27.mass.recipe-inventory.3,recipe:ammo:rune-cartridge,Transform,true,material:cartridge-paper*1|material:granulated-powder*1|material:mana-alloy*1,ammo:rune-cartridge*6@1,3575,0,3450,3450,3450,0,125,125,3575,3450,3450,3450,125,125,0,,,false,false,process-loss@1,reviewed-exact,Assets/Resources/SO/Economy/Recipes/ResearchOverhaul/V3R133_룬_탄약통.asset,6f58eac172e32a95ff414030c38b52ce4d0072c40b47791ec8a4ebdb4b07fab3
