WILDLIFE_AI_HUNT_PLAYMODE
checks=20; failures=0
case	result	detail
SETUP	INFO	committed=True; message=준비한 사장과 직원으로 새 런을 시작했습니다.; liveStaff=2; inactiveStaffObjects=0; customerPoolInactive=0; actors=Arin:-2931198:character:staff:1:02:active=True,Roma:-2931130:character:staff:1:01:active=True; diagnostics=prepared-1:name=Roma;go=-2931102;id=character:staff:1:01;active=False || prepared-2:name=Arin;go=-2931170;id=character:staff:1:02;active=False || scan:name=Roma;go=-2931102;id=character:staff:1:01;active=True;retained=True || scan:name=Arin;go=-2931170;id=character:staff:1:02;active=True;retained=True || retained:name=Roma;go=-2931102;id=character:staff:1:01;active=True || retained:name=Arin;go=-2931170;id=character:staff:1:02;active=True
LIVE_SCOPE	PASS	DungeonRuntimeSystems
LIVE_HUNTER	PASS	Arin
WILDLIFE_RUNTIME	PASS	resolved
ITEM_RUNTIME	PASS	resolved
HUNT_WORK_ROLE	PASS	resolved
HUNT_ABILITY	PASS	resolved
LIVE_HUNT_TARGET	PASS	그림자토끼
AUTHORED_HUNT_ACTION	PASS	Hunt
HUNT_ACTION_STARTED	PASS	action=AIHunt; phase=사냥 위치로 이동
HUNT_APPLIED_DAMAGE	PASS	health=8->3
HUNT_TARGET_KILLED	PASS	alive=False; health=0; phase=; failure=
HUNT_CARCASS_EXACTLY_ONCE	PASS	carcasses=0->1
HUNT_COROUTINE_TERMINATED	PASS	isHunting=False
HUNT_ACTION_STARTED_ONCE	PASS	starts=0->1
HUNT_TERMINAL_ONCE	PASS	terminal=0->1
HUNT_COMPLETED_TERMINAL	PASS	completed=0->1
HUNT_NO_FAILED_TERMINAL	PASS	failed=0->0
HUNT_NO_RUNTIME_OWNERSHIP_LEAK	PASS	paths=0; reservations=0
HUNT_NO_INVARIANT_ANOMALY	PASS	invariants=0->0
RESULT=PASS; failures=0
