controlledEnvironment=22C/air100/light100 every5 game seconds through existing field persistence; original restored during cleanup; character exposure/needs simulation remains active
[PASS] actual preparation estimate=adult1/45WU/day/0.4day; actual enqueue; cap1/17WU unchanged
postCycleMetaMultiplier=1; pipeline=raw work rate -> completed cycle -> current participant contribution -> supplied durable research equipment -> meta research multiplier -> remaining project clamp
phase game=1.420127; kind=no-work-increment/no-movement; run=0; generic=0/0; action=; cell=(19, 0)
phase game=8.873253; kind=movement-observed; run=0; generic=0/0; action=Wait (AIWait); cell=(18, 0)
phase game=8.890506; kind=no-work-increment/no-movement; run=0; generic=0/0; action=Wait (AIWait); cell=(18, 0)
phase game=9.691495; kind=movement-observed; run=0; generic=0/0; action=Wait (AIWait); cell=(17, 0)
phase game=9.705738; kind=no-work-increment/no-movement; run=0; generic=0/0; action=Wait (AIWait); cell=(17, 0)
phase game=10.49602; kind=movement-observed; run=0; generic=0/0; action=Wait (AIWait); cell=(16, 0)
phase game=10.54133; kind=no-work-increment/no-movement; run=0; generic=0/0; action=Wait (AIWait); cell=(16, 0)
phase game=11.33424; kind=movement-observed; run=0; generic=0/0; action=Wait (AIWait); cell=(15, 0)
phase game=11.37554; kind=no-work-increment/no-movement; run=0; generic=0/0; action=Wait (AIWait); cell=(15, 0)
phase game=12.16279; kind=movement-observed; run=0; generic=0/0; action=Wait (AIWait); cell=(14, 0)
phase game=12.17792; kind=no-work-increment/no-movement; run=0; generic=0/0; action=Wait (AIWait); cell=(14, 0)
phase game=14.4206; kind=movement-observed; run=0; generic=0/0; action=Wait (AIWait); cell=(15, 0)
phase game=14.44007; kind=no-work-increment/no-movement; run=0; generic=0/0; action=Wait (AIWait); cell=(15, 0)
phase game=15.21164; kind=movement-observed; run=0; generic=0/0; action=Wait (AIWait); cell=(16, 0)
phase game=15.23313; kind=no-work-increment/no-movement; run=0; generic=0/0; action=Wait (AIWait); cell=(16, 0)
phase game=17.38056; kind=movement-observed; run=0; generic=0/0; action=Wait (AIWait); cell=(17, 0)
phase game=17.39902; kind=no-work-increment/no-movement; run=0; generic=0/0; action=Wait (AIWait); cell=(17, 0)
phase game=19.2345; kind=movement-observed; run=0; generic=0/0; action=Wait (AIWait); cell=(16, 0)
phase game=19.25296; kind=no-work-increment/no-movement; run=0; generic=0/0; action=Wait (AIWait); cell=(16, 0)
