content_type,scope,stable_id,evidence_kinds,system,code_role,confidence,source_path
SurgicalProcedureSO,content-type,,type-reference; save-restore-reference,models:medical,runtime,structural-type-consumer,Assets/Scripts/Models/Medical/Core/SurgeryContracts.cs
SurgicalProcedureSO,content-type,,type-reference,services:economy,content-loading,structural-type-consumer,Assets/Scripts/Services/Economy/ResourceEconomyContentCatalog.cs
SurgicalProcedureSO,content-type,,type-reference,services:infrastructure,content-loading,structural-type-consumer,Assets/Scripts/Services/Infrastructure/ResearchRewardCatalogAdapter.cs
SurgicalProcedureSO,content-type,,type-reference,services:medical,runtime,structural-type-consumer,Assets/Scripts/Services/Medical/SurgeryEnvironmentRuntime.cs
SurgicalProcedureSO,content-type,,type-reference,services:medical,runtime,structural-type-consumer,Assets/Scripts/Services/Medical/SurgeryOrderPlanningService.cs
SurgicalProcedureSO,content-type,,type-reference; save-restore-reference,services:medical,persistence,structural-type-consumer,Assets/Scripts/Services/Medical/SurgeryRestoreCoordinator.cs
SurgicalProcedureSO,content-type,,type-reference,services:medical,runtime,structural-type-consumer,Assets/Scripts/Services/Medical/SurgeryRiskEvaluator.cs
SurgicalProcedureSO,content-type,,type-reference; save-restore-reference,services:medical,runtime,structural-type-consumer,Assets/Scripts/Services/Medical/SurgeryRuntime.cs
SurgicalProcedureSO,content-type,,type-reference; save-restore-reference,services:medical,runtime,structural-type-consumer,Assets/Scripts/Services/Medical/SurgeryRuntimeContracts.cs
SurgicalProcedureSO,content-type,,type-reference,services:medical,runtime,structural-type-consumer,Assets/Scripts/Services/Medical/SurgeryWorkExecutionHandler.cs
SurgicalProcedureSO,content-type,,type-reference,services:medical,runtime,structural-type-consumer,Assets/Scripts/Services/Medical/SurgicalFacilityQuery.cs
SurgicalProcedureSO,content-type,,type-reference,services:medical,content-loading,structural-type-consumer,Assets/Scripts/Services/Medical/SurgicalProcedureCatalog.cs
SurgicalProcedureSO,content-type,,type-reference,views,player-observation,structural-type-consumer,Assets/Scripts/Views/Buildings/UI/SurgeryBuildingPanelPresenter.cs
SurgicalProcedureSO,content-type,,type-reference,views,player-observation,structural-type-consumer,Assets/Scripts/Views/UI/CharacterSurgeryWindow.cs
SurgicalProcedureSO,stable-id,procedure:amputation,stable-id-literal,services:medical,runtime,exact-literal-consumer,Assets/Scripts/Services/Medical/SurgeryRuntime.cs
SurgicalProcedureSO,stable-id,procedure:blood-rejuvenation,stable-id-literal,services:character,runtime,exact-literal-consumer,Assets/Scripts/Services/Character/AgeTreatmentCommandRuntime.cs
SurgicalProcedureSO,stable-id,procedure:emergency-suture,stable-id-literal,services:medical,runtime,exact-literal-consumer,Assets/Scripts/Services/Medical/SurgeryRuntime.cs
SurgicalProcedureSO,stable-id,procedure:foreign-body-removal,stable-id-literal,services:medical,runtime,exact-literal-consumer,Assets/Scripts/Services/Medical/SurgeryRuntime.cs
SurgicalProcedureSO,stable-id,procedure:golem-power-core,stable-id-literal,services:medical,runtime,exact-literal-consumer,Assets/Scripts/Services/Medical/SurgeryRuntime.cs
SurgicalProcedureSO,stable-id,procedure:golem-power-core,stable-id-literal,services:medical,runtime,exact-literal-consumer,Assets/Scripts/Services/Medical/SurgicalProcedureEffectHandlers.cs
SurgicalProcedureSO,stable-id,procedure:organ-regeneration,stable-id-literal,services:character,runtime,exact-literal-consumer,Assets/Scripts/Services/Character/AgeTreatmentCommandRuntime.cs
SurgicalProcedureSO,stable-id,procedure:rune-hibernation,stable-id-literal,services:character,runtime,exact-literal-consumer,Assets/Scripts/Services/Character/AgeTreatmentCommandRuntime.cs
SurgicalProcedureSO,stable-id,procedure:temporal-stasis,stable-id-literal,services:character,runtime,exact-literal-consumer,Assets/Scripts/Services/Character/AgeTreatmentCommandRuntime.cs
SurgicalProcedureSO,stable-id,procedure:whole-body-regeneration,stable-id-literal,services:character,runtime,exact-literal-consumer,Assets/Scripts/Services/Character/AgeTreatmentCommandRuntime.cs
