content_type,scope,stable_id,evidence_kinds,system,code_role,confidence,source_path
ResourceItemDefinitionSO,content-type,,type-reference,models:economy,content-loading,structural-type-consumer,Assets/Scripts/Models/Economy/Content/EmptyResourceEconomyContentCatalog.cs
ResourceItemDefinitionSO,content-type,,type-reference,models:economy,content-loading,structural-type-consumer,Assets/Scripts/Models/Economy/Content/ItemDefinitionCatalogSO.cs
ResourceItemDefinitionSO,content-type,,type-reference,models:economy,content-loading,structural-type-consumer,Assets/Scripts/Models/Economy/Content/ItemDefinitionSO.cs
ResourceItemDefinitionSO,content-type,,type-reference,models:economy,content-loading,structural-type-consumer,Assets/Scripts/Models/Economy/Content/MaterialEconomicProfileSO.cs
ResourceItemDefinitionSO,content-type,,type-reference,models:economy,content-loading,structural-type-consumer,Assets/Scripts/Models/Economy/Content/ProductionOutputPlanningService.cs
ResourceItemDefinitionSO,content-type,,type-reference,models:economy,content-loading,structural-type-consumer,Assets/Scripts/Models/Economy/Content/ResourceEconomyModels.cs
ResourceItemDefinitionSO,content-type,,type-reference; save-restore-reference,models:economy,content-loading,structural-type-consumer,Assets/Scripts/Models/Economy/Content/ResourceItemSemanticDigest.cs
ResourceItemDefinitionSO,content-type,,type-reference,models:economy,persistence,structural-type-consumer,Assets/Scripts/Models/Economy/Content/ResourceStockPolicySaveValidation.cs
ResourceItemDefinitionSO,content-type,,type-reference,models:economy,runtime,structural-type-consumer,Assets/Scripts/Models/Economy/Core/CharacterConsumableModels.cs
ResourceItemDefinitionSO,content-type,,type-reference; save-restore-reference,services:captivity,runtime,structural-type-consumer,Assets/Scripts/Services/Captivity/CaptivityCareLaborInputOwnerRuntime.cs
ResourceItemDefinitionSO,content-type,,type-reference; save-restore-reference,services:captivity,runtime,structural-type-consumer,Assets/Scripts/Services/Captivity/WildlifeCaptureRuntime.cs
ResourceItemDefinitionSO,content-type,,type-reference; save-restore-reference,services:captivity,runtime,structural-type-consumer,Assets/Scripts/Services/Captivity/WildlifeCareInputOwnerRuntime.cs
ResourceItemDefinitionSO,content-type,,type-reference; save-restore-reference,services:character,runtime,structural-type-consumer,Assets/Scripts/Services/Character/PhysicalVaccinationRuntime.cs
ResourceItemDefinitionSO,content-type,,type-reference; save-restore-reference,services:combat,runtime,structural-type-consumer,Assets/Scripts/Services/Combat/CharacterMedicalSupplyDestinationRuntimeDebugScenarios.cs
ResourceItemDefinitionSO,content-type,,type-reference,services:combat,runtime,structural-type-consumer,Assets/Scripts/Services/Combat/CharacterMedicalSupplyOutboxDebugScenarios.cs
ResourceItemDefinitionSO,content-type,,type-reference; save-restore-reference,services:economy,runtime,structural-type-consumer,Assets/Scripts/Services/Economy/CombatAmmunitionPreparedOutputMaterializer.cs
