content_type,scope,stable_id,evidence_kinds,system,code_role,confidence,source_path
BuildingSO,content-type,,type-reference,controllers,runtime,structural-type-consumer,Assets/Scripts/Controllers/Grid/DungeonStory/Building/DungeonStoryGridBuildingController.cs
BuildingSO,content-type,,type-reference,controllers,player-observation,structural-type-consumer,Assets/Scripts/Controllers/Grid/DungeonStory/UI/DungeonStoryGridGhostPresenter.cs
BuildingSO,content-type,,type-reference,controllers,player-observation,structural-type-consumer,Assets/Scripts/Controllers/Grid/DungeonStory/UI/GridConstructButtonFactory.cs
BuildingSO,content-type,,type-reference,controllers,player-observation,structural-type-consumer,Assets/Scripts/Controllers/Grid/DungeonStory/UI/GridConstructTab.cs
BuildingSO,content-type,,type-reference,controllers,player-observation,structural-type-consumer,Assets/Scripts/Controllers/Grid/DungeonStory/UI/GridUIManager.cs
BuildingSO,content-type,,type-reference,services:buildings,runtime,structural-type-consumer,Assets/Scripts/Services/Buildings/Abilities/BuildingAbilityAccessors.cs
BuildingSO,content-type,,type-reference,services:buildings,runtime,structural-type-consumer,Assets/Scripts/Services/Buildings/BuildableObject.SpatialAndInteraction.cs
BuildingSO,content-type,,type-reference; save-restore-reference,services:buildings,runtime,structural-type-consumer,Assets/Scripts/Services/Buildings/BuildableObject.StateAndCapabilities.cs
BuildingSO,content-type,,type-reference; save-restore-reference,services:buildings,runtime,structural-type-consumer,Assets/Scripts/Services/Buildings/BuildableObject.cs
BuildingSO,content-type,,type-reference; save-restore-reference,services:buildings,runtime,structural-type-consumer,Assets/Scripts/Services/Buildings/BuildingStructuralIntegrityRuntime.cs
BuildingSO,content-type,,type-reference,services:buildings,runtime,structural-type-consumer,Assets/Scripts/Services/Buildings/BuildingSummaryFormatter.cs
BuildingSO,content-type,,type-reference; save-restore-reference,services:buildings,runtime,structural-type-consumer,Assets/Scripts/Services/Buildings/Door.cs
BuildingSO,content-type,,type-reference; save-restore-reference,services:buildings,runtime,structural-type-consumer,Assets/Scripts/Services/Buildings/Facility.cs
BuildingSO,content-type,,type-reference,services:buildings,runtime,structural-type-consumer,Assets/Scripts/Services/Buildings/FacilityOperationalData.cs
BuildingSO,content-type,,type-reference,services:buildings,runtime,structural-type-consumer,Assets/Scripts/Services/Buildings/InteriorDoor.cs
BuildingSO,content-type,,type-reference,services:buildings,runtime,structural-type-consumer,Assets/Scripts/Services/Buildings/ModularFacilityInitialPlacementMigrator.cs
BuildingSO,content-type,,type-reference,services:buildings,content-loading,structural-type-consumer,Assets/Scripts/Services/Buildings/RuntimeBuildingArchetypeCatalog.cs
BuildingSO,content-type,,type-reference,services:buildings,runtime,structural-type-consumer,Assets/Scripts/Services/Buildings/SO/BuildingDefinitionIdentity.cs
BuildingSO,content-type,,type-reference; save-restore-reference,services:buildings,runtime,structural-type-consumer,Assets/Scripts/Services/Buildings/Shop.cs
BuildingSO,content-type,,type-reference,services:captivity,runtime,structural-type-consumer,Assets/Scripts/Services/Captivity/CircusProgramForecastProjectionAdapter.cs
BuildingSO,content-type,,type-reference; save-restore-reference,services:character,ai-decision,structural-type-consumer,Assets/Scripts/Services/Character/AI/FacilityCandidateScorer.cs
BuildingSO,content-type,,type-reference; save-restore-reference,services:character,runtime,structural-type-consumer,Assets/Scripts/Services/Character/Core/PreparedStartPartyGameplayApplier.cs
