content_type,scope,stable_id,evidence_kinds,system,code_role,confidence,source_path
ResearchUnlockBundleDefinitionSO,stable-id,research:agriculture:subterranean,stable-id-literal,models:economy,content-loading,exact-literal-consumer,Assets/Scripts/Models/Economy/Content/GrandProjectRuntime.cs
ResearchUnlockBundleDefinitionSO,stable-id,research:arcane:advanced,stable-id-literal,models:economy,content-loading,exact-literal-consumer,Assets/Scripts/Models/Economy/Content/GrandProjectRuntime.cs
ResearchUnlockBundleDefinitionSO,stable-id,research:authority:office,stable-id-literal,models:economy,content-loading,exact-literal-consumer,Assets/Scripts/Models/Economy/Content/GrandProjectRuntime.cs
ResearchUnlockBundleDefinitionSO,stable-id,research:bath-business,stable-id-literal,models:coresession,runtime,exact-literal-consumer,Assets/Scripts/Models/CoreSession/ServiceSessionContracts.cs
ResearchUnlockBundleDefinitionSO,stable-id,research:defense:alliance-signals,stable-id-literal,services:invasion,runtime,exact-literal-consumer,Assets/Scripts/Services/Invasion/InvasionDefenseKitSupplyRuntime.cs
ResearchUnlockBundleDefinitionSO,stable-id,research:defense:tactical-command,stable-id-literal,models:economy,content-loading,exact-literal-consumer,Assets/Scripts/Models/Economy/Content/GrandProjectRuntime.cs
ResearchUnlockBundleDefinitionSO,stable-id,research:equipment:lineage-binding,stable-id-literal,services:combat,runtime,exact-literal-consumer,Assets/Scripts/Services/Combat/EquipmentHistoryTransferRuntime.cs
ResearchUnlockBundleDefinitionSO,stable-id,research:equipment:precision-fitting,stable-id-literal,services:combat,runtime,exact-literal-consumer,Assets/Scripts/Services/Combat/EquipmentModuleRuntime.cs
ResearchUnlockBundleDefinitionSO,stable-id,research:equipment:relic-appraisal,stable-id-literal,services:combat,runtime,exact-literal-consumer,Assets/Scripts/Services/Combat/EquipmentModuleRuntime.cs
ResearchUnlockBundleDefinitionSO,stable-id,research:equipment:rune-module-tuning,stable-id-literal,services:combat,runtime,exact-literal-consumer,Assets/Scripts/Services/Combat/EquipmentModuleRuntime.cs
ResearchUnlockBundleDefinitionSO,stable-id,research:equipment:weapon-patterns,stable-id-literal,services:combat,runtime,exact-literal-consumer,Assets/Scripts/Services/Combat/CombatEquipmentCraftingRuntime.cs
ResearchUnlockBundleDefinitionSO,stable-id,research:health:pathogen-observation,stable-id-literal,services:economy,content-loading,exact-literal-consumer,Assets/Scripts/Services/Economy/ResourceEconomyContentCatalog.cs
ResearchUnlockBundleDefinitionSO,stable-id,research:hospitality-operations,stable-id-literal,models:coresession,runtime,exact-literal-consumer,Assets/Scripts/Models/CoreSession/ServiceSessionContracts.cs
ResearchUnlockBundleDefinitionSO,stable-id,research:husbandry:capture,stable-id-literal,services:economy,content-loading,exact-literal-consumer,Assets/Scripts/Services/Economy/ResourceEconomyContentCatalog.cs
ResearchUnlockBundleDefinitionSO,stable-id,research:medical-reception,stable-id-literal,models:coresession,runtime,exact-literal-consumer,Assets/Scripts/Models/CoreSession/ServiceSessionContracts.cs
ResearchUnlockBundleDefinitionSO,stable-id,research:medical:mycelial-grafting,stable-id-literal,services:economy,content-loading,exact-literal-consumer,Assets/Scripts/Services/Economy/ResourceEconomyContentCatalog.cs
ResearchUnlockBundleDefinitionSO,stable-id,research:mining:deep,stable-id-literal,models:economy,content-loading,exact-literal-consumer,Assets/Scripts/Models/Economy/Content/GrandProjectRuntime.cs
ResearchUnlockBundleDefinitionSO,stable-id,research:mining:deep,stable-id-literal,services:infrastructure,runtime,exact-literal-consumer,Assets/Scripts/Services/Infrastructure/DungeonSpaceExpansionRuntime.cs
ResearchUnlockBundleDefinitionSO,stable-id,research:mining:quarry,stable-id-literal,services:infrastructure,runtime,exact-literal-consumer,Assets/Scripts/Services/Infrastructure/DungeonSpaceExpansionRuntime.cs
ResearchUnlockBundleDefinitionSO,stable-id,research:mining:stonecutting,stable-id-literal,services:infrastructure,runtime,exact-literal-consumer,Assets/Scripts/Services/Infrastructure/DungeonSpaceExpansionRuntime.cs
ResearchUnlockBundleDefinitionSO,stable-id,research:service-automation,stable-id-literal,models:coresession,runtime,exact-literal-consumer,Assets/Scripts/Models/CoreSession/ServiceSessionContracts.cs
ResearchUnlockBundleDefinitionSO,stable-id,research:service-flow,stable-id-literal,models:coresession,runtime,exact-literal-consumer,Assets/Scripts/Models/CoreSession/ServiceSessionContracts.cs
ResearchUnlockBundleDefinitionSO,stable-id,research:survival:field-rations,stable-id-literal,services:offense,runtime,exact-literal-consumer,Assets/Scripts/Services/Offense/OffenseExpeditionAccessRules.cs
ResearchUnlockBundleDefinitionSO,stable-id,research:textile:tailoring,stable-id-literal,services:economy,content-loading,exact-literal-consumer,Assets/Scripts/Services/Economy/ResourceEconomyContentCatalog.cs
