record_key,stable_id,field_path,raw_value,enum_type,enum_label,value_origin
CharacterBackgroundDefinitionSO|background:archive-caretaker,background:archive-caretaker,m_Name,background_archive-caretaker,,,explicit-serialized
CharacterBackgroundDefinitionSO|background:archive-caretaker,background:archive-caretaker,stableId,background:archive-caretaker,,,explicit-serialized
CharacterBackgroundDefinitionSO|background:archive-caretaker,background:archive-caretaker,displayName,봉인 기록고지기,,,explicit-serialized
CharacterBackgroundDefinitionSO|background:archive-caretaker,background:archive-caretaker,description,읽어서는 안 될 장부를 분류하며 지식의 가치와 위험을 배웠다.,,,explicit-serialized
CharacterBackgroundDefinitionSO|background:archive-caretaker,background:archive-caretaker,authoringRevision,1,,,explicit-serialized
CharacterBackgroundDefinitionSO|background:archive-caretaker,background:archive-caretaker,sourceNote,V20 content-density expansion; hand-authored Korean source revision 1.,,,explicit-serialized
CharacterBackgroundDefinitionSO|background:archive-caretaker,background:archive-caretaker,startingSkills.0.skillId,proficiency:scholarship,,,explicit-serialized
CharacterBackgroundDefinitionSO|background:archive-caretaker,background:archive-caretaker,startingSkills.0.experience,90,,,explicit-serialized
CharacterBackgroundDefinitionSO|background:archive-caretaker,background:archive-caretaker,startingEffects.0.kind,1,,,explicit-serialized
CharacterBackgroundDefinitionSO|background:archive-caretaker,background:archive-caretaker,startingEffects.0.targetId,background-confidence,,,explicit-serialized
CharacterBackgroundDefinitionSO|background:archive-caretaker,background:archive-caretaker,startingEffects.0.amount,2,,,explicit-serialized
CharacterBackgroundDefinitionSO|background:archive-caretaker,background:archive-caretaker,startingEffects.0.durationDays,10,,,explicit-serialized
CharacterBackgroundDefinitionSO|background:archive-caretaker,background:archive-caretaker,factionReactions.0.id,faction:archive-conclave,,,explicit-serialized
CharacterBackgroundDefinitionSO|background:archive-caretaker,background:archive-caretaker,factionReactions.0.weight,2.6,,,explicit-serialized
CharacterBackgroundDefinitionSO|background:archive-caretaker,background:archive-caretaker,initialMemoryCode,memory:sealed-ledger,,,explicit-serialized
CharacterBackgroundDefinitionSO|background:camp-refugee,background:camp-refugee,m_Name,background_camp-refugee,,,explicit-serialized
CharacterBackgroundDefinitionSO|background:camp-refugee,background:camp-refugee,stableId,background:camp-refugee,,,explicit-serialized
CharacterBackgroundDefinitionSO|background:camp-refugee,background:camp-refugee,displayName,피난 행렬 출신,,,explicit-serialized
CharacterBackgroundDefinitionSO|background:camp-refugee,background:camp-refugee,description,긴 피난길에서 식량을 나누고 뒤처진 사람을 챙기는 법을 배웠다.,,,explicit-serialized
CharacterBackgroundDefinitionSO|background:camp-refugee,background:camp-refugee,authoringRevision,1,,,explicit-serialized
CharacterBackgroundDefinitionSO|background:camp-refugee,background:camp-refugee,sourceNote,V20 content-density expansion; hand-authored Korean source revision 1.,,,explicit-serialized
CharacterBackgroundDefinitionSO|background:camp-refugee,background:camp-refugee,startingSkills.0.skillId,proficiency:fieldwork,,,explicit-serialized
CharacterBackgroundDefinitionSO|background:camp-refugee,background:camp-refugee,startingSkills.0.experience,70,,,explicit-serialized
CharacterBackgroundDefinitionSO|background:camp-refugee,background:camp-refugee,startingEffects.0.kind,1,,,explicit-serialized
