record_key,stable_id,field_path,raw_value,enum_type,enum_label,value_origin
SpeciesLifeHistorySO|life-history:adventurer,life-history:adventurer,m_Name,Life_Adventurer,,,explicit-serialized
SpeciesLifeHistorySO|life-history:adventurer,life-history:adventurer,definitionId,life-history:adventurer,,,explicit-serialized
SpeciesLifeHistorySO|life-history:adventurer,life-history:adventurer,speciesTag,Adventurer,,,explicit-serialized
SpeciesLifeHistorySO|life-history:adventurer,life-history:adventurer,infantEndAgeYears,3,,,explicit-serialized
SpeciesLifeHistorySO|life-history:adventurer,life-history:adventurer,adolescentStartAgeYears,13,,,explicit-serialized
SpeciesLifeHistorySO|life-history:adventurer,life-history:adventurer,adultAgeYears,18,,,explicit-serialized
SpeciesLifeHistorySO|life-history:adventurer,life-history:adventurer,elderAgeYears,55,,,explicit-serialized
SpeciesLifeHistorySO|life-history:adventurer,life-history:adventurer,untreatedExpectedLifeYears,87.2,,,explicit-serialized
SpeciesLifeHistorySO|life-history:adventurer,life-history:adventurer,construct,0,,,explicit-serialized
SpeciesLifeHistorySO|life-history:beastkin,life-history:beastkin,m_Name,Life_Beastkin,,,explicit-serialized
SpeciesLifeHistorySO|life-history:beastkin,life-history:beastkin,definitionId,life-history:beastkin,,,explicit-serialized
SpeciesLifeHistorySO|life-history:beastkin,life-history:beastkin,speciesTag,Beastkin,,,explicit-serialized
SpeciesLifeHistorySO|life-history:beastkin,life-history:beastkin,infantEndAgeYears,2,,,explicit-serialized
SpeciesLifeHistorySO|life-history:beastkin,life-history:beastkin,adolescentStartAgeYears,11,,,explicit-serialized
SpeciesLifeHistorySO|life-history:beastkin,life-history:beastkin,adultAgeYears,14,,,explicit-serialized
SpeciesLifeHistorySO|life-history:beastkin,life-history:beastkin,elderAgeYears,48,,,explicit-serialized
SpeciesLifeHistorySO|life-history:beastkin,life-history:beastkin,untreatedExpectedLifeYears,80.2,,,explicit-serialized
SpeciesLifeHistorySO|life-history:beastkin,life-history:beastkin,construct,0,,,explicit-serialized
SpeciesLifeHistorySO|life-history:demon,life-history:demon,m_Name,Life_Demon,,,explicit-serialized
SpeciesLifeHistorySO|life-history:demon,life-history:demon,definitionId,life-history:demon,,,explicit-serialized
SpeciesLifeHistorySO|life-history:demon,life-history:demon,speciesTag,Demon,,,explicit-serialized
SpeciesLifeHistorySO|life-history:demon,life-history:demon,infantEndAgeYears,3,,,explicit-serialized
SpeciesLifeHistorySO|life-history:demon,life-history:demon,adolescentStartAgeYears,14,,,explicit-serialized
SpeciesLifeHistorySO|life-history:demon,life-history:demon,adultAgeYears,18,,,explicit-serialized
SpeciesLifeHistorySO|life-history:demon,life-history:demon,elderAgeYears,85,,,explicit-serialized
SpeciesLifeHistorySO|life-history:demon,life-history:demon,untreatedExpectedLifeYears,117.2,,,explicit-serialized
SpeciesLifeHistorySO|life-history:demon,life-history:demon,construct,0,,,explicit-serialized
SpeciesLifeHistorySO|life-history:golem,life-history:golem,m_Name,Life_Golem,,,explicit-serialized
SpeciesLifeHistorySO|life-history:golem,life-history:golem,definitionId,life-history:golem,,,explicit-serialized
SpeciesLifeHistorySO|life-history:golem,life-history:golem,speciesTag,Golem,,,explicit-serialized
SpeciesLifeHistorySO|life-history:golem,life-history:golem,infantEndAgeYears,-1,,,explicit-serialized
SpeciesLifeHistorySO|life-history:golem,life-history:golem,adolescentStartAgeYears,-1,,,explicit-serialized
SpeciesLifeHistorySO|life-history:golem,life-history:golem,adultAgeYears,0,,,explicit-serialized
SpeciesLifeHistorySO|life-history:golem,life-history:golem,elderAgeYears,90,,,explicit-serialized
SpeciesLifeHistorySO|life-history:golem,life-history:golem,untreatedExpectedLifeYears,122.2,,,explicit-serialized
SpeciesLifeHistorySO|life-history:golem,life-history:golem,construct,1,,,explicit-serialized
SpeciesLifeHistorySO|life-history:harpy,life-history:harpy,m_Name,Life_Harpy,,,explicit-serialized
SpeciesLifeHistorySO|life-history:harpy,life-history:harpy,definitionId,life-history:harpy,,,explicit-serialized
SpeciesLifeHistorySO|life-history:harpy,life-history:harpy,speciesTag,Harpy,,,explicit-serialized
SpeciesLifeHistorySO|life-history:harpy,life-history:harpy,infantEndAgeYears,2,,,explicit-serialized
SpeciesLifeHistorySO|life-history:harpy,life-history:harpy,adolescentStartAgeYears,11,,,explicit-serialized
SpeciesLifeHistorySO|life-history:harpy,life-history:harpy,adultAgeYears,14,,,explicit-serialized
SpeciesLifeHistorySO|life-history:harpy,life-history:harpy,elderAgeYears,52,,,explicit-serialized
SpeciesLifeHistorySO|life-history:harpy,life-history:harpy,untreatedExpectedLifeYears,84.2,,,explicit-serialized
SpeciesLifeHistorySO|life-history:harpy,life-history:harpy,construct,0,,,explicit-serialized
SpeciesLifeHistorySO|life-history:kobold,life-history:kobold,m_Name,Life_Kobold,,,explicit-serialized
SpeciesLifeHistorySO|life-history:kobold,life-history:kobold,definitionId,life-history:kobold,,,explicit-serialized
SpeciesLifeHistorySO|life-history:kobold,life-history:kobold,speciesTag,Kobold,,,explicit-serialized
SpeciesLifeHistorySO|life-history:kobold,life-history:kobold,infantEndAgeYears,1,,,explicit-serialized
SpeciesLifeHistorySO|life-history:kobold,life-history:kobold,adolescentStartAgeYears,8,,,explicit-serialized
SpeciesLifeHistorySO|life-history:kobold,life-history:kobold,adultAgeYears,10,,,explicit-serialized
SpeciesLifeHistorySO|life-history:kobold,life-history:kobold,elderAgeYears,38,,,explicit-serialized
SpeciesLifeHistorySO|life-history:kobold,life-history:kobold,untreatedExpectedLifeYears,70.2,,,explicit-serialized
SpeciesLifeHistorySO|life-history:kobold,life-history:kobold,construct,0,,,explicit-serialized
SpeciesLifeHistorySO|life-history:myconid,life-history:myconid,m_Name,Life_Myconid,,,explicit-serialized
SpeciesLifeHistorySO|life-history:myconid,life-history:myconid,definitionId,life-history:myconid,,,explicit-serialized
SpeciesLifeHistorySO|life-history:myconid,life-history:myconid,speciesTag,Myconid,,,explicit-serialized
SpeciesLifeHistorySO|life-history:myconid,life-history:myconid,infantEndAgeYears,1,,,explicit-serialized
SpeciesLifeHistorySO|life-history:myconid,life-history:myconid,adolescentStartAgeYears,4,,,explicit-serialized
SpeciesLifeHistorySO|life-history:myconid,life-history:myconid,adultAgeYears,6,,,explicit-serialized
SpeciesLifeHistorySO|life-history:myconid,life-history:myconid,elderAgeYears,30,,,explicit-serialized
SpeciesLifeHistorySO|life-history:myconid,life-history:myconid,untreatedExpectedLifeYears,62.2,,,explicit-serialized
SpeciesLifeHistorySO|life-history:myconid,life-history:myconid,construct,0,,,explicit-serialized
SpeciesLifeHistorySO|life-history:orc,life-history:orc,m_Name,Life_Orc,,,explicit-serialized
SpeciesLifeHistorySO|life-history:orc,life-history:orc,definitionId,life-history:orc,,,explicit-serialized
SpeciesLifeHistorySO|life-history:orc,life-history:orc,speciesTag,Orc,,,explicit-serialized
SpeciesLifeHistorySO|life-history:orc,life-history:orc,infantEndAgeYears,2,,,explicit-serialized
SpeciesLifeHistorySO|life-history:orc,life-history:orc,adolescentStartAgeYears,11,,,explicit-serialized
SpeciesLifeHistorySO|life-history:orc,life-history:orc,adultAgeYears,14,,,explicit-serialized
SpeciesLifeHistorySO|life-history:orc,life-history:orc,elderAgeYears,45,,,explicit-serialized
SpeciesLifeHistorySO|life-history:orc,life-history:orc,untreatedExpectedLifeYears,77.2,,,explicit-serialized
SpeciesLifeHistorySO|life-history:orc,life-history:orc,construct,0,,,explicit-serialized
SpeciesLifeHistorySO|life-history:slime,life-history:slime,m_Name,Life_Slime,,,explicit-serialized
SpeciesLifeHistorySO|life-history:slime,life-history:slime,definitionId,life-history:slime,,,explicit-serialized
SpeciesLifeHistorySO|life-history:slime,life-history:slime,speciesTag,Slime,,,explicit-serialized
SpeciesLifeHistorySO|life-history:slime,life-history:slime,infantEndAgeYears,1,,,explicit-serialized
SpeciesLifeHistorySO|life-history:slime,life-history:slime,adolescentStartAgeYears,6,,,explicit-serialized
SpeciesLifeHistorySO|life-history:slime,life-history:slime,adultAgeYears,8,,,explicit-serialized
SpeciesLifeHistorySO|life-history:slime,life-history:slime,elderAgeYears,42,,,explicit-serialized
SpeciesLifeHistorySO|life-history:slime,life-history:slime,untreatedExpectedLifeYears,74.2,,,explicit-serialized
SpeciesLifeHistorySO|life-history:slime,life-history:slime,construct,0,,,explicit-serialized
SpeciesLifeHistorySO|life-history:vampire,life-history:vampire,m_Name,Life_Vampire,,,explicit-serialized
SpeciesLifeHistorySO|life-history:vampire,life-history:vampire,definitionId,life-history:vampire,,,explicit-serialized
SpeciesLifeHistorySO|life-history:vampire,life-history:vampire,speciesTag,Vampire,,,explicit-serialized
SpeciesLifeHistorySO|life-history:vampire,life-history:vampire,infantEndAgeYears,3,,,explicit-serialized
SpeciesLifeHistorySO|life-history:vampire,life-history:vampire,adolescentStartAgeYears,14,,,explicit-serialized
SpeciesLifeHistorySO|life-history:vampire,life-history:vampire,adultAgeYears,18,,,explicit-serialized
SpeciesLifeHistorySO|life-history:vampire,life-history:vampire,elderAgeYears,130,,,explicit-serialized
SpeciesLifeHistorySO|life-history:vampire,life-history:vampire,untreatedExpectedLifeYears,162.2,,,explicit-serialized
SpeciesLifeHistorySO|life-history:vampire,life-history:vampire,construct,0,,,explicit-serialized
