record_key,stable_id,field_path,raw_value,enum_type,enum_label,value_origin
AnatomyConditionLexiconSO|condition:biological,condition:biological,m_Name,condition_biological,,,explicit-serialized
AnatomyConditionLexiconSO|condition:biological,condition:biological,lexiconId,condition:biological,,,explicit-serialized
AnatomyConditionLexiconSO|condition:biological,condition:biological,anatomyFamily,humanoid,,,explicit-serialized
AnatomyConditionLexiconSO|condition:biological,condition:biological,speciesIds.0,human,,,explicit-serialized
AnatomyConditionLexiconSO|condition:biological,condition:biological,speciesIds.1,orc,,,explicit-serialized
AnatomyConditionLexiconSO|condition:biological,condition:biological,speciesIds.2,beastkin,,,explicit-serialized
AnatomyConditionLexiconSO|condition:biological,condition:biological,speciesIds.3,kobold,,,explicit-serialized
AnatomyConditionLexiconSO|condition:biological,condition:biological,entries.0.condition,0,AnatomyConditionKind,Fluid Loss,explicit-serialized
AnatomyConditionLexiconSO|condition:biological,condition:biological,entries.0.label,출혈,,,explicit-serialized
AnatomyConditionLexiconSO|condition:biological,condition:biological,entries.0.treatmentVerb,치료,,,explicit-serialized
AnatomyConditionLexiconSO|condition:biological,condition:biological,entries.0.iconId,condition:fluidloss,,,explicit-serialized
AnatomyConditionLexiconSO|condition:biological,condition:biological,entries.0.vfxId,medical:fluidloss,,,explicit-serialized
AnatomyConditionLexiconSO|condition:biological,condition:biological,entries.1.condition,1,AnatomyConditionKind,Contamination,explicit-serialized
AnatomyConditionLexiconSO|condition:biological,condition:biological,entries.1.label,감염,,,explicit-serialized
AnatomyConditionLexiconSO|condition:biological,condition:biological,entries.1.treatmentVerb,치료,,,explicit-serialized
AnatomyConditionLexiconSO|condition:biological,condition:biological,entries.1.iconId,condition:contamination,,,explicit-serialized
AnatomyConditionLexiconSO|condition:biological,condition:biological,entries.1.vfxId,medical:contamination,,,explicit-serialized
AnatomyConditionLexiconSO|condition:biological,condition:biological,entries.2.condition,2,AnatomyConditionKind,Overstrain,explicit-serialized
AnatomyConditionLexiconSO|condition:biological,condition:biological,entries.2.label,쇼크,,,explicit-serialized
AnatomyConditionLexiconSO|condition:biological,condition:biological,entries.2.treatmentVerb,치료,,,explicit-serialized
AnatomyConditionLexiconSO|condition:biological,condition:biological,entries.2.iconId,condition:overstrain,,,explicit-serialized
AnatomyConditionLexiconSO|condition:biological,condition:biological,entries.2.vfxId,medical:overstrain,,,explicit-serialized
AnatomyConditionLexiconSO|condition:biological,condition:biological,entries.3.condition,3,AnatomyConditionKind,Fracture,explicit-serialized
AnatomyConditionLexiconSO|condition:biological,condition:biological,entries.3.label,골절·파열,,,explicit-serialized
AnatomyConditionLexiconSO|condition:biological,condition:biological,entries.3.treatmentVerb,치료,,,explicit-serialized
AnatomyConditionLexiconSO|condition:biological,condition:biological,entries.3.iconId,condition:fracture,,,explicit-serialized
AnatomyConditionLexiconSO|condition:biological,condition:biological,entries.3.vfxId,medical:fracture,,,explicit-serialized
AnatomyConditionLexiconSO|condition:biological,condition:biological,entries.4.condition,4,AnatomyConditionKind,Part Failure,explicit-serialized
AnatomyConditionLexiconSO|condition:biological,condition:biological,entries.4.label,장기 정지,,,explicit-serialized
AnatomyConditionLexiconSO|condition:biological,condition:biological,entries.4.treatmentVerb,치료,,,explicit-serialized
AnatomyConditionLexiconSO|condition:biological,condition:biological,entries.4.iconId,condition:partfailure,,,explicit-serialized
AnatomyConditionLexiconSO|condition:biological,condition:biological,entries.4.vfxId,medical:partfailure,,,explicit-serialized
AnatomyConditionLexiconSO|condition:biological,condition:biological,entries.5.condition,5,AnatomyConditionKind,Compatibility Failure,explicit-serialized
AnatomyConditionLexiconSO|condition:biological,condition:biological,entries.5.label,거부 반응,,,explicit-serialized
AnatomyConditionLexiconSO|condition:biological,condition:biological,entries.5.treatmentVerb,치료,,,explicit-serialized
AnatomyConditionLexiconSO|condition:biological,condition:biological,entries.5.iconId,condition:compatibilityfailure,,,explicit-serialized
AnatomyConditionLexiconSO|condition:biological,condition:biological,entries.5.vfxId,medical:compatibilityfailure,,,explicit-serialized
AnatomyConditionLexiconSO|condition:biological,condition:biological,entries.6.condition,6,AnatomyConditionKind,Treatment Required,explicit-serialized
AnatomyConditionLexiconSO|condition:biological,condition:biological,entries.6.label,치료·수술,,,explicit-serialized
AnatomyConditionLexiconSO|condition:biological,condition:biological,entries.6.treatmentVerb,치료,,,explicit-serialized
AnatomyConditionLexiconSO|condition:biological,condition:biological,entries.6.iconId,condition:treatmentrequired,,,explicit-serialized
AnatomyConditionLexiconSO|condition:biological,condition:biological,entries.6.vfxId,medical:treatmentrequired,,,explicit-serialized
AnatomyConditionLexiconSO|condition:biological,condition:biological,condition,0,AnatomyConditionKind,Fluid Loss,implicit-csharp-default
AnatomyConditionLexiconSO|condition:demon,condition:demon,m_Name,condition_demon,,,explicit-serialized
AnatomyConditionLexiconSO|condition:demon,condition:demon,lexiconId,condition:demon,,,explicit-serialized
AnatomyConditionLexiconSO|condition:demon,condition:demon,anatomyFamily,humanoid,,,explicit-serialized
AnatomyConditionLexiconSO|condition:demon,condition:demon,speciesIds.0,demon,,,explicit-serialized
AnatomyConditionLexiconSO|condition:demon,condition:demon,entries.0.condition,0,AnatomyConditionKind,Fluid Loss,explicit-serialized
AnatomyConditionLexiconSO|condition:demon,condition:demon,entries.0.label,마력 누출,,,explicit-serialized
AnatomyConditionLexiconSO|condition:demon,condition:demon,entries.0.treatmentVerb,룬 봉합,,,explicit-serialized
AnatomyConditionLexiconSO|condition:demon,condition:demon,entries.0.iconId,condition:fluidloss,,,explicit-serialized
AnatomyConditionLexiconSO|condition:demon,condition:demon,entries.0.vfxId,medical:fluidloss,,,explicit-serialized
AnatomyConditionLexiconSO|condition:demon,condition:demon,entries.1.condition,1,AnatomyConditionKind,Contamination,explicit-serialized
