record_key,stable_id,field_path,raw_value,enum_type,enum_label,value_origin
DefenseCorrosionEffectSO|asset:P1_CorrosionFreezer_2_Corrosion,asset:P1_CorrosionFreezer_2_Corrosion,m_Name,P1_CorrosionFreezer_2_Corrosion,,,explicit-serialized
DefenseCorrosionEffectSO|asset:P1_CorrosionFreezer_2_Corrosion,asset:P1_CorrosionFreezer_2_Corrosion,amount,0.45,,,explicit-serialized
DefenseCorrosionEffectSO|asset:P1_CorrosionFreezer_2_Corrosion,asset:P1_CorrosionFreezer_2_Corrosion,duration,12,,,explicit-serialized
DefenseCorrosionEffectSO|asset:P1_CorrosionFreezer_2_Corrosion,asset:P1_CorrosionFreezer_2_Corrosion,stacks,1,,,explicit-serialized
DefenseCorrosionEffectSO|asset:P1_CorrosionFreezer_2_Corrosion,asset:P1_CorrosionFreezer_2_Corrosion,logTag,부식,,,explicit-serialized
DefenseCorrosionEffectSO|asset:P1_PoisonPool_2_Corrosion,asset:P1_PoisonPool_2_Corrosion,m_Name,P1_PoisonPool_2_Corrosion,,,explicit-serialized
DefenseCorrosionEffectSO|asset:P1_PoisonPool_2_Corrosion,asset:P1_PoisonPool_2_Corrosion,amount,0.25,,,explicit-serialized
DefenseCorrosionEffectSO|asset:P1_PoisonPool_2_Corrosion,asset:P1_PoisonPool_2_Corrosion,duration,8,,,explicit-serialized
DefenseCorrosionEffectSO|asset:P1_PoisonPool_2_Corrosion,asset:P1_PoisonPool_2_Corrosion,stacks,1,,,explicit-serialized
DefenseCorrosionEffectSO|asset:P1_PoisonPool_2_Corrosion,asset:P1_PoisonPool_2_Corrosion,logTag,부식,,,explicit-serialized
DefenseCorrosionEffectSO|asset:P1_VenomSpikeTrap_2_Corrosion,asset:P1_VenomSpikeTrap_2_Corrosion,m_Name,P1_VenomSpikeTrap_2_Corrosion,,,explicit-serialized
DefenseCorrosionEffectSO|asset:P1_VenomSpikeTrap_2_Corrosion,asset:P1_VenomSpikeTrap_2_Corrosion,amount,0.35,,,explicit-serialized
DefenseCorrosionEffectSO|asset:P1_VenomSpikeTrap_2_Corrosion,asset:P1_VenomSpikeTrap_2_Corrosion,duration,10,,,explicit-serialized
DefenseCorrosionEffectSO|asset:P1_VenomSpikeTrap_2_Corrosion,asset:P1_VenomSpikeTrap_2_Corrosion,stacks,1,,,explicit-serialized
DefenseCorrosionEffectSO|asset:P1_VenomSpikeTrap_2_Corrosion,asset:P1_VenomSpikeTrap_2_Corrosion,logTag,부식,,,explicit-serialized
