record_key,stable_id,field_path,raw_value,enum_type,enum_label,value_origin
DiseaseDefinitionSO|condition:core-corrosion,condition:core-corrosion,m_Name,Disease_condition-core-corrosion,,,explicit-serialized
DiseaseDefinitionSO|condition:core-corrosion,condition:core-corrosion,stableId,condition:core-corrosion,,,explicit-serialized
DiseaseDefinitionSO|condition:core-corrosion,condition:core-corrosion,displayName,핵 부식,,,explicit-serialized
DiseaseDefinitionSO|condition:core-corrosion,condition:core-corrosion,routes,128,DiseaseTransmissionRoute,Environment,explicit-serialized
DiseaseDefinitionSO|condition:core-corrosion,condition:core-corrosion,incubationDays,0,,,explicit-serialized
DiseaseDefinitionSO|condition:core-corrosion,condition:core-corrosion,contagiousDays,0,,,explicit-serialized
DiseaseDefinitionSO|condition:core-corrosion,condition:core-corrosion,baseInfectionProbability,0,,,explicit-serialized
DiseaseDefinitionSO|condition:core-corrosion,condition:core-corrosion,baseSeverity,60,,,explicit-serialized
DiseaseDefinitionSO|condition:core-corrosion,condition:core-corrosion,targetSystem,0,DiseaseTargetSystem,Core,explicit-serialized
DiseaseDefinitionSO|condition:core-corrosion,condition:core-corrosion,vaccineAllowed,0,,,explicit-serialized
DiseaseDefinitionSO|condition:core-corrosion,condition:core-corrosion,chronic,1,,,explicit-serialized
DiseaseDefinitionSO|condition:core-corrosion,condition:core-corrosion,description,핵 부식의 고유 전파와 기관 증상.,,,explicit-serialized
DiseaseDefinitionSO|condition:core-corrosion,condition:core-corrosion,authoringRevision,1,,,explicit-serialized
DiseaseDefinitionSO|condition:core-corrosion,condition:core-corrosion,sourceNote,V19 disease upgraded to V20 symptom/response contract.,,,explicit-serialized
DiseaseDefinitionSO|condition:core-corrosion,condition:core-corrosion,symptomProfileId,symptom:condition:core-corrosion,,,explicit-serialized
DiseaseDefinitionSO|condition:core-corrosion,condition:core-corrosion,fieldResponseIds.0,response:isolate:condition:core-corrosion,,,explicit-serialized
DiseaseDefinitionSO|condition:core-corrosion,condition:core-corrosion,fieldResponseIds.1,response:environment:condition:core-corrosion,,,explicit-serialized
DiseaseDefinitionSO|disease:ash-lung,disease:ash-lung,m_Name,disease_ash-lung,,,explicit-serialized
DiseaseDefinitionSO|disease:ash-lung,disease:ash-lung,stableId,disease:ash-lung,,,explicit-serialized
DiseaseDefinitionSO|disease:ash-lung,disease:ash-lung,displayName,재먼지폐,,,explicit-serialized
DiseaseDefinitionSO|disease:ash-lung,disease:ash-lung,routes,1,DiseaseTransmissionRoute,Air,explicit-serialized
DiseaseDefinitionSO|disease:ash-lung,disease:ash-lung,incubationDays,4,,,explicit-serialized
DiseaseDefinitionSO|disease:ash-lung,disease:ash-lung,contagiousDays,14,,,explicit-serialized
DiseaseDefinitionSO|disease:ash-lung,disease:ash-lung,baseInfectionProbability,0.09,,,explicit-serialized
DiseaseDefinitionSO|disease:ash-lung,disease:ash-lung,baseSeverity,52,,,explicit-serialized
