record_key,stable_id,field_path,raw_value,enum_type,enum_label,value_origin
EnemyAbilityDefinitionSO|enemy-ability:arcane-null,enemy-ability:arcane-null,m_Name,enemy-ability_arcane-null,,,explicit-serialized
EnemyAbilityDefinitionSO|enemy-ability:arcane-null,enemy-ability:arcane-null,stableId,enemy-ability:arcane-null,,,explicit-serialized
EnemyAbilityDefinitionSO|enemy-ability:arcane-null,enemy-ability:arcane-null,displayName,마법 차단,,,explicit-serialized
EnemyAbilityDefinitionSO|enemy-ability:arcane-null,enemy-ability:arcane-null,description,대상의 비전 강화 효과를 제거하고 취약하게 만든다.,,,explicit-serialized
EnemyAbilityDefinitionSO|enemy-ability:arcane-null,enemy-ability:arcane-null,authoringRevision,1,,,explicit-serialized
EnemyAbilityDefinitionSO|enemy-ability:arcane-null,enemy-ability:arcane-null,sourceNote,V20 hand-authored enemy ability.,,,explicit-serialized
EnemyAbilityDefinitionSO|enemy-ability:arcane-null,enemy-ability:arcane-null,cooldownRounds,4,,,explicit-serialized
EnemyAbilityDefinitionSO|enemy-ability:arcane-null,enemy-ability:arcane-null,targetRule,2,OffenseBattleTargetRule,Enemy,explicit-serialized
EnemyAbilityDefinitionSO|enemy-ability:arcane-null,enemy-ability:arcane-null,effects.0.kind,8,V20ContentEffectKind,FactionObligation (세력 의무),explicit-serialized
EnemyAbilityDefinitionSO|enemy-ability:arcane-null,enemy-ability:arcane-null,effects.0.magnitude,1,,,explicit-serialized
EnemyAbilityDefinitionSO|enemy-ability:arcane-null,enemy-ability:arcane-null,effects.0.durationRounds,0,,,explicit-serialized
EnemyAbilityDefinitionSO|enemy-ability:arcane-null,enemy-ability:arcane-null,effects.0.targetTag,arcane,,,explicit-serialized
EnemyAbilityDefinitionSO|enemy-ability:arcane-null,enemy-ability:arcane-null,kind,0,EnemyAbilityEffectKind,Damage,implicit-csharp-default
EnemyAbilityDefinitionSO|enemy-ability:armor-break,enemy-ability:armor-break,m_Name,enemy-ability_armor-break,,,explicit-serialized
EnemyAbilityDefinitionSO|enemy-ability:armor-break,enemy-ability:armor-break,stableId,enemy-ability:armor-break,,,explicit-serialized
EnemyAbilityDefinitionSO|enemy-ability:armor-break,enemy-ability:armor-break,displayName,갑주 파쇄,,,explicit-serialized
EnemyAbilityDefinitionSO|enemy-ability:armor-break,enemy-ability:armor-break,description,단단한 목표의 방어를 약화시키는 강타를 가한다.,,,explicit-serialized
EnemyAbilityDefinitionSO|enemy-ability:armor-break,enemy-ability:armor-break,authoringRevision,1,,,explicit-serialized
EnemyAbilityDefinitionSO|enemy-ability:armor-break,enemy-ability:armor-break,sourceNote,V20 hand-authored enemy ability.,,,explicit-serialized
EnemyAbilityDefinitionSO|enemy-ability:armor-break,enemy-ability:armor-break,cooldownRounds,3,,,explicit-serialized
EnemyAbilityDefinitionSO|enemy-ability:armor-break,enemy-ability:armor-break,targetRule,2,OffenseBattleTargetRule,Enemy,explicit-serialized
EnemyAbilityDefinitionSO|enemy-ability:armor-break,enemy-ability:armor-break,effects.0.kind,4,V20ContentEffectKind,Health (건강),explicit-serialized
EnemyAbilityDefinitionSO|enemy-ability:armor-break,enemy-ability:armor-break,effects.0.magnitude,0.3,,,explicit-serialized
EnemyAbilityDefinitionSO|enemy-ability:armor-break,enemy-ability:armor-break,effects.0.durationRounds,2,,,explicit-serialized
EnemyAbilityDefinitionSO|enemy-ability:armor-break,enemy-ability:armor-break,effects.0.targetTag,armored,,,explicit-serialized
EnemyAbilityDefinitionSO|enemy-ability:armor-break,enemy-ability:armor-break,kind,0,EnemyAbilityEffectKind,Damage,implicit-csharp-default
EnemyAbilityDefinitionSO|enemy-ability:blood-drain,enemy-ability:blood-drain,m_Name,enemy-ability_blood-drain,,,explicit-serialized
EnemyAbilityDefinitionSO|enemy-ability:blood-drain,enemy-ability:blood-drain,stableId,enemy-ability:blood-drain,,,explicit-serialized
EnemyAbilityDefinitionSO|enemy-ability:blood-drain,enemy-ability:blood-drain,displayName,혈액 흡수,,,explicit-serialized
EnemyAbilityDefinitionSO|enemy-ability:blood-drain,enemy-ability:blood-drain,description,상처 입은 대상에게 피해를 주고 자신을 회복한다.,,,explicit-serialized
EnemyAbilityDefinitionSO|enemy-ability:blood-drain,enemy-ability:blood-drain,authoringRevision,1,,,explicit-serialized
EnemyAbilityDefinitionSO|enemy-ability:blood-drain,enemy-ability:blood-drain,sourceNote,V20 hand-authored enemy ability.,,,explicit-serialized
EnemyAbilityDefinitionSO|enemy-ability:blood-drain,enemy-ability:blood-drain,cooldownRounds,3,,,explicit-serialized
EnemyAbilityDefinitionSO|enemy-ability:blood-drain,enemy-ability:blood-drain,targetRule,2,OffenseBattleTargetRule,Enemy,explicit-serialized
EnemyAbilityDefinitionSO|enemy-ability:blood-drain,enemy-ability:blood-drain,effects.0.kind,0,V20ContentEffectKind,None (없음),explicit-serialized
EnemyAbilityDefinitionSO|enemy-ability:blood-drain,enemy-ability:blood-drain,effects.0.magnitude,1.2,,,explicit-serialized
EnemyAbilityDefinitionSO|enemy-ability:blood-drain,enemy-ability:blood-drain,effects.0.durationRounds,0,,,explicit-serialized
EnemyAbilityDefinitionSO|enemy-ability:blood-drain,enemy-ability:blood-drain,effects.0.targetTag,wounded,,,explicit-serialized
EnemyAbilityDefinitionSO|enemy-ability:blood-drain,enemy-ability:blood-drain,kind,0,EnemyAbilityEffectKind,Damage,implicit-csharp-default
EnemyAbilityDefinitionSO|enemy-ability:charge,enemy-ability:charge,m_Name,enemy-ability_charge,,,explicit-serialized
EnemyAbilityDefinitionSO|enemy-ability:charge,enemy-ability:charge,stableId,enemy-ability:charge,,,explicit-serialized
EnemyAbilityDefinitionSO|enemy-ability:charge,enemy-ability:charge,displayName,돌진,,,explicit-serialized
EnemyAbilityDefinitionSO|enemy-ability:charge,enemy-ability:charge,description,거리를 좁히며 첫 타격의 충격을 높인다.,,,explicit-serialized
EnemyAbilityDefinitionSO|enemy-ability:charge,enemy-ability:charge,authoringRevision,1,,,explicit-serialized
EnemyAbilityDefinitionSO|enemy-ability:charge,enemy-ability:charge,sourceNote,V20 hand-authored enemy ability.,,,explicit-serialized
EnemyAbilityDefinitionSO|enemy-ability:charge,enemy-ability:charge,cooldownRounds,2,,,explicit-serialized
EnemyAbilityDefinitionSO|enemy-ability:charge,enemy-ability:charge,targetRule,2,OffenseBattleTargetRule,Enemy,explicit-serialized
EnemyAbilityDefinitionSO|enemy-ability:charge,enemy-ability:charge,effects.0.kind,0,V20ContentEffectKind,None (없음),explicit-serialized
EnemyAbilityDefinitionSO|enemy-ability:charge,enemy-ability:charge,effects.0.magnitude,1.25,,,explicit-serialized
EnemyAbilityDefinitionSO|enemy-ability:charge,enemy-ability:charge,effects.0.durationRounds,0,,,explicit-serialized
EnemyAbilityDefinitionSO|enemy-ability:charge,enemy-ability:charge,effects.0.targetTag,front,,,explicit-serialized
EnemyAbilityDefinitionSO|enemy-ability:charge,enemy-ability:charge,kind,0,EnemyAbilityEffectKind,Damage,implicit-csharp-default
EnemyAbilityDefinitionSO|enemy-ability:core-repair,enemy-ability:core-repair,m_Name,enemy-ability_core-repair,,,explicit-serialized
EnemyAbilityDefinitionSO|enemy-ability:core-repair,enemy-ability:core-repair,stableId,enemy-ability:core-repair,,,explicit-serialized
EnemyAbilityDefinitionSO|enemy-ability:core-repair,enemy-ability:core-repair,displayName,핵 긴급수리,,,explicit-serialized
EnemyAbilityDefinitionSO|enemy-ability:core-repair,enemy-ability:core-repair,description,구성체의 핵과 외장을 전투 중 수리한다.,,,explicit-serialized
EnemyAbilityDefinitionSO|enemy-ability:core-repair,enemy-ability:core-repair,authoringRevision,1,,,explicit-serialized
EnemyAbilityDefinitionSO|enemy-ability:core-repair,enemy-ability:core-repair,sourceNote,V20 hand-authored enemy ability.,,,explicit-serialized
EnemyAbilityDefinitionSO|enemy-ability:core-repair,enemy-ability:core-repair,cooldownRounds,4,,,explicit-serialized
EnemyAbilityDefinitionSO|enemy-ability:core-repair,enemy-ability:core-repair,targetRule,1,OffenseBattleTargetRule,Ally,explicit-serialized
EnemyAbilityDefinitionSO|enemy-ability:core-repair,enemy-ability:core-repair,effects.0.kind,2,V20ContentEffectKind,Trauma (트라우마),explicit-serialized
EnemyAbilityDefinitionSO|enemy-ability:core-repair,enemy-ability:core-repair,effects.0.magnitude,24,,,explicit-serialized
EnemyAbilityDefinitionSO|enemy-ability:core-repair,enemy-ability:core-repair,effects.0.durationRounds,0,,,explicit-serialized
EnemyAbilityDefinitionSO|enemy-ability:core-repair,enemy-ability:core-repair,effects.0.targetTag,construct,,,explicit-serialized
EnemyAbilityDefinitionSO|enemy-ability:core-repair,enemy-ability:core-repair,kind,0,EnemyAbilityEffectKind,Damage,implicit-csharp-default
EnemyAbilityDefinitionSO|enemy-ability:field-dressing,enemy-ability:field-dressing,m_Name,enemy-ability_field-dressing,,,explicit-serialized
EnemyAbilityDefinitionSO|enemy-ability:field-dressing,enemy-ability:field-dressing,stableId,enemy-ability:field-dressing,,,explicit-serialized
EnemyAbilityDefinitionSO|enemy-ability:field-dressing,enemy-ability:field-dressing,displayName,야전 처치,,,explicit-serialized
EnemyAbilityDefinitionSO|enemy-ability:field-dressing,enemy-ability:field-dressing,description,가장 크게 다친 아군의 출혈과 체력을 회복한다.,,,explicit-serialized
EnemyAbilityDefinitionSO|enemy-ability:field-dressing,enemy-ability:field-dressing,authoringRevision,1,,,explicit-serialized
EnemyAbilityDefinitionSO|enemy-ability:field-dressing,enemy-ability:field-dressing,sourceNote,V20 hand-authored enemy ability.,,,explicit-serialized
EnemyAbilityDefinitionSO|enemy-ability:field-dressing,enemy-ability:field-dressing,cooldownRounds,3,,,explicit-serialized
EnemyAbilityDefinitionSO|enemy-ability:field-dressing,enemy-ability:field-dressing,targetRule,1,OffenseBattleTargetRule,Ally,explicit-serialized
EnemyAbilityDefinitionSO|enemy-ability:field-dressing,enemy-ability:field-dressing,effects.0.kind,2,V20ContentEffectKind,Trauma (트라우마),explicit-serialized
EnemyAbilityDefinitionSO|enemy-ability:field-dressing,enemy-ability:field-dressing,effects.0.magnitude,18,,,explicit-serialized
EnemyAbilityDefinitionSO|enemy-ability:field-dressing,enemy-ability:field-dressing,effects.0.durationRounds,0,,,explicit-serialized
EnemyAbilityDefinitionSO|enemy-ability:field-dressing,enemy-ability:field-dressing,effects.0.targetTag,injured-ally,,,explicit-serialized
EnemyAbilityDefinitionSO|enemy-ability:field-dressing,enemy-ability:field-dressing,kind,0,EnemyAbilityEffectKind,Damage,implicit-csharp-default
EnemyAbilityDefinitionSO|enemy-ability:frost-bind,enemy-ability:frost-bind,m_Name,enemy-ability_frost-bind,,,explicit-serialized
EnemyAbilityDefinitionSO|enemy-ability:frost-bind,enemy-ability:frost-bind,stableId,enemy-ability:frost-bind,,,explicit-serialized
EnemyAbilityDefinitionSO|enemy-ability:frost-bind,enemy-ability:frost-bind,displayName,서리 구속,,,explicit-serialized
EnemyAbilityDefinitionSO|enemy-ability:frost-bind,enemy-ability:frost-bind,description,대상의 이동과 다음 행동을 크게 늦춘다.,,,explicit-serialized
EnemyAbilityDefinitionSO|enemy-ability:frost-bind,enemy-ability:frost-bind,authoringRevision,1,,,explicit-serialized
EnemyAbilityDefinitionSO|enemy-ability:frost-bind,enemy-ability:frost-bind,sourceNote,V20 hand-authored enemy ability.,,,explicit-serialized
EnemyAbilityDefinitionSO|enemy-ability:frost-bind,enemy-ability:frost-bind,cooldownRounds,3,,,explicit-serialized
EnemyAbilityDefinitionSO|enemy-ability:frost-bind,enemy-ability:frost-bind,targetRule,2,OffenseBattleTargetRule,Enemy,explicit-serialized
EnemyAbilityDefinitionSO|enemy-ability:frost-bind,enemy-ability:frost-bind,effects.0.kind,3,V20ContentEffectKind,SkillExperience (숙련 경험치),explicit-serialized
EnemyAbilityDefinitionSO|enemy-ability:frost-bind,enemy-ability:frost-bind,effects.0.magnitude,3,,,explicit-serialized
EnemyAbilityDefinitionSO|enemy-ability:frost-bind,enemy-ability:frost-bind,effects.0.durationRounds,2,,,explicit-serialized
EnemyAbilityDefinitionSO|enemy-ability:frost-bind,enemy-ability:frost-bind,effects.0.targetTag,fast,,,explicit-serialized
EnemyAbilityDefinitionSO|enemy-ability:frost-bind,enemy-ability:frost-bind,kind,0,EnemyAbilityEffectKind,Damage,implicit-csharp-default
EnemyAbilityDefinitionSO|enemy-ability:hook-pull,enemy-ability:hook-pull,m_Name,enemy-ability_hook-pull,,,explicit-serialized
EnemyAbilityDefinitionSO|enemy-ability:hook-pull,enemy-ability:hook-pull,stableId,enemy-ability:hook-pull,,,explicit-serialized
EnemyAbilityDefinitionSO|enemy-ability:hook-pull,enemy-ability:hook-pull,displayName,갈고리 끌기,,,explicit-serialized
EnemyAbilityDefinitionSO|enemy-ability:hook-pull,enemy-ability:hook-pull,description,후열 대상을 전열로 끌어내 진형을 무너뜨린다.,,,explicit-serialized
EnemyAbilityDefinitionSO|enemy-ability:hook-pull,enemy-ability:hook-pull,authoringRevision,1,,,explicit-serialized
EnemyAbilityDefinitionSO|enemy-ability:hook-pull,enemy-ability:hook-pull,sourceNote,V20 hand-authored enemy ability.,,,explicit-serialized
EnemyAbilityDefinitionSO|enemy-ability:hook-pull,enemy-ability:hook-pull,cooldownRounds,3,,,explicit-serialized
EnemyAbilityDefinitionSO|enemy-ability:hook-pull,enemy-ability:hook-pull,targetRule,2,OffenseBattleTargetRule,Enemy,explicit-serialized
EnemyAbilityDefinitionSO|enemy-ability:hook-pull,enemy-ability:hook-pull,effects.0.kind,3,V20ContentEffectKind,SkillExperience (숙련 경험치),explicit-serialized
EnemyAbilityDefinitionSO|enemy-ability:hook-pull,enemy-ability:hook-pull,effects.0.magnitude,2,,,explicit-serialized
EnemyAbilityDefinitionSO|enemy-ability:hook-pull,enemy-ability:hook-pull,effects.0.durationRounds,0,,,explicit-serialized
EnemyAbilityDefinitionSO|enemy-ability:hook-pull,enemy-ability:hook-pull,effects.0.targetTag,backline,,,explicit-serialized
EnemyAbilityDefinitionSO|enemy-ability:hook-pull,enemy-ability:hook-pull,kind,0,EnemyAbilityEffectKind,Damage,implicit-csharp-default
EnemyAbilityDefinitionSO|enemy-ability:poison-cloud,enemy-ability:poison-cloud,m_Name,enemy-ability_poison-cloud,,,explicit-serialized
EnemyAbilityDefinitionSO|enemy-ability:poison-cloud,enemy-ability:poison-cloud,stableId,enemy-ability:poison-cloud,,,explicit-serialized
EnemyAbilityDefinitionSO|enemy-ability:poison-cloud,enemy-ability:poison-cloud,displayName,독성 구름,,,explicit-serialized
EnemyAbilityDefinitionSO|enemy-ability:poison-cloud,enemy-ability:poison-cloud,description,구역에 지속 독 피해를 남겨 엄폐지를 비우게 한다.,,,explicit-serialized
EnemyAbilityDefinitionSO|enemy-ability:poison-cloud,enemy-ability:poison-cloud,authoringRevision,1,,,explicit-serialized
EnemyAbilityDefinitionSO|enemy-ability:poison-cloud,enemy-ability:poison-cloud,sourceNote,V20 hand-authored enemy ability.,,,explicit-serialized
EnemyAbilityDefinitionSO|enemy-ability:poison-cloud,enemy-ability:poison-cloud,cooldownRounds,4,,,explicit-serialized
EnemyAbilityDefinitionSO|enemy-ability:poison-cloud,enemy-ability:poison-cloud,targetRule,2,OffenseBattleTargetRule,Enemy,explicit-serialized
EnemyAbilityDefinitionSO|enemy-ability:poison-cloud,enemy-ability:poison-cloud,effects.0.kind,1,V20ContentEffectKind,Mood (기분),explicit-serialized
EnemyAbilityDefinitionSO|enemy-ability:poison-cloud,enemy-ability:poison-cloud,effects.0.magnitude,7,,,explicit-serialized
EnemyAbilityDefinitionSO|enemy-ability:poison-cloud,enemy-ability:poison-cloud,effects.0.durationRounds,3,,,explicit-serialized
