record_key,stable_id,field_path,raw_value,enum_type,enum_label,value_origin
WildlifeSpeciesSO|ash_crawler,ash_crawler,m_Name,wildlife_ash_crawler,,,explicit-serialized
WildlifeSpeciesSO|ash_crawler,ash_crawler,speciesId,ash_crawler,,,explicit-serialized
WildlifeSpeciesSO|ash_crawler,ash_crawler,displayName,재먼지 기는벌레,,,explicit-serialized
WildlifeSpeciesSO|ash_crawler,ash_crawler,description,재 더미를 먹고 환기구에 군집해 재먼지폐를 퍼뜨린다.,,,explicit-serialized
WildlifeSpeciesSO|ash_crawler,ash_crawler,sprite.fileID,0,,,explicit-serialized
WildlifeSpeciesSO|ash_crawler,ash_crawler,maxHealth,10,,,explicit-serialized
WildlifeSpeciesSO|ash_crawler,ash_crawler,moveSpeed,1,,,explicit-serialized
WildlifeSpeciesSO|ash_crawler,ash_crawler,fearSensitivity,1,,,explicit-serialized
WildlifeSpeciesSO|ash_crawler,ash_crawler,aggression,0.2,,,explicit-serialized
WildlifeSpeciesSO|ash_crawler,ash_crawler,retaliationDamage,0,,,explicit-serialized
WildlifeSpeciesSO|ash_crawler,ash_crawler,spawnWeight,1,,,explicit-serialized
WildlifeSpeciesSO|ash_crawler,ash_crawler,herdSize,1,,,explicit-serialized
WildlifeSpeciesSO|ash_crawler,ash_crawler,canEnterDungeon,0,,,explicit-serialized
WildlifeSpeciesSO|ash_crawler,ash_crawler,carcassWeight,4,,,explicit-serialized
WildlifeSpeciesSO|ash_crawler,ash_crawler,diet,3,WildlifeDietType,Scavenger,explicit-serialized
WildlifeSpeciesSO|ash_crawler,ash_crawler,preferredHabitats,8796094070784,,,explicit-serialized
WildlifeSpeciesSO|ash_crawler,ash_crawler,territoryRadius,6,,,explicit-serialized
WildlifeSpeciesSO|ash_crawler,ash_crawler,dailyFoodNeed,1,,,explicit-serialized
WildlifeSpeciesSO|ash_crawler,ash_crawler,dailyWaterNeed,1,,,explicit-serialized
WildlifeSpeciesSO|ash_crawler,ash_crawler,restPreference,0.45,,,explicit-serialized
WildlifeSpeciesSO|ash_crawler,ash_crawler,predationDrive,0.2,,,explicit-serialized
