record_key,stable_id,field_path,raw_value,enum_type,enum_label,value_origin
CulturalPracticeDefinitionSO|practice:adventurer-name-token,practice:adventurer-name-token,m_Name,practice_adventurer-name-token,,,explicit-serialized
CulturalPracticeDefinitionSO|practice:adventurer-name-token,practice:adventurer-name-token,stableId,practice:adventurer-name-token,,,explicit-serialized
CulturalPracticeDefinitionSO|practice:adventurer-name-token,practice:adventurer-name-token,displayName,이름패 걸기,,,explicit-serialized
CulturalPracticeDefinitionSO|practice:adventurer-name-token,practice:adventurer-name-token,description,성년자는 첫 독립 임무 뒤 공동 지도에 이름패를 건다.,,,explicit-serialized
CulturalPracticeDefinitionSO|practice:adventurer-name-token,practice:adventurer-name-token,authoringRevision,1,,,explicit-serialized
CulturalPracticeDefinitionSO|practice:adventurer-name-token,practice:adventurer-name-token,sourceNote,V20 content-density expansion; hand-authored Korean source revision 1.,,,explicit-serialized
CulturalPracticeDefinitionSO|practice:adventurer-name-token,practice:adventurer-name-token,cultureId,culture:adventurer-frontier,,,explicit-serialized
CulturalPracticeDefinitionSO|practice:adventurer-name-token,practice:adventurer-name-token,kind,4,CulturalPracticeKind,Coming Of Age,explicit-serialized
CulturalPracticeDefinitionSO|practice:adventurer-name-token,practice:adventurer-name-token,requirements.items.0.itemDefinitionId,material:paper,,,explicit-serialized
CulturalPracticeDefinitionSO|practice:adventurer-name-token,practice:adventurer-name-token,requirements.items.0.amount,1,,,explicit-serialized
CulturalPracticeDefinitionSO|practice:adventurer-name-token,practice:adventurer-name-token,requirements.items.0.consume,1,,,explicit-serialized
CulturalPracticeDefinitionSO|practice:adventurer-name-token,practice:adventurer-name-token,requirements.facilities,[],,,explicit-serialized
CulturalPracticeDefinitionSO|practice:adventurer-name-token,practice:adventurer-name-token,requirements.research,[],,,explicit-serialized
CulturalPracticeDefinitionSO|practice:adventurer-name-token,practice:adventurer-name-token,requirements.characters,[],,,explicit-serialized
CulturalPracticeDefinitionSO|practice:adventurer-name-token,practice:adventurer-name-token,requirements.factions,[],,,explicit-serialized
CulturalPracticeDefinitionSO|practice:adventurer-name-token,practice:adventurer-name-token,requirements.worldMetrics,[],,,explicit-serialized
CulturalPracticeDefinitionSO|practice:adventurer-name-token,practice:adventurer-name-token,requirements.requiredFlags,[],,,explicit-serialized
CulturalPracticeDefinitionSO|practice:adventurer-name-token,practice:adventurer-name-token,requirements.excludedFlags,[],,,explicit-serialized
CulturalPracticeDefinitionSO|practice:adventurer-name-token,practice:adventurer-name-token,successEffects.0.kind,1,CulturalPracticeKind,Food,explicit-serialized
CulturalPracticeDefinitionSO|practice:adventurer-name-token,practice:adventurer-name-token,successEffects.0.targetId,practice:adventurer-name-token,,,explicit-serialized
CulturalPracticeDefinitionSO|practice:adventurer-name-token,practice:adventurer-name-token,successEffects.0.amount,3,,,explicit-serialized
CulturalPracticeDefinitionSO|practice:adventurer-name-token,practice:adventurer-name-token,successEffects.0.durationDays,5,,,explicit-serialized
CulturalPracticeDefinitionSO|practice:adventurer-name-token,practice:adventurer-name-token,neglectedEffects.0.kind,1,CulturalPracticeKind,Food,explicit-serialized
CulturalPracticeDefinitionSO|practice:adventurer-name-token,practice:adventurer-name-token,neglectedEffects.0.targetId,practice:adventurer-name-token,,,explicit-serialized
CulturalPracticeDefinitionSO|practice:adventurer-name-token,practice:adventurer-name-token,neglectedEffects.0.amount,-2,,,explicit-serialized
CulturalPracticeDefinitionSO|practice:adventurer-name-token,practice:adventurer-name-token,neglectedEffects.0.durationDays,3,,,explicit-serialized
CulturalPracticeDefinitionSO|practice:adventurer-return-table,practice:adventurer-return-table,m_Name,practice_adventurer-return-table,,,explicit-serialized
CulturalPracticeDefinitionSO|practice:adventurer-return-table,practice:adventurer-return-table,stableId,practice:adventurer-return-table,,,explicit-serialized
CulturalPracticeDefinitionSO|practice:adventurer-return-table,practice:adventurer-return-table,displayName,귀환자의 식탁,,,explicit-serialized
CulturalPracticeDefinitionSO|practice:adventurer-return-table,practice:adventurer-return-table,description,원정 귀환자가 같은 배급식을 나누며 미귀환자를 보고한다.,,,explicit-serialized
CulturalPracticeDefinitionSO|practice:adventurer-return-table,practice:adventurer-return-table,authoringRevision,1,,,explicit-serialized
CulturalPracticeDefinitionSO|practice:adventurer-return-table,practice:adventurer-return-table,sourceNote,V20 content-density expansion; hand-authored Korean source revision 1.,,,explicit-serialized
CulturalPracticeDefinitionSO|practice:adventurer-return-table,practice:adventurer-return-table,cultureId,culture:adventurer-frontier,,,explicit-serialized
CulturalPracticeDefinitionSO|practice:adventurer-return-table,practice:adventurer-return-table,kind,0,CulturalPracticeKind,Daily Routine,explicit-serialized
CulturalPracticeDefinitionSO|practice:adventurer-return-table,practice:adventurer-return-table,requirements.items.0.itemDefinitionId,food:preserved-ration,,,explicit-serialized
CulturalPracticeDefinitionSO|practice:adventurer-return-table,practice:adventurer-return-table,requirements.items.0.amount,1,,,explicit-serialized
CulturalPracticeDefinitionSO|practice:adventurer-return-table,practice:adventurer-return-table,requirements.items.0.consume,1,,,explicit-serialized
CulturalPracticeDefinitionSO|practice:adventurer-return-table,practice:adventurer-return-table,requirements.facilities,[],,,explicit-serialized
CulturalPracticeDefinitionSO|practice:adventurer-return-table,practice:adventurer-return-table,requirements.research,[],,,explicit-serialized
CulturalPracticeDefinitionSO|practice:adventurer-return-table,practice:adventurer-return-table,requirements.characters,[],,,explicit-serialized
CulturalPracticeDefinitionSO|practice:adventurer-return-table,practice:adventurer-return-table,requirements.factions,[],,,explicit-serialized
CulturalPracticeDefinitionSO|practice:adventurer-return-table,practice:adventurer-return-table,requirements.worldMetrics,[],,,explicit-serialized
CulturalPracticeDefinitionSO|practice:adventurer-return-table,practice:adventurer-return-table,requirements.requiredFlags,[],,,explicit-serialized
CulturalPracticeDefinitionSO|practice:adventurer-return-table,practice:adventurer-return-table,requirements.excludedFlags,[],,,explicit-serialized
CulturalPracticeDefinitionSO|practice:adventurer-return-table,practice:adventurer-return-table,successEffects.0.kind,5,CulturalPracticeKind,Partnership,explicit-serialized
CulturalPracticeDefinitionSO|practice:adventurer-return-table,practice:adventurer-return-table,successEffects.0.targetId,practice:adventurer-return-table,,,explicit-serialized
CulturalPracticeDefinitionSO|practice:adventurer-return-table,practice:adventurer-return-table,successEffects.0.amount,3,,,explicit-serialized
CulturalPracticeDefinitionSO|practice:adventurer-return-table,practice:adventurer-return-table,successEffects.0.durationDays,5,,,explicit-serialized
CulturalPracticeDefinitionSO|practice:adventurer-return-table,practice:adventurer-return-table,neglectedEffects.0.kind,1,CulturalPracticeKind,Food,explicit-serialized
CulturalPracticeDefinitionSO|practice:adventurer-return-table,practice:adventurer-return-table,neglectedEffects.0.targetId,practice:adventurer-return-table,,,explicit-serialized
CulturalPracticeDefinitionSO|practice:adventurer-return-table,practice:adventurer-return-table,neglectedEffects.0.amount,-2,,,explicit-serialized
CulturalPracticeDefinitionSO|practice:adventurer-return-table,practice:adventurer-return-table,neglectedEffects.0.durationDays,3,,,explicit-serialized
CulturalPracticeDefinitionSO|practice:beastkin-pack-meal,practice:beastkin-pack-meal,m_Name,practice_beastkin-pack-meal,,,explicit-serialized
CulturalPracticeDefinitionSO|practice:beastkin-pack-meal,practice:beastkin-pack-meal,stableId,practice:beastkin-pack-meal,,,explicit-serialized
CulturalPracticeDefinitionSO|practice:beastkin-pack-meal,practice:beastkin-pack-meal,displayName,무리 한솥,,,explicit-serialized
CulturalPracticeDefinitionSO|practice:beastkin-pack-meal,practice:beastkin-pack-meal,description,가구와 가까운 동료가 큰 고기솥을 함께 비운다.,,,explicit-serialized
CulturalPracticeDefinitionSO|practice:beastkin-pack-meal,practice:beastkin-pack-meal,authoringRevision,1,,,explicit-serialized
CulturalPracticeDefinitionSO|practice:beastkin-pack-meal,practice:beastkin-pack-meal,sourceNote,V20 content-density expansion; hand-authored Korean source revision 1.,,,explicit-serialized
CulturalPracticeDefinitionSO|practice:beastkin-pack-meal,practice:beastkin-pack-meal,cultureId,culture:beastkin-pack,,,explicit-serialized
CulturalPracticeDefinitionSO|practice:beastkin-pack-meal,practice:beastkin-pack-meal,kind,1,CulturalPracticeKind,Food,explicit-serialized
CulturalPracticeDefinitionSO|practice:beastkin-pack-meal,practice:beastkin-pack-meal,requirements.items.0.itemDefinitionId,resource:meat,,,explicit-serialized
CulturalPracticeDefinitionSO|practice:beastkin-pack-meal,practice:beastkin-pack-meal,requirements.items.0.amount,1,,,explicit-serialized
CulturalPracticeDefinitionSO|practice:beastkin-pack-meal,practice:beastkin-pack-meal,requirements.items.0.consume,1,,,explicit-serialized
CulturalPracticeDefinitionSO|practice:beastkin-pack-meal,practice:beastkin-pack-meal,requirements.facilities,[],,,explicit-serialized
CulturalPracticeDefinitionSO|practice:beastkin-pack-meal,practice:beastkin-pack-meal,requirements.research,[],,,explicit-serialized
CulturalPracticeDefinitionSO|practice:beastkin-pack-meal,practice:beastkin-pack-meal,requirements.characters,[],,,explicit-serialized
CulturalPracticeDefinitionSO|practice:beastkin-pack-meal,practice:beastkin-pack-meal,requirements.factions,[],,,explicit-serialized
CulturalPracticeDefinitionSO|practice:beastkin-pack-meal,practice:beastkin-pack-meal,requirements.worldMetrics,[],,,explicit-serialized
CulturalPracticeDefinitionSO|practice:beastkin-pack-meal,practice:beastkin-pack-meal,requirements.requiredFlags,[],,,explicit-serialized
CulturalPracticeDefinitionSO|practice:beastkin-pack-meal,practice:beastkin-pack-meal,requirements.excludedFlags,[],,,explicit-serialized
CulturalPracticeDefinitionSO|practice:beastkin-pack-meal,practice:beastkin-pack-meal,successEffects.0.kind,5,CulturalPracticeKind,Partnership,explicit-serialized
CulturalPracticeDefinitionSO|practice:beastkin-pack-meal,practice:beastkin-pack-meal,successEffects.0.targetId,practice:beastkin-pack-meal,,,explicit-serialized
CulturalPracticeDefinitionSO|practice:beastkin-pack-meal,practice:beastkin-pack-meal,successEffects.0.amount,3,,,explicit-serialized
CulturalPracticeDefinitionSO|practice:beastkin-pack-meal,practice:beastkin-pack-meal,successEffects.0.durationDays,5,,,explicit-serialized
CulturalPracticeDefinitionSO|practice:beastkin-pack-meal,practice:beastkin-pack-meal,neglectedEffects.0.kind,1,CulturalPracticeKind,Food,explicit-serialized
CulturalPracticeDefinitionSO|practice:beastkin-pack-meal,practice:beastkin-pack-meal,neglectedEffects.0.targetId,practice:beastkin-pack-meal,,,explicit-serialized
CulturalPracticeDefinitionSO|practice:beastkin-pack-meal,practice:beastkin-pack-meal,neglectedEffects.0.amount,-2,,,explicit-serialized
CulturalPracticeDefinitionSO|practice:beastkin-pack-meal,practice:beastkin-pack-meal,neglectedEffects.0.durationDays,3,,,explicit-serialized
CulturalPracticeDefinitionSO|practice:beastkin-scent-vigil,practice:beastkin-scent-vigil,m_Name,practice_beastkin-scent-vigil,,,explicit-serialized
CulturalPracticeDefinitionSO|practice:beastkin-scent-vigil,practice:beastkin-scent-vigil,stableId,practice:beastkin-scent-vigil,,,explicit-serialized
CulturalPracticeDefinitionSO|practice:beastkin-scent-vigil,practice:beastkin-scent-vigil,displayName,향취 철야,,,explicit-serialized
CulturalPracticeDefinitionSO|practice:beastkin-scent-vigil,practice:beastkin-scent-vigil,description,사망자의 익숙한 향을 천에 남겨 무리가 차례로 작별한다.,,,explicit-serialized
CulturalPracticeDefinitionSO|practice:beastkin-scent-vigil,practice:beastkin-scent-vigil,authoringRevision,1,,,explicit-serialized
CulturalPracticeDefinitionSO|practice:beastkin-scent-vigil,practice:beastkin-scent-vigil,sourceNote,V20 content-density expansion; hand-authored Korean source revision 1.,,,explicit-serialized
CulturalPracticeDefinitionSO|practice:beastkin-scent-vigil,practice:beastkin-scent-vigil,cultureId,culture:beastkin-pack,,,explicit-serialized
CulturalPracticeDefinitionSO|practice:beastkin-scent-vigil,practice:beastkin-scent-vigil,kind,6,CulturalPracticeKind,Funeral,explicit-serialized
CulturalPracticeDefinitionSO|practice:beastkin-scent-vigil,practice:beastkin-scent-vigil,requirements.items.0.itemDefinitionId,textile:cloth,,,explicit-serialized
CulturalPracticeDefinitionSO|practice:beastkin-scent-vigil,practice:beastkin-scent-vigil,requirements.items.0.amount,1,,,explicit-serialized
CulturalPracticeDefinitionSO|practice:beastkin-scent-vigil,practice:beastkin-scent-vigil,requirements.items.0.consume,1,,,explicit-serialized
CulturalPracticeDefinitionSO|practice:beastkin-scent-vigil,practice:beastkin-scent-vigil,requirements.facilities,[],,,explicit-serialized
CulturalPracticeDefinitionSO|practice:beastkin-scent-vigil,practice:beastkin-scent-vigil,requirements.research,[],,,explicit-serialized
CulturalPracticeDefinitionSO|practice:beastkin-scent-vigil,practice:beastkin-scent-vigil,requirements.characters,[],,,explicit-serialized
CulturalPracticeDefinitionSO|practice:beastkin-scent-vigil,practice:beastkin-scent-vigil,requirements.factions,[],,,explicit-serialized
