record_key,stable_id,field_path,raw_value,enum_type,enum_label,value_origin
FactionChapterDefinitionSO|faction-chapter:beastkin:1,faction-chapter:beastkin:1,m_Name,chapter_beastkin_1,,,explicit-serialized
FactionChapterDefinitionSO|faction-chapter:beastkin:1,faction-chapter:beastkin:1,stableId,faction-chapter:beastkin:1,,,explicit-serialized
FactionChapterDefinitionSO|faction-chapter:beastkin:1,faction-chapter:beastkin:1,displayName,피 묻은 사냥깃,,,explicit-serialized
FactionChapterDefinitionSO|faction-chapter:beastkin:1,faction-chapter:beastkin:1,description,붉은발톱 사절이 부상한 사냥꾼과 함께 식량을 요구한다.,,,explicit-serialized
FactionChapterDefinitionSO|faction-chapter:beastkin:1,faction-chapter:beastkin:1,authoringRevision,1,,,explicit-serialized
FactionChapterDefinitionSO|faction-chapter:beastkin:1,faction-chapter:beastkin:1,sourceNote,V20 hand-authored faction/service manifest.,,,explicit-serialized
FactionChapterDefinitionSO|faction-chapter:beastkin:1,faction-chapter:beastkin:1,factionId,faction:dungeon:beastkin,,,explicit-serialized
FactionChapterDefinitionSO|faction-chapter:beastkin:1,faction-chapter:beastkin:1,chapterNumber,1,,,explicit-serialized
FactionChapterDefinitionSO|faction-chapter:beastkin:1,faction-chapter:beastkin:1,kind,0,FactionChapterKind,First Contact,explicit-serialized
FactionChapterDefinitionSO|faction-chapter:beastkin:1,faction-chapter:beastkin:1,crossFactionId,,,,explicit-serialized
FactionChapterDefinitionSO|faction-chapter:beastkin:1,faction-chapter:beastkin:1,triggerRequirements.items,[],,,explicit-serialized
FactionChapterDefinitionSO|faction-chapter:beastkin:1,faction-chapter:beastkin:1,triggerRequirements.facilities,[],,,explicit-serialized
FactionChapterDefinitionSO|faction-chapter:beastkin:1,faction-chapter:beastkin:1,triggerRequirements.research,[],,,explicit-serialized
FactionChapterDefinitionSO|faction-chapter:beastkin:1,faction-chapter:beastkin:1,triggerRequirements.characters,[],,,explicit-serialized
FactionChapterDefinitionSO|faction-chapter:beastkin:1,faction-chapter:beastkin:1,triggerRequirements.factions.0.factionId,faction:dungeon:beastkin,,,explicit-serialized
FactionChapterDefinitionSO|faction-chapter:beastkin:1,faction-chapter:beastkin:1,triggerRequirements.factions.0.minimumRapport,-100,,,explicit-serialized
FactionChapterDefinitionSO|faction-chapter:beastkin:1,faction-chapter:beastkin:1,triggerRequirements.factions.0.maximumGrievance,100,,,explicit-serialized
FactionChapterDefinitionSO|faction-chapter:beastkin:1,faction-chapter:beastkin:1,triggerRequirements.factions.0.minimumObligationTokens,0,,,explicit-serialized
FactionChapterDefinitionSO|faction-chapter:beastkin:1,faction-chapter:beastkin:1,triggerRequirements.worldMetrics,[],,,explicit-serialized
FactionChapterDefinitionSO|faction-chapter:beastkin:1,faction-chapter:beastkin:1,triggerRequirements.requiredFlags,[],,,explicit-serialized
FactionChapterDefinitionSO|faction-chapter:beastkin:1,faction-chapter:beastkin:1,triggerRequirements.excludedFlags,[],,,explicit-serialized
FactionChapterDefinitionSO|faction-chapter:beastkin:1,faction-chapter:beastkin:1,choices.0.choiceId,support,,,explicit-serialized
FactionChapterDefinitionSO|faction-chapter:beastkin:1,faction-chapter:beastkin:1,choices.0.title,요구를 지원한다,,,explicit-serialized
FactionChapterDefinitionSO|faction-chapter:beastkin:1,faction-chapter:beastkin:1,choices.0.outcomeText,요구를 지원한다,,,explicit-serialized
FactionChapterDefinitionSO|faction-chapter:beastkin:1,faction-chapter:beastkin:1,choices.0.requirements.items.0.itemDefinitionId,food:salted-meat-stew,,,explicit-serialized
FactionChapterDefinitionSO|faction-chapter:beastkin:1,faction-chapter:beastkin:1,choices.0.requirements.items.0.amount,4,,,explicit-serialized
FactionChapterDefinitionSO|faction-chapter:beastkin:1,faction-chapter:beastkin:1,choices.0.requirements.items.0.consume,1,,,explicit-serialized
FactionChapterDefinitionSO|faction-chapter:beastkin:1,faction-chapter:beastkin:1,choices.0.requirements.facilities.0.buildingDefinitionId,,,,explicit-serialized
