record_key,stable_id,field_path,raw_value,enum_type,enum_label,value_origin
LifeEventDefinitionSO|life-event:apprentice-mistake,life-event:apprentice-mistake,m_Name,life-event_apprentice-mistake,,,explicit-serialized
LifeEventDefinitionSO|life-event:apprentice-mistake,life-event:apprentice-mistake,stableId,life-event:apprentice-mistake,,,explicit-serialized
LifeEventDefinitionSO|life-event:apprentice-mistake,life-event:apprentice-mistake,displayName,도제의 큰 실수,,,explicit-serialized
LifeEventDefinitionSO|life-event:apprentice-mistake,life-event:apprentice-mistake,description,도제가 귀한 중간재 한 묶음을 망치고 보고를 망설인다.,,,explicit-serialized
LifeEventDefinitionSO|life-event:apprentice-mistake,life-event:apprentice-mistake,authoringRevision,1,,,explicit-serialized
LifeEventDefinitionSO|life-event:apprentice-mistake,life-event:apprentice-mistake,sourceNote,V20 content-density expansion; hand-authored Korean source revision 1.,,,explicit-serialized
LifeEventDefinitionSO|life-event:apprentice-mistake,life-event:apprentice-mistake,category,1,LifeEventCategory,Apprenticeship,explicit-serialized
LifeEventDefinitionSO|life-event:apprentice-mistake,life-event:apprentice-mistake,automatic,0,,,explicit-serialized
LifeEventDefinitionSO|life-event:apprentice-mistake,life-event:apprentice-mistake,emergency,0,,,explicit-serialized
LifeEventDefinitionSO|life-event:apprentice-mistake,life-event:apprentice-mistake,responseDeadlineDays,3,,,explicit-serialized
LifeEventDefinitionSO|life-event:apprentice-mistake,life-event:apprentice-mistake,cooldownDays,90,,,explicit-serialized
LifeEventDefinitionSO|life-event:apprentice-mistake,life-event:apprentice-mistake,frequencyRule,1,LifeEventFrequencyRule,Once Per Character,explicit-serialized
LifeEventDefinitionSO|life-event:apprentice-mistake,life-event:apprentice-mistake,triggerRequirements.items,[],,,explicit-serialized
LifeEventDefinitionSO|life-event:apprentice-mistake,life-event:apprentice-mistake,triggerRequirements.facilities,[],,,explicit-serialized
LifeEventDefinitionSO|life-event:apprentice-mistake,life-event:apprentice-mistake,triggerRequirements.research,[],,,explicit-serialized
LifeEventDefinitionSO|life-event:apprentice-mistake,life-event:apprentice-mistake,triggerRequirements.characters,[],,,explicit-serialized
LifeEventDefinitionSO|life-event:apprentice-mistake,life-event:apprentice-mistake,triggerRequirements.factions,[],,,explicit-serialized
LifeEventDefinitionSO|life-event:apprentice-mistake,life-event:apprentice-mistake,triggerRequirements.worldMetrics,[],,,explicit-serialized
LifeEventDefinitionSO|life-event:apprentice-mistake,life-event:apprentice-mistake,triggerRequirements.requiredFlags,[],,,explicit-serialized
LifeEventDefinitionSO|life-event:apprentice-mistake,life-event:apprentice-mistake,triggerRequirements.excludedFlags,[],,,explicit-serialized
LifeEventDefinitionSO|life-event:apprentice-mistake,life-event:apprentice-mistake,choices.0.choiceId,first,,,explicit-serialized
LifeEventDefinitionSO|life-event:apprentice-mistake,life-event:apprentice-mistake,choices.0.title,손실을 감수하고 원인을 가르친다,,,explicit-serialized
LifeEventDefinitionSO|life-event:apprentice-mistake,life-event:apprentice-mistake,choices.0.outcomeText,손실을 감수하고 원인을 가르친다,,,explicit-serialized
LifeEventDefinitionSO|life-event:apprentice-mistake,life-event:apprentice-mistake,choices.0.requirements.items,[],,,explicit-serialized
LifeEventDefinitionSO|life-event:apprentice-mistake,life-event:apprentice-mistake,choices.0.requirements.facilities,[],,,explicit-serialized
LifeEventDefinitionSO|life-event:apprentice-mistake,life-event:apprentice-mistake,choices.0.requirements.research,[],,,explicit-serialized
LifeEventDefinitionSO|life-event:apprentice-mistake,life-event:apprentice-mistake,choices.0.requirements.characters,[],,,explicit-serialized
LifeEventDefinitionSO|life-event:apprentice-mistake,life-event:apprentice-mistake,choices.0.requirements.factions,[],,,explicit-serialized
LifeEventDefinitionSO|life-event:apprentice-mistake,life-event:apprentice-mistake,choices.0.requirements.worldMetrics,[],,,explicit-serialized
LifeEventDefinitionSO|life-event:apprentice-mistake,life-event:apprentice-mistake,choices.0.requirements.requiredFlags,[],,,explicit-serialized
LifeEventDefinitionSO|life-event:apprentice-mistake,life-event:apprentice-mistake,choices.0.requirements.excludedFlags,[],,,explicit-serialized
LifeEventDefinitionSO|life-event:apprentice-mistake,life-event:apprentice-mistake,choices.0.effects.0.kind,3,V20ContentEffectKind,SkillExperience (숙련 경험치),explicit-serialized
LifeEventDefinitionSO|life-event:apprentice-mistake,life-event:apprentice-mistake,choices.0.effects.0.targetId,life-event:apprentice-mistake,,,explicit-serialized
LifeEventDefinitionSO|life-event:apprentice-mistake,life-event:apprentice-mistake,choices.0.effects.0.amount,25,,,explicit-serialized
LifeEventDefinitionSO|life-event:apprentice-mistake,life-event:apprentice-mistake,choices.0.effects.0.durationDays,0,,,explicit-serialized
