record_key,stable_id,field_path,raw_value,enum_type,enum_label,value_origin
WeatherFrontDefinitionSO|weather:clear,weather:clear,m_Name,WeatherFront_clear,,,explicit-serialized
WeatherFrontDefinitionSO|weather:clear,weather:clear,stableId,weather:clear,,,explicit-serialized
WeatherFrontDefinitionSO|weather:clear,weather:clear,displayName,맑음,,,explicit-serialized
WeatherFrontDefinitionSO|weather:clear,weather:clear,kind,0,WeatherFrontKind,Clear,explicit-serialized
WeatherFrontDefinitionSO|weather:clear,weather:clear,minimumDurationDays,1,,,explicit-serialized
WeatherFrontDefinitionSO|weather:clear,weather:clear,maximumDurationDays,3,,,explicit-serialized
WeatherFrontDefinitionSO|weather:clear,weather:clear,temperatureModifierC,0,,,explicit-serialized
WeatherFrontDefinitionSO|weather:clear,weather:clear,springWeight,35,,,explicit-serialized
WeatherFrontDefinitionSO|weather:clear,weather:clear,summerWeight,45,,,explicit-serialized
WeatherFrontDefinitionSO|weather:clear,weather:clear,autumnWeight,30,,,explicit-serialized
WeatherFrontDefinitionSO|weather:clear,weather:clear,winterWeight,35,,,explicit-serialized
WeatherFrontDefinitionSO|weather:cold-snap,weather:cold-snap,m_Name,WeatherFront_cold-snap,,,explicit-serialized
WeatherFrontDefinitionSO|weather:cold-snap,weather:cold-snap,stableId,weather:cold-snap,,,explicit-serialized
WeatherFrontDefinitionSO|weather:cold-snap,weather:cold-snap,displayName,한파,,,explicit-serialized
WeatherFrontDefinitionSO|weather:cold-snap,weather:cold-snap,kind,4,WeatherFrontKind,Cold Snap,explicit-serialized
WeatherFrontDefinitionSO|weather:cold-snap,weather:cold-snap,minimumDurationDays,2,,,explicit-serialized
WeatherFrontDefinitionSO|weather:cold-snap,weather:cold-snap,maximumDurationDays,5,,,explicit-serialized
WeatherFrontDefinitionSO|weather:cold-snap,weather:cold-snap,temperatureModifierC,-12,,,explicit-serialized
WeatherFrontDefinitionSO|weather:cold-snap,weather:cold-snap,springWeight,8,,,explicit-serialized
WeatherFrontDefinitionSO|weather:cold-snap,weather:cold-snap,summerWeight,1,,,explicit-serialized
WeatherFrontDefinitionSO|weather:cold-snap,weather:cold-snap,autumnWeight,8,,,explicit-serialized
WeatherFrontDefinitionSO|weather:cold-snap,weather:cold-snap,winterWeight,30,,,explicit-serialized
WeatherFrontDefinitionSO|weather:fog,weather:fog,m_Name,WeatherFront_fog,,,explicit-serialized
WeatherFrontDefinitionSO|weather:fog,weather:fog,stableId,weather:fog,,,explicit-serialized
WeatherFrontDefinitionSO|weather:fog,weather:fog,displayName,안개,,,explicit-serialized
WeatherFrontDefinitionSO|weather:fog,weather:fog,kind,2,WeatherFrontKind,Fog,explicit-serialized
WeatherFrontDefinitionSO|weather:fog,weather:fog,minimumDurationDays,1,,,explicit-serialized
WeatherFrontDefinitionSO|weather:fog,weather:fog,maximumDurationDays,3,,,explicit-serialized
WeatherFrontDefinitionSO|weather:fog,weather:fog,temperatureModifierC,-2,,,explicit-serialized
WeatherFrontDefinitionSO|weather:fog,weather:fog,springWeight,15,,,explicit-serialized
WeatherFrontDefinitionSO|weather:fog,weather:fog,summerWeight,8,,,explicit-serialized
WeatherFrontDefinitionSO|weather:fog,weather:fog,autumnWeight,20,,,explicit-serialized
WeatherFrontDefinitionSO|weather:fog,weather:fog,winterWeight,18,,,explicit-serialized
WeatherFrontDefinitionSO|weather:heatwave,weather:heatwave,m_Name,WeatherFront_heatwave,,,explicit-serialized
WeatherFrontDefinitionSO|weather:heatwave,weather:heatwave,stableId,weather:heatwave,,,explicit-serialized
WeatherFrontDefinitionSO|weather:heatwave,weather:heatwave,displayName,폭염,,,explicit-serialized
WeatherFrontDefinitionSO|weather:heatwave,weather:heatwave,kind,3,WeatherFrontKind,Heatwave,explicit-serialized
WeatherFrontDefinitionSO|weather:heatwave,weather:heatwave,minimumDurationDays,2,,,explicit-serialized
WeatherFrontDefinitionSO|weather:heatwave,weather:heatwave,maximumDurationDays,5,,,explicit-serialized
WeatherFrontDefinitionSO|weather:heatwave,weather:heatwave,temperatureModifierC,10,,,explicit-serialized
WeatherFrontDefinitionSO|weather:heatwave,weather:heatwave,springWeight,2,,,explicit-serialized
WeatherFrontDefinitionSO|weather:heatwave,weather:heatwave,summerWeight,18,,,explicit-serialized
WeatherFrontDefinitionSO|weather:heatwave,weather:heatwave,autumnWeight,2,,,explicit-serialized
