record_key,stable_id,field_path,raw_value,enum_type,enum_label,value_origin
GenericItemDefinitionSO|ammo:arrow,ammo:arrow,m_Name,ammo_arrow,,,explicit-serialized
GenericItemDefinitionSO|ammo:arrow,ammo:arrow,id,0,,,explicit-serialized
GenericItemDefinitionSO|ammo:arrow,ammo:arrow,itemId,ammo:arrow,,,explicit-serialized
GenericItemDefinitionSO|ammo:arrow,ammo:arrow,displayName,화살,,,explicit-serialized
GenericItemDefinitionSO|ammo:arrow,ammo:arrow,description,활에 사용하는 회수 불가능한 탄약.,,,explicit-serialized
GenericItemDefinitionSO|ammo:arrow,ammo:arrow,stockCategory,7,StockCategory,Ammunition (탄약),explicit-serialized
GenericItemDefinitionSO|ammo:arrow,ammo:arrow,unitWeight,0.06,,,explicit-serialized
GenericItemDefinitionSO|ammo:arrow,ammo:arrow,maxStack,50,,,explicit-serialized
GenericItemDefinitionSO|ammo:arrow,ammo:arrow,sprite.fileID,0,,,explicit-serialized
GenericItemDefinitionSO|ammo:arrow,ammo:arrow,unitPrice,1,,,explicit-serialized
GenericItemDefinitionSO|ammo:arrow,ammo:arrow,features.0.rid,7737211673752633593,,,explicit-serialized
GenericItemDefinitionSO|ammo:arrow,ammo:arrow,features.1.rid,7737211673752633594,,,explicit-serialized
GenericItemDefinitionSO|ammo:arrow,ammo:arrow,references.version,2,,,explicit-serialized
GenericItemDefinitionSO|ammo:arrow,ammo:arrow,references.RefIds.0.rid,7737211673752633593,,,explicit-serialized
GenericItemDefinitionSO|ammo:arrow,ammo:arrow,references.RefIds.0.type.class,ProductionItemFeature,,,explicit-serialized
GenericItemDefinitionSO|ammo:arrow,ammo:arrow,references.RefIds.0.type.ns,,,,explicit-serialized
GenericItemDefinitionSO|ammo:arrow,ammo:arrow,references.RefIds.0.type.asm,Assembly-CSharp,,,explicit-serialized
GenericItemDefinitionSO|ammo:arrow,ammo:arrow,references.RefIds.0.data.kind,7,,,explicit-serialized
GenericItemDefinitionSO|ammo:arrow,ammo:arrow,references.RefIds.0.data.ingredientTags,0,,,explicit-serialized
