record_key,stable_id,field_path,raw_value,enum_type,enum_label,value_origin
ResearchProjectSO|research:agriculture:compost,research:agriculture:compost,m_Name,agriculture_compost,,,explicit-serialized
ResearchProjectSO|research:agriculture:compost,research:agriculture:compost,id,7063,,,explicit-serialized
ResearchProjectSO|research:agriculture:compost,research:agriculture:compost,projectId,research:agriculture:compost,,,explicit-serialized
ResearchProjectSO|research:agriculture:compost,research:agriculture:compost,displayName,퇴비·윤작,,,explicit-serialized
ResearchProjectSO|research:agriculture:compost,research:agriculture:compost,description,부패물과 분뇨를 토양 영양으로 되돌린다.,,,explicit-serialized
ResearchProjectSO|research:agriculture:compost,research:agriculture:compost,field,6,ResearchField,Agriculture,explicit-serialized
ResearchProjectSO|research:agriculture:compost,research:agriculture:compost,requiredWork,28,,,explicit-serialized
ResearchProjectSO|research:agriculture:compost,research:agriculture:compost,maximumResearchers,1,,,explicit-serialized
ResearchProjectSO|research:agriculture:compost,research:agriculture:compost,prerequisites.0.fileID,11400000,,,explicit-serialized
ResearchProjectSO|research:agriculture:compost,research:agriculture:compost,prerequisites.0.guid,7b91558f8c545e84b8057994f0868974,,,explicit-serialized
ResearchProjectSO|research:agriculture:compost,research:agriculture:compost,prerequisites.0.type,2,,,explicit-serialized
ResearchProjectSO|research:agriculture:compost,research:agriculture:compost,prerequisiteLinks.0.prerequisiteId,research:agriculture:field,,,explicit-serialized
ResearchProjectSO|research:agriculture:compost,research:agriculture:compost,prerequisiteLinks.0.prerequisite.fileID,11400000,,,explicit-serialized
ResearchProjectSO|research:agriculture:compost,research:agriculture:compost,prerequisiteLinks.0.prerequisite.guid,7b91558f8c545e84b8057994f0868974,,,explicit-serialized
ResearchProjectSO|research:agriculture:compost,research:agriculture:compost,prerequisiteLinks.0.prerequisite.type,2,,,explicit-serialized
ResearchProjectSO|research:agriculture:compost,research:agriculture:compost,prerequisiteLinks.0.kind,2,ResearchPrerequisiteKind,Engineering,explicit-serialized
ResearchProjectSO|research:agriculture:compost,research:agriculture:compost,prerequisiteLinks.0.reason,외부 경작의 공학 원리이(가) 퇴비·윤작 구현에 직접 필요하다.,,,explicit-serialized
ResearchProjectSO|research:agriculture:compost,research:agriculture:compost,blueprintRule,0,ResearchBlueprintRule,None,explicit-serialized
