record_key,stable_id,field_path,raw_value,enum_type,enum_label,value_origin
ResearchUnlockBundleDefinitionSO|research:agriculture:compost,research:agriculture:compost,m_Name,agriculture_compost,,,explicit-serialized
ResearchUnlockBundleDefinitionSO|research:agriculture:compost,research:agriculture:compost,id,7063,,,explicit-serialized
ResearchUnlockBundleDefinitionSO|research:agriculture:compost,research:agriculture:compost,researchId,research:agriculture:compost,,,explicit-serialized
ResearchUnlockBundleDefinitionSO|research:agriculture:compost,research:agriculture:compost,role,0,ResearchUnlockBundleRole,Foundation,explicit-serialized
ResearchUnlockBundleDefinitionSO|research:agriculture:compost,research:agriculture:compost,designIntent,부패물과 분뇨를 토양 영양으로 되돌린다.,,,explicit-serialized
ResearchUnlockBundleDefinitionSO|research:agriculture:compost,research:agriculture:compost,rewardGroups.0.kind,0,ResearchRewardKind,Facility,explicit-serialized
ResearchUnlockBundleDefinitionSO|research:agriculture:compost,research:agriculture:compost,rewardGroups.0.displayOrder,0,,,explicit-serialized
ResearchUnlockBundleDefinitionSO|research:agriculture:compost,research:agriculture:compost,rewardGroups.0.heading,핵심 시설,,,explicit-serialized
ResearchUnlockBundleDefinitionSO|research:agriculture:compost,research:agriculture:compost,rewardGroups.1.kind,5,ResearchRewardKind,Craft Material,explicit-serialized
ResearchUnlockBundleDefinitionSO|research:agriculture:compost,research:agriculture:compost,rewardGroups.1.displayOrder,10,,,explicit-serialized
ResearchUnlockBundleDefinitionSO|research:agriculture:compost,research:agriculture:compost,rewardGroups.1.heading,신규 재료,,,explicit-serialized
ResearchUnlockBundleDefinitionSO|research:agriculture:compost,research:agriculture:compost,rewardGroups.2.kind,6,ResearchRewardKind,Crop,explicit-serialized
ResearchUnlockBundleDefinitionSO|research:agriculture:compost,research:agriculture:compost,rewardGroups.2.displayOrder,15,,,explicit-serialized
ResearchUnlockBundleDefinitionSO|research:agriculture:compost,research:agriculture:compost,rewardGroups.2.heading,작물과 종자,,,explicit-serialized
ResearchUnlockBundleDefinitionSO|research:agriculture:compost,research:agriculture:compost,rewardGroups.3.kind,2,ResearchRewardKind,Production Recipe,explicit-serialized
ResearchUnlockBundleDefinitionSO|research:agriculture:compost,research:agriculture:compost,rewardGroups.3.displayOrder,20,,,explicit-serialized
ResearchUnlockBundleDefinitionSO|research:agriculture:compost,research:agriculture:compost,rewardGroups.3.heading,생산 조합식,,,explicit-serialized
ResearchUnlockBundleDefinitionSO|research:agriculture:compost,research:agriculture:compost,rewardGroups.4.kind,1,ResearchRewardKind,Production Item,explicit-serialized
ResearchUnlockBundleDefinitionSO|research:agriculture:compost,research:agriculture:compost,rewardGroups.4.displayOrder,30,,,explicit-serialized
ResearchUnlockBundleDefinitionSO|research:agriculture:compost,research:agriculture:compost,rewardGroups.4.heading,제작 아이템,,,explicit-serialized
ResearchUnlockBundleDefinitionSO|research:agriculture:compost,research:agriculture:compost,rewardGroups.5.kind,9,ResearchRewardKind,Installation Component,explicit-serialized
ResearchUnlockBundleDefinitionSO|research:agriculture:compost,research:agriculture:compost,rewardGroups.5.displayOrder,35,,,explicit-serialized
ResearchUnlockBundleDefinitionSO|research:agriculture:compost,research:agriculture:compost,rewardGroups.5.heading,설치 부품,,,explicit-serialized
ResearchUnlockBundleDefinitionSO|research:agriculture:compost,research:agriculture:compost,rewardGroups.6.kind,3,ResearchRewardKind,Combat Equipment,explicit-serialized
ResearchUnlockBundleDefinitionSO|research:agriculture:compost,research:agriculture:compost,rewardGroups.6.displayOrder,40,,,explicit-serialized
ResearchUnlockBundleDefinitionSO|research:agriculture:compost,research:agriculture:compost,rewardGroups.6.heading,무기·방어구·방패,,,explicit-serialized
ResearchUnlockBundleDefinitionSO|research:agriculture:compost,research:agriculture:compost,rewardGroups.7.kind,7,ResearchRewardKind,Environmental Workwear,explicit-serialized
ResearchUnlockBundleDefinitionSO|research:agriculture:compost,research:agriculture:compost,rewardGroups.7.displayOrder,45,,,explicit-serialized
ResearchUnlockBundleDefinitionSO|research:agriculture:compost,research:agriculture:compost,rewardGroups.7.heading,환경 작업복,,,explicit-serialized
ResearchUnlockBundleDefinitionSO|research:agriculture:compost,research:agriculture:compost,rewardGroups.8.kind,8,ResearchRewardKind,Ammunition,explicit-serialized
ResearchUnlockBundleDefinitionSO|research:agriculture:compost,research:agriculture:compost,rewardGroups.8.displayOrder,50,,,explicit-serialized
ResearchUnlockBundleDefinitionSO|research:agriculture:compost,research:agriculture:compost,rewardGroups.8.heading,탄약과 전투 소모품,,,explicit-serialized
ResearchUnlockBundleDefinitionSO|research:agriculture:compost,research:agriculture:compost,rewardGroups.9.kind,4,ResearchRewardKind,Medical Procedure,explicit-serialized
ResearchUnlockBundleDefinitionSO|research:agriculture:compost,research:agriculture:compost,rewardGroups.9.displayOrder,60,,,explicit-serialized
