target_type,target_record_key,source_type,source_id,source_record_key,kind,target_id,amount,duration,field_path,semantic_label,target_category,resolution_status,target_record_keys,source_path
DefenseDamageEffectSO,DefenseDamageEffectSO|asset:DefenseLinkedDropGate_1_Damage,BuildingSO,building:1804,BuildingSO|building:1804,references,asset:DefenseLinkedDropGate_1_Damage,,,references.RefIds.4.data.settings.effectAssets.0,Unity asset reference,content-reference,resolved-content,DefenseDamageEffectSO|asset:DefenseLinkedDropGate_1_Damage,Assets/Resources/SO/Building/P1/DefenseLinkedDropGate.asset
DefenseDamageEffectSO,DefenseDamageEffectSO|asset:DefenseWallLauncher_1_Damage,BuildingSO,building:1805,BuildingSO|building:1805,references,asset:DefenseWallLauncher_1_Damage,,,references.RefIds.3.data.settings.effectAssets.0,Unity asset reference,content-reference,resolved-content,DefenseDamageEffectSO|asset:DefenseWallLauncher_1_Damage,Assets/Resources/SO/Building/P1/DefenseWallLauncher.asset
DefenseDamageEffectSO,DefenseDamageEffectSO|asset:P1_SpikeTrap_1_Damage,BuildingSO,building:30,BuildingSO|building:30,references,asset:P1_SpikeTrap_1_Damage,,,references.RefIds.2.data.settings.effectAssets.0,Unity asset reference,content-reference,resolved-content,DefenseDamageEffectSO|asset:P1_SpikeTrap_1_Damage,Assets/Resources/SO/Building/P1/P1_SpikeTrap.asset
DefenseDamageEffectSO,DefenseDamageEffectSO|asset:P1_PoisonPool_1_Damage,BuildingSO,building:31,BuildingSO|building:31,references,asset:P1_PoisonPool_1_Damage,,,references.RefIds.2.data.settings.effectAssets.0,Unity asset reference,content-reference,resolved-content,DefenseDamageEffectSO|asset:P1_PoisonPool_1_Damage,Assets/Resources/SO/Building/P1/P1_PoisonPool.asset
DefenseDamageEffectSO,DefenseDamageEffectSO|asset:P1_FireVent_1_Damage,BuildingSO,building:32,BuildingSO|building:32,references,asset:P1_FireVent_1_Damage,,,references.RefIds.2.data.settings.effectAssets.0,Unity asset reference,content-reference,resolved-content,DefenseDamageEffectSO|asset:P1_FireVent_1_Damage,Assets/Resources/SO/Building/P1/P1_FireVent.asset
DefenseDamageEffectSO,DefenseDamageEffectSO|asset:P1_LightningPillar_1_Damage,BuildingSO,building:33,BuildingSO|building:33,references,asset:P1_LightningPillar_1_Damage,,,references.RefIds.2.data.settings.effectAssets.0,Unity asset reference,content-reference,resolved-content,DefenseDamageEffectSO|asset:P1_LightningPillar_1_Damage,Assets/Resources/SO/Building/P1/P1_LightningPillar.asset
DefenseDamageEffectSO,DefenseDamageEffectSO|asset:P1_IceVent_1_Damage,BuildingSO,building:34,BuildingSO|building:34,references,asset:P1_IceVent_1_Damage,,,references.RefIds.2.data.settings.effectAssets.0,Unity asset reference,content-reference,resolved-content,DefenseDamageEffectSO|asset:P1_IceVent_1_Damage,Assets/Resources/SO/Building/P1/P1_IceVent.asset
DefenseDamageEffectSO,DefenseDamageEffectSO|asset:P1_VenomSpikeTrap_1_Damage,BuildingSO,building:52,BuildingSO|building:52,references,asset:P1_VenomSpikeTrap_1_Damage,,,references.RefIds.2.data.settings.effectAssets.0,Unity asset reference,content-reference,resolved-content,DefenseDamageEffectSO|asset:P1_VenomSpikeTrap_1_Damage,Assets/Resources/SO/Building/P1/P1_VenomSpikeTrap.asset
DefenseDamageEffectSO,DefenseDamageEffectSO|asset:P1_AlarmCoil_1_Damage,BuildingSO,building:53,BuildingSO|building:53,references,asset:P1_AlarmCoil_1_Damage,,,references.RefIds.2.data.settings.effectAssets.0,Unity asset reference,content-reference,resolved-content,DefenseDamageEffectSO|asset:P1_AlarmCoil_1_Damage,Assets/Resources/SO/Building/P1/P1_AlarmCoil.asset
DefenseDamageEffectSO,DefenseDamageEffectSO|asset:P1_CorrosionFreezer_1_Damage,BuildingSO,building:57,BuildingSO|building:57,references,asset:P1_CorrosionFreezer_1_Damage,,,references.RefIds.2.data.settings.effectAssets.0,Unity asset reference,content-reference,resolved-content,DefenseDamageEffectSO|asset:P1_CorrosionFreezer_1_Damage,Assets/Resources/SO/Building/P1/P1_CorrosionFreezer.asset
DefenseDamageEffectSO,DefenseDamageEffectSO|asset:P1_StormFireTrap_1_Damage,BuildingSO,building:58,BuildingSO|building:58,references,asset:P1_StormFireTrap_1_Damage,,,references.RefIds.2.data.settings.effectAssets.0,Unity asset reference,content-reference,resolved-content,DefenseDamageEffectSO|asset:P1_StormFireTrap_1_Damage,Assets/Resources/SO/Building/P1/P1_StormFireTrap.asset
DefenseDamageEffectSO,DefenseDamageEffectSO|asset:P1_LightningPillar_1_Damage,BuildingSO,building:9961,BuildingSO|building:9961,references,asset:P1_LightningPillar_1_Damage,,,references.RefIds.5.data.settings.effectAssets.0,Unity asset reference,content-reference,resolved-content,DefenseDamageEffectSO|asset:P1_LightningPillar_1_Damage,Assets/Resources/SO/Building/P1/P1_TreasuryBoltThrower.asset
