target_type,target_record_key,source_type,source_id,source_record_key,kind,target_id,amount,duration,field_path,semantic_label,target_category,resolution_status,target_record_keys,source_path
EnemyAbilityDefinitionSO,EnemyAbilityDefinitionSO|enemy-ability:field-dressing,EnemyArchetypeDefinitionSO,enemy:crown-chaplain,EnemyArchetypeDefinitionSO|enemy:crown-chaplain,references,enemy-ability:field-dressing,,,abilityIds,ability Ids,content-reference,resolved-content,EnemyAbilityDefinitionSO|enemy-ability:field-dressing,Assets/Resources/SO/V20/Combat/Enemies/enemy_crown-chaplain.asset
EnemyAbilityDefinitionSO,EnemyAbilityDefinitionSO|enemy-ability:rally,EnemyArchetypeDefinitionSO,enemy:crown-chaplain,EnemyArchetypeDefinitionSO|enemy:crown-chaplain,references,enemy-ability:rally,,,abilityIds,ability Ids,content-reference,resolved-content,EnemyAbilityDefinitionSO|enemy-ability:rally,Assets/Resources/SO/V20/Combat/Enemies/enemy_crown-chaplain.asset
EnemyAbilityDefinitionSO,EnemyAbilityDefinitionSO|enemy-ability:charge,EnemyArchetypeDefinitionSO,enemy:crown-levy,EnemyArchetypeDefinitionSO|enemy:crown-levy,references,enemy-ability:charge,,,abilityIds,ability Ids,content-reference,resolved-content,EnemyAbilityDefinitionSO|enemy-ability:charge,Assets/Resources/SO/V20/Combat/Enemies/enemy_crown-levy.asset
EnemyAbilityDefinitionSO,EnemyAbilityDefinitionSO|enemy-ability:suppressive-volley,EnemyArchetypeDefinitionSO,enemy:crown-longbow,EnemyArchetypeDefinitionSO|enemy:crown-longbow,references,enemy-ability:suppressive-volley,,,abilityIds,ability Ids,content-reference,resolved-content,EnemyAbilityDefinitionSO|enemy-ability:suppressive-volley,Assets/Resources/SO/V20/Combat/Enemies/enemy_crown-longbow.asset
EnemyAbilityDefinitionSO,EnemyAbilityDefinitionSO|enemy-ability:armor-break,EnemyArchetypeDefinitionSO,enemy:crown-marshal,EnemyArchetypeDefinitionSO|enemy:crown-marshal,references,enemy-ability:armor-break,,,abilityIds,ability Ids,content-reference,resolved-content,EnemyAbilityDefinitionSO|enemy-ability:armor-break,Assets/Resources/SO/V20/Combat/Enemies/enemy_crown-marshal.asset
EnemyAbilityDefinitionSO,EnemyAbilityDefinitionSO|enemy-ability:armor-break,EnemyArchetypeDefinitionSO,enemy:crown-marshal,EnemyArchetypeDefinitionSO|enemy:crown-marshal,references,enemy-ability:armor-break,,,bossPhases.0.abilityIds,ability Ids,content-reference,resolved-content,EnemyAbilityDefinitionSO|enemy-ability:armor-break,Assets/Resources/SO/V20/Combat/Enemies/enemy_crown-marshal.asset
EnemyAbilityDefinitionSO,EnemyAbilityDefinitionSO|enemy-ability:rally,EnemyArchetypeDefinitionSO,enemy:crown-marshal,EnemyArchetypeDefinitionSO|enemy:crown-marshal,references,enemy-ability:rally,,,abilityIds,ability Ids,content-reference,resolved-content,EnemyAbilityDefinitionSO|enemy-ability:rally,Assets/Resources/SO/V20/Combat/Enemies/enemy_crown-marshal.asset
EnemyAbilityDefinitionSO,EnemyAbilityDefinitionSO|enemy-ability:rally,EnemyArchetypeDefinitionSO,enemy:crown-marshal,EnemyArchetypeDefinitionSO|enemy:crown-marshal,references,enemy-ability:rally,,,bossPhases.0.abilityIds,ability Ids,content-reference,resolved-content,EnemyAbilityDefinitionSO|enemy-ability:rally,Assets/Resources/SO/V20/Combat/Enemies/enemy_crown-marshal.asset
EnemyAbilityDefinitionSO,EnemyAbilityDefinitionSO|enemy-ability:shield-wall,EnemyArchetypeDefinitionSO,enemy:crown-tower-guard,EnemyArchetypeDefinitionSO|enemy:crown-tower-guard,references,enemy-ability:shield-wall,,,abilityIds,ability Ids,content-reference,resolved-content,EnemyAbilityDefinitionSO|enemy-ability:shield-wall,Assets/Resources/SO/V20/Combat/Enemies/enemy_crown-tower-guard.asset
EnemyAbilityDefinitionSO,EnemyAbilityDefinitionSO|enemy-ability:arcane-null,EnemyArchetypeDefinitionSO,enemy:inquisition-censor,EnemyArchetypeDefinitionSO|enemy:inquisition-censor,references,enemy-ability:arcane-null,,,abilityIds,ability Ids,content-reference,resolved-content,EnemyAbilityDefinitionSO|enemy-ability:arcane-null,Assets/Resources/SO/V20/Combat/Enemies/enemy_inquisition-censor.asset
EnemyAbilityDefinitionSO,EnemyAbilityDefinitionSO|enemy-ability:rune-ward,EnemyArchetypeDefinitionSO,enemy:inquisition-censor,EnemyArchetypeDefinitionSO|enemy:inquisition-censor,references,enemy-ability:rune-ward,,,abilityIds,ability Ids,content-reference,resolved-content,EnemyAbilityDefinitionSO|enemy-ability:rune-ward,Assets/Resources/SO/V20/Combat/Enemies/enemy_inquisition-censor.asset
