target_type,target_record_key,source_type,source_id,source_record_key,kind,target_id,amount,duration,field_path,semantic_label,target_category,resolution_status,target_record_keys,source_path
CulturalPracticeDefinitionSO,CulturalPracticeDefinitionSO|practice:adventurer-name-token,SpeciesCultureDefinitionSO,culture:adventurer-frontier,SpeciesCultureDefinitionSO|culture:adventurer-frontier,references,practice:adventurer-name-token,,,ceremonyIds,ceremony Ids,content-reference,resolved-content,CulturalPracticeDefinitionSO|practice:adventurer-name-token,Assets/Resources/SO/V20/Narrative/Cultures/culture_adventurer-frontier.asset
CulturalPracticeDefinitionSO,CulturalPracticeDefinitionSO|practice:adventurer-return-table,SpeciesCultureDefinitionSO,culture:adventurer-frontier,SpeciesCultureDefinitionSO|culture:adventurer-frontier,references,practice:adventurer-return-table,,,ceremonyIds,ceremony Ids,content-reference,resolved-content,CulturalPracticeDefinitionSO|practice:adventurer-return-table,Assets/Resources/SO/V20/Narrative/Cultures/culture_adventurer-frontier.asset
CulturalPracticeDefinitionSO,CulturalPracticeDefinitionSO|practice:beastkin-pack-meal,SpeciesCultureDefinitionSO,culture:beastkin-pack,SpeciesCultureDefinitionSO|culture:beastkin-pack,references,practice:beastkin-pack-meal,,,ceremonyIds,ceremony Ids,content-reference,resolved-content,CulturalPracticeDefinitionSO|practice:beastkin-pack-meal,Assets/Resources/SO/V20/Narrative/Cultures/culture_beastkin-pack.asset
CulturalPracticeDefinitionSO,CulturalPracticeDefinitionSO|practice:beastkin-scent-vigil,SpeciesCultureDefinitionSO,culture:beastkin-pack,SpeciesCultureDefinitionSO|culture:beastkin-pack,references,practice:beastkin-scent-vigil,,,ceremonyIds,ceremony Ids,content-reference,resolved-content,CulturalPracticeDefinitionSO|practice:beastkin-scent-vigil,Assets/Resources/SO/V20/Narrative/Cultures/culture_beastkin-pack.asset
CulturalPracticeDefinitionSO,CulturalPracticeDefinitionSO|practice:demon-oath-embers,SpeciesCultureDefinitionSO,culture:demon-contract,SpeciesCultureDefinitionSO|culture:demon-contract,references,practice:demon-oath-embers,,,ceremonyIds,ceremony Ids,content-reference,resolved-content,CulturalPracticeDefinitionSO|practice:demon-oath-embers,Assets/Resources/SO/V20/Narrative/Cultures/culture_demon-contract.asset
CulturalPracticeDefinitionSO,CulturalPracticeDefinitionSO|practice:demon-third-bell,SpeciesCultureDefinitionSO,culture:demon-contract,SpeciesCultureDefinitionSO|culture:demon-contract,references,practice:demon-third-bell,,,ceremonyIds,ceremony Ids,content-reference,resolved-content,CulturalPracticeDefinitionSO|practice:demon-third-bell,Assets/Resources/SO/V20/Narrative/Cultures/culture_demon-contract.asset
CulturalPracticeDefinitionSO,CulturalPracticeDefinitionSO|practice:golem-core-polish,SpeciesCultureDefinitionSO,culture:golem-core,SpeciesCultureDefinitionSO|culture:golem-core,references,practice:golem-core-polish,,,ceremonyIds,ceremony Ids,content-reference,resolved-content,CulturalPracticeDefinitionSO|practice:golem-core-polish,Assets/Resources/SO/V20/Narrative/Cultures/culture_golem-core.asset
CulturalPracticeDefinitionSO,CulturalPracticeDefinitionSO|practice:golem-memory-plaque,SpeciesCultureDefinitionSO,culture:golem-core,SpeciesCultureDefinitionSO|culture:golem-core,references,practice:golem-memory-plaque,,,ceremonyIds,ceremony Ids,content-reference,resolved-content,CulturalPracticeDefinitionSO|practice:golem-memory-plaque,Assets/Resources/SO/V20/Narrative/Cultures/culture_golem-core.asset
CulturalPracticeDefinitionSO,CulturalPracticeDefinitionSO|practice:harpy-dawn-chorus,SpeciesCultureDefinitionSO,culture:harpy-aerie,SpeciesCultureDefinitionSO|culture:harpy-aerie,references,practice:harpy-dawn-chorus,,,ceremonyIds,ceremony Ids,content-reference,resolved-content,CulturalPracticeDefinitionSO|practice:harpy-dawn-chorus,Assets/Resources/SO/V20/Narrative/Cultures/culture_harpy-aerie.asset
CulturalPracticeDefinitionSO,CulturalPracticeDefinitionSO|practice:harpy-first-flight,SpeciesCultureDefinitionSO,culture:harpy-aerie,SpeciesCultureDefinitionSO|culture:harpy-aerie,references,practice:harpy-first-flight,,,ceremonyIds,ceremony Ids,content-reference,resolved-content,CulturalPracticeDefinitionSO|practice:harpy-first-flight,Assets/Resources/SO/V20/Narrative/Cultures/culture_harpy-aerie.asset
CulturalPracticeDefinitionSO,CulturalPracticeDefinitionSO|practice:kobold-bench-feast,SpeciesCultureDefinitionSO,culture:kobold-toolclan,SpeciesCultureDefinitionSO|culture:kobold-toolclan,references,practice:kobold-bench-feast,,,ceremonyIds,ceremony Ids,content-reference,resolved-content,CulturalPracticeDefinitionSO|practice:kobold-bench-feast,Assets/Resources/SO/V20/Narrative/Cultures/culture_kobold-toolclan.asset
CulturalPracticeDefinitionSO,CulturalPracticeDefinitionSO|practice:kobold-tool-naming,SpeciesCultureDefinitionSO,culture:kobold-toolclan,SpeciesCultureDefinitionSO|culture:kobold-toolclan,references,practice:kobold-tool-naming,,,ceremonyIds,ceremony Ids,content-reference,resolved-content,CulturalPracticeDefinitionSO|practice:kobold-tool-naming,Assets/Resources/SO/V20/Narrative/Cultures/culture_kobold-toolclan.asset
CulturalPracticeDefinitionSO,CulturalPracticeDefinitionSO|practice:myconid-shared-mist,SpeciesCultureDefinitionSO,culture:myconid-grove,SpeciesCultureDefinitionSO|culture:myconid-grove,references,practice:myconid-shared-mist,,,ceremonyIds,ceremony Ids,content-reference,resolved-content,CulturalPracticeDefinitionSO|practice:myconid-shared-mist,Assets/Resources/SO/V20/Narrative/Cultures/culture_myconid-grove.asset
CulturalPracticeDefinitionSO,CulturalPracticeDefinitionSO|practice:myconid-spore-return,SpeciesCultureDefinitionSO,culture:myconid-grove,SpeciesCultureDefinitionSO|culture:myconid-grove,references,practice:myconid-spore-return,,,ceremonyIds,ceremony Ids,content-reference,resolved-content,CulturalPracticeDefinitionSO|practice:myconid-spore-return,Assets/Resources/SO/V20/Narrative/Cultures/culture_myconid-grove.asset
CulturalPracticeDefinitionSO,CulturalPracticeDefinitionSO|practice:orc-shared-cauldron,SpeciesCultureDefinitionSO,culture:orc-vigil,SpeciesCultureDefinitionSO|culture:orc-vigil,references,practice:orc-shared-cauldron,,,ceremonyIds,ceremony Ids,content-reference,resolved-content,CulturalPracticeDefinitionSO|practice:orc-shared-cauldron,Assets/Resources/SO/V20/Narrative/Cultures/culture_orc-vigil.asset
