target_type,target_record_key,source_type,source_id,source_record_key,kind,target_id,amount,duration,field_path,semantic_label,target_category,resolution_status,target_record_keys,source_path
FactionChapterDefinitionSO,FactionChapterDefinitionSO|faction-chapter:beastkin:1,FactionArcDefinitionSO,faction-arc:beastkin,FactionArcDefinitionSO|faction-arc:beastkin,references,faction-chapter:beastkin:1,,,chapterIds,chapter Ids,content-reference,resolved-content,FactionChapterDefinitionSO|faction-chapter:beastkin:1,Assets/Resources/SO/V20/Factions/Arcs/arc_beastkin.asset
FactionChapterDefinitionSO,FactionChapterDefinitionSO|faction-chapter:beastkin:2,FactionArcDefinitionSO,faction-arc:beastkin,FactionArcDefinitionSO|faction-arc:beastkin,references,faction-chapter:beastkin:2,,,chapterIds,chapter Ids,content-reference,resolved-content,FactionChapterDefinitionSO|faction-chapter:beastkin:2,Assets/Resources/SO/V20/Factions/Arcs/arc_beastkin.asset
FactionChapterDefinitionSO,FactionChapterDefinitionSO|faction-chapter:beastkin:3,FactionArcDefinitionSO,faction-arc:beastkin,FactionArcDefinitionSO|faction-arc:beastkin,references,faction-chapter:beastkin:3,,,chapterIds,chapter Ids,content-reference,resolved-content,FactionChapterDefinitionSO|faction-chapter:beastkin:3,Assets/Resources/SO/V20/Factions/Arcs/arc_beastkin.asset
FactionChapterDefinitionSO,FactionChapterDefinitionSO|faction-chapter:beastkin:4,FactionArcDefinitionSO,faction-arc:beastkin,FactionArcDefinitionSO|faction-arc:beastkin,references,faction-chapter:beastkin:4,,,chapterIds,chapter Ids,content-reference,resolved-content,FactionChapterDefinitionSO|faction-chapter:beastkin:4,Assets/Resources/SO/V20/Factions/Arcs/arc_beastkin.asset
FactionChapterDefinitionSO,FactionChapterDefinitionSO|faction-chapter:beastkin:5,FactionArcDefinitionSO,faction-arc:beastkin,FactionArcDefinitionSO|faction-arc:beastkin,references,faction-chapter:beastkin:5,,,chapterIds,chapter Ids,content-reference,resolved-content,FactionChapterDefinitionSO|faction-chapter:beastkin:5,Assets/Resources/SO/V20/Factions/Arcs/arc_beastkin.asset
FactionChapterDefinitionSO,FactionChapterDefinitionSO|faction-chapter:beastkin:6,FactionArcDefinitionSO,faction-arc:beastkin,FactionArcDefinitionSO|faction-arc:beastkin,references,faction-chapter:beastkin:6,,,chapterIds,chapter Ids,content-reference,resolved-content,FactionChapterDefinitionSO|faction-chapter:beastkin:6,Assets/Resources/SO/V20/Factions/Arcs/arc_beastkin.asset
FactionChapterDefinitionSO,FactionChapterDefinitionSO|faction-chapter:demon:1,FactionArcDefinitionSO,faction-arc:demon,FactionArcDefinitionSO|faction-arc:demon,references,faction-chapter:demon:1,,,chapterIds,chapter Ids,content-reference,resolved-content,FactionChapterDefinitionSO|faction-chapter:demon:1,Assets/Resources/SO/V20/Factions/Arcs/arc_demon.asset
FactionChapterDefinitionSO,FactionChapterDefinitionSO|faction-chapter:demon:2,FactionArcDefinitionSO,faction-arc:demon,FactionArcDefinitionSO|faction-arc:demon,references,faction-chapter:demon:2,,,chapterIds,chapter Ids,content-reference,resolved-content,FactionChapterDefinitionSO|faction-chapter:demon:2,Assets/Resources/SO/V20/Factions/Arcs/arc_demon.asset
FactionChapterDefinitionSO,FactionChapterDefinitionSO|faction-chapter:demon:3,FactionArcDefinitionSO,faction-arc:demon,FactionArcDefinitionSO|faction-arc:demon,references,faction-chapter:demon:3,,,chapterIds,chapter Ids,content-reference,resolved-content,FactionChapterDefinitionSO|faction-chapter:demon:3,Assets/Resources/SO/V20/Factions/Arcs/arc_demon.asset
FactionChapterDefinitionSO,FactionChapterDefinitionSO|faction-chapter:demon:4,FactionArcDefinitionSO,faction-arc:demon,FactionArcDefinitionSO|faction-arc:demon,references,faction-chapter:demon:4,,,chapterIds,chapter Ids,content-reference,resolved-content,FactionChapterDefinitionSO|faction-chapter:demon:4,Assets/Resources/SO/V20/Factions/Arcs/arc_demon.asset
