target_type,target_record_key,source_type,source_id,source_record_key,kind,target_id,amount,duration,field_path,semantic_label,target_category,resolution_status,target_record_keys,source_path
GenericItemDefinitionSO,GenericItemDefinitionSO|ammo:arrow,CombatWeaponSO,equipment-item:weapon:composite-bow,CombatWeaponSO|equipment-item:weapon:composite-bow,references,ammo:arrow,,,compatibleAmmunitionItemIds,compatible Ammunition Item Ids,content-reference,resolved-content,GenericItemDefinitionSO|ammo:arrow,Assets/Resources/SO/Combat/Equipment/W14_CompositeBow.asset
GenericItemDefinitionSO,GenericItemDefinitionSO|ammo:bolt,CombatWeaponSO,equipment-item:weapon:crossbow,CombatWeaponSO|equipment-item:weapon:crossbow,references,ammo:bolt,,,compatibleAmmunitionItemIds,compatible Ammunition Item Ids,content-reference,resolved-content,GenericItemDefinitionSO|ammo:bolt,Assets/Resources/SO/Combat/Equipment/W07_Crossbow.asset
GenericItemDefinitionSO,GenericItemDefinitionSO|ammo:arrow,CombatWeaponSO,equipment-item:weapon:longbow,CombatWeaponSO|equipment-item:weapon:longbow,references,ammo:arrow,,,compatibleAmmunitionItemIds,compatible Ammunition Item Ids,content-reference,resolved-content,GenericItemDefinitionSO|ammo:arrow,Assets/Resources/SO/Combat/Equipment/W06_Longbow.asset
GenericItemDefinitionSO,GenericItemDefinitionSO|ammo:bolt,CombatWeaponSO,equipment-item:weapon:repeating-crossbow,CombatWeaponSO|equipment-item:weapon:repeating-crossbow,references,ammo:bolt,,,compatibleAmmunitionItemIds,compatible Ammunition Item Ids,content-reference,resolved-content,GenericItemDefinitionSO|ammo:bolt,Assets/Resources/SO/Combat/Equipment/W22_RepeatingCrossbow.asset
GenericItemDefinitionSO,GenericItemDefinitionSO|ammo:arrow,CombatWeaponSO,equipment-item:weapon:rune-bow,CombatWeaponSO|equipment-item:weapon:rune-bow,references,ammo:arrow,,,compatibleAmmunitionItemIds,compatible Ammunition Item Ids,content-reference,resolved-content,GenericItemDefinitionSO|ammo:arrow,Assets/Resources/SO/Combat/Equipment/W31_RuneBow.asset
GenericItemDefinitionSO,GenericItemDefinitionSO|ammo:arrow,CombatWeaponSO,equipment-item:weapon:shortbow,CombatWeaponSO|equipment-item:weapon:shortbow,references,ammo:arrow,,,compatibleAmmunitionItemIds,compatible Ammunition Item Ids,content-reference,resolved-content,GenericItemDefinitionSO|ammo:arrow,Assets/Resources/SO/Combat/Equipment/W05_Shortbow.asset
GenericItemDefinitionSO,GenericItemDefinitionSO|ammo:bolt,CombatWeaponSO,equipment-item:weapon:siege-arbalest,CombatWeaponSO|equipment-item:weapon:siege-arbalest,references,ammo:bolt,,,compatibleAmmunitionItemIds,compatible Ammunition Item Ids,content-reference,resolved-content,GenericItemDefinitionSO|ammo:bolt,Assets/Resources/SO/Combat/Equipment/W19_SiegeArbalest.asset
GenericItemDefinitionSO,GenericItemDefinitionSO|ammo:bolt,CombatWeaponSO,equipment-item:weapon:windlass-crossbow,CombatWeaponSO|equipment-item:weapon:windlass-crossbow,references,ammo:bolt,,,compatibleAmmunitionItemIds,compatible Ammunition Item Ids,content-reference,resolved-content,GenericItemDefinitionSO|ammo:bolt,Assets/Resources/SO/Combat/Equipment/W15_WindlassCrossbow.asset
GenericItemDefinitionSO,GenericItemDefinitionSO|ammo:arrow,DungeonFactionDefinitionSO,faction:dungeon:harpy,DungeonFactionDefinitionSO|faction:dungeon:harpy|Assets/Resources/SO/Factions/faction_dungeon_harpy.asset,references,ammo:arrow,10,,supplyCargo.1.itemId,item Id,content-reference,resolved-content,GenericItemDefinitionSO|ammo:arrow,Assets/Resources/SO/Factions/faction_dungeon_harpy.asset
GenericItemDefinitionSO,GenericItemDefinitionSO|ammo:arrow,DungeonFactionDefinitionSO,faction:dungeon:harpy,DungeonFactionDefinitionSO|faction:dungeon:harpy|Assets/Resources/SO/Factions/faction_dungeon_harpy.asset,references,ammo:arrow,5,,tradeCargo.1.itemId,item Id,content-reference,resolved-content,GenericItemDefinitionSO|ammo:arrow,Assets/Resources/SO/Factions/faction_dungeon_harpy.asset
GenericItemDefinitionSO,GenericItemDefinitionSO|captivity:memory-residue,DungeonFactionDefinitionSO,faction:dungeon:harpy,DungeonFactionDefinitionSO|faction:dungeon:harpy|Assets/Resources/SO/Factions/faction_dungeon_harpy.asset,references,captivity:memory-residue,14,,supplyCargo.0.itemId,item Id,content-reference,resolved-content,GenericItemDefinitionSO|captivity:memory-residue,Assets/Resources/SO/Factions/faction_dungeon_harpy.asset
GenericItemDefinitionSO,GenericItemDefinitionSO|captivity:memory-residue,DungeonFactionDefinitionSO,faction:dungeon:harpy,DungeonFactionDefinitionSO|faction:dungeon:harpy|Assets/Resources/SO/Factions/faction_dungeon_harpy.asset,references,captivity:memory-residue,8,,tradeCargo.0.itemId,item Id,content-reference,resolved-content,GenericItemDefinitionSO|captivity:memory-residue,Assets/Resources/SO/Factions/faction_dungeon_harpy.asset
GenericItemDefinitionSO,GenericItemDefinitionSO|ammo:arrow,DungeonFactionDefinitionSO,faction:dungeon:kobold,DungeonFactionDefinitionSO|faction:dungeon:kobold|Assets/Resources/SO/Factions/faction_dungeon_kobold.asset,references,ammo:arrow,10,,supplyCargo.1.itemId,item Id,content-reference,resolved-content,GenericItemDefinitionSO|ammo:arrow,Assets/Resources/SO/Factions/faction_dungeon_kobold.asset
GenericItemDefinitionSO,GenericItemDefinitionSO|ammo:arrow,DungeonFactionDefinitionSO,faction:dungeon:kobold,DungeonFactionDefinitionSO|faction:dungeon:kobold|Assets/Resources/SO/Factions/faction_dungeon_kobold.asset,references,ammo:arrow,5,,tradeCargo.1.itemId,item Id,content-reference,resolved-content,GenericItemDefinitionSO|ammo:arrow,Assets/Resources/SO/Factions/faction_dungeon_kobold.asset
GenericItemDefinitionSO,GenericItemDefinitionSO|relic:faction:beastkin:1,FactionArcDefinitionSO,faction-arc:beastkin,FactionArcDefinitionSO|faction-arc:beastkin,references,relic:faction:beastkin:1,,,relicItemIds,relic Item Ids,content-reference,resolved-content,GenericItemDefinitionSO|relic:faction:beastkin:1,Assets/Resources/SO/V20/Factions/Arcs/arc_beastkin.asset
GenericItemDefinitionSO,GenericItemDefinitionSO|relic:faction:beastkin:2,FactionArcDefinitionSO,faction-arc:beastkin,FactionArcDefinitionSO|faction-arc:beastkin,references,relic:faction:beastkin:2,,,relicItemIds,relic Item Ids,content-reference,resolved-content,GenericItemDefinitionSO|relic:faction:beastkin:2,Assets/Resources/SO/V20/Factions/Arcs/arc_beastkin.asset
