target_type,target_record_key,source_type,source_id,source_record_key,kind,target_id,amount,duration,field_path,semantic_label,target_category,resolution_status,target_record_keys,source_path
SaleItem,SaleItem|sale-item:2,StockInfo,asset:New Stock Info,StockInfo|asset:New Stock Info,references,sale-item:2,,,serializationData.ReferencedUnityObjects.0,Unity asset reference,content-reference,resolved-content,SaleItem|sale-item:2,Assets/Resources/SO/Stock/New Stock Info.asset
SaleItem,SaleItem|sale-item:0,StockInfo,asset:무기상점,StockInfo|asset:무기상점,references,sale-item:0,,,serializationData.ReferencedUnityObjects.0,Unity asset reference,content-reference,resolved-content,SaleItem|sale-item:0,Assets/Resources/SO/Stock/무기상점.asset
SaleItem,SaleItem|sale-item:1,StockInfo,asset:무기상점,StockInfo|asset:무기상점,references,sale-item:1,,,serializationData.ReferencedUnityObjects.1,Unity asset reference,content-reference,resolved-content,SaleItem|sale-item:1,Assets/Resources/SO/Stock/무기상점.asset
SaleItem,SaleItem|sale-item:2,StockInfo,shop-stock:10,StockInfo|shop-stock:10,references,sale-item:2,,,serializationData.ReferencedUnityObjects.0,Unity asset reference,content-reference,resolved-content,SaleItem|sale-item:2,Assets/Resources/SO/Stock/P1/P1_LowFoodShopStock.asset
SaleItem,SaleItem|sale-item:2,StockInfo,shop-stock:11,StockInfo|shop-stock:11,references,sale-item:2,,,serializationData.ReferencedUnityObjects.0,Unity asset reference,content-reference,resolved-content,SaleItem|sale-item:2,Assets/Resources/SO/Stock/P1/P1_MeatRestaurantStock.asset
SaleItem,SaleItem|sale-item:1,StockInfo,shop-stock:12,StockInfo|shop-stock:12,references,sale-item:1,,,serializationData.ReferencedUnityObjects.0,Unity asset reference,content-reference,resolved-content,SaleItem|sale-item:1,Assets/Resources/SO/Stock/P1/P1_GeneralStoreStock.asset
SaleItem,SaleItem|sale-item:2,StockInfo,shop-stock:12,StockInfo|shop-stock:12,references,sale-item:2,,,serializationData.ReferencedUnityObjects.1,Unity asset reference,content-reference,resolved-content,SaleItem|sale-item:2,Assets/Resources/SO/Stock/P1/P1_GeneralStoreStock.asset
SaleItem,SaleItem|sale-item:0,StockInfo,shop-stock:13,StockInfo|shop-stock:13,references,sale-item:0,,,serializationData.ReferencedUnityObjects.0,Unity asset reference,content-reference,resolved-content,SaleItem|sale-item:0,Assets/Resources/SO/Stock/P1/P1_WeaponShopStock.asset
SaleItem,SaleItem|sale-item:1,StockInfo,shop-stock:13,StockInfo|shop-stock:13,references,sale-item:1,,,serializationData.ReferencedUnityObjects.1,Unity asset reference,content-reference,resolved-content,SaleItem|sale-item:1,Assets/Resources/SO/Stock/P1/P1_WeaponShopStock.asset
SaleItem,SaleItem|sale-item:0,StockInfo,shop-stock:3000,StockInfo|shop-stock:3000,references,sale-item:0,,,serializationData.ReferencedUnityObjects.2,Unity asset reference,content-reference,resolved-content,SaleItem|sale-item:0,Assets/Resources/SO/Stock/Modular/S01_SalesCounterStock.asset
SaleItem,SaleItem|sale-item:1,StockInfo,shop-stock:3000,StockInfo|shop-stock:3000,references,sale-item:1,,,serializationData.ReferencedUnityObjects.3,Unity asset reference,content-reference,resolved-content,SaleItem|sale-item:1,Assets/Resources/SO/Stock/Modular/S01_SalesCounterStock.asset
SaleItem,SaleItem|sale-item:2,StockInfo,shop-stock:3000,StockInfo|shop-stock:3000,references,sale-item:2,,,serializationData.ReferencedUnityObjects.1,Unity asset reference,content-reference,resolved-content,SaleItem|sale-item:2,Assets/Resources/SO/Stock/Modular/S01_SalesCounterStock.asset
SaleItem,SaleItem|sale-item:4000,StockInfo,shop-stock:3000,StockInfo|shop-stock:3000,references,sale-item:4000,,,serializationData.ReferencedUnityObjects.0,Unity asset reference,content-reference,resolved-content,SaleItem|sale-item:4000,Assets/Resources/SO/Stock/Modular/S01_SalesCounterStock.asset
SaleItem,SaleItem|sale-item:2,StockInfo,shop-stock:50,StockInfo|shop-stock:50,references,sale-item:2,,,serializationData.ReferencedUnityObjects.0,Unity asset reference,content-reference,resolved-content,SaleItem|sale-item:2,Assets/Resources/SO/Stock/P1/P1_BattleDiningStock.asset
SaleItem,SaleItem|sale-item:2,StockInfo,shop-stock:51,StockInfo|shop-stock:51,references,sale-item:2,,,serializationData.ReferencedUnityObjects.0,Unity asset reference,content-reference,resolved-content,SaleItem|sale-item:2,Assets/Resources/SO/Stock/P1/P1_PremiumMeatRestaurantStock.asset
SaleItem,SaleItem|sale-item:2,StockInfo,shop-stock:55,StockInfo|shop-stock:55,references,sale-item:2,,,serializationData.ReferencedUnityObjects.0,Unity asset reference,content-reference,resolved-content,SaleItem|sale-item:2,Assets/Resources/SO/Stock/P1/P1_BattlefieldDiningStock.asset
SaleItem,SaleItem|sale-item:2,StockInfo,shop-stock:56,StockInfo|shop-stock:56,references,sale-item:2,,,serializationData.ReferencedUnityObjects.0,Unity asset reference,content-reference,resolved-content,SaleItem|sale-item:2,Assets/Resources/SO/Stock/P1/P1_NobleDiningStock.asset
