source_type,source_id,source_record_key,kind,target_id,amount,duration,field_path,semantic_label,target_category,resolution_status,target_record_keys,source_path
SpeciesCultureDefinitionSO,culture:adventurer-frontier,SpeciesCultureDefinitionSO|culture:adventurer-frontier,references,food:preserved-ration,,,preferredItemIds,preferred Item Ids,content-reference,resolved-content,ResourceItemDefinitionSO|food:preserved-ration,Assets/Resources/SO/V20/Narrative/Cultures/culture_adventurer-frontier.asset
SpeciesCultureDefinitionSO,culture:adventurer-frontier,SpeciesCultureDefinitionSO|culture:adventurer-frontier,references,food:raw-monster-meat,,,forbiddenItemIds,forbidden Item Ids,content-reference,unresolved-content-reference,,Assets/Resources/SO/V20/Narrative/Cultures/culture_adventurer-frontier.asset
SpeciesCultureDefinitionSO,culture:adventurer-frontier,SpeciesCultureDefinitionSO|culture:adventurer-frontier,references,practice:adventurer-name-token,,,ceremonyIds,ceremony Ids,content-reference,resolved-content,CulturalPracticeDefinitionSO|practice:adventurer-name-token,Assets/Resources/SO/V20/Narrative/Cultures/culture_adventurer-frontier.asset
SpeciesCultureDefinitionSO,culture:adventurer-frontier,SpeciesCultureDefinitionSO|culture:adventurer-frontier,references,practice:adventurer-return-table,,,ceremonyIds,ceremony Ids,content-reference,resolved-content,CulturalPracticeDefinitionSO|practice:adventurer-return-table,Assets/Resources/SO/V20/Narrative/Cultures/culture_adventurer-frontier.asset
SpeciesCultureDefinitionSO,culture:beastkin-pack,SpeciesCultureDefinitionSO|culture:beastkin-pack,references,medicine:strong-perfume,,,forbiddenItemIds,forbidden Item Ids,content-reference,unresolved-content-reference,,Assets/Resources/SO/V20/Narrative/Cultures/culture_beastkin-pack.asset
SpeciesCultureDefinitionSO,culture:beastkin-pack,SpeciesCultureDefinitionSO|culture:beastkin-pack,references,practice:beastkin-pack-meal,,,ceremonyIds,ceremony Ids,content-reference,resolved-content,CulturalPracticeDefinitionSO|practice:beastkin-pack-meal,Assets/Resources/SO/V20/Narrative/Cultures/culture_beastkin-pack.asset
SpeciesCultureDefinitionSO,culture:beastkin-pack,SpeciesCultureDefinitionSO|culture:beastkin-pack,references,practice:beastkin-scent-vigil,,,ceremonyIds,ceremony Ids,content-reference,resolved-content,CulturalPracticeDefinitionSO|practice:beastkin-scent-vigil,Assets/Resources/SO/V20/Narrative/Cultures/culture_beastkin-pack.asset
SpeciesCultureDefinitionSO,culture:beastkin-pack,SpeciesCultureDefinitionSO|culture:beastkin-pack,references,resource:meat,,,preferredItemIds,preferred Item Ids,content-reference,resolved-content,ResourceItemDefinitionSO|resource:meat,Assets/Resources/SO/V20/Narrative/Cultures/culture_beastkin-pack.asset
SpeciesCultureDefinitionSO,culture:demon-contract,SpeciesCultureDefinitionSO|culture:demon-contract,references,food:spiced-stew,,,preferredItemIds,preferred Item Ids,content-reference,unresolved-content-reference,,Assets/Resources/SO/V20/Narrative/Cultures/culture_demon-contract.asset
SpeciesCultureDefinitionSO,culture:demon-contract,SpeciesCultureDefinitionSO|culture:demon-contract,references,item:unsealed-oath,,,forbiddenItemIds,forbidden Item Ids,content-reference,unresolved-content-reference,,Assets/Resources/SO/V20/Narrative/Cultures/culture_demon-contract.asset
SpeciesCultureDefinitionSO,culture:demon-contract,SpeciesCultureDefinitionSO|culture:demon-contract,references,practice:demon-oath-embers,,,ceremonyIds,ceremony Ids,content-reference,resolved-content,CulturalPracticeDefinitionSO|practice:demon-oath-embers,Assets/Resources/SO/V20/Narrative/Cultures/culture_demon-contract.asset
SpeciesCultureDefinitionSO,culture:demon-contract,SpeciesCultureDefinitionSO|culture:demon-contract,references,practice:demon-third-bell,,,ceremonyIds,ceremony Ids,content-reference,resolved-content,CulturalPracticeDefinitionSO|practice:demon-third-bell,Assets/Resources/SO/V20/Narrative/Cultures/culture_demon-contract.asset
SpeciesCultureDefinitionSO,culture:golem-core,SpeciesCultureDefinitionSO|culture:golem-core,references,practice:golem-core-polish,,,ceremonyIds,ceremony Ids,content-reference,resolved-content,CulturalPracticeDefinitionSO|practice:golem-core-polish,Assets/Resources/SO/V20/Narrative/Cultures/culture_golem-core.asset
SpeciesCultureDefinitionSO,culture:golem-core,SpeciesCultureDefinitionSO|culture:golem-core,references,practice:golem-memory-plaque,,,ceremonyIds,ceremony Ids,content-reference,resolved-content,CulturalPracticeDefinitionSO|practice:golem-memory-plaque,Assets/Resources/SO/V20/Narrative/Cultures/culture_golem-core.asset
SpeciesCultureDefinitionSO,culture:golem-core,SpeciesCultureDefinitionSO|culture:golem-core,references,resource:corrosive-slurry,,,forbiddenItemIds,forbidden Item Ids,content-reference,unresolved-content-reference,,Assets/Resources/SO/V20/Narrative/Cultures/culture_golem-core.asset
SpeciesCultureDefinitionSO,culture:golem-core,SpeciesCultureDefinitionSO|culture:golem-core,references,tool:maintenance-kit,,,preferredItemIds,preferred Item Ids,content-reference,resolved-content,ResourceItemDefinitionSO|tool:maintenance-kit,Assets/Resources/SO/V20/Narrative/Cultures/culture_golem-core.asset
SpeciesCultureDefinitionSO,culture:harpy-aerie,SpeciesCultureDefinitionSO|culture:harpy-aerie,references,food:dried-fruit,,,preferredItemIds,preferred Item Ids,content-reference,unresolved-content-reference,,Assets/Resources/SO/V20/Narrative/Cultures/culture_harpy-aerie.asset
SpeciesCultureDefinitionSO,culture:harpy-aerie,SpeciesCultureDefinitionSO|culture:harpy-aerie,references,food:heavy-oil-stew,,,forbiddenItemIds,forbidden Item Ids,content-reference,unresolved-content-reference,,Assets/Resources/SO/V20/Narrative/Cultures/culture_harpy-aerie.asset
SpeciesCultureDefinitionSO,culture:harpy-aerie,SpeciesCultureDefinitionSO|culture:harpy-aerie,references,practice:harpy-dawn-chorus,,,ceremonyIds,ceremony Ids,content-reference,resolved-content,CulturalPracticeDefinitionSO|practice:harpy-dawn-chorus,Assets/Resources/SO/V20/Narrative/Cultures/culture_harpy-aerie.asset
SpeciesCultureDefinitionSO,culture:harpy-aerie,SpeciesCultureDefinitionSO|culture:harpy-aerie,references,practice:harpy-first-flight,,,ceremonyIds,ceremony Ids,content-reference,resolved-content,CulturalPracticeDefinitionSO|practice:harpy-first-flight,Assets/Resources/SO/V20/Narrative/Cultures/culture_harpy-aerie.asset
SpeciesCultureDefinitionSO,culture:kobold-toolclan,SpeciesCultureDefinitionSO|culture:kobold-toolclan,references,food:mushroom-stew,,,preferredItemIds,preferred Item Ids,content-reference,unresolved-content-reference,,Assets/Resources/SO/V20/Narrative/Cultures/culture_kobold-toolclan.asset
