source_type,source_id,source_record_key,kind,target_id,amount,duration,field_path,semantic_label,target_category,resolution_status,target_record_keys,source_path
CombatShieldSO,equipment-item:shield:blacksteel,CombatShieldSO|equipment-item:shield:blacksteel,requires,material:blacksteel-ingot,2,,requiredComponentInputs.0.itemId,item Id,content-reference,resolved-content,CraftMaterialDefinitionSO|material:blacksteel-ingot; ResourceItemDefinitionSO|material:blacksteel-ingot,Assets/Resources/SO/Combat/Equipment/S07_BlacksteelShield.asset
CombatShieldSO,equipment-item:shield:blacksteel,CombatShieldSO|equipment-item:shield:blacksteel,requires,research:industry:dark-foundry,,,requiredResearchId,required Research Id,content-reference,resolved-content,ResearchProjectSO|research:industry:dark-foundry; ResearchUnlockBundleDefinitionSO|research:industry:dark-foundry,Assets/Resources/SO/Combat/Equipment/S07_BlacksteelShield.asset
CombatShieldSO,equipment-item:shield:buckler,CombatShieldSO|equipment-item:shield:buckler,requires,component:growth-frame,1,,requiredComponentInputs.0.itemId,item Id,content-reference,resolved-content,ResourceItemDefinitionSO|component:growth-frame,Assets/Resources/SO/Combat/Equipment/S03_Buckler.asset
CombatShieldSO,equipment-item:shield:buckler,CombatShieldSO|equipment-item:shield:buckler,requires,research:equipment:weapon-patterns,,,requiredResearchId,required Research Id,content-reference,resolved-content,ResearchProjectSO|research:equipment:weapon-patterns; ResearchUnlockBundleDefinitionSO|research:equipment:weapon-patterns,Assets/Resources/SO/Combat/Equipment/S03_Buckler.asset
CombatShieldSO,equipment-item:shield:iron,CombatShieldSO|equipment-item:shield:iron,requires,component:growth-frame,1,,requiredComponentInputs.0.itemId,item Id,content-reference,resolved-content,ResourceItemDefinitionSO|component:growth-frame,Assets/Resources/SO/Combat/Equipment/S02_IronShield.asset
CombatShieldSO,equipment-item:shield:iron,CombatShieldSO|equipment-item:shield:iron,requires,research:metallurgy:iron,,,requiredResearchId,required Research Id,content-reference,resolved-content,ResearchProjectSO|research:metallurgy:iron; ResearchUnlockBundleDefinitionSO|research:metallurgy:iron,Assets/Resources/SO/Combat/Equipment/S02_IronShield.asset
CombatShieldSO,equipment-item:shield:mana-buckler,CombatShieldSO|equipment-item:shield:mana-buckler,requires,component:rune-conductor,1,,requiredComponentInputs.1.itemId,item Id,content-reference,resolved-content,ResourceItemDefinitionSO|component:rune-conductor,Assets/Resources/SO/Combat/Equipment/S08_ManaBuckler.asset
CombatShieldSO,equipment-item:shield:mana-buckler,CombatShieldSO|equipment-item:shield:mana-buckler,requires,material:mana-alloy,1,,requiredComponentInputs.0.itemId,item Id,content-reference,resolved-content,ResourceItemDefinitionSO|material:mana-alloy,Assets/Resources/SO/Combat/Equipment/S08_ManaBuckler.asset
CombatShieldSO,equipment-item:shield:mana-buckler,CombatShieldSO|equipment-item:shield:mana-buckler,requires,research:equipment:rune-module-tuning,,,requiredResearchId,required Research Id,content-reference,resolved-content,ResearchProjectSO|research:equipment:rune-module-tuning; ResearchUnlockBundleDefinitionSO|research:equipment:rune-module-tuning,Assets/Resources/SO/Combat/Equipment/S08_ManaBuckler.asset
CombatShieldSO,equipment-item:shield:pavise,CombatShieldSO|equipment-item:shield:pavise,requires,material:laminated-lumber,2,,requiredComponentInputs.0.itemId,item Id,content-reference,resolved-content,ResourceItemDefinitionSO|material:laminated-lumber,Assets/Resources/SO/Combat/Equipment/S09_Pavise.asset
CombatShieldSO,equipment-item:shield:pavise,CombatShieldSO|equipment-item:shield:pavise,requires,material:plate-blank,1,,requiredComponentInputs.1.itemId,item Id,content-reference,resolved-content,ResourceItemDefinitionSO|material:plate-blank,Assets/Resources/SO/Combat/Equipment/S09_Pavise.asset
CombatShieldSO,equipment-item:shield:pavise,CombatShieldSO|equipment-item:shield:pavise,requires,research:defense:siege-fortification,,,requiredResearchId,required Research Id,content-reference,resolved-content,ResearchProjectSO|research:defense:siege-fortification; ResearchUnlockBundleDefinitionSO|research:defense:siege-fortification,Assets/Resources/SO/Combat/Equipment/S09_Pavise.asset
CombatShieldSO,equipment-item:shield:powered,CombatShieldSO|equipment-item:shield:powered,requires,component:growth-frame,1,,requiredComponentInputs.0.itemId,item Id,content-reference,resolved-content,ResourceItemDefinitionSO|component:growth-frame,Assets/Resources/SO/Combat/Equipment/S06_PoweredShield.asset
CombatShieldSO,equipment-item:shield:powered,CombatShieldSO|equipment-item:shield:powered,requires,component:machine-parts,2,,requiredComponentInputs.2.itemId,item Id,content-reference,resolved-content,ResourceItemDefinitionSO|component:machine-parts,Assets/Resources/SO/Combat/Equipment/S06_PoweredShield.asset
CombatShieldSO,equipment-item:shield:powered,CombatShieldSO|equipment-item:shield:powered,requires,material:plate-blank,2,,requiredComponentInputs.1.itemId,item Id,content-reference,resolved-content,ResourceItemDefinitionSO|material:plate-blank,Assets/Resources/SO/Combat/Equipment/S06_PoweredShield.asset
CombatShieldSO,equipment-item:shield:powered,CombatShieldSO|equipment-item:shield:powered,requires,research:equipment:powered-armor,,,requiredResearchId,required Research Id,content-reference,resolved-content,ResearchProjectSO|research:equipment:powered-armor; ResearchUnlockBundleDefinitionSO|research:equipment:powered-armor,Assets/Resources/SO/Combat/Equipment/S06_PoweredShield.asset
CombatShieldSO,equipment-item:shield:rune,CombatShieldSO|equipment-item:shield:rune,requires,component:growth-frame,1,,requiredComponentInputs.0.itemId,item Id,content-reference,resolved-content,ResourceItemDefinitionSO|component:growth-frame,Assets/Resources/SO/Combat/Equipment/S05_RuneShield.asset
CombatShieldSO,equipment-item:shield:rune,CombatShieldSO|equipment-item:shield:rune,requires,component:rune-conductor,1,,requiredComponentInputs.1.itemId,item Id,content-reference,resolved-content,ResourceItemDefinitionSO|component:rune-conductor,Assets/Resources/SO/Combat/Equipment/S05_RuneShield.asset
CombatShieldSO,equipment-item:shield:rune,CombatShieldSO|equipment-item:shield:rune,requires,component:rune-control-panel,1,,requiredComponentInputs.4.itemId,item Id,content-reference,resolved-content,ResourceItemDefinitionSO|component:rune-control-panel,Assets/Resources/SO/Combat/Equipment/S05_RuneShield.asset
