source_type,source_id,source_record_key,kind,target_id,amount,duration,field_path,semantic_label,target_category,resolution_status,target_record_keys,source_path
OffenseEncounterSO,encounter:01,OffenseEncounterSO|encounter:01,produces-or-unlocks,offense:unappraised-loot,,,rewardItemIds,reward Item Ids,content-reference,resolved-content,ResourceItemDefinitionSO|offense:unappraised-loot,Assets/Resources/SO/Offense/Encounters/encounter_01.asset
OffenseEncounterSO,encounter:01,OffenseEncounterSO|encounter:01,references,battlefield:narrow-bridge,,,battlefieldModifierIds,battlefield Modifier Ids,content-reference,resolved-content,BattlefieldModifierDefinitionSO|battlefield:narrow-bridge,Assets/Resources/SO/Offense/Encounters/encounter_01.asset
OffenseEncounterSO,encounter:02,OffenseEncounterSO|encounter:02,produces-or-unlocks,offense:unappraised-loot,,,rewardItemIds,reward Item Ids,content-reference,resolved-content,ResourceItemDefinitionSO|offense:unappraised-loot,Assets/Resources/SO/Offense/Encounters/encounter_02.asset
OffenseEncounterSO,encounter:02,OffenseEncounterSO|encounter:02,references,battlefield:broken-pillars,,,battlefieldModifierIds,battlefield Modifier Ids,content-reference,resolved-content,BattlefieldModifierDefinitionSO|battlefield:broken-pillars,Assets/Resources/SO/Offense/Encounters/encounter_02.asset
OffenseEncounterSO,encounter:03,OffenseEncounterSO|encounter:03,produces-or-unlocks,offense:unappraised-loot,,,rewardItemIds,reward Item Ids,content-reference,resolved-content,ResourceItemDefinitionSO|offense:unappraised-loot,Assets/Resources/SO/Offense/Encounters/encounter_03.asset
OffenseEncounterSO,encounter:03,OffenseEncounterSO|encounter:03,references,battlefield:elevated-gallery,,,battlefieldModifierIds,battlefield Modifier Ids,content-reference,resolved-content,BattlefieldModifierDefinitionSO|battlefield:elevated-gallery,Assets/Resources/SO/Offense/Encounters/encounter_03.asset
OffenseEncounterSO,encounter:04,OffenseEncounterSO|encounter:04,produces-or-unlocks,offense:unappraised-loot,,,rewardItemIds,reward Item Ids,content-reference,resolved-content,ResourceItemDefinitionSO|offense:unappraised-loot,Assets/Resources/SO/Offense/Encounters/encounter_04.asset
OffenseEncounterSO,encounter:04,OffenseEncounterSO|encounter:04,references,battlefield:flooded-floor,,,battlefieldModifierIds,battlefield Modifier Ids,content-reference,resolved-content,BattlefieldModifierDefinitionSO|battlefield:flooded-floor,Assets/Resources/SO/Offense/Encounters/encounter_04.asset
OffenseEncounterSO,encounter:05,OffenseEncounterSO|encounter:05,produces-or-unlocks,offense:unappraised-loot,,,rewardItemIds,reward Item Ids,content-reference,resolved-content,ResourceItemDefinitionSO|offense:unappraised-loot,Assets/Resources/SO/Offense/Encounters/encounter_05.asset
OffenseEncounterSO,encounter:05,OffenseEncounterSO|encounter:05,references,battlefield:civilian-corridor,,,battlefieldModifierIds,battlefield Modifier Ids,content-reference,resolved-content,BattlefieldModifierDefinitionSO|battlefield:civilian-corridor,Assets/Resources/SO/Offense/Encounters/encounter_05.asset
OffenseEncounterSO,encounter:06,OffenseEncounterSO|encounter:06,produces-or-unlocks,offense:unappraised-loot,,,rewardItemIds,reward Item Ids,content-reference,resolved-content,ResourceItemDefinitionSO|offense:unappraised-loot,Assets/Resources/SO/Offense/Encounters/encounter_06.asset
OffenseEncounterSO,encounter:06,OffenseEncounterSO|encounter:06,references,battlefield:unstable-device,,,battlefieldModifierIds,battlefield Modifier Ids,content-reference,resolved-content,BattlefieldModifierDefinitionSO|battlefield:unstable-device,Assets/Resources/SO/Offense/Encounters/encounter_06.asset
OffenseEncounterSO,encounter:07,OffenseEncounterSO|encounter:07,produces-or-unlocks,offense:unappraised-loot,,,rewardItemIds,reward Item Ids,content-reference,resolved-content,ResourceItemDefinitionSO|offense:unappraised-loot,Assets/Resources/SO/V20/Combat/Encounters/encounter_07.asset
OffenseEncounterSO,encounter:07,OffenseEncounterSO|encounter:07,references,battlefield:sealed-exit,,,battlefieldModifierIds,battlefield Modifier Ids,content-reference,resolved-content,BattlefieldModifierDefinitionSO|battlefield:sealed-exit,Assets/Resources/SO/V20/Combat/Encounters/encounter_07.asset
OffenseEncounterSO,encounter:08,OffenseEncounterSO|encounter:08,produces-or-unlocks,offense:unappraised-loot,,,rewardItemIds,reward Item Ids,content-reference,resolved-content,ResourceItemDefinitionSO|offense:unappraised-loot,Assets/Resources/SO/V20/Combat/Encounters/encounter_08.asset
OffenseEncounterSO,encounter:08,OffenseEncounterSO|encounter:08,references,battlefield:hostage-chain,,,battlefieldModifierIds,battlefield Modifier Ids,content-reference,resolved-content,BattlefieldModifierDefinitionSO|battlefield:hostage-chain,Assets/Resources/SO/V20/Combat/Encounters/encounter_08.asset
OffenseEncounterSO,encounter:09,OffenseEncounterSO|encounter:09,produces-or-unlocks,offense:unappraised-loot,,,rewardItemIds,reward Item Ids,content-reference,resolved-content,ResourceItemDefinitionSO|offense:unappraised-loot,Assets/Resources/SO/V20/Combat/Encounters/encounter_09.asset
OffenseEncounterSO,encounter:09,OffenseEncounterSO|encounter:09,references,battlefield:mana-storm,,,battlefieldModifierIds,battlefield Modifier Ids,content-reference,resolved-content,BattlefieldModifierDefinitionSO|battlefield:mana-storm,Assets/Resources/SO/V20/Combat/Encounters/encounter_09.asset
OffenseEncounterSO,encounter:10,OffenseEncounterSO|encounter:10,produces-or-unlocks,offense:unappraised-loot,,,rewardItemIds,reward Item Ids,content-reference,resolved-content,ResourceItemDefinitionSO|offense:unappraised-loot,Assets/Resources/SO/V20/Combat/Encounters/encounter_10.asset
OffenseEncounterSO,encounter:10,OffenseEncounterSO|encounter:10,references,battlefield:powder-smoke,,,battlefieldModifierIds,battlefield Modifier Ids,content-reference,resolved-content,BattlefieldModifierDefinitionSO|battlefield:powder-smoke,Assets/Resources/SO/V20/Combat/Encounters/encounter_10.asset
OffenseEncounterSO,encounter:11,OffenseEncounterSO|encounter:11,produces-or-unlocks,offense:unappraised-loot,,,rewardItemIds,reward Item Ids,content-reference,resolved-content,ResourceItemDefinitionSO|offense:unappraised-loot,Assets/Resources/SO/V20/Combat/Encounters/encounter_11.asset
OffenseEncounterSO,encounter:11,OffenseEncounterSO|encounter:11,references,battlefield:spore-bloom,,,battlefieldModifierIds,battlefield Modifier Ids,content-reference,resolved-content,BattlefieldModifierDefinitionSO|battlefield:spore-bloom,Assets/Resources/SO/V20/Combat/Encounters/encounter_11.asset
OffenseEncounterSO,encounter:12,OffenseEncounterSO|encounter:12,produces-or-unlocks,offense:unappraised-loot,,,rewardItemIds,reward Item Ids,content-reference,resolved-content,ResourceItemDefinitionSO|offense:unappraised-loot,Assets/Resources/SO/V20/Combat/Encounters/encounter_12.asset
OffenseEncounterSO,encounter:12,OffenseEncounterSO|encounter:12,references,battlefield:collapsing-ceiling,,,battlefieldModifierIds,battlefield Modifier Ids,content-reference,resolved-content,BattlefieldModifierDefinitionSO|battlefield:collapsing-ceiling,Assets/Resources/SO/V20/Combat/Encounters/encounter_12.asset
OffenseEncounterSO,encounter:13,OffenseEncounterSO|encounter:13,produces-or-unlocks,offense:unappraised-loot,,,rewardItemIds,reward Item Ids,content-reference,resolved-content,ResourceItemDefinitionSO|offense:unappraised-loot,Assets/Resources/SO/V20/Combat/Encounters/encounter_13.asset
OffenseEncounterSO,encounter:13,OffenseEncounterSO|encounter:13,references,battlefield:narrow-bridge,,,battlefieldModifierIds,battlefield Modifier Ids,content-reference,resolved-content,BattlefieldModifierDefinitionSO|battlefield:narrow-bridge,Assets/Resources/SO/V20/Combat/Encounters/encounter_13.asset
OffenseEncounterSO,encounter:14,OffenseEncounterSO|encounter:14,produces-or-unlocks,offense:unappraised-loot,,,rewardItemIds,reward Item Ids,content-reference,resolved-content,ResourceItemDefinitionSO|offense:unappraised-loot,Assets/Resources/SO/V20/Combat/Encounters/encounter_14.asset
OffenseEncounterSO,encounter:14,OffenseEncounterSO|encounter:14,references,battlefield:broken-pillars,,,battlefieldModifierIds,battlefield Modifier Ids,content-reference,resolved-content,BattlefieldModifierDefinitionSO|battlefield:broken-pillars,Assets/Resources/SO/V20/Combat/Encounters/encounter_14.asset
