source_type,source_id,source_record_key,kind,target_id,amount,duration,field_path,semantic_label,target_category,resolution_status,target_record_keys,source_path
SurgicalProcedureSO,procedure:amputation,SurgicalProcedureSO|procedure:amputation,references,medicine:standard,,,materials.0.itemId,item Id,content-reference,resolved-content,ResourceItemDefinitionSO|medicine:standard,Assets/Resources/SO/Medical/Procedures/procedure_amputation.asset
SurgicalProcedureSO,procedure:amputation,SurgicalProcedureSO|procedure:amputation,requires,research:medical:surgery,,,requiredResearchId,required Research Id,content-reference,resolved-content,ResearchProjectSO|research:medical:surgery; ResearchUnlockBundleDefinitionSO|research:medical:surgery,Assets/Resources/SO/Medical/Procedures/procedure_amputation.asset
SurgicalProcedureSO,procedure:arcane-modification,SurgicalProcedureSO|procedure:arcane-modification,references,medicine:standard,,,materials.1.itemId,item Id,content-reference,resolved-content,ResourceItemDefinitionSO|medicine:standard,Assets/Resources/SO/Medical/Procedures/procedure_arcane-modification.asset
SurgicalProcedureSO,procedure:arcane-modification,SurgicalProcedureSO|procedure:arcane-modification,references,resource:mana-crystal,,,materials.0.itemId,item Id,content-reference,resolved-content,ResourceItemDefinitionSO|resource:mana-crystal,Assets/Resources/SO/Medical/Procedures/procedure_arcane-modification.asset
SurgicalProcedureSO,procedure:arcane-modification,SurgicalProcedureSO|procedure:arcane-modification,requires,research:medical:aberrant-augmentation,,,requiredResearchId,required Research Id,content-reference,resolved-content,ResearchProjectSO|research:medical:aberrant-augmentation; ResearchUnlockBundleDefinitionSO|research:medical:aberrant-augmentation,Assets/Resources/SO/Medical/Procedures/procedure_arcane-modification.asset
SurgicalProcedureSO,procedure:beastkin-sprint-joint,SurgicalProcedureSO|procedure:beastkin-sprint-joint,references,beastkin,,,allowedSpeciesIds,allowed Species Ids,protocol-id,non-content-protocol,,Assets/Resources/SO/Medical/Procedures/procedure_beastkin-sprint-joint.asset
SurgicalProcedureSO,procedure:beastkin-sprint-joint,SurgicalProcedureSO|procedure:beastkin-sprint-joint,references,medicine:standard,,,materials.0.itemId,item Id,content-reference,resolved-content,ResourceItemDefinitionSO|medicine:standard,Assets/Resources/SO/Medical/Procedures/procedure_beastkin-sprint-joint.asset
SurgicalProcedureSO,procedure:beastkin-sprint-joint,SurgicalProcedureSO|procedure:beastkin-sprint-joint,requires,research:medical:prosthetics,,,requiredResearchId,required Research Id,content-reference,resolved-content,ResearchProjectSO|research:medical:prosthetics; ResearchUnlockBundleDefinitionSO|research:medical:prosthetics,Assets/Resources/SO/Medical/Procedures/procedure_beastkin-sprint-joint.asset
SurgicalProcedureSO,procedure:beastkin-tail-reconstruction,SurgicalProcedureSO|procedure:beastkin-tail-reconstruction,references,beastkin,,,allowedSpeciesIds,allowed Species Ids,protocol-id,non-content-protocol,,Assets/Resources/SO/Medical/Procedures/procedure_beastkin-tail-reconstruction.asset
SurgicalProcedureSO,procedure:beastkin-tail-reconstruction,SurgicalProcedureSO|procedure:beastkin-tail-reconstruction,references,medicine:standard,,,materials.0.itemId,item Id,content-reference,resolved-content,ResourceItemDefinitionSO|medicine:standard,Assets/Resources/SO/Medical/Procedures/procedure_beastkin-tail-reconstruction.asset
SurgicalProcedureSO,procedure:beastkin-tail-reconstruction,SurgicalProcedureSO|procedure:beastkin-tail-reconstruction,requires,research:medical:prosthetics,,,requiredResearchId,required Research Id,content-reference,resolved-content,ResearchProjectSO|research:medical:prosthetics; ResearchUnlockBundleDefinitionSO|research:medical:prosthetics,Assets/Resources/SO/Medical/Procedures/procedure_beastkin-tail-reconstruction.asset
SurgicalProcedureSO,procedure:blood-rejuvenation,SurgicalProcedureSO|procedure:blood-rejuvenation,references,medical:rejuvenation-serum,,,materials.0.itemId,item Id,content-reference,resolved-content,ResourceItemDefinitionSO|medical:rejuvenation-serum,Assets/Resources/SO/Medical/Procedures/procedure_blood-rejuvenation.asset
SurgicalProcedureSO,procedure:blood-rejuvenation,SurgicalProcedureSO|procedure:blood-rejuvenation,requires,research:medical:blood-rejuvenation,,,requiredResearchId,required Research Id,content-reference,resolved-content,ResearchProjectSO|research:medical:blood-rejuvenation; ResearchUnlockBundleDefinitionSO|research:medical:blood-rejuvenation,Assets/Resources/SO/Medical/Procedures/procedure_blood-rejuvenation.asset
SurgicalProcedureSO,procedure:blood-transfusion,SurgicalProcedureSO|procedure:blood-transfusion,references,medicine:blood-pack,,,materials.0.itemId,item Id,content-reference,resolved-content,GenericItemDefinitionSO|medicine:blood-pack,Assets/Resources/SO/Medical/Procedures/procedure_blood-transfusion.asset
SurgicalProcedureSO,procedure:blood-transfusion,SurgicalProcedureSO|procedure:blood-transfusion,requires,research:survival:medical,,,requiredResearchId,required Research Id,content-reference,resolved-content,ResearchProjectSO|research:survival:medical; ResearchUnlockBundleDefinitionSO|research:survival:medical,Assets/Resources/SO/Medical/Procedures/procedure_blood-transfusion.asset
SurgicalProcedureSO,procedure:corpse-organ-extraction,SurgicalProcedureSO|procedure:corpse-organ-extraction,references,medicine:disinfectant,,,materials.0.itemId,item Id,content-reference,resolved-content,GenericItemDefinitionSO|medicine:disinfectant,Assets/Resources/SO/Medical/Procedures/procedure_corpse-organ-extraction.asset
