source_type,source_id,source_record_key,kind,target_id,amount,duration,field_path,semantic_label,target_category,resolution_status,target_record_keys,source_path
ServiceIncidentDefinitionSO,service-incident:brawl,ServiceIncidentDefinitionSO|service-incident:brawl,changes-faction-grievance,affected-faction,4,0,responses.2.effects.0.targetId,FactionGrievance (세력 원한),faction-content,unresolved-runtime-domain-id,,Assets/Resources/SO/V20/Society/Services/Incidents/service-incident_brawl.asset
ServiceIncidentDefinitionSO,service-incident:brawl,ServiceIncidentDefinitionSO|service-incident:brawl,changes-health,service-incident:brawl,-3,0,responses.0.effects.0.targetId,Health (건강),effect-channel,non-content-protocol,,Assets/Resources/SO/V20/Society/Services/Incidents/service-incident_brawl.asset
ServiceIncidentDefinitionSO,service-incident:brawl,ServiceIncidentDefinitionSO|service-incident:brawl,changes-relationship,service-incident:brawl,4,0,responses.1.effects.0.targetId,Relationship (관계),effect-channel,non-content-protocol,,Assets/Resources/SO/V20/Society/Services/Incidents/service-incident_brawl.asset
ServiceIncidentDefinitionSO,service-incident:contamination,ServiceIncidentDefinitionSO|service-incident:contamination,adds-work-delay,service-incident:contamination,2,0,responses.0.effects.0.targetId,WorkDelayDays (작업 지연),effect-channel,non-content-protocol,,Assets/Resources/SO/V20/Society/Services/Incidents/service-incident_contamination.asset
ServiceIncidentDefinitionSO,service-incident:contamination,ServiceIncidentDefinitionSO|service-incident:contamination,changes-health,service-incident:contamination,5,0,responses.1.effects.0.targetId,Health (건강),effect-channel,non-content-protocol,,Assets/Resources/SO/V20/Society/Services/Incidents/service-incident_contamination.asset
ServiceIncidentDefinitionSO,service-incident:contamination,ServiceIncidentDefinitionSO|service-incident:contamination,changes-threat,service-incident:contamination,6,0,responses.2.effects.0.targetId,Threat (위협),effect-channel,non-content-protocol,,Assets/Resources/SO/V20/Society/Services/Incidents/service-incident_contamination.asset
ServiceIncidentDefinitionSO,service-incident:culturalinsult,ServiceIncidentDefinitionSO|service-incident:culturalinsult,changes-faction-grievance,affected-faction,8,0,responses.2.effects.0.targetId,FactionGrievance (세력 원한),faction-content,unresolved-runtime-domain-id,,Assets/Resources/SO/V20/Society/Services/Incidents/service-incident_culturalinsult.asset
ServiceIncidentDefinitionSO,service-incident:culturalinsult,ServiceIncidentDefinitionSO|service-incident:culturalinsult,changes-mood,service-incident:culturalinsult,4,0,responses.1.effects.0.targetId,Mood (기분),effect-channel,non-content-protocol,,Assets/Resources/SO/V20/Society/Services/Incidents/service-incident_culturalinsult.asset
ServiceIncidentDefinitionSO,service-incident:culturalinsult,ServiceIncidentDefinitionSO|service-incident:culturalinsult,changes-relationship,service-incident:culturalinsult,5,0,responses.0.effects.0.targetId,Relationship (관계),effect-channel,non-content-protocol,,Assets/Resources/SO/V20/Society/Services/Incidents/service-incident_culturalinsult.asset
ServiceIncidentDefinitionSO,service-incident:envoyconflict,ServiceIncidentDefinitionSO|service-incident:envoyconflict,adds-work-delay,service-incident:envoyconflict,1,0,responses.0.effects.0.targetId,WorkDelayDays (작업 지연),effect-channel,non-content-protocol,,Assets/Resources/SO/V20/Society/Services/Incidents/service-incident_envoyconflict.asset
ServiceIncidentDefinitionSO,service-incident:envoyconflict,ServiceIncidentDefinitionSO|service-incident:envoyconflict,changes-faction-grievance,affected-faction,8,0,responses.2.effects.0.targetId,FactionGrievance (세력 원한),faction-content,unresolved-runtime-domain-id,,Assets/Resources/SO/V20/Society/Services/Incidents/service-incident_envoyconflict.asset
ServiceIncidentDefinitionSO,service-incident:envoyconflict,ServiceIncidentDefinitionSO|service-incident:envoyconflict,changes-faction-rapport,affected-faction,5,0,responses.1.effects.0.targetId,FactionRapport (세력 우호도),faction-content,unresolved-runtime-domain-id,,Assets/Resources/SO/V20/Society/Services/Incidents/service-incident_envoyconflict.asset
ServiceIncidentDefinitionSO,service-incident:forbiddenmeal,ServiceIncidentDefinitionSO|service-incident:forbiddenmeal,changes-faction-grievance,affected-faction,5,0,responses.2.effects.0.targetId,FactionGrievance (세력 원한),faction-content,unresolved-runtime-domain-id,,Assets/Resources/SO/V20/Society/Services/Incidents/service-incident_forbiddenmeal.asset
ServiceIncidentDefinitionSO,service-incident:forbiddenmeal,ServiceIncidentDefinitionSO|service-incident:forbiddenmeal,changes-money,service-incident:forbiddenmeal,-60,0,responses.1.effects.0.targetId,Money (자금),effect-channel,non-content-protocol,,Assets/Resources/SO/V20/Society/Services/Incidents/service-incident_forbiddenmeal.asset
ServiceIncidentDefinitionSO,service-incident:forbiddenmeal,ServiceIncidentDefinitionSO|service-incident:forbiddenmeal,changes-mood,service-incident:forbiddenmeal,2,0,responses.0.effects.0.targetId,Mood (기분),effect-channel,non-content-protocol,,Assets/Resources/SO/V20/Society/Services/Incidents/service-incident_forbiddenmeal.asset
ServiceIncidentDefinitionSO,service-incident:medicalcollapse,ServiceIncidentDefinitionSO|service-incident:medicalcollapse,adds-work-delay,service-incident:medicalcollapse,1,0,responses.1.effects.0.targetId,WorkDelayDays (작업 지연),effect-channel,non-content-protocol,,Assets/Resources/SO/V20/Society/Services/Incidents/service-incident_medicalcollapse.asset
ServiceIncidentDefinitionSO,service-incident:medicalcollapse,ServiceIncidentDefinitionSO|service-incident:medicalcollapse,changes-faction-grievance,affected-faction,10,0,responses.2.effects.0.targetId,FactionGrievance (세력 원한),faction-content,unresolved-runtime-domain-id,,Assets/Resources/SO/V20/Society/Services/Incidents/service-incident_medicalcollapse.asset
ServiceIncidentDefinitionSO,service-incident:medicalcollapse,ServiceIncidentDefinitionSO|service-incident:medicalcollapse,changes-health,service-incident:medicalcollapse,8,0,responses.0.effects.0.targetId,Health (건강),effect-channel,non-content-protocol,,Assets/Resources/SO/V20/Society/Services/Incidents/service-incident_medicalcollapse.asset
ServiceIncidentDefinitionSO,service-incident:sabotage,ServiceIncidentDefinitionSO|service-incident:sabotage,adds-work-delay,service-incident:sabotage,2,0,responses.0.effects.0.targetId,WorkDelayDays (작업 지연),effect-channel,non-content-protocol,,Assets/Resources/SO/V20/Society/Services/Incidents/service-incident_sabotage.asset
ServiceIncidentDefinitionSO,service-incident:sabotage,ServiceIncidentDefinitionSO|service-incident:sabotage,changes-threat,service-incident:sabotage,3,0,responses.2.effects.0.targetId,Threat (위협),effect-channel,non-content-protocol,,Assets/Resources/SO/V20/Society/Services/Incidents/service-incident_sabotage.asset
ServiceIncidentDefinitionSO,service-incident:sabotage,ServiceIncidentDefinitionSO|service-incident:sabotage,sets-world-flag,service-incident:sabotage,1,0,responses.1.effects.0.targetId,WorldFlag (세계 플래그),effect-channel,non-content-protocol,,Assets/Resources/SO/V20/Society/Services/Incidents/service-incident_sabotage.asset
ServiceIncidentDefinitionSO,service-incident:theft,ServiceIncidentDefinitionSO|service-incident:theft,adds-work-delay,service-incident:theft,1,0,responses.0.effects.0.targetId,WorkDelayDays (작업 지연),effect-channel,non-content-protocol,,Assets/Resources/SO/V20/Society/Services/Incidents/service-incident_theft.asset
ServiceIncidentDefinitionSO,service-incident:theft,ServiceIncidentDefinitionSO|service-incident:theft,changes-money,service-incident:theft,-100,0,responses.1.effects.0.targetId,Money (자금),effect-channel,non-content-protocol,,Assets/Resources/SO/V20/Society/Services/Incidents/service-incident_theft.asset
ServiceIncidentDefinitionSO,service-incident:theft,ServiceIncidentDefinitionSO|service-incident:theft,sets-world-flag,service-incident:theft,1,0,responses.2.effects.0.targetId,WorldFlag (세계 플래그),effect-channel,non-content-protocol,,Assets/Resources/SO/V20/Society/Services/Incidents/service-incident_theft.asset
