source_type,source_id,source_record_key,kind,target_id,amount,duration,field_path,semantic_label,target_category,resolution_status,target_record_keys,source_path
CraftMaterialDefinitionSO,material:blacksteel-ingot,CraftMaterialDefinitionSO|material:blacksteel-ingot,requires,research:metallurgy:blacksteel,,,requiredResearchId,required Research Id,content-reference,resolved-content,ResearchProjectSO|research:metallurgy:blacksteel; ResearchUnlockBundleDefinitionSO|research:metallurgy:blacksteel,Assets/Resources/SO/Economy/Materials/material_blacksteel.asset
CraftMaterialDefinitionSO,material:cloth,CraftMaterialDefinitionSO|material:cloth,requires,research:textile:fiber,,,requiredResearchId,required Research Id,content-reference,resolved-content,ResearchProjectSO|research:textile:fiber; ResearchUnlockBundleDefinitionSO|research:textile:fiber,Assets/Resources/SO/Economy/Materials/material_cloth.asset
CraftMaterialDefinitionSO,material:dreamweave,CraftMaterialDefinitionSO|material:dreamweave,requires,research:textile:dreamweave,,,requiredResearchId,required Research Id,content-reference,resolved-content,ResearchProjectSO|research:textile:dreamweave; ResearchUnlockBundleDefinitionSO|research:textile:dreamweave,Assets/Resources/SO/Economy/Materials/material_dreamweave.asset
CraftMaterialDefinitionSO,material:gold-ingot,CraftMaterialDefinitionSO|material:gold-ingot,requires,research:metallurgy:precious,,,requiredResearchId,required Research Id,content-reference,resolved-content,ResearchProjectSO|research:metallurgy:precious; ResearchUnlockBundleDefinitionSO|research:metallurgy:precious,Assets/Resources/SO/Economy/Materials/material_gold.asset
CraftMaterialDefinitionSO,material:iron-ingot,CraftMaterialDefinitionSO|material:iron-ingot,requires,research:metallurgy:iron,,,requiredResearchId,required Research Id,content-reference,resolved-content,ResearchProjectSO|research:metallurgy:iron; ResearchUnlockBundleDefinitionSO|research:metallurgy:iron,Assets/Resources/SO/Economy/Materials/material_iron.asset
CraftMaterialDefinitionSO,material:leather,CraftMaterialDefinitionSO|material:leather,requires,research:textile:tanning,,,requiredResearchId,required Research Id,content-reference,resolved-content,ResearchProjectSO|research:textile:tanning; ResearchUnlockBundleDefinitionSO|research:textile:tanning,Assets/Resources/SO/Economy/Materials/material_leather.asset
CraftMaterialDefinitionSO,material:lumber,CraftMaterialDefinitionSO|material:lumber,requires,research:forestry:sawmill,,,requiredResearchId,required Research Id,content-reference,resolved-content,ResearchProjectSO|research:forestry:sawmill; ResearchUnlockBundleDefinitionSO|research:forestry:sawmill,Assets/Resources/SO/Economy/Materials/material_wood.asset
CraftMaterialDefinitionSO,material:rune-leather,CraftMaterialDefinitionSO|material:rune-leather,requires,research:textile:rune-leather,,,requiredResearchId,required Research Id,content-reference,resolved-content,ResearchProjectSO|research:textile:rune-leather; ResearchUnlockBundleDefinitionSO|research:textile:rune-leather,Assets/Resources/SO/Economy/Materials/material_rune_leather.asset
CraftMaterialDefinitionSO,material:steel-ingot,CraftMaterialDefinitionSO|material:steel-ingot,requires,research:metallurgy:steel,,,requiredResearchId,required Research Id,content-reference,resolved-content,ResearchProjectSO|research:metallurgy:steel; ResearchUnlockBundleDefinitionSO|research:metallurgy:steel,Assets/Resources/SO/Economy/Materials/material_steel.asset
CraftMaterialDefinitionSO,material:stone-block,CraftMaterialDefinitionSO|material:stone-block,requires,research:mining:stonecutting,,,requiredResearchId,required Research Id,content-reference,resolved-content,ResearchProjectSO|research:mining:stonecutting; ResearchUnlockBundleDefinitionSO|research:mining:stonecutting,Assets/Resources/SO/Economy/Materials/material_stone.asset
CraftMaterialDefinitionSO,resource:bone,CraftMaterialDefinitionSO|resource:bone,requires,research:metallurgy:primitive,,,requiredResearchId,required Research Id,content-reference,resolved-content,ResearchProjectSO|research:metallurgy:primitive; ResearchUnlockBundleDefinitionSO|research:metallurgy:primitive,Assets/Resources/SO/Economy/Materials/material_bone.asset
CraftMaterialDefinitionSO,resource:wool,CraftMaterialDefinitionSO|resource:wool,requires,research:husbandry:selective,,,requiredResearchId,required Research Id,content-reference,resolved-content,ResearchProjectSO|research:husbandry:selective; ResearchUnlockBundleDefinitionSO|research:husbandry:selective,Assets/Resources/SO/Economy/Materials/material_wool.asset
