source_type,source_id,source_record_key,kind,target_id,amount,duration,field_path,semantic_label,target_category,resolution_status,target_record_keys,source_path
CropDefinitionSO,crop:bloodleaf,CropDefinitionSO|crop:bloodleaf,references,genome:bloodleaf:base,,,baseGenome,Unity asset reference,content-reference,resolved-content,CropGenomeDefinitionSO|genome:bloodleaf:base,Assets/Resources/SO/Economy/Crops/crop_bloodleaf.asset
CropDefinitionSO,crop:bloodleaf,CropDefinitionSO|crop:bloodleaf,requires,research:pharmacology:herbalism,,,requiredResearchId,required Research Id,content-reference,resolved-content,ResearchProjectSO|research:pharmacology:herbalism; ResearchUnlockBundleDefinitionSO|research:pharmacology:herbalism,Assets/Resources/SO/Economy/Crops/crop_bloodleaf.asset
CropDefinitionSO,crop:cave-mushroom,CropDefinitionSO|crop:cave-mushroom,references,genome:cave-mushroom:base,,,baseGenome,Unity asset reference,content-reference,resolved-content,CropGenomeDefinitionSO|genome:cave-mushroom:base,Assets/Resources/SO/Economy/Crops/crop_cave_mushroom.asset
CropDefinitionSO,crop:cave-mushroom,CropDefinitionSO|crop:cave-mushroom,requires,research:agriculture:gathering,,,requiredResearchId,required Research Id,content-reference,resolved-content,ResearchProjectSO|research:agriculture:gathering; ResearchUnlockBundleDefinitionSO|research:agriculture:gathering,Assets/Resources/SO/Economy/Crops/crop_cave_mushroom.asset
CropDefinitionSO,crop:dreamleaf,CropDefinitionSO|crop:dreamleaf,references,genome:dreamleaf:base,,,baseGenome,Unity asset reference,content-reference,resolved-content,CropGenomeDefinitionSO|genome:dreamleaf:base,Assets/Resources/SO/Economy/Crops/crop_dreamleaf.asset
CropDefinitionSO,crop:dreamleaf,CropDefinitionSO|crop:dreamleaf,requires,research:pharmacology:anesthesia,,,requiredResearchId,required Research Id,content-reference,resolved-content,ResearchProjectSO|research:pharmacology:anesthesia; ResearchUnlockBundleDefinitionSO|research:pharmacology:anesthesia,Assets/Resources/SO/Economy/Crops/crop_dreamleaf.asset
CropDefinitionSO,crop:ember-cotton,CropDefinitionSO|crop:ember-cotton,references,genome:ember-cotton:base,,,baseGenome,Unity asset reference,content-reference,resolved-content,CropGenomeDefinitionSO|genome:ember-cotton:base,Assets/Resources/SO/Economy/Crops/V22Textiles/crop_ember-cotton.asset
CropDefinitionSO,crop:ember-cotton,CropDefinitionSO|crop:ember-cotton,requires,research:textile:fiber,,,requiredResearchId,required Research Id,content-reference,resolved-content,ResearchProjectSO|research:textile:fiber; ResearchUnlockBundleDefinitionSO|research:textile:fiber,Assets/Resources/SO/Economy/Crops/V22Textiles/crop_ember-cotton.asset
CropDefinitionSO,crop:ember-root,CropDefinitionSO|crop:ember-root,references,genome:ember-root:base,,,baseGenome,Unity asset reference,content-reference,resolved-content,CropGenomeDefinitionSO|genome:ember-root:base,Assets/Resources/SO/Economy/Crops/crop_ember_root.asset
CropDefinitionSO,crop:ember-root,CropDefinitionSO|crop:ember-root,requires,research:agriculture:field,,,requiredResearchId,required Research Id,content-reference,resolved-content,ResearchProjectSO|research:agriculture:field; ResearchUnlockBundleDefinitionSO|research:agriculture:field,Assets/Resources/SO/Economy/Crops/crop_ember_root.asset
