source_type,source_id,source_record_key,kind,target_id,amount,duration,field_path,semantic_label,target_category,resolution_status,target_record_keys,source_path
FacilityEvolutionRecipeSO,facilityevolutionrecipe:9101,FacilityEvolutionRecipeSO|facilityevolutionrecipe:9101,references,building:1000,,,fromFacilities.0,Unity asset reference,content-reference,resolved-content,BuildingSO|building:1000,Assets/Resources/SO/FacilityEvolution/P1/EV_CommercialGrill.asset
FacilityEvolutionRecipeSO,facilityevolutionrecipe:9101,FacilityEvolutionRecipeSO|facilityevolutionrecipe:9101,references,building:1001,,,resultBuilding,Unity asset reference,content-reference,resolved-content,BuildingSO|building:1001,Assets/Resources/SO/FacilityEvolution/P1/EV_CommercialGrill.asset
FacilityEvolutionRecipeSO,facilityevolutionrecipe:9101,FacilityEvolutionRecipeSO|facilityevolutionrecipe:9101,requires,building:1002,,,requiredUniqueFixtures.0,Unity asset reference,content-reference,resolved-content,BuildingSO|building:1002,Assets/Resources/SO/FacilityEvolution/P1/EV_CommercialGrill.asset
FacilityEvolutionRecipeSO,facilityevolutionrecipe:9102,FacilityEvolutionRecipeSO|facilityevolutionrecipe:9102,references,building:1013,,,fromFacilities.0,Unity asset reference,content-reference,resolved-content,BuildingSO|building:1013,Assets/Resources/SO/FacilityEvolution/P1/EV_SecureDisplay.asset
FacilityEvolutionRecipeSO,facilityevolutionrecipe:9102,FacilityEvolutionRecipeSO|facilityevolutionrecipe:9102,references,building:1014,,,resultBuilding,Unity asset reference,content-reference,resolved-content,BuildingSO|building:1014,Assets/Resources/SO/FacilityEvolution/P1/EV_SecureDisplay.asset
FacilityEvolutionRecipeSO,facilityevolutionrecipe:9102,FacilityEvolutionRecipeSO|facilityevolutionrecipe:9102,requires,building:1012,,,requiredUniqueFixtures.0,Unity asset reference,content-reference,resolved-content,BuildingSO|building:1012,Assets/Resources/SO/FacilityEvolution/P1/EV_SecureDisplay.asset
FacilityEvolutionRecipeSO,facilityevolutionrecipe:9102,FacilityEvolutionRecipeSO|facilityevolutionrecipe:9102,requires,building:1070,,,requiredUniqueFixtures.1,Unity asset reference,content-reference,resolved-content,BuildingSO|building:1070,Assets/Resources/SO/FacilityEvolution/P1/EV_SecureDisplay.asset
FacilityEvolutionRecipeSO,facilityevolutionrecipe:9103,FacilityEvolutionRecipeSO|facilityevolutionrecipe:9103,references,building:1044,,,fromFacilities.0,Unity asset reference,content-reference,resolved-content,BuildingSO|building:1044,Assets/Resources/SO/FacilityEvolution/P1/EV_TacticalTable.asset
FacilityEvolutionRecipeSO,facilityevolutionrecipe:9103,FacilityEvolutionRecipeSO|facilityevolutionrecipe:9103,references,building:1047,,,resultBuilding,Unity asset reference,content-reference,resolved-content,BuildingSO|building:1047,Assets/Resources/SO/FacilityEvolution/P1/EV_TacticalTable.asset
FacilityEvolutionRecipeSO,facilityevolutionrecipe:9103,FacilityEvolutionRecipeSO|facilityevolutionrecipe:9103,requires,building:1040,,,requiredUniqueFixtures.0,Unity asset reference,content-reference,resolved-content,BuildingSO|building:1040,Assets/Resources/SO/FacilityEvolution/P1/EV_TacticalTable.asset
FacilityEvolutionRecipeSO,facilityevolutionrecipe:9104,FacilityEvolutionRecipeSO|facilityevolutionrecipe:9104,references,building:1040,,,fromFacilities.0,Unity asset reference,content-reference,resolved-content,BuildingSO|building:1040,Assets/Resources/SO/FacilityEvolution/P1/EV_ArcheryTarget.asset
FacilityEvolutionRecipeSO,facilityevolutionrecipe:9104,FacilityEvolutionRecipeSO|facilityevolutionrecipe:9104,references,building:1041,,,resultBuilding,Unity asset reference,content-reference,resolved-content,BuildingSO|building:1041,Assets/Resources/SO/FacilityEvolution/P1/EV_ArcheryTarget.asset
FacilityEvolutionRecipeSO,facilityevolutionrecipe:9104,FacilityEvolutionRecipeSO|facilityevolutionrecipe:9104,requires,building:1044,,,requiredUniqueFixtures.0,Unity asset reference,content-reference,resolved-content,BuildingSO|building:1044,Assets/Resources/SO/FacilityEvolution/P1/EV_ArcheryTarget.asset
FacilityEvolutionRecipeSO,facilityevolutionrecipe:9104,FacilityEvolutionRecipeSO|facilityevolutionrecipe:9104,requires,building:1045,,,requiredUniqueFixtures.1,Unity asset reference,content-reference,resolved-content,BuildingSO|building:1045,Assets/Resources/SO/FacilityEvolution/P1/EV_ArcheryTarget.asset
FacilityEvolutionRecipeSO,facilityevolutionrecipe:9105,FacilityEvolutionRecipeSO|facilityevolutionrecipe:9105,references,building:1030,,,fromFacilities.0,Unity asset reference,content-reference,resolved-content,BuildingSO|building:1030,Assets/Resources/SO/FacilityEvolution/P1/EV_AlchemyBench.asset
FacilityEvolutionRecipeSO,facilityevolutionrecipe:9105,FacilityEvolutionRecipeSO|facilityevolutionrecipe:9105,references,building:1031,,,resultBuilding,Unity asset reference,content-reference,resolved-content,BuildingSO|building:1031,Assets/Resources/SO/FacilityEvolution/P1/EV_AlchemyBench.asset
FacilityEvolutionRecipeSO,facilityevolutionrecipe:9105,FacilityEvolutionRecipeSO|facilityevolutionrecipe:9105,requires,building:1032,,,requiredUniqueFixtures.0,Unity asset reference,content-reference,resolved-content,BuildingSO|building:1032,Assets/Resources/SO/FacilityEvolution/P1/EV_AlchemyBench.asset
FacilityEvolutionRecipeSO,facilityevolutionrecipe:9105,FacilityEvolutionRecipeSO|facilityevolutionrecipe:9105,requires,building:1038,,,requiredUniqueFixtures.1,Unity asset reference,content-reference,resolved-content,BuildingSO|building:1038,Assets/Resources/SO/FacilityEvolution/P1/EV_AlchemyBench.asset
FacilityEvolutionRecipeSO,facilityevolutionrecipe:9106,FacilityEvolutionRecipeSO|facilityevolutionrecipe:9106,references,building:1036,,,fromFacilities.0,Unity asset reference,content-reference,resolved-content,BuildingSO|building:1036,Assets/Resources/SO/FacilityEvolution/P1/EV_RitualFocus.asset
FacilityEvolutionRecipeSO,facilityevolutionrecipe:9106,FacilityEvolutionRecipeSO|facilityevolutionrecipe:9106,references,building:1039,,,resultBuilding,Unity asset reference,content-reference,resolved-content,BuildingSO|building:1039,Assets/Resources/SO/FacilityEvolution/P1/EV_RitualFocus.asset
FacilityEvolutionRecipeSO,facilityevolutionrecipe:9106,FacilityEvolutionRecipeSO|facilityevolutionrecipe:9106,requires,building:1033,,,requiredUniqueFixtures.0,Unity asset reference,content-reference,resolved-content,BuildingSO|building:1033,Assets/Resources/SO/FacilityEvolution/P1/EV_RitualFocus.asset
FacilityEvolutionRecipeSO,facilityevolutionrecipe:9106,FacilityEvolutionRecipeSO|facilityevolutionrecipe:9106,requires,building:1070,,,requiredUniqueFixtures.1,Unity asset reference,content-reference,resolved-content,BuildingSO|building:1070,Assets/Resources/SO/FacilityEvolution/P1/EV_RitualFocus.asset
