source_type,source_id,source_record_key,kind,target_id,amount,duration,field_path,semantic_label,target_category,resolution_status,target_record_keys,source_path
ProductionRecipeSO,recipe:advanced-medicine,ProductionRecipeSO|recipe:advanced-medicine,produces-or-unlocks,medicine:advanced,1,,outputs.0.itemId,item Id,content-reference,resolved-content,ResourceItemDefinitionSO|medicine:advanced,Assets/Resources/SO/Economy/Recipes/recipe_advanced_medicine.asset
ProductionRecipeSO,recipe:advanced-medicine,ProductionRecipeSO|recipe:advanced-medicine,references,process-loss,,,massExplanation.capabilityId,capability Id,protocol-id,non-content-protocol,,Assets/Resources/SO/Economy/Recipes/recipe_advanced_medicine.asset
ProductionRecipeSO,recipe:advanced-medicine,ProductionRecipeSO|recipe:advanced-medicine,references,work:craft,,,workTypeId,work Type Id,protocol-id,non-content-protocol,,Assets/Resources/SO/Economy/Recipes/recipe_advanced_medicine.asset
ProductionRecipeSO,recipe:advanced-medicine,ProductionRecipeSO|recipe:advanced-medicine,requires,medicine:standard,1,,inputs.0.itemId,item Id,content-reference,resolved-content,ResourceItemDefinitionSO|medicine:standard,Assets/Resources/SO/Economy/Recipes/recipe_advanced_medicine.asset
ProductionRecipeSO,recipe:advanced-medicine,ProductionRecipeSO|recipe:advanced-medicine,requires,research:pharmacology:advanced,,,requiredResearchId,required Research Id,content-reference,resolved-content,ResearchProjectSO|research:pharmacology:advanced; ResearchUnlockBundleDefinitionSO|research:pharmacology:advanced,Assets/Resources/SO/Economy/Recipes/recipe_advanced_medicine.asset
ProductionRecipeSO,recipe:advanced-medicine,ProductionRecipeSO|recipe:advanced-medicine,requires,resource:mana-crystal,1,,inputs.1.itemId,item Id,content-reference,resolved-content,ResourceItemDefinitionSO|resource:mana-crystal,Assets/Resources/SO/Economy/Recipes/recipe_advanced_medicine.asset
ProductionRecipeSO,recipe:advanced-medicine,ProductionRecipeSO|recipe:advanced-medicine,requires,resource:milk,1,,inputs.3.itemId,item Id,content-reference,resolved-content,ResourceItemDefinitionSO|resource:milk,Assets/Resources/SO/Economy/Recipes/recipe_advanced_medicine.asset
ProductionRecipeSO,recipe:advanced-medicine,ProductionRecipeSO|recipe:advanced-medicine,requires,resource:moonflower,2,,inputs.2.itemId,item Id,content-reference,resolved-content,ResourceItemDefinitionSO|resource:moonflower,Assets/Resources/SO/Economy/Recipes/recipe_advanced_medicine.asset
ProductionRecipeSO,recipe:alcohol,ProductionRecipeSO|recipe:alcohol,produces-or-unlocks,material:alcohol,2,,outputs.0.itemId,item Id,content-reference,resolved-content,ResourceItemDefinitionSO|material:alcohol,Assets/Resources/SO/Economy/Recipes/recipe_alcohol.asset
ProductionRecipeSO,recipe:alcohol,ProductionRecipeSO|recipe:alcohol,references,work:craft,,,workTypeId,work Type Id,protocol-id,non-content-protocol,,Assets/Resources/SO/Economy/Recipes/recipe_alcohol.asset
ProductionRecipeSO,recipe:alcohol,ProductionRecipeSO|recipe:alcohol,requires,material:fermented-liquor,2,,inputs.0.itemId,item Id,content-reference,resolved-content,ResourceItemDefinitionSO|material:fermented-liquor,Assets/Resources/SO/Economy/Recipes/recipe_alcohol.asset
ProductionRecipeSO,recipe:alcohol,ProductionRecipeSO|recipe:alcohol,requires,research:cuisine:distilling-aging,,,requiredResearchId,required Research Id,content-reference,resolved-content,ResearchProjectSO|research:cuisine:distilling-aging; ResearchUnlockBundleDefinitionSO|research:cuisine:distilling-aging,Assets/Resources/SO/Economy/Recipes/recipe_alcohol.asset
ProductionRecipeSO,recipe:ammo:armor-piercing-cartridge,ProductionRecipeSO|recipe:ammo:armor-piercing-cartridge,produces-or-unlocks,ammo:armor-piercing-cartridge,6,,outputs.0.itemId,item Id,content-reference,resolved-content,ResourceItemDefinitionSO|ammo:armor-piercing-cartridge,Assets/Resources/SO/Economy/Recipes/ResearchOverhaul/V3R129_철갑_탄약.asset
ProductionRecipeSO,recipe:ammo:armor-piercing-cartridge,ProductionRecipeSO|recipe:ammo:armor-piercing-cartridge,references,process-loss,,,massExplanation.capabilityId,capability Id,protocol-id,non-content-protocol,,Assets/Resources/SO/Economy/Recipes/ResearchOverhaul/V3R129_철갑_탄약.asset
ProductionRecipeSO,recipe:ammo:armor-piercing-cartridge,ProductionRecipeSO|recipe:ammo:armor-piercing-cartridge,references,work:craft,,,workTypeId,work Type Id,protocol-id,non-content-protocol,,Assets/Resources/SO/Economy/Recipes/ResearchOverhaul/V3R129_철갑_탄약.asset
ProductionRecipeSO,recipe:ammo:armor-piercing-cartridge,ProductionRecipeSO|recipe:ammo:armor-piercing-cartridge,requires,material:cartridge-paper,1,,inputs.2.itemId,item Id,content-reference,resolved-content,ResourceItemDefinitionSO|material:cartridge-paper,Assets/Resources/SO/Economy/Recipes/ResearchOverhaul/V3R129_철갑_탄약.asset
ProductionRecipeSO,recipe:ammo:armor-piercing-cartridge,ProductionRecipeSO|recipe:ammo:armor-piercing-cartridge,requires,material:granulated-powder,1,,inputs.1.itemId,item Id,content-reference,resolved-content,ResourceItemDefinitionSO|material:granulated-powder,Assets/Resources/SO/Economy/Recipes/ResearchOverhaul/V3R129_철갑_탄약.asset
ProductionRecipeSO,recipe:ammo:armor-piercing-cartridge,ProductionRecipeSO|recipe:ammo:armor-piercing-cartridge,requires,material:lead-shot,4,,inputs.0.itemId,item Id,content-reference,resolved-content,ResourceItemDefinitionSO|material:lead-shot,Assets/Resources/SO/Economy/Recipes/ResearchOverhaul/V3R129_철갑_탄약.asset
ProductionRecipeSO,recipe:ammo:armor-piercing-cartridge,ProductionRecipeSO|recipe:ammo:armor-piercing-cartridge,requires,research:equipment:pressure-barrels,,,requiredResearchId,required Research Id,content-reference,resolved-content,ResearchProjectSO|research:equipment:pressure-barrels; ResearchUnlockBundleDefinitionSO|research:equipment:pressure-barrels,Assets/Resources/SO/Economy/Recipes/ResearchOverhaul/V3R129_철갑_탄약.asset
ProductionRecipeSO,recipe:ammo:blacksteel-bolt,ProductionRecipeSO|recipe:ammo:blacksteel-bolt,produces-or-unlocks,ammo:blacksteel-bolt,6,,outputs.0.itemId,item Id,content-reference,resolved-content,ResourceItemDefinitionSO|ammo:blacksteel-bolt,Assets/Resources/SO/Economy/Recipes/ResearchOverhaul/V3R132_흑강_볼트.asset
ProductionRecipeSO,recipe:ammo:blacksteel-bolt,ProductionRecipeSO|recipe:ammo:blacksteel-bolt,references,process-loss,,,massExplanation.capabilityId,capability Id,protocol-id,non-content-protocol,,Assets/Resources/SO/Economy/Recipes/ResearchOverhaul/V3R132_흑강_볼트.asset
ProductionRecipeSO,recipe:ammo:blacksteel-bolt,ProductionRecipeSO|recipe:ammo:blacksteel-bolt,references,work:craft,,,workTypeId,work Type Id,protocol-id,non-content-protocol,,Assets/Resources/SO/Economy/Recipes/ResearchOverhaul/V3R132_흑강_볼트.asset
