source_type,source_id,source_record_key,kind,target_id,amount,duration,field_path,semantic_label,target_category,resolution_status,target_record_keys,source_path
EnemyArchetypeDefinitionSO,enemy:crown-chaplain,EnemyArchetypeDefinitionSO|enemy:crown-chaplain,references,human:crown,,,factionId,faction Id,faction-content,unresolved-runtime-domain-id,,Assets/Resources/SO/V20/Combat/Enemies/enemy_crown-chaplain.asset
EnemyArchetypeDefinitionSO,enemy:crown-levy,EnemyArchetypeDefinitionSO|enemy:crown-levy,references,human:crown,,,factionId,faction Id,faction-content,unresolved-runtime-domain-id,,Assets/Resources/SO/V20/Combat/Enemies/enemy_crown-levy.asset
EnemyArchetypeDefinitionSO,enemy:crown-longbow,EnemyArchetypeDefinitionSO|enemy:crown-longbow,references,human:crown,,,factionId,faction Id,faction-content,unresolved-runtime-domain-id,,Assets/Resources/SO/V20/Combat/Enemies/enemy_crown-longbow.asset
EnemyArchetypeDefinitionSO,enemy:crown-marshal,EnemyArchetypeDefinitionSO|enemy:crown-marshal,references,human:crown,,,factionId,faction Id,faction-content,unresolved-runtime-domain-id,,Assets/Resources/SO/V20/Combat/Enemies/enemy_crown-marshal.asset
EnemyArchetypeDefinitionSO,enemy:crown-tower-guard,EnemyArchetypeDefinitionSO|enemy:crown-tower-guard,references,human:crown,,,factionId,faction Id,faction-content,unresolved-runtime-domain-id,,Assets/Resources/SO/V20/Combat/Enemies/enemy_crown-tower-guard.asset
EnemyArchetypeDefinitionSO,enemy:inquisition-censor,EnemyArchetypeDefinitionSO|enemy:inquisition-censor,references,human:inquisition,,,factionId,faction Id,faction-content,unresolved-runtime-domain-id,,Assets/Resources/SO/V20/Combat/Enemies/enemy_inquisition-censor.asset
EnemyArchetypeDefinitionSO,enemy:inquisition-high-judge,EnemyArchetypeDefinitionSO|enemy:inquisition-high-judge,references,human:inquisition,,,factionId,faction Id,faction-content,unresolved-runtime-domain-id,,Assets/Resources/SO/V20/Combat/Enemies/enemy_inquisition-high-judge.asset
EnemyArchetypeDefinitionSO,enemy:inquisition-purifier,EnemyArchetypeDefinitionSO|enemy:inquisition-purifier,references,human:inquisition,,,factionId,faction Id,faction-content,unresolved-runtime-domain-id,,Assets/Resources/SO/V20/Combat/Enemies/enemy_inquisition-purifier.asset
EnemyArchetypeDefinitionSO,enemy:inquisition-rune-sniper,EnemyArchetypeDefinitionSO|enemy:inquisition-rune-sniper,references,human:inquisition,,,factionId,faction Id,faction-content,unresolved-runtime-domain-id,,Assets/Resources/SO/V20/Combat/Enemies/enemy_inquisition-rune-sniper.asset
EnemyArchetypeDefinitionSO,enemy:inquisition-ward-knight,EnemyArchetypeDefinitionSO|enemy:inquisition-ward-knight,references,human:inquisition,,,factionId,faction Id,faction-content,unresolved-runtime-domain-id,,Assets/Resources/SO/V20/Combat/Enemies/enemy_inquisition-ward-knight.asset
EnemyArchetypeDefinitionSO,enemy:legion-arquebus,EnemyArchetypeDefinitionSO|enemy:legion-arquebus,references,human:legion,,,factionId,faction Id,faction-content,unresolved-runtime-domain-id,,Assets/Resources/SO/V20/Combat/Enemies/enemy_legion-arquebus.asset
EnemyArchetypeDefinitionSO,enemy:legion-captain,EnemyArchetypeDefinitionSO|enemy:legion-captain,references,human:legion,,,factionId,faction Id,faction-content,unresolved-runtime-domain-id,,Assets/Resources/SO/V20/Combat/Enemies/enemy_legion-captain.asset
EnemyArchetypeDefinitionSO,enemy:legion-pavise,EnemyArchetypeDefinitionSO|enemy:legion-pavise,references,human:legion,,,factionId,faction Id,faction-content,unresolved-runtime-domain-id,,Assets/Resources/SO/V20/Combat/Enemies/enemy_legion-pavise.asset
EnemyArchetypeDefinitionSO,enemy:legion-pikeman,EnemyArchetypeDefinitionSO|enemy:legion-pikeman,references,human:legion,,,factionId,faction Id,faction-content,unresolved-runtime-domain-id,,Assets/Resources/SO/V20/Combat/Enemies/enemy_legion-pikeman.asset
EnemyArchetypeDefinitionSO,enemy:legion-surgeon,EnemyArchetypeDefinitionSO|enemy:legion-surgeon,references,human:legion,,,factionId,faction Id,faction-content,unresolved-runtime-domain-id,,Assets/Resources/SO/V20/Combat/Enemies/enemy_legion-surgeon.asset
EnemyArchetypeDefinitionSO,enemy:merchant-alchemist,EnemyArchetypeDefinitionSO|enemy:merchant-alchemist,references,human:merchant,,,factionId,faction Id,faction-content,unresolved-runtime-domain-id,,Assets/Resources/SO/V20/Combat/Enemies/enemy_merchant-alchemist.asset
EnemyArchetypeDefinitionSO,enemy:merchant-caravan-blade,EnemyArchetypeDefinitionSO|enemy:merchant-caravan-blade,references,human:merchant,,,factionId,faction Id,faction-content,unresolved-runtime-domain-id,,Assets/Resources/SO/V20/Combat/Enemies/enemy_merchant-caravan-blade.asset
EnemyArchetypeDefinitionSO,enemy:merchant-crossbow,EnemyArchetypeDefinitionSO|enemy:merchant-crossbow,references,human:merchant,,,factionId,faction Id,faction-content,unresolved-runtime-domain-id,,Assets/Resources/SO/V20/Combat/Enemies/enemy_merchant-crossbow.asset
EnemyArchetypeDefinitionSO,enemy:merchant-factor,EnemyArchetypeDefinitionSO|enemy:merchant-factor,references,human:merchant,,,factionId,faction Id,faction-content,unresolved-runtime-domain-id,,Assets/Resources/SO/V20/Combat/Enemies/enemy_merchant-factor.asset
EnemyArchetypeDefinitionSO,enemy:merchant-hired-bulwark,EnemyArchetypeDefinitionSO|enemy:merchant-hired-bulwark,references,human:merchant,,,factionId,faction Id,faction-content,unresolved-runtime-domain-id,,Assets/Resources/SO/V20/Combat/Enemies/enemy_merchant-hired-bulwark.asset
EnemyArchetypeDefinitionSO,enemy:neutral-clockwork,EnemyArchetypeDefinitionSO|enemy:neutral-clockwork,references,neutral:construct,,,factionId,faction Id,faction-content,unresolved-runtime-domain-id,,Assets/Resources/SO/V20/Combat/Enemies/enemy_neutral-clockwork.asset
EnemyArchetypeDefinitionSO,enemy:neutral-mercenary,EnemyArchetypeDefinitionSO|enemy:neutral-mercenary,references,neutral:mercenary,,,factionId,faction Id,faction-content,unresolved-runtime-domain-id,,Assets/Resources/SO/V20/Combat/Enemies/enemy_neutral-mercenary.asset
EnemyArchetypeDefinitionSO,enemy:neutral-smoke-sapper,EnemyArchetypeDefinitionSO|enemy:neutral-smoke-sapper,references,neutral:specialist,,,factionId,faction Id,faction-content,unresolved-runtime-domain-id,,Assets/Resources/SO/V20/Combat/Enemies/enemy_neutral-smoke-sapper.asset
EnemyArchetypeDefinitionSO,enemy:rival-packbreaker,EnemyArchetypeDefinitionSO|enemy:rival-packbreaker,references,rival:dungeon,,,factionId,faction Id,faction-content,unresolved-runtime-domain-id,,Assets/Resources/SO/V20/Combat/Enemies/enemy_rival-packbreaker.asset
EnemyArchetypeDefinitionSO,enemy:rival-pactbinder,EnemyArchetypeDefinitionSO|enemy:rival-pactbinder,references,rival:dungeon,,,factionId,faction Id,faction-content,unresolved-runtime-domain-id,,Assets/Resources/SO/V20/Combat/Enemies/enemy_rival-pactbinder.asset
EnemyArchetypeDefinitionSO,enemy:rival-siege-frame,EnemyArchetypeDefinitionSO|enemy:rival-siege-frame,references,rival:dungeon,,,factionId,faction Id,faction-content,unresolved-runtime-domain-id,,Assets/Resources/SO/V20/Combat/Enemies/enemy_rival-siege-frame.asset
EnemyArchetypeDefinitionSO,enemy:rival-spore-shepherd,EnemyArchetypeDefinitionSO|enemy:rival-spore-shepherd,references,rival:dungeon,,,factionId,faction Id,faction-content,unresolved-runtime-domain-id,,Assets/Resources/SO/V20/Combat/Enemies/enemy_rival-spore-shepherd.asset
EnemyArchetypeDefinitionSO,enemy:rival-stormcaller,EnemyArchetypeDefinitionSO|enemy:rival-stormcaller,references,rival:dungeon,,,factionId,faction Id,faction-content,unresolved-runtime-domain-id,,Assets/Resources/SO/V20/Combat/Enemies/enemy_rival-stormcaller.asset
EnemyArchetypeDefinitionSO,enemy:settler-barricadier,EnemyArchetypeDefinitionSO|enemy:settler-barricadier,references,human:settler,,,factionId,faction Id,faction-content,unresolved-runtime-domain-id,,Assets/Resources/SO/V20/Combat/Enemies/enemy_settler-barricadier.asset
EnemyArchetypeDefinitionSO,enemy:settler-herbalist,EnemyArchetypeDefinitionSO|enemy:settler-herbalist,references,human:settler,,,factionId,faction Id,faction-content,unresolved-runtime-domain-id,,Assets/Resources/SO/V20/Combat/Enemies/enemy_settler-herbalist.asset
EnemyArchetypeDefinitionSO,enemy:settler-hunter,EnemyArchetypeDefinitionSO|enemy:settler-hunter,references,human:settler,,,factionId,faction Id,faction-content,unresolved-runtime-domain-id,,Assets/Resources/SO/V20/Combat/Enemies/enemy_settler-hunter.asset
