content_type,scope,stable_id,evidence_kinds,system,code_role,confidence,source_path
CharacterSO,content-type,,type-reference,controllers,runtime,structural-type-consumer,Assets/Scripts/Controllers/GameManager.cs
CharacterSO,content-type,,type-reference; save-restore-reference,services:character,ai-decision,structural-type-consumer,Assets/Scripts/Services/Character/AI/AIBrain.cs
CharacterSO,content-type,,type-reference; save-restore-reference,services:character,ai-decision,structural-type-consumer,Assets/Scripts/Services/Character/AI/CustomerPersonaRuntime.cs
CharacterSO,content-type,,type-reference,services:character,runtime,structural-type-consumer,Assets/Scripts/Services/Character/Ability/AbilityMove.cs
CharacterSO,content-type,,type-reference; save-restore-reference,services:character,runtime,structural-type-consumer,Assets/Scripts/Services/Character/Ability/AbilityShopping.cs
CharacterSO,content-type,,type-reference; save-restore-reference,services:character,runtime,structural-type-consumer,Assets/Scripts/Services/Character/Ability/AbilityWork.cs
CharacterSO,content-type,,type-reference,services:character,runtime,structural-type-consumer,Assets/Scripts/Services/Character/Ability/CharacterAbility.cs
CharacterSO,content-type,,type-reference,services:character,runtime,structural-type-consumer,Assets/Scripts/Services/Character/CharacterLifePublicationService.cs
CharacterSO,content-type,,type-reference,services:character,runtime,structural-type-consumer,Assets/Scripts/Services/Character/CharacterSpawner.cs
CharacterSO,content-type,,type-reference,services:character,runtime,structural-type-consumer,Assets/Scripts/Services/Character/CharacterSpawnerSceneApplicationAdapter.cs
CharacterSO,content-type,,type-reference; save-restore-reference,services:character,runtime,structural-type-consumer,Assets/Scripts/Services/Character/Core/CharacterActor.cs
CharacterSO,content-type,,type-reference; save-restore-reference,services:character,runtime,structural-type-consumer,Assets/Scripts/Services/Character/Core/CharacterActorCollaborators.cs
CharacterSO,content-type,,type-reference,services:character,runtime,structural-type-consumer,Assets/Scripts/Services/Character/Core/CharacterIdentity.cs
CharacterSO,content-type,,type-reference; save-restore-reference,services:character,runtime,structural-type-consumer,Assets/Scripts/Services/Character/Core/CharacterPopulationService.cs
CharacterSO,content-type,,type-reference; save-restore-reference,services:character,runtime,structural-type-consumer,Assets/Scripts/Services/Character/Core/CharacterPopulationServiceFacade.cs
CharacterSO,content-type,,type-reference,services:character,runtime,structural-type-consumer,Assets/Scripts/Services/Character/Core/CharacterProgressionProfileProjector.cs
CharacterSO,content-type,,type-reference; save-restore-reference,services:character,runtime,structural-type-consumer,Assets/Scripts/Services/Character/Core/OwnerCharacterFactory.cs
CharacterSO,content-type,,type-reference; save-restore-reference,services:character,runtime,structural-type-consumer,Assets/Scripts/Services/Character/Core/OwnerRunManager.cs
CharacterSO,content-type,,type-reference; save-restore-reference,services:character,runtime,structural-type-consumer,Assets/Scripts/Services/Character/Core/PreparedStartPartyGameplayApplier.cs
CharacterSO,content-type,,type-reference; save-restore-reference,services:character,runtime,structural-type-consumer,Assets/Scripts/Services/Character/Core/StartPartyPreparationService.cs
CharacterSO,content-type,,type-reference,services:character,persistence,structural-type-consumer,Assets/Scripts/Services/Character/Core/StartPartyPreparationSnapshot.cs
CharacterSO,content-type,,type-reference,services:character,runtime,structural-type-consumer,Assets/Scripts/Services/Character/ReproductionApplicationAdapter.cs
CharacterSO,content-type,,type-reference,services:character,runtime,structural-type-consumer,Assets/Scripts/Services/Character/SO/CharacterModelData.cs
CharacterSO,content-type,,type-reference,services:character,runtime,structural-type-consumer,Assets/Scripts/Services/Character/SO/CharacterRuntimeProfileFactory.cs
CharacterSO,content-type,,type-reference; save-restore-reference,services:character,runtime,structural-type-consumer,Assets/Scripts/Services/Character/Work/WorkDutyController.cs
CharacterSO,content-type,,type-reference; save-restore-reference,services:factions,runtime,structural-type-consumer,Assets/Scripts/Services/Factions/FactionRuntime.cs
CharacterSO,content-type,,type-reference; save-restore-reference,services:infrastructure,persistence,structural-type-consumer,Assets/Scripts/Services/Infrastructure/CharacterV18RestoreIdentityResolver.cs
CharacterSO,content-type,,type-reference; save-restore-reference,services:infrastructure,persistence,structural-type-consumer,Assets/Scripts/Services/Infrastructure/CharacterWorldSaveService.cs
