content_type,scope,stable_id,evidence_kinds,system,code_role,confidence,source_path
AnatomyProfileSO,content-type,,type-reference,models:medical,runtime,structural-type-consumer,Assets/Scripts/Models/Medical/Core/AnatomyModels.cs
AnatomyProfileSO,content-type,,type-reference,services:medical,content-loading,structural-type-consumer,Assets/Scripts/Services/Medical/AnatomyProfileCatalog.cs
AnatomyProfileSO,stable-id,anatomy:avian,stable-id-literal,services:medical,content-loading,exact-literal-consumer,Assets/Scripts/Services/Medical/AnatomyProfileCatalog.cs
AnatomyProfileSO,stable-id,anatomy:beastkin,stable-id-literal,services:medical,content-loading,exact-literal-consumer,Assets/Scripts/Services/Medical/AnatomyProfileCatalog.cs
AnatomyProfileSO,stable-id,anatomy:construct,stable-id-literal,services:medical,content-loading,exact-literal-consumer,Assets/Scripts/Services/Medical/AnatomyProfileCatalog.cs
AnatomyProfileSO,stable-id,anatomy:demon,stable-id-literal,services:medical,content-loading,exact-literal-consumer,Assets/Scripts/Services/Medical/AnatomyProfileCatalog.cs
AnatomyProfileSO,stable-id,anatomy:fungal,stable-id-literal,services:medical,content-loading,exact-literal-consumer,Assets/Scripts/Services/Medical/AnatomyProfileCatalog.cs
AnatomyProfileSO,stable-id,anatomy:human,stable-id-literal,services:medical,content-loading,exact-literal-consumer,Assets/Scripts/Services/Medical/AnatomyProfileCatalog.cs
AnatomyProfileSO,stable-id,anatomy:humanoid,stable-id-literal,models:species,runtime,exact-literal-consumer,Assets/Scripts/Models/Species/Core/CharacterSpeciesDefinitionSO.cs
AnatomyProfileSO,stable-id,anatomy:humanoid,stable-id-literal,services:medical,content-loading,exact-literal-consumer,Assets/Scripts/Services/Medical/AnatomyProfileCatalog.cs
AnatomyProfileSO,stable-id,anatomy:kobold,stable-id-literal,services:medical,content-loading,exact-literal-consumer,Assets/Scripts/Services/Medical/AnatomyProfileCatalog.cs
AnatomyProfileSO,stable-id,anatomy:orc,stable-id-literal,services:medical,content-loading,exact-literal-consumer,Assets/Scripts/Services/Medical/AnatomyProfileCatalog.cs
AnatomyProfileSO,stable-id,anatomy:quadruped,stable-id-literal,services:combat,runtime,exact-literal-consumer,Assets/Scripts/Services/Combat/CharacterBodyHealthStateRules.cs
AnatomyProfileSO,stable-id,anatomy:quadruped,stable-id-literal,services:medical,content-loading,exact-literal-consumer,Assets/Scripts/Services/Medical/AnatomyProfileCatalog.cs
AnatomyProfileSO,stable-id,anatomy:slime,stable-id-literal,services:combat,runtime,exact-literal-consumer,Assets/Scripts/Services/Combat/CharacterBodyHealthStateRules.cs
AnatomyProfileSO,stable-id,anatomy:slime,stable-id-literal,services:medical,content-loading,exact-literal-consumer,Assets/Scripts/Services/Medical/AnatomyProfileCatalog.cs
AnatomyProfileSO,stable-id,anatomy:vampire,stable-id-literal,services:medical,content-loading,exact-literal-consumer,Assets/Scripts/Services/Medical/AnatomyProfileCatalog.cs
