content_type,scope,stable_id,evidence_kinds,system,code_role,confidence,source_path
WildlifeSpeciesSO,content-type,,type-reference; save-restore-reference,services:run,runtime,structural-type-consumer,Assets/Scripts/Services/Run/V20CampaignRuntime.cs
WildlifeSpeciesSO,content-type,,type-reference; save-restore-reference,services:wildlife,runtime,structural-type-consumer,Assets/Scripts/Services/Wildlife/WildlifeModels.cs
WildlifeSpeciesSO,stable-id,cave_rat,stable-id-literal,services:economy,persistence,exact-literal-consumer,Assets/Scripts/Services/Economy/Husbandry/AnimalHusbandrySaveSection.cs
WildlifeSpeciesSO,stable-id,cave_rat,stable-id-literal,services:medical,content-loading,exact-literal-consumer,Assets/Scripts/Services/Medical/AnatomyProfileCatalog.cs
WildlifeSpeciesSO,stable-id,cave_rat,stable-id-literal,services:wildlife,runtime,exact-literal-consumer,Assets/Scripts/Services/Wildlife/WildlifeModels.cs
WildlifeSpeciesSO,stable-id,moss_boar,stable-id-literal,services:medical,content-loading,exact-literal-consumer,Assets/Scripts/Services/Medical/AnatomyProfileCatalog.cs
WildlifeSpeciesSO,stable-id,moss_boar,stable-id-literal,services:medical,runtime,exact-literal-consumer,Assets/Scripts/Services/Medical/SurgicalPartRuntime.cs
WildlifeSpeciesSO,stable-id,moss_boar,stable-id-literal,services:wildlife,runtime,exact-literal-consumer,Assets/Scripts/Services/Wildlife/WildlifeModels.cs
WildlifeSpeciesSO,stable-id,rune_deer,stable-id-literal,services:medical,content-loading,exact-literal-consumer,Assets/Scripts/Services/Medical/AnatomyProfileCatalog.cs
WildlifeSpeciesSO,stable-id,rune_deer,stable-id-literal,services:medical,runtime,exact-literal-consumer,Assets/Scripts/Services/Medical/SurgicalPartRuntime.cs
WildlifeSpeciesSO,stable-id,rune_deer,stable-id-literal,services:offense,runtime,exact-literal-consumer,Assets/Scripts/Services/Offense/OffenseReturnArrivalRuntime.cs
WildlifeSpeciesSO,stable-id,rune_deer,stable-id-literal,services:wildlife,runtime,exact-literal-consumer,Assets/Scripts/Services/Wildlife/WildlifeModels.cs
WildlifeSpeciesSO,stable-id,shadow_hare,stable-id-literal,services:medical,content-loading,exact-literal-consumer,Assets/Scripts/Services/Medical/AnatomyProfileCatalog.cs
WildlifeSpeciesSO,stable-id,shadow_hare,stable-id-literal,services:wildlife,runtime,exact-literal-consumer,Assets/Scripts/Services/Wildlife/WildlifeModels.cs
WildlifeSpeciesSO,stable-id,shadow_wolf,stable-id-literal,services:infrastructure,runtime,exact-literal-consumer,Assets/Scripts/Services/Infrastructure/Exterior/ExteriorIncidentHandlers.cs
WildlifeSpeciesSO,stable-id,shadow_wolf,stable-id-literal,services:medical,content-loading,exact-literal-consumer,Assets/Scripts/Services/Medical/AnatomyProfileCatalog.cs
WildlifeSpeciesSO,stable-id,shadow_wolf,stable-id-literal,services:medical,runtime,exact-literal-consumer,Assets/Scripts/Services/Medical/SurgicalPartRuntime.cs
WildlifeSpeciesSO,stable-id,shadow_wolf,stable-id-literal,services:wildlife,runtime,exact-literal-consumer,Assets/Scripts/Services/Wildlife/WildlifeBehaviorRuntime.cs
WildlifeSpeciesSO,stable-id,shadow_wolf,stable-id-literal,services:wildlife,runtime,exact-literal-consumer,Assets/Scripts/Services/Wildlife/WildlifeModels.cs
