content_type,scope,stable_id,evidence_kinds,system,code_role,confidence,source_path
GenericItemDefinitionSO,content-type,,type-reference,services:combat,runtime,structural-type-consumer,Assets/Scripts/Services/Combat/CharacterMedicalSupplyOutboxDebugScenarios.cs
GenericItemDefinitionSO,stable-id,ammo:arrow,stable-id-literal,models:combat,runtime,exact-literal-consumer,Assets/Scripts/Models/Combat/Core/CombatItemDefinitions.cs
GenericItemDefinitionSO,stable-id,ammo:bolt,stable-id-literal,models:combat,runtime,exact-literal-consumer,Assets/Scripts/Models/Combat/Core/CombatItemDefinitions.cs
GenericItemDefinitionSO,stable-id,captivity:extracted-blood,stable-id-literal,models:captivity,runtime,exact-literal-consumer,Assets/Scripts/Models/Captivity/Core/CaptivityItemDefinitions.cs
GenericItemDefinitionSO,stable-id,captivity:extracted-blood,stable-id-literal,models:items,content-loading,exact-literal-consumer,Assets/Scripts/Models/Items/Core/PhysicalItemRuntimeConsumerCatalog.cs
GenericItemDefinitionSO,stable-id,captivity:memory-residue,stable-id-literal,models:captivity,runtime,exact-literal-consumer,Assets/Scripts/Models/Captivity/Core/CaptivityItemDefinitions.cs
GenericItemDefinitionSO,stable-id,captivity:memory-residue,stable-id-literal,services:infrastructure,runtime,exact-literal-consumer,Assets/Scripts/Services/Infrastructure/KnowledgeResidueDestinationRuntime.cs
GenericItemDefinitionSO,stable-id,captivity:restraints,stable-id-literal,models:captivity,runtime,exact-literal-consumer,Assets/Scripts/Models/Captivity/Core/CaptivityItemDefinitions.cs
GenericItemDefinitionSO,stable-id,dark:bone,stable-id-literal,models:survival,runtime,exact-literal-consumer,Assets/Scripts/Models/Survival/Core/DarkSurvivalItemDefinitions.cs
GenericItemDefinitionSO,stable-id,dark:humanoid_corpse,stable-id-literal,models:survival,runtime,exact-literal-consumer,Assets/Scripts/Models/Survival/Core/DarkSurvivalItemDefinitions.cs
GenericItemDefinitionSO,stable-id,dark:humanoid_meat,stable-id-literal,models:survival,runtime,exact-literal-consumer,Assets/Scripts/Models/Survival/Core/DarkSurvivalItemDefinitions.cs
GenericItemDefinitionSO,stable-id,evolution:facility-package,stable-id-literal,services:evolution,runtime,exact-literal-consumer,Assets/Scripts/Services/Evolution/EvolutionCatalystEconomyRuntime.cs
