content_type,scope,stable_id,evidence_kinds,system,code_role,confidence,source_path
CharacterPerformanceFormulaDefinitionSO,content-type,,type-reference; save-restore-reference,services:character,runtime,structural-type-consumer,Assets/Scripts/Services/Character/Core/CharacterPerformanceDefinitionMaximumQuery.cs
CharacterPerformanceFormulaDefinitionSO,content-type,,type-reference,services:character,runtime,structural-type-consumer,Assets/Scripts/Services/Character/Core/CharacterPerformanceQuery.cs
CharacterPerformanceFormulaDefinitionSO,content-type,,type-reference; save-restore-reference,services:character,runtime,structural-type-consumer,Assets/Scripts/Services/Character/SpeciesRuntime.cs
CharacterPerformanceFormulaDefinitionSO,content-type,,type-reference; save-restore-reference,services:economy,runtime,structural-type-consumer,Assets/Scripts/Services/Economy/CropHarvestReachableMaximumWitnessAuthority.cs
CharacterPerformanceFormulaDefinitionSO,content-type,,type-reference; save-restore-reference,services:economy,runtime,structural-type-consumer,Assets/Scripts/Services/Economy/ProductionRecipeWorkRateMaximumContributors.cs
CharacterPerformanceFormulaDefinitionSO,stable-id,performance:combat:arcane-power,stable-id-literal,services:foundation,runtime,exact-literal-consumer,Assets/Scripts/Services/Foundation/CharacterPerformanceContracts.cs
CharacterPerformanceFormulaDefinitionSO,stable-id,performance:combat:defense-reaction,stable-id-literal,services:combat,runtime,exact-literal-consumer,Assets/Scripts/Services/Combat/CombatRuntimeStatFactory.cs
CharacterPerformanceFormulaDefinitionSO,stable-id,performance:combat:defense-reaction,stable-id-literal,services:offense,content-loading,exact-literal-consumer,Assets/Scripts/Services/Offense/OffenseEncounterCatalog.cs
CharacterPerformanceFormulaDefinitionSO,stable-id,performance:combat:defense-reaction,stable-id-literal,services:offense,runtime,exact-literal-consumer,Assets/Scripts/Services/Offense/OffenseExpeditionService.cs
CharacterPerformanceFormulaDefinitionSO,stable-id,performance:combat:evasion,stable-id-literal,services:combat,runtime,exact-literal-consumer,Assets/Scripts/Services/Combat/CombatRuntimeStatFactory.cs
CharacterPerformanceFormulaDefinitionSO,stable-id,performance:combat:evasion,stable-id-literal,services:offense,content-loading,exact-literal-consumer,Assets/Scripts/Services/Offense/OffenseEncounterCatalog.cs
CharacterPerformanceFormulaDefinitionSO,stable-id,performance:combat:evasion,stable-id-literal,views,player-observation,exact-literal-consumer,Assets/Scripts/Views/UI/CharacterSummaryCombatPresenter.cs
