content_type,scope,stable_id,evidence_kinds,system,code_role,confidence,source_path
GameplayEffectConditionDefinitionSO,content-type,,type-reference,services:foundation,runtime,structural-type-consumer,Assets/Scripts/Services/Foundation/GameplayEffectContracts.cs
GameplayEffectConditionDefinitionSO,stable-id,accident:fall-slip,stable-id-literal,services:character,runtime,exact-literal-consumer,Assets/Scripts/Services/Character/Core/CharacterStatsProjectionService.cs
GameplayEffectConditionDefinitionSO,stable-id,event:hostile-execution,stable-id-literal,services:character,runtime,exact-literal-consumer,Assets/Scripts/Services/Character/Identity/Runtime/CharacterIdentityRuntime.cs
GameplayEffectConditionDefinitionSO,stable-id,relationship:first-apology,stable-id-literal,services:character,runtime,exact-literal-consumer,Assets/Scripts/Services/Character/Identity/Runtime/CharacterIdentityDomainAdapters.cs
GameplayEffectConditionDefinitionSO,stable-id,relationship:negative,stable-id-literal,services:character,runtime,exact-literal-consumer,Assets/Scripts/Services/Character/Identity/Runtime/CharacterIdentityDomainAdapters.cs
GameplayEffectConditionDefinitionSO,stable-id,room:noise,stable-id-literal,services:character,runtime,exact-literal-consumer,Assets/Scripts/Services/Character/Identity/Runtime/CharacterIdentityDomainAdapters.cs
GameplayEffectConditionDefinitionSO,stable-id,room:noise,stable-id-literal,services:infrastructure,runtime,exact-literal-consumer,Assets/Scripts/Services/Infrastructure/Rooms/RoomEnvironmentExperienceAdapter.cs
GameplayEffectConditionDefinitionSO,stable-id,shift:day,stable-id-literal,services:character,ai-decision,exact-literal-consumer,Assets/Scripts/Services/Character/AI/CharacterWorkSemanticTags.cs
GameplayEffectConditionDefinitionSO,stable-id,shift:day,stable-id-literal,services:character,runtime,exact-literal-consumer,Assets/Scripts/Services/Character/Core/CharacterStatsProjectionService.cs
GameplayEffectConditionDefinitionSO,stable-id,shift:night,stable-id-literal,services:character,ai-decision,exact-literal-consumer,Assets/Scripts/Services/Character/AI/CharacterWorkSemanticTags.cs
GameplayEffectConditionDefinitionSO,stable-id,shift:night,stable-id-literal,services:character,runtime,exact-literal-consumer,Assets/Scripts/Services/Character/Core/CharacterStatsProjectionService.cs
GameplayEffectConditionDefinitionSO,stable-id,state:arcane-overcharge,stable-id-literal,services:character,runtime,exact-literal-consumer,Assets/Scripts/Services/Character/Identity/Runtime/ExtremeTraitRuntime.cs
GameplayEffectConditionDefinitionSO,stable-id,state:arcane-overcharge-aftermath,stable-id-literal,services:character,runtime,exact-literal-consumer,Assets/Scripts/Services/Character/Identity/Runtime/ExtremeTraitRuntime.cs
GameplayEffectConditionDefinitionSO,stable-id,state:emergency-stocked,stable-id-literal,services:character,runtime,exact-literal-consumer,Assets/Scripts/Services/Character/Core/CharacterStatsProjectionService.cs
GameplayEffectConditionDefinitionSO,stable-id,state:forbidden-leap-aftermath,stable-id-literal,services:character,runtime,exact-literal-consumer,Assets/Scripts/Services/Character/Identity/Runtime/ExtremeTraitRuntime.cs
GameplayEffectConditionDefinitionSO,stable-id,state:formal-status,stable-id-literal,services:character,runtime,exact-literal-consumer,Assets/Scripts/Services/Character/Work/StaffDiscontentRuntime.cs
GameplayEffectConditionDefinitionSO,stable-id,state:golden-harvest-jackpot,stable-id-literal,services:economy,runtime,exact-literal-consumer,Assets/Scripts/Services/Economy/CropHarvestReachableMaximumWitnessAuthority.cs
GameplayEffectConditionDefinitionSO,stable-id,state:golden-harvest-jackpot,stable-id-literal,services:economy,runtime,exact-literal-consumer,Assets/Scripts/Services/Economy/CropPlotRuntime.cs
GameplayEffectConditionDefinitionSO,stable-id,state:insulted,stable-id-literal,services:character,runtime,exact-literal-consumer,Assets/Scripts/Services/Character/Core/CharacterStatsProjectionService.cs
GameplayEffectConditionDefinitionSO,stable-id,state:last-stand,stable-id-literal,services:character,runtime,exact-literal-consumer,Assets/Scripts/Services/Character/Identity/Runtime/ExtremeTraitRuntime.cs
GameplayEffectConditionDefinitionSO,stable-id,state:last-stand,stable-id-literal,services:combat,runtime,exact-literal-consumer,Assets/Scripts/Services/Combat/CombatRuntimeStatFactory.cs
GameplayEffectConditionDefinitionSO,stable-id,state:last-stand-aftermath,stable-id-literal,services:character,runtime,exact-literal-consumer,Assets/Scripts/Services/Character/Identity/Runtime/ExtremeTraitRuntime.cs
GameplayEffectConditionDefinitionSO,stable-id,state:miracle-surgery-aftermath,stable-id-literal,services:character,runtime,exact-literal-consumer,Assets/Scripts/Services/Character/Identity/Runtime/ExtremeTraitRuntime.cs
GameplayEffectConditionDefinitionSO,stable-id,state:pain,stable-id-literal,services:character,runtime,exact-literal-consumer,Assets/Scripts/Services/Character/Core/CharacterStatsProjectionService.cs
GameplayEffectConditionDefinitionSO,stable-id,state:production-limit-break,stable-id-literal,services:character,runtime,exact-literal-consumer,Assets/Scripts/Services/Character/Identity/Runtime/ExtremeTraitRuntime.cs
GameplayEffectConditionDefinitionSO,stable-id,state:production-limit-break-aftermath,stable-id-literal,services:character,runtime,exact-literal-consumer,Assets/Scripts/Services/Character/Identity/Runtime/ExtremeTraitRuntime.cs
GameplayEffectConditionDefinitionSO,stable-id,state:ritual-fast-ended,stable-id-literal,services:character,runtime,exact-literal-consumer,Assets/Scripts/Services/Character/Core/CharacterStatsProjectionService.cs
GameplayEffectConditionDefinitionSO,stable-id,state:ritual-fasting,stable-id-literal,services:character,runtime,exact-literal-consumer,Assets/Scripts/Services/Character/Core/CharacterStatsProjectionService.cs
GameplayEffectConditionDefinitionSO,stable-id,state:sated,stable-id-literal,services:character,runtime,exact-literal-consumer,Assets/Scripts/Services/Character/Core/CharacterStatsProjectionService.cs
