group,content_type,content_count,content_csv,relation_count,relation_csv,field_count,field_csv,incoming_reference_count,incoming_csv,code_consumer_count,code_consumer_csv,runtime_confirmed_count,manual_review_count,type_doc
characters-traits,AgeConditionDefinitionSO,6,csv/characters-traits/age-condition.csv,17,relations/characters-traits/age-condition.csv,41,fields/characters-traits/age-condition.csv,0,incoming/characters-traits/age-condition.csv,8,code-consumers/characters-traits/age-condition.csv,6,0,types/characters-traits/age-condition/README.md
combat-health-world,AnatomyConditionLexiconSO,7,csv/combat-health-world/anatomy-condition-lexicon.csv,10,relations/combat-health-world/anatomy-condition-lexicon.csv,283,fields/combat-health-world/anatomy-condition-lexicon.csv,0,incoming/combat-health-world/anatomy-condition-lexicon.csv,8,code-consumers/combat-health-world/anatomy-condition-lexicon.csv,7,0,types/combat-health-world/anatomy-condition-lexicon/README.md
combat-health-world,AnatomyProfileSO,12,csv/combat-health-world/anatomy-profile.csv,18,relations/combat-health-world/anatomy-profile.csv,1866,fields/combat-health-world/anatomy-profile.csv,0,incoming/combat-health-world/anatomy-profile.csv,17,code-consumers/combat-health-world/anatomy-profile.csv,12,0,types/combat-health-world/anatomy-profile/README.md
production-facilities,ApparelDefinitionSO,56,csv/production-facilities/apparel.csv,56,relations/production-facilities/apparel.csv,1736,fields/production-facilities/apparel.csv,0,incoming/production-facilities/apparel.csv,14,code-consumers/production-facilities/apparel.csv,56,0,types/production-facilities/apparel/README.md
combat-health-world,BattlefieldModifierDefinitionSO,12,csv/combat-health-world/battlefield-modifier.csv,0,relations/combat-health-world/battlefield-modifier.csv,132,fields/combat-health-world/battlefield-modifier.csv,36,incoming/combat-health-world/battlefield-modifier.csv,5,code-consumers/combat-health-world/battlefield-modifier.csv,12,0,types/combat-health-world/battlefield-modifier/README.md
production-facilities,BuildingSO,419,csv/production-facilities/building.csv,29,relations/production-facilities/building.csv,55752,fields/production-facilities/building.csv,322,incoming/production-facilities/building.csv,132,code-consumers/production-facilities/building.csv,398,0,types/production-facilities/building/README.md
characters-traits,CareerPositionDefinitionSO,6,csv/characters-traits/career-position.csv,0,relations/characters-traits/career-position.csv,42,fields/characters-traits/career-position.csv,0,incoming/characters-traits/career-position.csv,1,code-consumers/characters-traits/career-position.csv,6,0,types/characters-traits/career-position/README.md
characters-traits,CharacterAmbitionDefinitionSO,18,csv/characters-traits/character-ambition.csv,0,relations/characters-traits/character-ambition.csv,648,fields/characters-traits/character-ambition.csv,0,incoming/characters-traits/character-ambition.csv,4,code-consumers/characters-traits/character-ambition.csv,18,0,types/characters-traits/character-ambition/README.md
characters-traits,CharacterBackgroundDefinitionSO,12,csv/characters-traits/character-background.csv,12,relations/characters-traits/character-background.csv,180,fields/characters-traits/character-background.csv,0,incoming/characters-traits/character-background.csv,4,code-consumers/characters-traits/character-background.csv,12,0,types/characters-traits/character-background/README.md
research-effects,CharacterFunctionalCapacityDefinitionSO,14,csv/research-effects/character-functional-capacity.csv,0,relations/research-effects/character-functional-capacity.csv,70,fields/research-effects/character-functional-capacity.csv,0,incoming/research-effects/character-functional-capacity.csv,14,code-consumers/research-effects/character-functional-capacity.csv,14,0,types/research-effects/character-functional-capacity/README.md
research-effects,CharacterPerformanceFormulaDefinitionSO,107,csv/research-effects/character-performance-formula.csv,0,relations/research-effects/character-performance-formula.csv,3677,fields/research-effects/character-performance-formula.csv,0,incoming/research-effects/character-performance-formula.csv,84,code-consumers/research-effects/character-performance-formula.csv,107,0,types/research-effects/character-performance-formula/README.md
characters-traits,CharacterSO,15,csv/characters-traits/character.csv,458,relations/characters-traits/character.csv,1715,fields/characters-traits/character.csv,0,incoming/characters-traits/character.csv,52,code-consumers/characters-traits/character.csv,14,0,types/characters-traits/character/README.md
characters-traits,CharacterSpeciesSO,10,csv/characters-traits/character-species.csv,210,relations/characters-traits/character-species.csv,1720,fields/characters-traits/character-species.csv,15,incoming/characters-traits/character-species.csv,14,code-consumers/characters-traits/character-species.csv,10,0,types/characters-traits/character-species/README.md
characters-traits,CharacterStartingHistorySO,9,csv/characters-traits/character-starting-history.csv,0,relations/characters-traits/character-starting-history.csv,81,fields/characters-traits/character-starting-history.csv,0,incoming/characters-traits/character-starting-history.csv,2,code-consumers/characters-traits/character-starting-history.csv,9,0,types/characters-traits/character-starting-history/README.md
characters-traits,CharacterStartingOriginSO,6,csv/characters-traits/character-starting-origin.csv,0,relations/characters-traits/character-starting-origin.csv,48,fields/characters-traits/character-starting-origin.csv,0,incoming/characters-traits/character-starting-origin.csv,3,code-consumers/characters-traits/character-starting-origin.csv,6,0,types/characters-traits/character-starting-origin/README.md
characters-traits,CharacterTraitSO,113,csv/characters-traits/character-trait.csv,243,relations/characters-traits/character-trait.csv,5316,fields/characters-traits/character-trait.csv,8,incoming/characters-traits/character-trait.csv,26,code-consumers/characters-traits/character-trait.csv,100,0,types/characters-traits/character-trait/README.md
events-campaign,ClimateZoneDefinitionSO,5,csv/events-campaign/climate-zone.csv,0,relations/events-campaign/climate-zone.csv,30,fields/events-campaign/climate-zone.csv,0,incoming/events-campaign/climate-zone.csv,2,code-consumers/events-campaign/climate-zone.csv,5,0,types/events-campaign/climate-zone/README.md
combat-health-world,CombatArmorSO,21,csv/combat-health-world/combat-armor.csv,57,relations/combat-health-world/combat-armor.csv,844,fields/combat-health-world/combat-armor.csv,0,incoming/combat-health-world/combat-armor.csv,4,code-consumers/combat-health-world/combat-armor.csv,21,0,types/combat-health-world/combat-armor/README.md
combat-health-world,CombatShieldSO,9,csv/combat-health-world/combat-shield.csv,23,relations/combat-health-world/combat-shield.csv,329,fields/combat-health-world/combat-shield.csv,6,incoming/combat-health-world/combat-shield.csv,4,code-consumers/combat-health-world/combat-shield.csv,9,0,types/combat-health-world/combat-shield/README.md
combat-health-world,CombatWeaponSO,31,csv/combat-health-world/combat-weapon.csv,197,relations/combat-health-world/combat-weapon.csv,1977,fields/combat-health-world/combat-weapon.csv,1,incoming/combat-health-world/combat-weapon.csv,9,code-consumers/combat-health-world/combat-weapon.csv,31,0,types/combat-health-world/combat-weapon/README.md
production-facilities,CraftMaterialDefinitionSO,12,csv/production-facilities/craft-material.csv,12,relations/production-facilities/craft-material.csv,240,fields/production-facilities/craft-material.csv,190,incoming/production-facilities/craft-material.csv,46,code-consumers/production-facilities/craft-material.csv,12,0,types/production-facilities/craft-material/README.md
production-facilities,CropDefinitionSO,12,csv/production-facilities/crop.csv,24,relations/production-facilities/crop.csv,240,fields/production-facilities/crop.csv,0,incoming/production-facilities/crop.csv,23,code-consumers/production-facilities/crop.csv,12,0,types/production-facilities/crop/README.md
production-facilities,CropGenomeDefinitionSO,32,csv/production-facilities/crop-genome.csv,0,relations/production-facilities/crop-genome.csv,841,fields/production-facilities/crop-genome.csv,12,incoming/production-facilities/crop-genome.csv,3,code-consumers/production-facilities/crop-genome.csv,32,0,types/production-facilities/crop-genome/README.md
events-campaign,CulturalPracticeDefinitionSO,20,csv/events-campaign/cultural-practice.csv,60,relations/events-campaign/cultural-practice.csv,520,fields/events-campaign/cultural-practice.csv,20,incoming/events-campaign/cultural-practice.csv,5,code-consumers/events-campaign/cultural-practice.csv,20,0,types/events-campaign/cultural-practice/README.md
combat-health-world,DefenseBurnEffectSO,2,csv/combat-health-world/defense-burn-effect.csv,0,relations/combat-health-world/defense-burn-effect.csv,10,fields/combat-health-world/defense-burn-effect.csv,2,incoming/combat-health-world/defense-burn-effect.csv,0,code-consumers/combat-health-world/defense-burn-effect.csv,0,2,types/combat-health-world/defense-burn-effect/README.md
combat-health-world,DefenseChargeEffectSO,3,csv/combat-health-world/defense-charge-effect.csv,0,relations/combat-health-world/defense-charge-effect.csv,21,fields/combat-health-world/defense-charge-effect.csv,4,incoming/combat-health-world/defense-charge-effect.csv,0,code-consumers/combat-health-world/defense-charge-effect.csv,0,3,types/combat-health-world/defense-charge-effect/README.md
combat-health-world,DefenseCorrosionEffectSO,3,csv/combat-health-world/defense-corrosion-effect.csv,0,relations/combat-health-world/defense-corrosion-effect.csv,15,fields/combat-health-world/defense-corrosion-effect.csv,3,incoming/combat-health-world/defense-corrosion-effect.csv,0,code-consumers/combat-health-world/defense-corrosion-effect.csv,0,3,types/combat-health-world/defense-corrosion-effect/README.md
combat-health-world,DefenseDamageEffectSO,11,csv/combat-health-world/defense-damage-effect.csv,0,relations/combat-health-world/defense-damage-effect.csv,55,fields/combat-health-world/defense-damage-effect.csv,12,incoming/combat-health-world/defense-damage-effect.csv,0,code-consumers/combat-health-world/defense-damage-effect.csv,0,11,types/combat-health-world/defense-damage-effect/README.md
combat-health-world,DefenseGuardAttackEffectSO,5,csv/combat-health-world/defense-guard-attack-effect.csv,0,relations/combat-health-world/defense-guard-attack-effect.csv,30,fields/combat-health-world/defense-guard-attack-effect.csv,5,incoming/combat-health-world/defense-guard-attack-effect.csv,0,code-consumers/combat-health-world/defense-guard-attack-effect.csv,0,5,types/combat-health-world/defense-guard-attack-effect/README.md
combat-health-world,DefenseSlowEffectSO,3,csv/combat-health-world/defense-slow-effect.csv,0,relations/combat-health-world/defense-slow-effect.csv,15,fields/combat-health-world/defense-slow-effect.csv,3,incoming/combat-health-world/defense-slow-effect.csv,0,code-consumers/combat-health-world/defense-slow-effect.csv,0,3,types/combat-health-world/defense-slow-effect/README.md
combat-health-world,DiseaseDefinitionSO,16,csv/combat-health-world/disease.csv,32,relations/combat-health-world/disease.csv,272,fields/combat-health-world/disease.csv,23,incoming/combat-health-world/disease.csv,7,code-consumers/combat-health-world/disease.csv,16,0,types/combat-health-world/disease/README.md
events-campaign,DungeonFactionDefinitionSO,12,csv/events-campaign/dungeon-faction.csv,72,relations/events-campaign/dungeon-faction.csv,324,fields/events-campaign/dungeon-faction.csv,632,incoming/events-campaign/dungeon-faction.csv,7,code-consumers/events-campaign/dungeon-faction.csv,12,12,types/events-campaign/dungeon-faction/README.md
events-campaign,EndingDefinitionSO,9,csv/events-campaign/ending.csv,0,relations/events-campaign/ending.csv,225,fields/events-campaign/ending.csv,0,incoming/events-campaign/ending.csv,19,code-consumers/events-campaign/ending.csv,9,0,types/events-campaign/ending/README.md
combat-health-world,EnemyAbilityDefinitionSO,18,csv/combat-health-world/enemy-ability.csv,0,relations/combat-health-world/enemy-ability.csv,234,fields/combat-health-world/enemy-ability.csv,73,incoming/combat-health-world/enemy-ability.csv,2,code-consumers/combat-health-world/enemy-ability.csv,18,0,types/combat-health-world/enemy-ability/README.md
combat-health-world,EnemyArchetypeDefinitionSO,36,csv/combat-health-world/enemy-archetype.csv,145,relations/combat-health-world/enemy-archetype.csv,1589,fields/combat-health-world/enemy-archetype.csv,0,incoming/combat-health-world/enemy-archetype.csv,5,code-consumers/combat-health-world/enemy-archetype.csv,36,0,types/combat-health-world/enemy-archetype/README.md
production-facilities,EnvironmentalWorkwearSO,4,csv/production-facilities/environmental-workwear.csv,8,relations/production-facilities/environmental-workwear.csv,56,fields/production-facilities/environmental-workwear.csv,0,incoming/production-facilities/environmental-workwear.csv,5,code-consumers/production-facilities/environmental-workwear.csv,4,0,types/production-facilities/environmental-workwear/README.md
production-facilities,EquipmentModuleDefinitionSO,20,csv/production-facilities/equipment-module.csv,0,relations/production-facilities/equipment-module.csv,180,fields/production-facilities/equipment-module.csv,0,incoming/production-facilities/equipment-module.csv,9,code-consumers/production-facilities/equipment-module.csv,20,0,types/production-facilities/equipment-module/README.md
production-facilities,FacilityBlueprintSO,7,csv/production-facilities/facility-blueprint.csv,7,relations/production-facilities/facility-blueprint.csv,77,fields/production-facilities/facility-blueprint.csv,7,incoming/production-facilities/facility-blueprint.csv,20,code-consumers/production-facilities/facility-blueprint.csv,7,0,types/production-facilities/facility-blueprint/README.md
production-facilities,FacilityEvolutionRecipeSO,6,csv/production-facilities/facility-evolution-recipe.csv,22,relations/production-facilities/facility-evolution-recipe.csv,291,fields/production-facilities/facility-evolution-recipe.csv,0,incoming/production-facilities/facility-evolution-recipe.csv,9,code-consumers/production-facilities/facility-evolution-recipe.csv,6,0,types/production-facilities/facility-evolution-recipe/README.md
production-facilities,FacilityEvolutionRecordTokenDefinitionSO,9,csv/production-facilities/facility-evolution-record-token.csv,0,relations/production-facilities/facility-evolution-record-token.csv,108,fields/production-facilities/facility-evolution-record-token.csv,0,incoming/production-facilities/facility-evolution-record-token.csv,10,code-consumers/production-facilities/facility-evolution-record-token.csv,9,0,types/production-facilities/facility-evolution-record-token/README.md
production-facilities,FacilitySynthesisRecipeSO,9,csv/production-facilities/facility-synthesis-recipe.csv,27,relations/production-facilities/facility-synthesis-recipe.csv,153,fields/production-facilities/facility-synthesis-recipe.csv,3,incoming/production-facilities/facility-synthesis-recipe.csv,6,code-consumers/production-facilities/facility-synthesis-recipe.csv,9,0,types/production-facilities/facility-synthesis-recipe/README.md
events-campaign,FactionArcDefinitionSO,6,csv/events-campaign/faction-arc.csv,78,relations/events-campaign/faction-arc.csv,114,fields/events-campaign/faction-arc.csv,0,incoming/events-campaign/faction-arc.csv,1,code-consumers/events-campaign/faction-arc.csv,6,0,types/events-campaign/faction-arc/README.md
events-campaign,FactionChapterDefinitionSO,36,csv/events-campaign/faction-chapter.csv,486,relations/events-campaign/faction-chapter.csv,3384,fields/events-campaign/faction-chapter.csv,36,incoming/events-campaign/faction-chapter.csv,3,code-consumers/events-campaign/faction-chapter.csv,36,0,types/events-campaign/faction-chapter/README.md
events-campaign,FactionContractDefinitionSO,18,csv/events-campaign/faction-contract.csv,90,relations/events-campaign/faction-contract.csv,558,fields/events-campaign/faction-contract.csv,18,incoming/events-campaign/faction-contract.csv,3,code-consumers/events-campaign/faction-contract.csv,18,0,types/events-campaign/faction-contract/README.md
characters-traits,FestivalDefinitionSO,20,csv/characters-traits/festival.csv,32,relations/characters-traits/festival.csv,440,fields/characters-traits/festival.csv,0,incoming/characters-traits/festival.csv,3,code-consumers/characters-traits/festival.csv,16,8,types/characters-traits/festival/README.md
characters-traits,FuneralCultureSO,10,csv/characters-traits/funeral-culture.csv,0,relations/characters-traits/funeral-culture.csv,50,fields/characters-traits/funeral-culture.csv,10,incoming/characters-traits/funeral-culture.csv,2,code-consumers/characters-traits/funeral-culture.csv,10,0,types/characters-traits/funeral-culture/README.md
research-effects,GameplayEffectConditionDefinitionSO,45,csv/research-effects/gameplay-effect-condition.csv,0,relations/research-effects/gameplay-effect-condition.csv,180,fields/research-effects/gameplay-effect-condition.csv,50,incoming/research-effects/gameplay-effect-condition.csv,65,code-consumers/research-effects/gameplay-effect-condition.csv,45,0,types/research-effects/gameplay-effect-condition/README.md
research-effects,GameplayEffectDefinitionSO,63,csv/research-effects/gameplay-effect.csv,0,relations/research-effects/gameplay-effect.csv,630,fields/research-effects/gameplay-effect.csv,303,incoming/research-effects/gameplay-effect.csv,3,code-consumers/research-effects/gameplay-effect.csv,63,0,types/research-effects/gameplay-effect/README.md
items,GenericItemDefinitionSO,710,csv/items/generic-item.csv,0,relations/items/generic-item.csv,18091,fields/items/generic-item.csv,48,incoming/items/generic-item.csv,37,code-consumers/items/generic-item.csv,710,0,types/items/generic-item/README.md
events-campaign,GuestRequestDefinitionSO,14,csv/events-campaign/guest-request.csv,69,relations/events-campaign/guest-request.csv,460,fields/events-campaign/guest-request.csv,0,incoming/events-campaign/guest-request.csv,4,code-consumers/events-campaign/guest-request.csv,14,0,types/events-campaign/guest-request/README.md
characters-traits,HeritableTraitDefinitionSO,24,csv/characters-traits/heritable-trait.csv,0,relations/characters-traits/heritable-trait.csv,357,fields/characters-traits/heritable-trait.csv,0,incoming/characters-traits/heritable-trait.csv,5,code-consumers/characters-traits/heritable-trait.csv,24,0,types/characters-traits/heritable-trait/README.md
events-campaign,LifeEventDefinitionSO,32,csv/events-campaign/life-event.csv,52,relations/events-campaign/life-event.csv,1320,fields/events-campaign/life-event.csv,0,incoming/events-campaign/life-event.csv,6,code-consumers/events-campaign/life-event.csv,32,0,types/events-campaign/life-event/README.md
