group,content_type,record_key,stable_id,display_name,description,mechanics,relations,existence_reason,reason_basis,review_status,review_reason,lifecycle_status,catalog_memberships,runtime_status,runtime_evidence,save_evidence,incoming_reference_count,incoming_source_types,system_role,strategic_niche,costs_and_risks,comparison_group,alternative_candidates,removal_impact,rationale_evidence,source_path,asset_guid,authored__baseSuccessChance,authored__definitionId,authored__m_Name,authored__mode,authored__mode__enum,authored__mode__label,authored__mode__origin,authored__phases,authored__phases__count,authored__speciesTag,authored__viableTemperatureMaximum,authored__viableTemperatureMinimum
characters-traits,ReproductionProfileSO,ReproductionProfileSO|reproduction:adventurer,reproduction:adventurer,Reproduction_Adventurer,,작성 자산 정의,,"Adventurer의 생식 성공률 0.35, 생식 단계 4개와 생존 온도 10~32℃를 정의해 인구 증가를 환경·시간 조건에 연결한다.",reproduction-chance-phases-and-environment,근거 확인,,active-authored,Assets/Resources/SO/Content/GameDomainContentCatalog.asset; Assets/Resources/SO/GameContentCatalog.asset,catalog-registered-static-consumer,Assets/Scripts/Models/Species/Core/CharacterSpeciesCatalog.cs; Assets/Scripts/Models/Species/Core/CharacterSpeciesDefinitionSO.cs,정적 저장 근거 없음,1,CharacterSpeciesSO,"Adventurer의 생식 성공률 0.35, 생식 단계 4개와 생존 온도 10~32℃를 정의해 인구 증가를 환경·시간 조건에 연결한다.",인물·특성 영역의 ReproductionProfileSO 규칙을 분리해 재사용한다.,작성 자산에서 직접 비용·위험 수치를 확인할 수 없음,ReproductionProfileSO,"비교 후보(대체 가능성 미검증): ReproductionProfileSO:reproduction:beastkin, ReproductionProfileSO:reproduction:demon, ReproductionProfileSO:reproduction:golem, ReproductionProfileSO:reproduction:harpy, ReproductionProfileSO:reproduction:kobold, ReproductionProfileSO:reproduction:myconid, ReproductionProfileSO:reproduction:orc, ReproductionProfileSO:reproduction:slime, ReproductionProfileSO:reproduction:vampire",직접 참조 1건에 영향: CharacterSpeciesSO:characterspecies:10,reproduction-chance-phases-and-environment; niche=type-contract; cost=type-contract,Assets/Resources/SO/Population/Reproduction/Reproduction_Adventurer.asset,1a3f44e299fa12d498999ed7f07414b2,0.35,reproduction:adventurer,Reproduction_Adventurer,0,ReproductionMode,Pregnancy,explicit-serialized,"[{""durationDays"":1,""phase"":0},{""durationDays"":40,""phase"":1},{""durationDays"":1,""phase"":2},{""durationDays"":20,""phase"":3}]",4,Adventurer,32,10
characters-traits,ReproductionProfileSO,ReproductionProfileSO|reproduction:beastkin,reproduction:beastkin,Reproduction_Beastkin,,작성 자산 정의,,"Beastkin의 생식 성공률 0.35, 생식 단계 4개와 생존 온도 10~32℃를 정의해 인구 증가를 환경·시간 조건에 연결한다.",reproduction-chance-phases-and-environment,근거 확인,,active-authored,Assets/Resources/SO/Content/GameDomainContentCatalog.asset; Assets/Resources/SO/GameContentCatalog.asset,catalog-registered-static-consumer,Assets/Scripts/Models/Species/Core/CharacterSpeciesCatalog.cs; Assets/Scripts/Models/Species/Core/CharacterSpeciesDefinitionSO.cs,정적 저장 근거 없음,1,CharacterSpeciesSO,"Beastkin의 생식 성공률 0.35, 생식 단계 4개와 생존 온도 10~32℃를 정의해 인구 증가를 환경·시간 조건에 연결한다.",인물·특성 영역의 ReproductionProfileSO 규칙을 분리해 재사용한다.,작성 자산에서 직접 비용·위험 수치를 확인할 수 없음,ReproductionProfileSO,"비교 후보(대체 가능성 미검증): ReproductionProfileSO:reproduction:adventurer, ReproductionProfileSO:reproduction:demon, ReproductionProfileSO:reproduction:golem, ReproductionProfileSO:reproduction:harpy, ReproductionProfileSO:reproduction:kobold, ReproductionProfileSO:reproduction:myconid, ReproductionProfileSO:reproduction:orc, ReproductionProfileSO:reproduction:slime, ReproductionProfileSO:reproduction:vampire",직접 참조 1건에 영향: CharacterSpeciesSO:characterspecies:4,reproduction-chance-phases-and-environment; niche=type-contract; cost=type-contract,Assets/Resources/SO/Population/Reproduction/Reproduction_Beastkin.asset,8062c884b43000e4d95689ccad5c4aab,0.35,reproduction:beastkin,Reproduction_Beastkin,0,ReproductionMode,Pregnancy,explicit-serialized,"[{""durationDays"":1,""phase"":0},{""durationDays"":32,""phase"":1},{""durationDays"":1,""phase"":2},{""durationDays"":15,""phase"":3}]",4,Beastkin,32,10
characters-traits,ReproductionProfileSO,ReproductionProfileSO|reproduction:demon,reproduction:demon,Reproduction_Demon,,작성 자산 정의,,"Demon의 생식 성공률 0.35, 생식 단계 4개와 생존 온도 10~32℃를 정의해 인구 증가를 환경·시간 조건에 연결한다.",reproduction-chance-phases-and-environment,근거 확인,,active-authored,Assets/Resources/SO/Content/GameDomainContentCatalog.asset; Assets/Resources/SO/GameContentCatalog.asset,catalog-registered-static-consumer,Assets/Scripts/Models/Species/Core/CharacterSpeciesCatalog.cs; Assets/Scripts/Models/Species/Core/CharacterSpeciesDefinitionSO.cs,정적 저장 근거 없음,1,CharacterSpeciesSO,"Demon의 생식 성공률 0.35, 생식 단계 4개와 생존 온도 10~32℃를 정의해 인구 증가를 환경·시간 조건에 연결한다.",인물·특성 영역의 ReproductionProfileSO 규칙을 분리해 재사용한다.,작성 자산에서 직접 비용·위험 수치를 확인할 수 없음,ReproductionProfileSO,"비교 후보(대체 가능성 미검증): ReproductionProfileSO:reproduction:adventurer, ReproductionProfileSO:reproduction:beastkin, ReproductionProfileSO:reproduction:golem, ReproductionProfileSO:reproduction:harpy, ReproductionProfileSO:reproduction:kobold, ReproductionProfileSO:reproduction:myconid, ReproductionProfileSO:reproduction:orc, ReproductionProfileSO:reproduction:slime, ReproductionProfileSO:reproduction:vampire",직접 참조 1건에 영향: CharacterSpeciesSO:characterspecies:5,reproduction-chance-phases-and-environment; niche=type-contract; cost=type-contract,Assets/Resources/SO/Population/Reproduction/Reproduction_Demon.asset,6fa47dcd9b9878842bf3d57635c67e03,0.35,reproduction:demon,Reproduction_Demon,0,ReproductionMode,Pregnancy,explicit-serialized,"[{""durationDays"":1,""phase"":0},{""durationDays"":50,""phase"":1},{""durationDays"":1,""phase"":2},{""durationDays"":25,""phase"":3}]",4,Demon,32,10
characters-traits,ReproductionProfileSO,ReproductionProfileSO|reproduction:golem,reproduction:golem,Reproduction_Golem,,작성 자산 정의,,"Golem의 생식 성공률 0.35, 생식 단계 4개와 생존 온도 0~45℃를 정의해 인구 증가를 환경·시간 조건에 연결한다.",reproduction-chance-phases-and-environment,근거 확인,,active-authored,Assets/Resources/SO/Content/GameDomainContentCatalog.asset; Assets/Resources/SO/GameContentCatalog.asset,catalog-registered-static-consumer,Assets/Scripts/Models/Species/Core/CharacterSpeciesCatalog.cs; Assets/Scripts/Models/Species/Core/CharacterSpeciesDefinitionSO.cs,정적 저장 근거 없음,1,CharacterSpeciesSO,"Golem의 생식 성공률 0.35, 생식 단계 4개와 생존 온도 0~45℃를 정의해 인구 증가를 환경·시간 조건에 연결한다.",인물·특성 영역의 ReproductionProfileSO 규칙을 분리해 재사용한다.,작성 자산에서 직접 비용·위험 수치를 확인할 수 없음,ReproductionProfileSO,"비교 후보(대체 가능성 미검증): ReproductionProfileSO:reproduction:adventurer, ReproductionProfileSO:reproduction:beastkin, ReproductionProfileSO:reproduction:demon, ReproductionProfileSO:reproduction:harpy, ReproductionProfileSO:reproduction:kobold, ReproductionProfileSO:reproduction:myconid, ReproductionProfileSO:reproduction:orc, ReproductionProfileSO:reproduction:slime, ReproductionProfileSO:reproduction:vampire",직접 참조 1건에 영향: CharacterSpeciesSO:characterspecies:9,reproduction-chance-phases-and-environment; niche=type-contract; cost=type-contract,Assets/Resources/SO/Population/Reproduction/Reproduction_Golem.asset,85daa7f4a37bfcd49b81de8cde7da45c,0.35,reproduction:golem,Reproduction_Golem,4,ReproductionMode,Golem Assembly,explicit-serialized,"[{""durationDays"":15,""phase"":13},{""durationDays"":10,""phase"":14},{""durationDays"":10,""phase"":15},{""durationDays"":5,""phase"":16}]",4,Golem,45,0
characters-traits,ReproductionProfileSO,ReproductionProfileSO|reproduction:harpy,reproduction:harpy,Reproduction_Harpy,,작성 자산 정의,,"Harpy의 생식 성공률 0.35, 생식 단계 4개와 생존 온도 10~32℃를 정의해 인구 증가를 환경·시간 조건에 연결한다.",reproduction-chance-phases-and-environment,근거 확인,,active-authored,Assets/Resources/SO/Content/GameDomainContentCatalog.asset; Assets/Resources/SO/GameContentCatalog.asset,catalog-registered-static-consumer,Assets/Scripts/Models/Species/Core/CharacterSpeciesCatalog.cs; Assets/Scripts/Models/Species/Core/CharacterSpeciesDefinitionSO.cs,정적 저장 근거 없음,1,CharacterSpeciesSO,"Harpy의 생식 성공률 0.35, 생식 단계 4개와 생존 온도 10~32℃를 정의해 인구 증가를 환경·시간 조건에 연결한다.",인물·특성 영역의 ReproductionProfileSO 규칙을 분리해 재사용한다.,작성 자산에서 직접 비용·위험 수치를 확인할 수 없음,ReproductionProfileSO,"비교 후보(대체 가능성 미검증): ReproductionProfileSO:reproduction:adventurer, ReproductionProfileSO:reproduction:beastkin, ReproductionProfileSO:reproduction:demon, ReproductionProfileSO:reproduction:golem, ReproductionProfileSO:reproduction:kobold, ReproductionProfileSO:reproduction:myconid, ReproductionProfileSO:reproduction:orc, ReproductionProfileSO:reproduction:slime, ReproductionProfileSO:reproduction:vampire",직접 참조 1건에 영향: CharacterSpeciesSO:characterspecies:8,reproduction-chance-phases-and-environment; niche=type-contract; cost=type-contract,Assets/Resources/SO/Population/Reproduction/Reproduction_Harpy.asset,d9ac4fe8b62514040af4eb699ea293a6,0.35,reproduction:harpy,Reproduction_Harpy,1,ReproductionMode,Egg,explicit-serialized,"[{""durationDays"":1,""phase"":0},{""durationDays"":12,""phase"":4},{""durationDays"":24,""phase"":6},{""durationDays"":12,""phase"":3}]",4,Harpy,32,10
characters-traits,ReproductionProfileSO,ReproductionProfileSO|reproduction:kobold,reproduction:kobold,Reproduction_Kobold,,작성 자산 정의,,"Kobold의 생식 성공률 0.35, 생식 단계 4개와 생존 온도 10~32℃를 정의해 인구 증가를 환경·시간 조건에 연결한다.",reproduction-chance-phases-and-environment,근거 확인,,active-authored,Assets/Resources/SO/Content/GameDomainContentCatalog.asset; Assets/Resources/SO/GameContentCatalog.asset,catalog-registered-static-consumer,Assets/Scripts/Models/Species/Core/CharacterSpeciesCatalog.cs; Assets/Scripts/Models/Species/Core/CharacterSpeciesDefinitionSO.cs,정적 저장 근거 없음,1,CharacterSpeciesSO,"Kobold의 생식 성공률 0.35, 생식 단계 4개와 생존 온도 10~32℃를 정의해 인구 증가를 환경·시간 조건에 연결한다.",인물·특성 영역의 ReproductionProfileSO 규칙을 분리해 재사용한다.,작성 자산에서 직접 비용·위험 수치를 확인할 수 없음,ReproductionProfileSO,"비교 후보(대체 가능성 미검증): ReproductionProfileSO:reproduction:adventurer, ReproductionProfileSO:reproduction:beastkin, ReproductionProfileSO:reproduction:demon, ReproductionProfileSO:reproduction:golem, ReproductionProfileSO:reproduction:harpy, ReproductionProfileSO:reproduction:myconid, ReproductionProfileSO:reproduction:orc, ReproductionProfileSO:reproduction:slime, ReproductionProfileSO:reproduction:vampire",직접 참조 1건에 영향: CharacterSpeciesSO:characterspecies:6,reproduction-chance-phases-and-environment; niche=type-contract; cost=type-contract,Assets/Resources/SO/Population/Reproduction/Reproduction_Kobold.asset,e1b6a6a491b5aeb499e1599c87b456d1,0.35,reproduction:kobold,Reproduction_Kobold,1,ReproductionMode,Egg,explicit-serialized,"[{""durationDays"":1,""phase"":0},{""durationDays"":10,""phase"":4},{""durationDays"":20,""phase"":6},{""durationDays"":10,""phase"":3}]",4,Kobold,32,10
characters-traits,ReproductionProfileSO,ReproductionProfileSO|reproduction:myconid,reproduction:myconid,Reproduction_Myconid,,작성 자산 정의,,"Myconid의 생식 성공률 0.35, 생식 단계 4개와 생존 온도 10~32℃를 정의해 인구 증가를 환경·시간 조건에 연결한다.",reproduction-chance-phases-and-environment,근거 확인,,active-authored,Assets/Resources/SO/Content/GameDomainContentCatalog.asset; Assets/Resources/SO/GameContentCatalog.asset,catalog-registered-static-consumer,Assets/Scripts/Models/Species/Core/CharacterSpeciesCatalog.cs; Assets/Scripts/Models/Species/Core/CharacterSpeciesDefinitionSO.cs,정적 저장 근거 없음,1,CharacterSpeciesSO,"Myconid의 생식 성공률 0.35, 생식 단계 4개와 생존 온도 10~32℃를 정의해 인구 증가를 환경·시간 조건에 연결한다.",인물·특성 영역의 ReproductionProfileSO 규칙을 분리해 재사용한다.,작성 자산에서 직접 비용·위험 수치를 확인할 수 없음,ReproductionProfileSO,"비교 후보(대체 가능성 미검증): ReproductionProfileSO:reproduction:adventurer, ReproductionProfileSO:reproduction:beastkin, ReproductionProfileSO:reproduction:demon, ReproductionProfileSO:reproduction:golem, ReproductionProfileSO:reproduction:harpy, ReproductionProfileSO:reproduction:kobold, ReproductionProfileSO:reproduction:orc, ReproductionProfileSO:reproduction:slime, ReproductionProfileSO:reproduction:vampire",직접 참조 1건에 영향: CharacterSpeciesSO:characterspecies:7,reproduction-chance-phases-and-environment; niche=type-contract; cost=type-contract,Assets/Resources/SO/Population/Reproduction/Reproduction_Myconid.asset,248ae056a411d794eb831b8dd46ba2ae,0.35,reproduction:myconid,Reproduction_Myconid,2,ReproductionMode,Spore,explicit-serialized,"[{""durationDays"":1,""phase"":0},{""durationDays"":5,""phase"":7},{""durationDays"":20,""phase"":8},{""durationDays"":10,""phase"":9}]",4,Myconid,32,10
characters-traits,ReproductionProfileSO,ReproductionProfileSO|reproduction:orc,reproduction:orc,Reproduction_Orc,,작성 자산 정의,,"Orc의 생식 성공률 0.35, 생식 단계 4개와 생존 온도 10~32℃를 정의해 인구 증가를 환경·시간 조건에 연결한다.",reproduction-chance-phases-and-environment,근거 확인,,active-authored,Assets/Resources/SO/Content/GameDomainContentCatalog.asset; Assets/Resources/SO/GameContentCatalog.asset,catalog-registered-static-consumer,Assets/Scripts/Models/Species/Core/CharacterSpeciesCatalog.cs; Assets/Scripts/Models/Species/Core/CharacterSpeciesDefinitionSO.cs,정적 저장 근거 없음,1,CharacterSpeciesSO,"Orc의 생식 성공률 0.35, 생식 단계 4개와 생존 온도 10~32℃를 정의해 인구 증가를 환경·시간 조건에 연결한다.",인물·특성 영역의 ReproductionProfileSO 규칙을 분리해 재사용한다.,작성 자산에서 직접 비용·위험 수치를 확인할 수 없음,ReproductionProfileSO,"비교 후보(대체 가능성 미검증): ReproductionProfileSO:reproduction:adventurer, ReproductionProfileSO:reproduction:beastkin, ReproductionProfileSO:reproduction:demon, ReproductionProfileSO:reproduction:golem, ReproductionProfileSO:reproduction:harpy, ReproductionProfileSO:reproduction:kobold, ReproductionProfileSO:reproduction:myconid, ReproductionProfileSO:reproduction:slime, ReproductionProfileSO:reproduction:vampire",직접 참조 1건에 영향: CharacterSpeciesSO:characterspecies:2,reproduction-chance-phases-and-environment; niche=type-contract; cost=type-contract,Assets/Resources/SO/Population/Reproduction/Reproduction_Orc.asset,cd8af9c854e5b814383231682ca93624,0.35,reproduction:orc,Reproduction_Orc,0,ReproductionMode,Pregnancy,explicit-serialized,"[{""durationDays"":1,""phase"":0},{""durationDays"":40,""phase"":1},{""durationDays"":1,""phase"":2},{""durationDays"":20,""phase"":3}]",4,Orc,32,10
characters-traits,ReproductionProfileSO,ReproductionProfileSO|reproduction:slime,reproduction:slime,Reproduction_Slime,,작성 자산 정의,,"Slime의 생식 성공률 0.35, 생식 단계 4개와 생존 온도 10~32℃를 정의해 인구 증가를 환경·시간 조건에 연결한다.",reproduction-chance-phases-and-environment,근거 확인,,active-authored,Assets/Resources/SO/Content/GameDomainContentCatalog.asset; Assets/Resources/SO/GameContentCatalog.asset,catalog-registered-static-consumer,Assets/Scripts/Models/Species/Core/CharacterSpeciesCatalog.cs; Assets/Scripts/Models/Species/Core/CharacterSpeciesDefinitionSO.cs,정적 저장 근거 없음,1,CharacterSpeciesSO,"Slime의 생식 성공률 0.35, 생식 단계 4개와 생존 온도 10~32℃를 정의해 인구 증가를 환경·시간 조건에 연결한다.",인물·특성 영역의 ReproductionProfileSO 규칙을 분리해 재사용한다.,작성 자산에서 직접 비용·위험 수치를 확인할 수 없음,ReproductionProfileSO,"비교 후보(대체 가능성 미검증): ReproductionProfileSO:reproduction:adventurer, ReproductionProfileSO:reproduction:beastkin, ReproductionProfileSO:reproduction:demon, ReproductionProfileSO:reproduction:golem, ReproductionProfileSO:reproduction:harpy, ReproductionProfileSO:reproduction:kobold, ReproductionProfileSO:reproduction:myconid, ReproductionProfileSO:reproduction:orc, ReproductionProfileSO:reproduction:vampire",직접 참조 1건에 영향: CharacterSpeciesSO:characterspecies:1,reproduction-chance-phases-and-environment; niche=type-contract; cost=type-contract,Assets/Resources/SO/Population/Reproduction/Reproduction_Slime.asset,ed219103b8a7e6f40a34b9954d29e2be,0.35,reproduction:slime,Reproduction_Slime,3,ReproductionMode,Core Division,explicit-serialized,"[{""durationDays"":1,""phase"":0},{""durationDays"":15,""phase"":10},{""durationDays"":5,""phase"":11},{""durationDays"":10,""phase"":12}]",4,Slime,32,10
characters-traits,ReproductionProfileSO,ReproductionProfileSO|reproduction:vampire,reproduction:vampire,Reproduction_Vampire,,작성 자산 정의,,"Vampire의 생식 성공률 0.35, 생식 단계 4개와 생존 온도 10~32℃를 정의해 인구 증가를 환경·시간 조건에 연결한다.",reproduction-chance-phases-and-environment,근거 확인,,active-authored,Assets/Resources/SO/Content/GameDomainContentCatalog.asset; Assets/Resources/SO/GameContentCatalog.asset,catalog-registered-static-consumer,Assets/Scripts/Models/Species/Core/CharacterSpeciesCatalog.cs; Assets/Scripts/Models/Species/Core/CharacterSpeciesDefinitionSO.cs,정적 저장 근거 없음,1,CharacterSpeciesSO,"Vampire의 생식 성공률 0.35, 생식 단계 4개와 생존 온도 10~32℃를 정의해 인구 증가를 환경·시간 조건에 연결한다.",인물·특성 영역의 ReproductionProfileSO 규칙을 분리해 재사용한다.,작성 자산에서 직접 비용·위험 수치를 확인할 수 없음,ReproductionProfileSO,"비교 후보(대체 가능성 미검증): ReproductionProfileSO:reproduction:adventurer, ReproductionProfileSO:reproduction:beastkin, ReproductionProfileSO:reproduction:demon, ReproductionProfileSO:reproduction:golem, ReproductionProfileSO:reproduction:harpy, ReproductionProfileSO:reproduction:kobold, ReproductionProfileSO:reproduction:myconid, ReproductionProfileSO:reproduction:orc, ReproductionProfileSO:reproduction:slime",직접 참조 1건에 영향: CharacterSpeciesSO:characterspecies:3,reproduction-chance-phases-and-environment; niche=type-contract; cost=type-contract,Assets/Resources/SO/Population/Reproduction/Reproduction_Vampire.asset,d0e10731ca756b94a802b757d03fac90,0.35,reproduction:vampire,Reproduction_Vampire,0,ReproductionMode,Pregnancy,explicit-serialized,"[{""durationDays"":1,""phase"":0},{""durationDays"":60,""phase"":1},{""durationDays"":1,""phase"":2},{""durationDays"":30,""phase"":3}]",4,Vampire,32,10
