record_key,stable_id,field_path,raw_value,enum_type,enum_label,value_origin
CharacterAcquiredTraitModuleSO|acquired-trait:module:battle-temper,acquired-trait:module:battle-temper,m_Name,acquired-trait_module_battle-temper,,,explicit-serialized
CharacterAcquiredTraitModuleSO|acquired-trait:module:battle-temper,acquired-trait:module:battle-temper,moduleId,acquired-trait:module:battle-temper,,,explicit-serialized
CharacterAcquiredTraitModuleSO|acquired-trait:module:battle-temper,acquired-trait:module:battle-temper,displayName,전장의 담력,,,explicit-serialized
CharacterAcquiredTraitModuleSO|acquired-trait:module:battle-temper,acquired-trait:module:battle-temper,description,전투 경험을 견디며 다져진 담력으로 전투력이 조금 높아집니다.,,,explicit-serialized
CharacterAcquiredTraitModuleSO|acquired-trait:module:battle-temper,acquired-trait:module:battle-temper,cost,2,,,explicit-serialized
CharacterAcquiredTraitModuleSO|acquired-trait:module:battle-temper,acquired-trait:module:battle-temper,conflictGroups.0,risk-posture,,,explicit-serialized
CharacterAcquiredTraitModuleSO|acquired-trait:module:battle-temper,acquired-trait:module:battle-temper,domainAffinities,090000000700000008000000,,,explicit-serialized
CharacterAcquiredTraitModuleSO|acquired-trait:module:battle-temper,acquired-trait:module:battle-temper,effects.0.bindingId,acquired-trait:module:battle-temper:effect:0,,,explicit-serialized
CharacterAcquiredTraitModuleSO|acquired-trait:module:battle-temper,acquired-trait:module:battle-temper,effects.0.definition.fileID,11400000,,,explicit-serialized
CharacterAcquiredTraitModuleSO|acquired-trait:module:battle-temper,acquired-trait:module:battle-temper,effects.0.definition.guid,137c7667173fc054eb6777aec0aa16f2,,,explicit-serialized
CharacterAcquiredTraitModuleSO|acquired-trait:module:battle-temper,acquired-trait:module:battle-temper,effects.0.definition.type,2,,,explicit-serialized
CharacterAcquiredTraitModuleSO|acquired-trait:module:battle-temper,acquired-trait:module:battle-temper,effects.0.value,1.04,,,explicit-serialized
CharacterAcquiredTraitModuleSO|acquired-trait:module:battle-temper,acquired-trait:module:battle-temper,effects.0.condition.fileID,0,,,explicit-serialized
CharacterAcquiredTraitModuleSO|acquired-trait:module:battle-temper,acquired-trait:module:battle-temper,drawbackBindingIds,[],,,explicit-serialized
CharacterAcquiredTraitModuleSO|acquired-trait:module:battle-temper,acquired-trait:module:battle-temper,specialReactions.0.reactionId,acquired-trait:reaction:expedition-composure,,,explicit-serialized
CharacterAcquiredTraitModuleSO|acquired-trait:module:battle-temper,acquired-trait:module:battle-temper,specialReactions.0.trigger,2,,,explicit-serialized
CharacterAcquiredTraitModuleSO|acquired-trait:module:battle-temper,acquired-trait:module:battle-temper,specialReactions.0.ownerRole,2,,,explicit-serialized
CharacterAcquiredTraitModuleSO|acquired-trait:module:battle-temper,acquired-trait:module:battle-temper,specialReactions.0.condition,3,,,explicit-serialized
CharacterAcquiredTraitModuleSO|acquired-trait:module:battle-temper,acquired-trait:module:battle-temper,specialReactions.0.action,1,,,explicit-serialized
CharacterAcquiredTraitModuleSO|acquired-trait:module:battle-temper,acquired-trait:module:battle-temper,specialReactions.0.baseValue,2,,,explicit-serialized
CharacterAcquiredTraitModuleSO|acquired-trait:module:battle-temper,acquired-trait:module:battle-temper,specialReactions.0.durationDays,2,,,explicit-serialized
CharacterAcquiredTraitModuleSO|acquired-trait:module:battle-temper,acquired-trait:module:battle-temper,specialReactions.0.cooldownDays,2,,,explicit-serialized
CharacterAcquiredTraitModuleSO|acquired-trait:module:battle-temper,acquired-trait:module:battle-temper,specialReactions.0.maximumTriggersPerDay,1,,,explicit-serialized
CharacterAcquiredTraitModuleSO|acquired-trait:module:battle-temper,acquired-trait:module:battle-temper,specialReactions.0.maximumLifetimeTriggers,0,,,explicit-serialized
CharacterAcquiredTraitModuleSO|acquired-trait:module:battle-temper,acquired-trait:module:battle-temper,specialReactions.0.displayLabel,원정에서 얻은 자신감,,,explicit-serialized
CharacterAcquiredTraitModuleSO|acquired-trait:module:battle-temper,acquired-trait:module:battle-temper,capabilityId,acquired-trait:acquired-trait:module:battle-temper,,,explicit-serialized
CharacterAcquiredTraitModuleSO|acquired-trait:module:battle-temper,acquired-trait:module:battle-temper,formula.appliedParameterIds.0,magnitude,,,explicit-serialized
CharacterAcquiredTraitModuleSO|acquired-trait:module:battle-temper,acquired-trait:module:battle-temper,formula.baseCost,2,,,explicit-serialized
CharacterAcquiredTraitModuleSO|acquired-trait:module:battle-temper,acquired-trait:module:battle-temper,formula.triggerFrequencyCostPerUnit,1,,,explicit-serialized
CharacterAcquiredTraitModuleSO|acquired-trait:module:battle-temper,acquired-trait:module:battle-temper,formula.guaranteedProcCost,1,,,explicit-serialized
CharacterAcquiredTraitModuleSO|acquired-trait:module:battle-temper,acquired-trait:module:battle-temper,formula.areaCostPerExtraTarget,1,,,explicit-serialized
CharacterAcquiredTraitModuleSO|acquired-trait:module:battle-temper,acquired-trait:module:battle-temper,formula.multiEffectCostPerExtraEffect,1,,,explicit-serialized
CharacterAcquiredTraitModuleSO|acquired-trait:module:battle-temper,acquired-trait:module:battle-temper,formula.pairSynergyCosts,[],,,explicit-serialized
CharacterAcquiredTraitModuleSO|acquired-trait:module:battle-temper,acquired-trait:module:battle-temper,formula.narrativeAffinity,1,,,explicit-serialized
CharacterAcquiredTraitModuleSO|acquired-trait:module:battle-temper,acquired-trait:module:battle-temper,formula.affinityKeys.0,Combat,,,explicit-serialized
CharacterAcquiredTraitModuleSO|acquired-trait:module:battle-temper,acquired-trait:module:battle-temper,formula.affinityKeys.1,Expedition,,,explicit-serialized
CharacterAcquiredTraitModuleSO|acquired-trait:module:battle-temper,acquired-trait:module:battle-temper,formula.affinityKeys.2,Invasion,,,explicit-serialized
CharacterAcquiredTraitModuleSO|acquired-trait:module:battle-temper,acquired-trait:module:battle-temper,formula.conflictGroups.0,risk-posture,,,explicit-serialized
CharacterAcquiredTraitModuleSO|acquired-trait:module:battle-temper,acquired-trait:module:battle-temper,formula.forbiddenSynergies,[],,,explicit-serialized
