record_key,stable_id,field_path,raw_value,enum_type,enum_label,value_origin
CharacterAcquiredTraitSettingsSO|character:acquired-trait-settings,character:acquired-trait-settings,m_Name,acquired-trait-settings,,,explicit-serialized
CharacterAcquiredTraitSettingsSO|character:acquired-trait-settings,character:acquired-trait-settings,settingsId,character:acquired-trait-settings,,,explicit-serialized
CharacterAcquiredTraitSettingsSO|character:acquired-trait-settings,character:acquired-trait-settings,maximumActiveTraits,3,,,explicit-serialized
CharacterAcquiredTraitSettingsSO|character:acquired-trait-settings,character:acquired-trait-settings,manifestationGates.0.meaningfulRecordMilestone,3,,,explicit-serialized
CharacterAcquiredTraitSettingsSO|character:acquired-trait-settings,character:acquired-trait-settings,manifestationGates.0.rarity,0,,,explicit-serialized
CharacterAcquiredTraitSettingsSO|character:acquired-trait-settings,character:acquired-trait-settings,manifestationGates.0.budget,4,,,explicit-serialized
CharacterAcquiredTraitSettingsSO|character:acquired-trait-settings,character:acquired-trait-settings,manifestationGates.1.meaningfulRecordMilestone,8,,,explicit-serialized
CharacterAcquiredTraitSettingsSO|character:acquired-trait-settings,character:acquired-trait-settings,manifestationGates.1.rarity,1,,,explicit-serialized
CharacterAcquiredTraitSettingsSO|character:acquired-trait-settings,character:acquired-trait-settings,manifestationGates.1.budget,6,,,explicit-serialized
CharacterAcquiredTraitSettingsSO|character:acquired-trait-settings,character:acquired-trait-settings,manifestationGates.2.meaningfulRecordMilestone,20,,,explicit-serialized
CharacterAcquiredTraitSettingsSO|character:acquired-trait-settings,character:acquired-trait-settings,manifestationGates.2.rarity,2,,,explicit-serialized
CharacterAcquiredTraitSettingsSO|character:acquired-trait-settings,character:acquired-trait-settings,manifestationGates.2.budget,8,,,explicit-serialized
CharacterAcquiredTraitSettingsSO|character:acquired-trait-settings,character:acquired-trait-settings,formulaPolicy.formulaVersion,3,,,explicit-serialized
CharacterAcquiredTraitSettingsSO|character:acquired-trait-settings,character:acquired-trait-settings,formulaPolicy.baseBudget,4,,,explicit-serialized
CharacterAcquiredTraitSettingsSO|character:acquired-trait-settings,character:acquired-trait-settings,formulaPolicy.powerScale,4,,,explicit-serialized
CharacterAcquiredTraitSettingsSO|character:acquired-trait-settings,character:acquired-trait-settings,formulaPolicy.softCapK,8,,,explicit-serialized
CharacterAcquiredTraitSettingsSO|character:acquired-trait-settings,character:acquired-trait-settings,formulaPolicy.minimumImportance,0,,,explicit-serialized
CharacterAcquiredTraitSettingsSO|character:acquired-trait-settings,character:acquired-trait-settings,formulaPolicy.maximumImportance,4,,,explicit-serialized
CharacterAcquiredTraitSettingsSO|character:acquired-trait-settings,character:acquired-trait-settings,formulaPolicy.milestoneWeights.0,1,,,explicit-serialized
CharacterAcquiredTraitSettingsSO|character:acquired-trait-settings,character:acquired-trait-settings,formulaPolicy.milestoneWeights.1,1.5,,,explicit-serialized
CharacterAcquiredTraitSettingsSO|character:acquired-trait-settings,character:acquired-trait-settings,formulaPolicy.milestoneWeights.2,2,,,explicit-serialized
CharacterAcquiredTraitSettingsSO|character:acquired-trait-settings,character:acquired-trait-settings,formulaPolicy.milestoneWeights.3,3,,,explicit-serialized
CharacterAcquiredTraitSettingsSO|character:acquired-trait-settings,character:acquired-trait-settings,formulaPolicy.milestoneWeights.4,5,,,explicit-serialized
CharacterAcquiredTraitSettingsSO|character:acquired-trait-settings,character:acquired-trait-settings,formulaPolicy.drawbackCredit.playerChoiceMaximumBudgetFraction,0.35,,,explicit-serialized
CharacterAcquiredTraitSettingsSO|character:acquired-trait-settings,character:acquired-trait-settings,formulaPolicy.drawbackCredit.automaticMaximumBudgetFraction,0.35,,,explicit-serialized
CharacterAcquiredTraitSettingsSO|character:acquired-trait-settings,character:acquired-trait-settings,formulaPolicy.drawbackCredit.absoluteMaximumCredit,3,,,explicit-serialized
CharacterAcquiredTraitSettingsSO|character:acquired-trait-settings,character:acquired-trait-settings,formulaPolicy.drawbackCredit.requireNegativeEvidenceForAutomatic,1,,,explicit-serialized
CharacterAcquiredTraitSettingsSO|character:acquired-trait-settings,character:acquired-trait-settings,formulaPolicy.triggerFrequencyUnits,1,,,explicit-serialized
CharacterAcquiredTraitSettingsSO|character:acquired-trait-settings,character:acquired-trait-settings,formulaPolicy.guaranteedProc,1,,,explicit-serialized
CharacterAcquiredTraitSettingsSO|character:acquired-trait-settings,character:acquired-trait-settings,formulaPolicy.targetCount,1,,,explicit-serialized
CharacterAcquiredTraitSettingsSO|character:acquired-trait-settings,character:acquired-trait-settings,formulaPolicy.catalogSha256,f093866c04e235c82bade623d92def6277e3202c1df934f4d9a3366c7327eec6,,,explicit-serialized
CharacterAcquiredTraitSettingsSO|character:acquired-trait-settings,character:acquired-trait-settings,drawbackCapabilities.0.drawbackId,acquired-trait:drawback:battle-shock,,,explicit-serialized
CharacterAcquiredTraitSettingsSO|character:acquired-trait-settings,character:acquired-trait-settings,drawbackCapabilities.0.displayName,전투 후유증,,,explicit-serialized
CharacterAcquiredTraitSettingsSO|character:acquired-trait-settings,character:acquired-trait-settings,drawbackCapabilities.0.description,격전의 기억이 남아 평상시 전투력이 흔들립니다.,,,explicit-serialized
CharacterAcquiredTraitSettingsSO|character:acquired-trait-settings,character:acquired-trait-settings,drawbackCapabilities.0.domainAffinities,0500000009000000,,,explicit-serialized
CharacterAcquiredTraitSettingsSO|character:acquired-trait-settings,character:acquired-trait-settings,drawbackCapabilities.0.conflictGroups.0,drawback:combat,,,explicit-serialized
CharacterAcquiredTraitSettingsSO|character:acquired-trait-settings,character:acquired-trait-settings,drawbackCapabilities.0.maximumCredit,2,,,explicit-serialized
CharacterAcquiredTraitSettingsSO|character:acquired-trait-settings,character:acquired-trait-settings,drawbackCapabilities.0.effects.0.bindingId,acquired-trait:drawback:battle-shock:effect:0,,,explicit-serialized
CharacterAcquiredTraitSettingsSO|character:acquired-trait-settings,character:acquired-trait-settings,drawbackCapabilities.0.effects.0.definition.fileID,11400000,,,explicit-serialized
CharacterAcquiredTraitSettingsSO|character:acquired-trait-settings,character:acquired-trait-settings,drawbackCapabilities.0.effects.0.definition.guid,137c7667173fc054eb6777aec0aa16f2,,,explicit-serialized
CharacterAcquiredTraitSettingsSO|character:acquired-trait-settings,character:acquired-trait-settings,drawbackCapabilities.0.effects.0.definition.type,2,,,explicit-serialized
CharacterAcquiredTraitSettingsSO|character:acquired-trait-settings,character:acquired-trait-settings,drawbackCapabilities.0.effects.0.value,0.96,,,explicit-serialized
CharacterAcquiredTraitSettingsSO|character:acquired-trait-settings,character:acquired-trait-settings,drawbackCapabilities.0.effects.0.condition.fileID,0,,,explicit-serialized
CharacterAcquiredTraitSettingsSO|character:acquired-trait-settings,character:acquired-trait-settings,drawbackCapabilities.0.capabilityId,acquired-trait:drawback:battle-shock:severity,,,explicit-serialized
CharacterAcquiredTraitSettingsSO|character:acquired-trait-settings,character:acquired-trait-settings,drawbackCapabilities.0.formula.appliedParameterIds.0,magnitude,,,explicit-serialized
CharacterAcquiredTraitSettingsSO|character:acquired-trait-settings,character:acquired-trait-settings,drawbackCapabilities.0.formula.baseCost,0,,,explicit-serialized
CharacterAcquiredTraitSettingsSO|character:acquired-trait-settings,character:acquired-trait-settings,drawbackCapabilities.0.formula.triggerFrequencyCostPerUnit,0,,,explicit-serialized
CharacterAcquiredTraitSettingsSO|character:acquired-trait-settings,character:acquired-trait-settings,drawbackCapabilities.0.formula.guaranteedProcCost,0,,,explicit-serialized
CharacterAcquiredTraitSettingsSO|character:acquired-trait-settings,character:acquired-trait-settings,drawbackCapabilities.0.formula.areaCostPerExtraTarget,0,,,explicit-serialized
CharacterAcquiredTraitSettingsSO|character:acquired-trait-settings,character:acquired-trait-settings,drawbackCapabilities.0.formula.multiEffectCostPerExtraEffect,0,,,explicit-serialized
CharacterAcquiredTraitSettingsSO|character:acquired-trait-settings,character:acquired-trait-settings,drawbackCapabilities.0.formula.pairSynergyCosts,[],,,explicit-serialized
CharacterAcquiredTraitSettingsSO|character:acquired-trait-settings,character:acquired-trait-settings,drawbackCapabilities.0.formula.narrativeAffinity,1,,,explicit-serialized
CharacterAcquiredTraitSettingsSO|character:acquired-trait-settings,character:acquired-trait-settings,drawbackCapabilities.0.formula.affinityKeys.0,Combat,,,explicit-serialized
CharacterAcquiredTraitSettingsSO|character:acquired-trait-settings,character:acquired-trait-settings,drawbackCapabilities.0.formula.affinityKeys.1,Injury,,,explicit-serialized
CharacterAcquiredTraitSettingsSO|character:acquired-trait-settings,character:acquired-trait-settings,drawbackCapabilities.0.formula.conflictGroups.0,drawback:combat,,,explicit-serialized
CharacterAcquiredTraitSettingsSO|character:acquired-trait-settings,character:acquired-trait-settings,drawbackCapabilities.0.formula.forbiddenSynergies,[],,,explicit-serialized
CharacterAcquiredTraitSettingsSO|character:acquired-trait-settings,character:acquired-trait-settings,drawbackCapabilities.0.formula.formatterId,acquired-trait:drawback:battle-shock:severity,,,explicit-serialized
CharacterAcquiredTraitSettingsSO|character:acquired-trait-settings,character:acquired-trait-settings,drawbackCapabilities.0.formula.applicatorId,acquired-trait:drawback:battle-shock:severity,,,explicit-serialized
