record_key,stable_id,field_path,raw_value,enum_type,enum_label,value_origin
CharacterSO|character-archetype:0,character-archetype:0,m_Name,TestCharacter,,,explicit-serialized
CharacterSO|character-archetype:0,character-archetype:0,characterType,0,CharacterType,N P C,explicit-serialized
CharacterSO|character-archetype:0,character-archetype:0,role,0,CharacterRole,Regular,explicit-serialized
CharacterSO|character-archetype:0,character-archetype:0,id,0,,,explicit-serialized
CharacterSO|character-archetype:0,character-archetype:0,characterName,테스트 캐릭터,,,explicit-serialized
CharacterSO|character-archetype:0,character-archetype:0,speciesTag,Orc,,,explicit-serialized
CharacterSO|character-archetype:0,character-archetype:0,species.fileID,11400000,,,explicit-serialized
CharacterSO|character-archetype:0,character-archetype:0,species.guid,c7f6b6a35919a8091a84822b06288975,,,explicit-serialized
CharacterSO|character-archetype:0,character-archetype:0,species.type,2,,,explicit-serialized
CharacterSO|character-archetype:0,character-archetype:0,baseStats.entries.0.statId,stat:attack,,,explicit-serialized
CharacterSO|character-archetype:0,character-archetype:0,baseStats.entries.0.value,5,,,explicit-serialized
CharacterSO|character-archetype:0,character-archetype:0,baseStats.entries.1.statId,stat:sales,,,explicit-serialized
CharacterSO|character-archetype:0,character-archetype:0,baseStats.entries.1.value,5,,,explicit-serialized
CharacterSO|character-archetype:0,character-archetype:0,baseStats.entries.2.statId,stat:research,,,explicit-serialized
CharacterSO|character-archetype:0,character-archetype:0,baseStats.entries.2.value,5,,,explicit-serialized
CharacterSO|character-archetype:0,character-archetype:0,baseStats.entries.3.statId,stat:move-speed,,,explicit-serialized
CharacterSO|character-archetype:0,character-archetype:0,baseStats.entries.3.value,5,,,explicit-serialized
CharacterSO|character-archetype:0,character-archetype:0,baseStats.entries.4.statId,stat:strength,,,explicit-serialized
CharacterSO|character-archetype:0,character-archetype:0,baseStats.entries.4.value,5,,,explicit-serialized
CharacterSO|character-archetype:0,character-archetype:0,baseStats.entries.5.statId,stat:toughness,,,explicit-serialized
CharacterSO|character-archetype:0,character-archetype:0,baseStats.entries.5.value,5,,,explicit-serialized
CharacterSO|character-archetype:0,character-archetype:0,baseStats.entries.6.statId,stat:dexterity,,,explicit-serialized
CharacterSO|character-archetype:0,character-archetype:0,baseStats.entries.6.value,5,,,explicit-serialized
CharacterSO|character-archetype:0,character-archetype:0,baseStats.entries.7.statId,stat:cleaning,,,explicit-serialized
CharacterSO|character-archetype:0,character-archetype:0,baseStats.entries.7.value,5,,,explicit-serialized
CharacterSO|character-archetype:0,character-archetype:0,baseStats.entries.8.statId,stat:endurance,,,explicit-serialized
CharacterSO|character-archetype:0,character-archetype:0,baseStats.entries.8.value,5,,,explicit-serialized
CharacterSO|character-archetype:0,character-archetype:0,traits.0.fileID,11400000,,,explicit-serialized
CharacterSO|character-archetype:0,character-archetype:0,traits.0.guid,95fa850a1a682706faa160ba49bb26cf,,,explicit-serialized
CharacterSO|character-archetype:0,character-archetype:0,traits.0.type,2,,,explicit-serialized
